,pidSzn,MIN,GP,Season,PIE,POSS,USG_PCT
524,1626245_2015-16,0.9,1,2015-16,-2.0,3,0.0
525,1626156_2015-16,2.8,20,2015-16,0.107,108,0.225
526,201571_2015-16,3.6,13,2015-16,0.125,108,0.14
527,2563_2015-16,5.0,1,2015-16,-0.081,7,0.111
528,203081_2015-16,3.5,37,2015-16,0.156,295,0.362
529,203996_2015-16,0.4,1,2015-16,0.0,0,0.0
530,204014_2015-16,0.9,5,2015-16,0.103,11,0.071
531,201568_2015-16,3.8,33,2015-16,0.093,259,0.211
532,201980_2015-16,2.8,25,2015-16,0.062,141,0.127
533,201967_2015-16,2.8,30,2015-16,-0.013,170,0.118
534,201589_2015-16,2.7,26,2015-16,0.038,144,0.136
535,201954_2015-16,3.5,33,2015-16,0.094,249,0.198
536,1626199_2015-16,0.3,3,2015-16,-0.5,1,1.0
537,101135_2015-16,1.5,6,2015-16,0.048,20,0.0
538,2561_2015-16,3.3,7,2015-16,-0.038,42,0.043
539,201599_2015-16,3.7,37,2015-16,0.138,276,0.159
540,201971_2015-16,0.0,2,2015-16,0.0,1,0.0
541,201942_2015-16,3.4,47,2015-16,0.178,360,0.353
542,202326_2015-16,3.2,36,2015-16,0.104,251,0.381
543,201960_2015-16,2.9,15,2015-16,0.022,107,0.083
544,1626153_2015-16,1.4,2,2015-16,1.0,6,0.333
545,203471_2015-16,3.6,14,2015-16,0.12,106,0.264
546,101114_2015-16,4.9,36,2015-16,0.203,352,0.277
547,202324_2015-16,4.2,30,2015-16,0.15,255,0.191
548,201565_2015-16,4.5,33,2015-16,0.096,297,0.302
549,202682_2015-16,4.4,8,2015-16,0.137,72,0.177
550,1626164_2015-16,2.5,25,2015-16,-0.01,136,0.19
551,2734_2015-16,1.5,25,2015-16,0.082,89,0.103
552,203906_2015-16,0.2,2,2015-16,0.0,1,0.0
553,203473_2015-16,3.1,5,2015-16,0.055,28,0.061
554,203079_2015-16,3.4,38,2015-16,0.008,285,0.084
555,1717_2015-16,4.4,44,2015-16,0.163,387,0.279
556,202388_2015-16,2.3,17,2015-16,-0.007,83,0.141
557,202700_2015-16,0.8,6,2015-16,-0.133,12,0.077
558,203926_2015-16,1.9,27,2015-16,0.031,122,0.091
559,203110_2015-16,4.2,33,2015-16,0.197,296,0.203
560,2400_2015-16,0.0,1,2015-16,0.0,1,0.0
561,2730_2015-16,3.9,39,2015-16,0.136,307,0.118
562,203939_2015-16,0.6,19,2015-16,0.07,31,0.091
563,2548_2015-16,3.8,38,2015-16,0.236,302,0.414
564,202734_2015-16,3.7,22,2015-16,0.076,163,0.118
565,202334_2015-16,2.2,23,2015-16,0.145,118,0.088
566,203901_2015-16,4.2,32,2015-16,0.114,282,0.259
567,202407_2015-16,1.4,3,2015-16,-0.5,9,0.143
568,202343_2015-16,0.0,1,2015-16,0.0,1,0.0
569,1882_2015-16,1.1,3,2015-16,0.067,7,0.0
570,1626144_2015-16,3.3,36,2015-16,0.099,252,0.263
571,202683_2015-16,1.8,20,2015-16,0.127,72,0.118
572,202339_2015-16,3.6,18,2015-16,0.124,138,0.313
573,201569_2015-16,3.5,27,2015-16,0.078,200,0.161
574,101141_2015-16,4.3,17,2015-16,-0.018,157,0.137
575,203095_2015-16,4.1,42,2015-16,0.067,370,0.182
576,202323_2015-16,2.6,37,2015-16,0.111,229,0.169
577,203105_2015-16,3.1,6,2015-16,0.042,40,0.1
578,1626163_2015-16,3.0,12,2015-16,0.036,80,0.137
579,202066_2015-16,2.2,22,2015-16,0.032,125,0.136
580,203914_2015-16,3.5,44,2015-16,-0.007,304,0.117
581,202390_2015-16,1.9,11,2015-16,0.098,53,0.214
582,201588_2015-16,3.8,47,2015-16,0.038,380,0.099
583,101123_2015-16,2.6,21,2015-16,0.094,113,0.137
584,201945_2015-16,2.6,11,2015-16,0.024,65,0.118
585,203507_2015-16,3.5,38,2015-16,0.129,281,0.178
586,203922_2015-16,1.1,6,2015-16,0.196,19,0.2
587,201609_2015-16,3.7,36,2015-16,0.102,274,0.111
588,202330_2015-16,4.8,42,2015-16,0.097,410,0.256
589,203476_2015-16,2.7,32,2015-16,0.163,175,0.161
590,202328_2015-16,3.7,31,2015-16,0.177,231,0.196
591,202349_2015-16,2.2,6,2015-16,0.111,27,0.129
592,203084_2015-16,3.2,24,2015-16,0.056,166,0.115
593,202355_2015-16,3.7,27,2015-16,0.208,193,0.181
594,203138_2015-16,3.0,30,2015-16,0.078,192,0.093
595,203546_2015-16,2.9,4,2015-16,-0.069,22,0.125
596,101133_2015-16,3.0,40,2015-16,0.059,241,0.137
597,202697_2015-16,2.6,14,2015-16,-0.008,73,0.108
598,203477_2015-16,2.8,29,2015-16,-0.031,162,0.169
599,202738_2015-16,3.3,46,2015-16,0.186,346,0.32
600,202397_2015-16,3.6,29,2015-16,0.112,209,0.335
601,200826_2015-16,2.4,27,2015-16,0.115,130,0.232
602,201581_2015-16,2.6,5,2015-16,0.187,26,0.296
603,200755_2015-16,3.7,34,2015-16,0.131,274,0.186
604,2747_2015-16,4.4,24,2015-16,-0.023,215,0.099
605,203960_2015-16,1.3,17,2015-16,0.048,44,0.154
606,203210_2015-16,1.5,16,2015-16,0.107,57,0.159
607,201580_2015-16,1.9,4,2015-16,0.033,12,0.0
608,203953_2015-16,3.5,30,2015-16,0.096,217,0.128
609,203109_2015-16,3.5,39,2015-16,0.105,307,0.155
610,1626143_2015-16,2.5,16,2015-16,0.041,82,0.187
611,2037_2015-16,3.0,39,2015-16,0.094,263,0.19
612,2749_2015-16,3.0,19,2015-16,0.051,112,0.203
613,202341_2015-16,1.0,10,2015-16,0.023,23,0.042
614,203516_2015-16,3.7,2,2015-16,-0.034,14,0.067
615,201935_2015-16,4.0,49,2015-16,0.233,402,0.396
616,201949_2015-16,1.2,6,2015-16,0.163,17,0.263
617,2592_2015-16,2.4,3,2015-16,-0.049,12,0.071
618,203923_2015-16,1.1,2,2015-16,0.0,7,0.0
619,203099_2015-16,0.7,1,2015-16,0.0,3,0.0
620,201162_2015-16,3.1,23,2015-16,0.031,172,0.125
621,203096_2015-16,2.5,34,2015-16,0.092,195,0.17
622,1626185_2015-16,0.7,5,2015-16,0.125,6,0.0
623,101127_2015-16,3.1,19,2015-16,0.063,131,0.222
624,201160_2015-16,2.8,16,2015-16,0.013,101,0.088
625,1891_2015-16,1.8,33,2015-16,0.092,141,0.182
626,201574_2015-16,1.7,3,2015-16,-0.222,12,0.118
627,201965_2015-16,0.0,1,2015-16,0.0,0,0.0
628,201145_2015-16,3.3,32,2015-16,0.151,221,0.214
629,201952_2015-16,3.2,36,2015-16,0.175,253,0.307
630,203481_2015-16,3.6,3,2015-16,-0.091,21,0.167
631,203924_2015-16,2.3,29,2015-16,-0.013,139,0.153
632,202379_2015-16,1.3,1,2015-16,0.0,4,0.167
633,203087_2015-16,2.2,14,2015-16,0.06,59,0.176
634,202391_2015-16,3.5,29,2015-16,0.173,224,0.179
635,1626170_2015-16,1.9,11,2015-16,0.224,45,0.288
636,201573_2015-16,3.4,20,2015-16,0.065,143,0.16
637,202710_2015-16,5.0,38,2015-16,0.185,383,0.28
638,201149_2015-16,1.7,13,2015-16,0.069,52,0.055
639,201975_2015-16,3.5,1,2015-16,0.364,6,0.429
640,204060_2015-16,1.6,33,2015-16,0.042,140,0.076
641,2207_2015-16,3.7,42,2015-16,0.075,330,0.233
642,1626202_2015-16,0.2,2,2015-16,0.0,2,0.0
643,201202_2015-16,4.0,2,2015-16,0.263,17,0.05
644,203530_2015-16,2.2,10,2015-16,0.049,39,0.152
645,203089_2015-16,1.8,12,2015-16,0.089,47,0.137
646,203098_2015-16,0.8,2,2015-16,-0.333,5,0.286
647,202322_2015-16,3.9,33,2015-16,0.206,296,0.356
648,203948_2015-16,1.9,5,2015-16,0.237,18,0.1
649,202720_2015-16,3.0,13,2015-16,0.018,85,0.172
650,201973_2015-16,1.1,20,2015-16,-0.023,55,0.148
651,202685_2015-16,2.7,31,2015-16,0.267,192,0.143
652,203613_2015-16,2.1,5,2015-16,0.076,20,0.25
653,203903_2015-16,2.9,29,2015-16,0.08,182,0.228
654,200770_2015-16,3.4,4,2015-16,0.041,30,0.243
655,202706_2015-16,3.5,3,2015-16,0.071,18,0.238
656,201941_2015-16,2.4,28,2015-16,0.07,140,0.188
657,203895_2015-16,4.1,2,2015-16,0.133,13,0.467
658,203268_2015-16,0.1,1,2015-16,0.0,0,0.0
659,101181_2015-16,3.6,27,2015-16,0.064,197,0.075
660,203962_2015-16,0.0,1,2015-16,0.0,0,0.0
661,201177_2015-16,1.7,2,2015-16,0.026,13,0.214
662,1626196_2015-16,1.8,13,2015-16,-0.005,50,0.051
663,2746_2015-16,1.2,7,2015-16,-0.163,16,0.2
664,201950_2015-16,3.8,38,2015-16,0.145,305,0.32
665,203944_2015-16,3.3,29,2015-16,0.118,191,0.16
666,1626147_2015-16,1.3,10,2015-16,0.256,23,0.115
667,203200_2015-16,2.1,11,2015-16,0.074,48,0.075
668,1626159_2015-16,3.4,33,2015-16,0.101,238,0.119
669,203994_2015-16,2.5,5,2015-16,-0.016,24,0.296
670,203909_2015-16,1.7,3,2015-16,0.0,8,0.0
671,1626157_2015-16,4.1,46,2015-16,0.174,396,0.185
672,202695_2015-16,3.7,24,2015-16,0.175,183,0.253
673,203482_2015-16,1.7,19,2015-16,0.145,81,0.18
674,1626162_2015-16,0.2,3,2015-16,-0.2,2,0.0
675,202689_2015-16,3.7,41,2015-16,0.184,324,0.379
676,203088_2015-16,1.9,2,2015-16,-0.089,12,0.167
677,2570_2015-16,2.4,4,2015-16,-0.011,21,0.048
678,202702_2015-16,3.9,30,2015-16,0.17,231,0.21
679,203145_2015-16,3.2,36,2015-16,0.126,249,0.176
680,203484_2015-16,4.1,36,2015-16,0.037,327,0.125
681,201142_2015-16,3.9,37,2015-16,0.185,316,0.389
682,708_2015-16,2.7,11,2015-16,0.01,59,0.104
683,201567_2015-16,3.8,29,2015-16,0.145,232,0.157
684,2755_2015-16,3.3,14,2015-16,0.053,101,0.224
685,202338_2015-16,3.1,5,2015-16,0.174,32,0.121
686,1626172_2015-16,0.0,1,2015-16,0.0,0,0.0
687,203114_2015-16,4.1,38,2015-16,0.097,326,0.315
688,2550_2015-16,2.5,12,2015-16,-0.018,62,0.071
689,202691_2015-16,3.8,32,2015-16,0.156,257,0.195
690,977_2015-16,2.4,24,2015-16,0.157,124,0.455
691,201585_2015-16,1.5,17,2015-16,0.014,59,0.145
692,203123_2015-16,2.5,1,2015-16,0.0,4,0.0
693,2743_2015-16,1.2,8,2015-16,0.323,22,0.2
694,204001_2015-16,2.8,30,2015-16,0.143,171,0.207
695,203937_2015-16,1.5,10,2015-16,0.278,40,0.159
696,2594_2015-16,3.4,40,2015-16,0.027,298,0.086
697,200768_2015-16,3.5,47,2015-16,0.089,362,0.291
698,203124_2015-16,0.8,7,2015-16,0.214,13,0.222
699,202713_2015-16,1.8,9,2015-16,0.007,40,0.043
700,202681_2015-16,4.2,16,2015-16,0.166,140,0.329
701,200746_2015-16,3.1,26,2015-16,0.143,168,0.209
702,203934_2015-16,0.4,2,2015-16,0.267,5,0.4
703,202362_2015-16,2.3,20,2015-16,0.07,89,0.194
704,202498_2015-16,2.9,25,2015-16,0.02,154,0.149
705,204038_2015-16,3.3,35,2015-16,0.033,244,0.17
706,1626204_2015-16,2.8,12,2015-16,0.031,68,0.051
707,202730_2015-16,2.6,26,2015-16,0.046,136,0.065
708,2544_2015-16,4.2,30,2015-16,0.253,261,0.43
709,2571_2015-16,1.3,6,2015-16,0.0,18,0.1
710,200811_2015-16,2.7,3,2015-16,0.162,15,0.059
711,101150_2015-16,3.2,25,2015-16,0.101,167,0.219
712,201601_2015-16,1.2,30,2015-16,0.031,70,0.069
713,203512_2015-16,1.8,4,2015-16,0.13,15,0.067
714,1626242_2015-16,0.3,2,2015-16,0.0,2,0.0
715,2449_2015-16,1.0,18,2015-16,0.133,66,0.145
716,202337_2015-16,0.8,16,2015-16,0.074,33,0.27
717,2736_2015-16,3.0,37,2015-16,0.125,248,0.138
718,1938_2015-16,2.1,16,2015-16,0.131,76,0.221
719,201188_2015-16,3.9,27,2015-16,0.142,219,0.241
720,1626273_2015-16,2.4,6,2015-16,0.108,30,0.059
721,101162_2015-16,3.2,29,2015-16,0.116,209,0.142
722,201158_2015-16,2.4,29,2015-16,0.037,167,0.177
723,202694_2015-16,4.1,38,2015-16,0.039,340,0.112
724,203935_2015-16,1.7,32,2015-16,0.005,133,0.138
725,201977_2015-16,2.9,16,2015-16,0.095,101,0.209
726,201596_2015-16,2.4,18,2015-16,0.186,94,0.223
727,1626209_2015-16,2.8,11,2015-16,0.206,67,0.263
728,203900_2015-16,2.3,14,2015-16,0.202,63,0.171
729,202693_2015-16,2.8,21,2015-16,0.03,118,0.18
730,201578_2015-16,1.8,3,2015-16,0.387,12,0.167
731,101107_2015-16,3.2,38,2015-16,0.104,261,0.123
732,203486_2015-16,2.6,34,2015-16,0.046,195,0.117
733,2440_2015-16,2.9,36,2015-16,0.14,227,0.153
734,203521_2015-16,2.2,27,2015-16,-0.005,137,0.066
735,203090_2015-16,2.1,13,2015-16,0.006,66,0.123
736,1897_2015-16,2.7,3,2015-16,0.024,15,0.176
737,203086_2015-16,1.8,17,2015-16,0.066,76,0.202
738,201563_2015-16,2.6,9,2015-16,0.125,49,0.222
739,203487_2015-16,4.3,21,2015-16,0.094,192,0.178
740,203077_2015-16,4.2,2,2015-16,-0.031,18,0.167
741,201144_2015-16,3.9,30,2015-16,0.044,244,0.258
742,2399_2015-16,1.5,11,2015-16,0.106,43,0.143
743,2034_2015-16,0.4,10,2015-16,-0.235,16,0.0
744,203488_2015-16,0.5,6,2015-16,-0.077,9,0.111
745,203118_2015-16,0.8,12,2015-16,-0.093,27,0.194
746,203101_2015-16,2.3,10,2015-16,0.162,54,0.103
747,203141_2015-16,2.1,28,2015-16,0.06,138,0.188
748,2590_2015-16,3.0,12,2015-16,0.09,79,0.205
749,101145_2015-16,4.1,50,2015-16,0.146,436,0.288
750,1626149_2015-16,2.7,2,2015-16,0.056,12,0.0
751,1626167_2015-16,3.2,26,2015-16,0.08,184,0.167
752,202357_2015-16,2.0,16,2015-16,0.025,70,0.068
753,2403_2015-16,2.8,10,2015-16,0.076,61,0.121
754,203457_2015-16,3.6,24,2015-16,0.139,163,0.182
755,2555_2015-16,0.6,4,2015-16,0.071,10,0.077
756,201156_2015-16,1.7,15,2015-16,-0.013,59,0.1
757,201587_2015-16,3.5,35,2015-16,0.112,267,0.197
758,203917_2015-16,1.9,21,2015-16,-0.035,89,0.127
759,203999_2015-16,2.6,25,2015-16,0.134,137,0.154
760,202703_2015-16,2.8,29,2015-16,0.088,180,0.174
761,202696_2015-16,4.8,33,2015-16,0.112,331,0.236
762,203943_2015-16,1.0,4,2015-16,0.051,8,0.0
763,1626181_2015-16,1.5,6,2015-16,-0.267,22,0.12
764,202708_2015-16,2.2,22,2015-16,-0.006,122,0.092
765,201564_2015-16,3.1,13,2015-16,0.078,88,0.14
766,201600_2015-16,0.9,3,2015-16,0.429,5,0.333
767,201956_2015-16,2.4,23,2015-16,0.039,122,0.086
768,203490_2015-16,3.5,24,2015-16,0.036,192,0.074
769,200782_2015-16,2.9,36,2015-16,0.117,224,0.119
770,203798_2015-16,1.9,12,2015-16,0.085,43,0.078
771,203143_2015-16,2.2,4,2015-16,0.0,17,0.111
772,1626192_2015-16,0.3,2,2015-16,0.0,2,0.0
773,201976_2015-16,3.5,38,2015-16,0.087,276,0.098
774,202335_2015-16,2.9,35,2015-16,0.077,217,0.077
775,201988_2015-16,1.5,16,2015-16,0.197,60,0.222
776,2200_2015-16,4.4,42,2015-16,0.134,370,0.221
777,202331_2015-16,4.2,51,2015-16,0.159,448,0.309
778,200794_2015-16,3.8,41,2015-16,0.148,330,0.241
779,1718_2015-16,2.4,21,2015-16,0.0,120,0.128
780,203515_2015-16,1.0,5,2015-16,-0.095,10,0.3
781,203112_2015-16,2.2,10,2015-16,0.175,49,0.075
782,200765_2015-16,3.1,38,2015-16,0.119,257,0.14
783,1626176_2015-16,0.4,1,2015-16,0.0,2,0.0
784,201196_2015-16,2.5,19,2015-16,0.004,112,0.114
785,200751_2015-16,2.5,24,2015-16,0.025,131,0.087
786,1626173_2015-16,1.6,6,2015-16,-0.06,21,0.043
787,2446_2015-16,4.3,2,2015-16,0.2,20,0.048
788,203526_2015-16,2.4,15,2015-16,0.069,72,0.155
789,203492_2015-16,0.9,1,2015-16,-0.333,2,1.0
790,101109_2015-16,3.4,40,2015-16,0.113,281,0.191
791,203493_2015-16,6.1,2,2015-16,0.056,26,0.033
792,202704_2015-16,4.3,37,2015-16,0.311,348,0.439
793,2210_2015-16,3.1,10,2015-16,0.006,71,0.05
794,1626158_2015-16,0.6,4,2015-16,0.0,5,0.0
795,201937_2015-16,4.2,44,2015-16,0.138,387,0.146
796,203496_2015-16,3.8,26,2015-16,-0.085,194,0.211
797,203135_2015-16,2.4,1,2015-16,0.0,5,0.167
798,201577_2015-16,3.2,28,2015-16,0.145,181,0.141
799,203918_2015-16,4.6,38,2015-16,0.073,350,0.246
800,201155_2015-16,3.0,12,2015-16,0.178,75,0.157
801,1626178_2015-16,1.3,9,2015-16,-0.163,24,0.08
802,101179_2015-16,1.2,15,2015-16,-0.141,39,0.114
803,201579_2015-16,3.0,12,2015-16,0.081,72,0.08
804,200752_2015-16,3.6,37,2015-16,0.093,291,0.224
805,203497_2015-16,4.4,25,2015-16,0.046,211,0.111
806,201566_2015-16,3.8,42,2015-16,0.16,355,0.36
807,201583_2015-16,3.5,36,2015-16,0.057,266,0.111
808,200797_2015-16,1.3,4,2015-16,-0.063,9,0.0
809,203527_2015-16,2.0,4,2015-16,0.024,18,0.1
810,1626257_2015-16,3.5,3,2015-16,0.175,21,0.087
811,201619_2015-16,1.5,1,2015-16,0.0,2,0.0
812,2756_2015-16,2.2,15,2015-16,-0.058,77,0.124
813,203930_2015-16,1.6,7,2015-16,0.056,19,0.158
814,201586_2015-16,3.3,39,2015-16,0.07,282,0.11
815,203508_2015-16,3.8,1,2015-16,0.08,8,0.111
816,203552_2015-16,3.8,7,2015-16,0.082,58,0.076
817,203498_2015-16,1.9,23,2015-16,-0.056,95,0.173
818,203894_2015-16,3.1,6,2015-16,0.113,39,0.196
819,203499_2015-16,2.4,27,2015-16,0.096,132,0.183
820,2733_2015-16,2.9,24,2015-16,0.097,154,0.079
821,203963_2015-16,0.4,1,2015-16,0.0,2,0.0
822,202714_2015-16,3.5,12,2015-16,-0.054,89,0.158
823,203524_2015-16,2.0,22,2015-16,0.118,91,0.106
824,201603_2015-16,1.0,2,2015-16,0.0,3,0.0
825,203915_2015-16,7.1,1,2015-16,0.128,14,0.438
826,201150_2015-16,1.4,14,2015-16,0.08,57,0.127
827,1626169_2015-16,1.4,23,2015-16,0.069,82,0.13
828,201939_2015-16,3.9,31,2015-16,0.282,264,0.413
829,2581_2015-16,0.6,7,2015-16,0.087,10,0.0
830,200779_2015-16,0.0,1,2015-16,0.0,0,0.0
831,203500_2015-16,3.4,33,2015-16,0.077,231,0.096
832,204456_2015-16,1.5,21,2015-16,0.031,67,0.149
833,203933_2015-16,2.2,12,2015-16,0.076,55,0.139
834,201959_2015-16,3.2,34,2015-16,0.059,209,0.069
835,204028_2015-16,0.4,2,2015-16,0.0,2,0.0
836,2419_2015-16,2.9,25,2015-16,0.052,154,0.063
837,203093_2015-16,2.9,9,2015-16,0.133,58,0.156
838,203082_2015-16,2.0,21,2015-16,0.159,95,0.145
839,1626179_2015-16,0.7,2,2015-16,0.4,4,0.0
840,200757_2015-16,2.3,34,2015-16,0.04,167,0.092
841,201152_2015-16,3.2,38,2015-16,0.108,244,0.199
842,203080_2015-16,0.6,10,2015-16,0.205,13,0.2
843,201168_2015-16,0.6,4,2015-16,0.429,6,0.143
844,202353_2015-16,3.7,1,2015-16,-0.286,6,0.167
845,1495_2015-16,3.1,19,2015-16,0.085,129,0.126
846,204025_2015-16,2.7,9,2015-16,0.107,49,0.127
847,203501_2015-16,0.6,8,2015-16,0.0,11,0.077
848,202389_2015-16,3.2,4,2015-16,0.283,22,0.2
849,202699_2015-16,3.7,41,2015-16,0.05,324,0.128
850,201962_2015-16,2.4,13,2015-16,0.074,64,0.194
851,2754_2015-16,3.2,27,2015-16,0.03,170,0.077
852,2225_2015-16,3.3,24,2015-16,0.141,168,0.254
853,203503_2015-16,4.7,16,2015-16,-0.022,142,0.095
854,2772_2015-16,4.0,47,2015-16,0.083,390,0.139
855,202344_2015-16,3.4,27,2015-16,0.089,166,0.138
856,203504_2015-16,3.7,19,2015-16,0.027,147,0.2
857,1626168_2015-16,1.7,14,2015-16,0.042,55,0.133
858,202684_2015-16,3.2,31,2015-16,0.113,201,0.087
859,203584_2015-16,5.6,4,2015-16,0.252,45,0.148
860,201951_2015-16,4.1,10,2015-16,0.013,84,0.144
861,203898_2015-16,3.4,7,2015-16,-0.059,50,0.155
862,201946_2015-16,1.2,2,2015-16,-0.167,3,0.0
863,204020_2015-16,3.1,11,2015-16,0.158,71,0.153
864,203092_2015-16,0.7,2,2015-16,0.333,3,0.25
865,201936_2015-16,4.6,15,2015-16,0.174,139,0.253
866,2199_2015-16,2.2,23,2015-16,0.094,98,0.133
867,1626145_2015-16,0.0,1,2015-16,0.0,1,0.0
868,2617_2015-16,1.8,2,2015-16,0.0,8,0.2
869,203506_2015-16,3.9,38,2015-16,0.12,316,0.228
870,1713_2015-16,1.6,15,2015-16,0.125,55,0.149
871,201961_2015-16,2.0,25,2015-16,-0.021,110,0.089
872,202325_2015-16,2.0,25,2015-16,0.031,125,0.122
873,202083_2015-16,4.1,46,2015-16,0.073,385,0.159
874,203115_2015-16,3.3,42,2015-16,0.144,296,0.245
875,1626161_2015-16,1.9,15,2015-16,0.058,65,0.069
876,203186_2015-16,0.0,1,2015-16,0.0,0,0.0
877,204098_2015-16,1.6,4,2015-16,-0.129,14,0.125
878,203897_2015-16,3.4,41,2015-16,0.009,312,0.219
879,2216_2015-16,3.6,33,2015-16,0.197,251,0.23
880,2585_2015-16,3.9,39,2015-16,0.051,304,0.094
881,1627773_2016-17,2.9,2,2016-17,0.204,11,0.273
882,201166_2016-17,4.8,2,2016-17,-0.105,17,0.278
883,203932_2016-17,2.9,30,2016-17,0.068,168,0.126
884,203940_2016-17,0.2,2,2016-17,1.0,1,0.0
885,201143_2016-17,3.5,43,2016-17,0.094,342,0.147
886,2744_2016-17,0.7,4,2016-17,0.0,6,0.143
887,202329_2016-17,4.6,33,2016-17,0.101,316,0.115
888,1626210_2016-17,2.0,8,2016-17,0.065,33,0.179
889,202692_2016-17,2.4,8,2016-17,0.117,38,0.25
890,203518_2016-17,0.5,16,2016-17,-0.011,35,0.119
891,203458_2016-17,1.1,22,2016-17,-0.005,54,0.048
892,1627816_2016-17,4.7,1,2016-17,0.077,10,0.214
893,201582_2016-17,0.8,7,2016-17,0.0,9,0.091
894,203459_2016-17,3.3,42,2016-17,0.035,312,0.081
895,202087_2016-17,1.5,5,2016-17,-0.078,15,0.0
896,101161_2016-17,2.5,20,2016-17,0.066,102,0.123
897,203083_2016-17,3.0,31,2016-17,0.119,175,0.155
898,2738_2016-17,4.2,20,2016-17,0.065,176,0.029
899,203460_2016-17,3.3,36,2016-17,0.061,247,0.063
900,101106_2016-17,2.9,7,2016-17,0.088,36,0.075
901,1626150_2016-17,4.6,15,2016-17,0.051,141,0.12
902,203952_2016-17,3.9,44,2016-17,0.085,336,0.343
903,1626148_2016-17,3.4,2,2016-17,-0.023,13,0.063
904,203076_2016-17,4.4,37,2016-17,0.244,338,0.354
905,201627_2016-17,2.1,11,2016-17,-0.026,60,0.092
906,201229_2016-17,3.0,24,2016-17,0.012,161,0.054
907,203462_2016-17,0.2,1,2016-17,0.0,1,0.0
908,203382_2016-17,1.7,15,2016-17,0.037,56,0.109
909,201167_2016-17,4.9,25,2016-17,0.041,258,0.104
910,203085_2016-17,1.9,28,2016-17,0.011,129,0.138
911,202340_2016-17,3.4,32,2016-17,0.116,252,0.167
912,1626253_2016-17,4.4,1,2016-17,-0.333,9,0.0
913,203463_2016-17,2.2,8,2016-17,0.039,37,0.114
914,2757_2016-17,0.1,9,2016-17,0.0,9,0.0
915,202687_2016-17,1.8,18,2016-17,0.054,53,0.091
916,201933_2016-17,3.1,24,2016-17,0.071,173,0.266
917,1626246_2016-17,2.2,4,2016-17,0.231,21,0.269
918,201628_2016-17,0.3,1,2016-17,0.0,1,0.0
919,1626171_2016-17,2.2,10,2016-17,0.096,43,0.113
920,202711_2016-17,2.4,36,2016-17,0.09,193,0.182
921,2564_2016-17,2.4,17,2016-17,0.05,81,0.121
922,203078_2016-17,3.8,53,2016-17,0.155,437,0.285
923,201148_2016-17,1.8,6,2016-17,0.049,24,0.074
924,101138_2016-17,0.9,5,2016-17,0.0,7,0.125
925,1627742_2016-17,2.3,28,2016-17,0.018,129,0.1
926,201943_2016-17,3.9,20,2016-17,0.058,158,0.109
927,202688_2016-17,2.7,18,2016-17,0.028,109,0.167
928,201575_2016-17,4.2,9,2016-17,-0.016,71,0.071
929,203148_2016-17,0.1,2,2016-17,0.0,2,0.0
930,201572_2016-17,3.2,40,2016-17,0.055,267,0.218
931,1627854_2016-17,1.7,4,2016-17,0.026,17,0.111
932,1627741_2016-17,2.5,26,2016-17,0.039,139,0.166
933,201228_2016-17,2.0,11,2016-17,0.186,50,0.175
934,203468_2016-17,4.7,45,2016-17,0.173,456,0.247
935,101139_2016-17,3.0,28,2016-17,0.049,173,0.115
936,1626166_2016-17,0.3,3,2016-17,0.0,2,0.0
937,1627747_2016-17,3.3,20,2016-17,0.043,137,0.138
938,2546_2016-17,3.7,38,2016-17,0.141,278,0.338
939,202718_2016-17,0.9,2,2016-17,-0.095,3,0.333
940,101112_2016-17,1.2,18,2016-17,0.047,54,0.097
941,1626184_2016-17,4.7,1,2016-17,0.038,8,0.0
942,1627767_2016-17,4.4,1,2016-17,0.833,9,0.333
943,1626191_2016-17,0.5,1,2016-17,-1.0,1,0.0
944,101108_2016-17,3.4,24,2016-17,0.193,184,0.3
945,1626174_2016-17,8.7,1,2016-17,0.138,18,0.1
946,203991_2016-17,1.9,15,2016-17,0.029,56,0.082
947,203469_2016-17,2.8,35,2016-17,0.057,211,0.115
948,202332_2016-17,0.3,3,2016-17,0.0,1,0.0
949,201147_2016-17,0.8,10,2016-17,0.077,17,0.2
950,202709_2016-17,2.3,37,2016-17,0.03,188,0.084
951,201584_2016-17,3.9,32,2016-17,0.1,243,0.109
952,1626245_2016-17,3.0,7,2016-17,-0.009,40,0.064
953,1626156_2016-17,3.1,27,2016-17,0.089,166,0.309
954,201571_2016-17,1.4,24,2016-17,0.064,78,0.107
955,203081_2016-17,4.9,43,2016-17,0.15,460,0.368
956,201568_2016-17,3.3,30,2016-17,0.076,220,0.183
957,201980_2016-17,3.3,30,2016-17,0.053,214,0.168
958,201967_2016-17,2.5,22,2016-17,-0.003,117,0.037
959,203957_2016-17,1.3,12,2016-17,-0.017,29,0.1
960,203967_2016-17,2.9,37,2016-17,0.181,238,0.214
961,201589_2016-17,1.0,8,2016-17,0.121,27,0.097
962,201954_2016-17,4.3,32,2016-17,0.11,279,0.169
963,101135_2016-17,2.1,21,2016-17,0.092,92,0.095
964,1628021_2016-17,2.6,6,2016-17,0.115,31,0.088
965,2561_2016-17,0.8,6,2016-17,-0.667,7,0.571
966,202722_2016-17,1.6,7,2016-17,0.187,26,0.31
967,201599_2016-17,3.5,30,2016-17,0.23,225,0.183
968,202732_2016-17,0.2,3,2016-17,0.0,2,0.0
969,1627761_2016-17,2.0,4,2016-17,0.115,17,0.118
