,pidSzn,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,MIN,GP,Season,PFD,DRIVE_PF,DRIVE_PF_PCT,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
43,202687_2014-15,0.0,0.0,0.0,19.7,64,2014-15,2.2,0.0,0.0,1.33,0.7,0.63,4.1,4.32,3.89
44,201933_2014-15,0.0,0.0,0.0,35.6,67,2014-15,5.9,0.3,0.144,2.23,1.14,1.09,3.8,4.05,3.58
45,202711_2014-15,0.0,0.0,0.0,24.1,78,2014-15,1.2,0.1,0.06,1.69,0.87,0.82,4.27,4.42,4.13
46,2564_2014-15,0.0,0.0,0.0,24.8,81,2014-15,1.4,0.2,0.067,1.72,0.96,0.76,4.22,4.67,3.77
47,203078_2014-15,0.0,0.0,0.0,33.9,63,2014-15,2.3,0.3,0.053,2.46,1.32,1.14,4.41,4.8,4.03
48,201148_2014-15,0.0,0.0,0.0,19.6,75,2014-15,1.3,0.0,0.077,1.28,0.66,0.62,3.96,4.19,3.75
49,101138_2014-15,0.0,0.0,0.0,23.8,82,2014-15,1.9,0.2,0.123,1.61,0.84,0.76,4.12,4.48,3.78
50,203561_2014-15,0.0,0.0,0.0,15.9,27,2014-15,1.7,0.1,0.125,1.19,0.64,0.55,4.57,4.97,4.18
51,201943_2014-15,0.0,0.0,0.0,29.0,41,2014-15,3.1,0.6,0.055,2.12,1.19,0.93,4.45,4.86,4.03
52,202688_2014-15,0.0,0.0,0.0,32.7,63,2014-15,3.6,0.5,0.051,2.33,1.24,1.09,4.33,4.8,3.89
53,201575_2014-15,0.0,0.0,0.0,8.3,33,2014-15,0.2,0.1,0.115,0.61,0.34,0.27,4.39,4.66,4.1
54,2217_2014-15,0.0,0.0,0.0,5.5,22,2014-15,0.5,0.0,0.0,0.36,0.2,0.16,3.98,4.19,3.75
55,203148_2014-15,0.0,0.0,0.0,18.7,72,2014-15,1.4,0.2,0.062,1.34,0.75,0.58,4.36,4.8,3.9
56,201572_2014-15,0.0,0.0,0.0,29.6,72,2014-15,3.3,0.2,0.14,1.87,0.96,0.91,3.85,3.94,3.76
57,203998_2014-15,0.0,0.0,0.0,3.0,8,2014-15,0.0,0.0,0.0,0.22,0.13,0.09,4.36,4.21,4.58
58,203955_2014-15,0.0,0.0,0.0,10.8,15,2014-15,1.0,0.1,0.03,0.82,0.46,0.36,4.65,5.02,4.25
59,201228_2014-15,0.0,0.0,0.0,25.3,57,2014-15,2.9,0.4,0.085,1.82,1.01,0.81,4.39,4.77,4.0
60,203912_2014-15,0.0,0.0,0.0,4.9,21,2014-15,0.1,0.0,0.0,0.33,0.17,0.16,4.11,4.09,4.14
61,203468_2014-15,0.0,0.0,0.0,15.9,62,2014-15,1.0,0.1,0.032,1.22,0.69,0.53,4.68,5.23,4.12
62,101139_2014-15,0.0,0.0,0.0,26.6,70,2014-15,1.9,0.2,0.115,1.78,0.97,0.81,4.09,4.34,3.83
63,203946_2014-15,0.0,0.0,0.0,3.6,18,2014-15,0.2,0.1,1.0,0.23,0.13,0.1,3.87,4.19,3.72
64,201171_2014-15,0.0,0.0,0.0,17.2,70,2014-15,1.7,0.0,0.056,1.13,0.61,0.52,4.0,4.21,3.78
65,2430_2014-15,0.0,0.0,0.0,24.1,71,2014-15,1.6,0.2,0.177,1.53,0.81,0.72,3.86,4.0,3.71
66,2546_2014-15,0.0,0.0,0.0,36.2,40,2014-15,5.1,0.6,0.151,2.31,1.27,1.04,3.88,4.14,3.6
67,2406_2014-15,0.0,0.0,0.0,21.1,78,2014-15,0.6,0.0,0.053,1.44,0.8,0.64,4.14,4.52,3.75
68,201858_2014-15,0.0,0.0,0.0,8.7,23,2014-15,0.3,0.0,0.0,0.63,0.36,0.27,4.39,4.77,3.97
69,202718_2014-15,0.0,0.0,0.0,33.6,66,2014-15,2.8,0.5,0.058,2.4,1.27,1.13,4.35,4.71,4.01
70,101112_2014-15,0.0,0.0,0.0,25.3,75,2014-15,1.1,0.0,0.057,1.6,0.89,0.71,3.87,4.38,3.37
71,101111_2014-15,0.0,0.0,0.0,10.7,64,2014-15,0.4,0.1,0.085,0.74,0.39,0.35,4.2,4.49,3.91
72,201978_2014-15,0.0,0.0,0.0,19.4,67,2014-15,0.9,0.2,0.094,1.34,0.73,0.62,4.15,4.57,3.75
73,2365_2014-15,0.0,0.0,0.0,19.1,60,2014-15,1.8,0.0,0.083,1.25,0.65,0.6,4.02,4.13,3.9
74,2547_2014-15,0.0,0.0,0.0,35.8,44,2014-15,3.5,0.8,0.217,2.15,1.14,1.01,3.66,3.8,3.51
75,203142_2014-15,0.0,0.0,0.0,16.8,50,2014-15,1.0,0.1,0.06,1.11,0.6,0.51,4.05,4.15,3.91
76,201604_2014-15,0.0,0.0,0.0,8.7,12,2014-15,0.4,0.1,0.1,0.57,0.29,0.28,4.05,3.98,4.11
77,203187_2014-15,0.0,0.0,0.0,18.4,29,2014-15,0.7,0.0,0.0,1.39,0.74,0.65,4.61,4.91,4.31
78,2549_2014-15,0.0,0.0,0.0,19.1,74,2014-15,1.3,0.1,0.058,1.26,0.67,0.59,4.0,4.19,3.81
79,101108_2014-15,0.0,0.0,0.0,35.3,82,2014-15,3.7,0.3,0.028,2.28,1.21,1.07,3.94,4.34,3.57
80,101236_2014-15,0.0,0.0,0.0,8.9,29,2014-15,0.4,0.0,0.2,0.56,0.29,0.27,3.81,3.9,3.72
81,203921_2014-15,0.0,0.0,0.0,16.8,39,2014-15,1.1,0.2,0.108,1.19,0.66,0.53,4.28,4.61,3.95
82,203991_2014-15,0.0,0.0,0.0,7.6,12,2014-15,1.1,0.0,0.0,0.54,0.29,0.26,4.35,4.91,3.97
83,203469_2014-15,0.0,0.0,0.0,24.3,62,2014-15,2.4,0.2,0.137,1.81,1.03,0.78,4.54,5.1,3.97
84,202332_2014-15,0.0,0.0,0.0,16.2,61,2014-15,1.1,0.0,0.0,1.08,0.59,0.49,4.05,4.35,3.76
85,201147_2014-15,0.0,0.0,0.0,26.4,80,2014-15,2.5,0.4,0.09,1.86,0.97,0.89,4.29,4.57,4.02
86,203928_2014-15,0.0,0.0,0.0,10.8,50,2014-15,0.8,0.0,0.0,0.77,0.4,0.37,4.37,4.74,4.03
87,202709_2014-15,0.0,0.0,0.0,18.5,79,2014-15,1.8,0.3,0.057,1.43,0.78,0.65,4.7,5.06,4.34
88,201584_2014-15,0.0,0.0,0.0,31.0,77,2014-15,0.9,0.2,0.067,2.17,1.19,0.98,4.26,4.53,3.97
89,201571_2014-15,0.0,0.0,0.0,24.3,82,2014-15,2.5,0.5,0.05,1.67,0.93,0.74,4.19,4.59,3.78
90,2563_2014-15,0.0,0.0,0.0,3.8,33,2014-15,0.3,0.0,0.125,0.26,0.13,0.13,4.2,4.22,4.19
91,203081_2014-15,0.0,0.0,0.0,36.1,82,2014-15,4.4,1.1,0.088,2.53,1.42,1.11,4.25,4.68,3.8
92,204014_2014-15,0.0,0.0,0.0,15.6,68,2014-15,0.4,0.0,0.019,1.08,0.59,0.49,4.22,4.47,3.95
93,201568_2014-15,0.0,0.0,0.0,24.5,59,2014-15,3.1,0.4,0.124,1.63,0.86,0.77,4.05,4.39,3.72
94,101122_2014-15,0.0,0.0,0.0,20.7,30,2014-15,1.0,0.3,0.123,1.38,0.75,0.62,4.06,4.31,3.8
95,201980_2014-15,0.0,0.0,0.0,28.9,81,2014-15,1.2,0.1,0.04,2.16,1.17,0.98,4.55,4.87,4.21
96,201967_2014-15,0.0,0.0,0.0,25.4,66,2014-15,0.6,0.0,0.053,1.87,1.03,0.84,4.48,4.74,4.2
97,203957_2014-15,0.0,0.0,0.0,22.5,82,2014-15,0.8,0.1,0.014,1.59,0.88,0.71,4.32,4.61,4.03
98,203121_2014-15,0.0,0.0,0.0,8.8,5,2014-15,0.0,0.0,0.0,0.62,0.32,0.3,4.3,4.46,4.12
99,202721_2014-15,0.0,0.0,0.0,8.0,38,2014-15,0.4,0.1,0.021,0.6,0.3,0.3,4.6,4.76,4.44
100,201589_2014-15,0.0,0.0,0.0,17.3,58,2014-15,0.9,0.1,0.111,1.16,0.59,0.57,4.08,4.43,3.78
101,201954_2014-15,0.0,0.0,0.0,35.2,45,2014-15,3.2,0.6,0.091,2.43,1.31,1.12,4.19,4.5,3.87
102,101135_2014-15,0.0,0.0,0.0,18.7,49,2014-15,1.5,0.1,0.103,1.25,0.65,0.61,4.02,4.33,3.73
103,204065_2014-15,0.0,0.0,0.0,11.2,3,2014-15,1.0,0.0,0.0,0.83,0.44,0.39,4.54,5.43,3.85
104,204033_2014-15,0.0,0.0,0.0,3.5,2,2014-15,0.0,0.0,0.0,0.26,0.15,0.12,4.31,4.77,3.77
105,2561_2014-15,0.0,0.0,0.0,29.1,66,2014-15,2.4,0.0,0.046,1.75,0.94,0.81,3.67,3.81,3.52
106,201599_2014-15,0.0,0.0,0.0,34.8,82,2014-15,4.7,0.0,0.0,2.23,1.14,1.1,3.9,4.12,3.7
107,201971_2014-15,0.0,0.0,0.0,6.3,29,2014-15,0.3,0.0,0.0,0.38,0.2,0.18,3.7,3.93,3.46
108,201942_2014-15,0.0,0.0,0.0,35.5,60,2014-15,5.0,1.4,0.12,2.42,1.34,1.08,4.15,4.48,3.8
