,pidSzn,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,MIN,GP,Season,PFD,DRIVE_PF,DRIVE_PF_PCT,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
764,202691_2015-16,0.0,0.0,0.01,33.8,80,2015-16,2.1,0.4,0.077,2.41,1.26,1.14,4.34,4.9,3.85
765,977_2015-16,0.0,0.0,0.0,28.6,66,2015-16,2.7,0.4,0.085,1.89,1.03,0.86,4.02,4.2,3.83
766,201585_2015-16,0.0,0.0,0.0,19.3,78,2015-16,1.2,0.0,0.0,1.37,0.73,0.64,4.33,4.65,4.01
767,203123_2015-16,0.0,0.0,0.0,11.5,26,2015-16,0.7,0.1,0.037,0.84,0.45,0.39,4.44,4.85,4.05
768,2743_2015-16,0.0,0.0,0.0,16.0,53,2015-16,1.5,0.1,0.063,1.14,0.6,0.53,4.34,4.8,3.92
769,204001_2015-16,0.0,0.0,0.01,28.8,72,2015-16,3.2,0.2,0.109,1.94,1.05,0.89,4.11,4.35,3.86
770,203937_2015-16,0.0,0.0,0.01,16.2,78,2015-16,1.0,0.2,0.067,1.14,0.64,0.5,4.3,4.65,3.92
771,2594_2015-16,0.0,0.0,0.01,30.4,80,2015-16,0.8,0.0,0.035,2.17,1.15,1.03,4.36,4.75,4.0
772,200768_2015-16,0.0,0.0,0.0,37.5,77,2015-16,5.7,0.9,0.07,2.47,1.39,1.08,4.02,4.31,3.7
773,203124_2015-16,0.0,0.0,0.0,11.9,65,2015-16,0.9,0.0,0.111,0.78,0.43,0.35,4.0,4.25,3.74
774,202713_2015-16,0.0,0.0,0.0,14.6,68,2015-16,0.6,0.0,0.042,1.08,0.58,0.49,4.51,4.79,4.21
775,202681_2015-16,0.0,0.0,0.0,31.9,53,2015-16,2.9,0.6,0.05,2.14,1.18,0.96,4.08,4.37,3.78
776,200746_2015-16,0.0,0.0,0.0,31.0,74,2015-16,3.3,0.1,0.081,2.08,1.12,0.96,4.08,4.25,3.9
777,203934_2015-16,0.0,0.0,0.0,11.4,35,2015-16,0.7,0.2,0.12,0.84,0.44,0.4,4.47,4.76,4.2
778,202362_2015-16,0.0,0.0,0.0,20.2,69,2015-16,1.4,0.4,0.079,1.33,0.7,0.63,4.01,4.19,3.82
779,202498_2015-16,0.0,0.0,0.05,22.6,59,2015-16,1.9,0.3,0.132,1.62,0.88,0.75,4.38,4.63,4.13
780,204038_2015-16,0.0,0.0,0.0,25.1,82,2015-16,1.1,0.1,0.054,1.81,0.98,0.82,4.37,4.66,4.07
781,1626204_2015-16,0.0,0.0,0.0,20.4,63,2015-16,0.9,0.0,0.049,1.5,0.82,0.68,4.5,4.8,4.19
782,202730_2015-16,0.0,0.0,0.0,20.5,79,2015-16,0.9,0.0,0.0,1.39,0.73,0.66,4.13,4.38,3.88
783,2544_2015-16,0.0,0.0,0.0,36.1,76,2015-16,5.5,0.9,0.08,2.31,1.23,1.08,3.9,4.07,3.72
784,2571_2015-16,0.0,0.0,0.06,16.1,68,2015-16,1.0,0.2,0.064,1.15,0.62,0.53,4.36,4.88,3.88
785,203485_2015-16,0.0,0.0,0.0,7.7,8,2015-16,0.4,0.0,0.0,0.59,0.31,0.28,4.65,4.99,4.32
786,200811_2015-16,0.0,0.0,0.0,7.1,29,2015-16,0.8,0.0,0.143,0.5,0.27,0.23,4.3,4.75,3.86
787,101150_2015-16,0.0,0.0,0.0,28.8,67,2015-16,3.9,0.7,0.101,1.85,1.01,0.84,3.92,4.19,3.64
788,201601_2015-16,0.0,0.0,0.0,17.2,75,2015-16,0.6,0.0,0.052,1.21,0.62,0.59,4.26,4.44,4.08
789,203512_2015-16,0.0,0.0,0.0,7.9,29,2015-16,0.4,0.0,0.0,0.54,0.29,0.25,4.18,4.32,4.03
790,1626242_2015-16,0.0,0.0,0.0,3.5,12,2015-16,0.3,0.0,0.0,0.25,0.15,0.1,4.28,4.58,3.9
791,2449_2015-16,0.0,0.0,0.0,21.8,76,2015-16,1.4,0.1,0.042,1.55,0.86,0.69,4.33,4.5,4.15
792,202337_2015-16,0.0,0.0,0.0,18.2,47,2015-16,1.0,0.3,0.055,1.34,0.73,0.61,4.49,5.0,4.01
793,2736_2015-16,0.0,0.0,0.0,32.8,74,2015-16,2.3,0.3,0.087,2.32,1.28,1.04,4.31,4.6,4.0
794,1938_2015-16,0.0,0.0,0.0,19.8,58,2015-16,2.4,0.4,0.066,1.36,0.74,0.62,4.19,4.52,3.87
795,201188_2015-16,0.0,0.0,0.0,34.9,52,2015-16,4.5,0.1,0.122,2.09,1.12,0.96,3.64,3.76,3.51
796,1626273_2015-16,0.0,0.0,0.0,16.6,53,2015-16,0.6,0.1,0.024,1.21,0.65,0.56,4.45,4.83,4.08
797,101162_2015-16,0.0,0.0,0.0,30.5,75,2015-16,2.9,0.0,0.067,2.12,1.09,1.03,4.23,4.6,3.89
798,201158_2015-16,0.0,0.0,0.0,24.9,68,2015-16,1.9,0.1,0.031,1.78,0.99,0.79,4.33,4.86,3.82
799,202694_2015-16,0.0,0.0,0.0,36.2,80,2015-16,3.3,0.4,0.097,2.47,1.33,1.13,4.15,4.45,3.85
800,203935_2015-16,0.0,0.0,0.0,27.7,61,2015-16,3.1,0.3,0.084,1.9,0.98,0.92,4.18,4.5,3.9
801,201977_2015-16,0.0,0.0,0.0,18.4,61,2015-16,0.9,0.1,0.033,1.27,0.66,0.6,4.2,4.46,3.94
802,201596_2015-16,0.0,0.0,0.0,22.8,61,2015-16,4.0,0.9,0.11,1.53,0.86,0.67,4.08,4.51,3.65
803,1626209_2015-16,0.0,0.0,0.0,18.1,79,2015-16,0.7,0.1,0.041,1.36,0.73,0.63,4.58,4.99,4.18
804,203900_2015-16,0.0,0.0,0.0,16.1,62,2015-16,1.4,0.3,0.136,1.13,0.59,0.54,4.28,4.52,4.06
805,202693_2015-16,0.0,0.0,0.0,25.8,64,2015-16,2.1,0.2,0.1,1.64,0.87,0.77,3.87,4.17,3.6
806,201578_2015-16,0.0,0.0,0.0,11.7,72,2015-16,1.6,0.1,0.15,0.75,0.39,0.36,3.89,4.11,3.67
807,101107_2015-16,0.0,0.0,0.0,29.2,81,2015-16,1.6,0.1,0.066,2.03,1.12,0.91,4.23,4.63,3.83
808,203486_2015-16,0.0,0.0,0.0,25.7,82,2015-16,3.4,0.2,0.146,1.79,0.96,0.83,4.23,4.51,3.94
809,2440_2015-16,0.0,0.0,0.0,29.2,76,2015-16,1.4,0.1,0.093,2.06,1.14,0.92,4.3,4.67,3.91
810,2588_2015-16,0.0,0.0,0.0,7.0,30,2015-16,0.2,0.0,0.05,0.5,0.29,0.21,4.35,4.7,3.89
811,203521_2015-16,0.0,0.0,0.0,24.9,76,2015-16,1.2,0.1,0.022,1.73,0.95,0.79,4.25,4.6,3.9
812,203090_2015-16,0.0,0.0,0.0,18.9,78,2015-16,1.0,0.2,0.099,1.38,0.74,0.64,4.43,4.69,4.16
813,1897_2015-16,0.0,0.0,0.0,17.1,35,2015-16,1.2,0.2,0.146,1.14,0.59,0.55,4.09,4.28,3.9
814,203086_2015-16,0.0,0.0,0.0,22.1,61,2015-16,1.0,0.0,0.038,1.41,0.77,0.65,3.9,4.16,3.62
815,201563_2015-16,0.0,0.0,0.05,18.4,20,2015-16,1.6,0.5,0.103,1.31,0.67,0.64,4.33,4.72,3.99
816,203487_2015-16,0.0,0.0,0.0,30.9,54,2015-16,3.3,0.6,0.055,2.26,1.2,1.06,4.45,4.86,4.07
817,203077_2015-16,0.0,0.0,0.0,29.6,7,2015-16,3.2,0.3,0.074,2.17,1.13,1.04,4.47,4.65,4.29
818,201144_2015-16,0.0,0.0,0.0,31.9,56,2015-16,3.3,0.9,0.082,2.25,1.25,1.0,4.3,4.6,3.98
819,2399_2015-16,0.0,0.0,0.0,23.0,31,2015-16,1.1,0.1,0.093,1.69,0.94,0.75,4.48,4.9,4.03
820,2034_2015-16,0.0,0.0,0.0,8.0,47,2015-16,0.1,0.0,0.0,0.56,0.3,0.25,4.21,4.62,3.83
821,203488_2015-16,0.0,0.0,0.0,9.5,60,2015-16,0.6,0.0,0.0,0.71,0.38,0.33,4.51,4.96,4.08
822,203118_2015-16,0.0,0.0,0.01,15.5,75,2015-16,0.8,0.1,0.104,1.12,0.59,0.54,4.43,4.84,4.05
823,203101_2015-16,0.0,0.0,0.0,14.4,61,2015-16,0.9,0.0,0.0,1.04,0.53,0.51,4.39,4.59,4.19
824,203141_2015-16,0.0,0.0,0.0,21.6,79,2015-16,1.7,0.2,0.079,1.49,0.83,0.67,4.21,4.67,3.74
825,203956_2015-16,0.0,0.0,0.0,3.7,20,2015-16,0.3,0.1,0.2,0.27,0.16,0.11,4.49,4.7,4.05
826,2590_2015-16,0.0,0.0,0.0,18.5,41,2015-16,1.0,0.1,0.021,1.26,0.69,0.57,4.16,4.39,3.92
827,101145_2015-16,0.0,0.0,0.0,34.2,81,2015-16,2.4,0.5,0.069,2.3,1.23,1.07,4.09,4.4,3.79
828,1626149_2015-16,0.0,0.0,0.0,9.8,39,2015-16,0.8,0.0,0.0,0.69,0.35,0.35,4.3,4.67,3.99
829,1626167_2015-16,0.0,0.0,0.0,23.1,60,2015-16,2.1,0.1,0.143,1.63,0.87,0.76,4.29,4.62,3.97
830,101126_2015-16,0.0,0.0,0.0,11.8,2,2015-16,0.0,0.0,0.0,0.84,0.46,0.38,4.47,4.51,4.42
831,1737_2015-16,0.0,0.0,0.0,3.9,5,2015-16,0.2,0.0,0.0,0.25,0.14,0.11,3.97,4.25,3.68
832,202357_2015-16,0.0,0.0,0.02,18.1,60,2015-16,1.0,0.2,0.085,1.28,0.7,0.58,4.28,4.7,3.87
833,2403_2015-16,0.0,0.0,0.0,19.4,57,2015-16,2.9,0.2,0.182,1.28,0.64,0.64,4.02,4.24,3.82
834,203457_2015-16,0.0,0.0,0.01,29.7,67,2015-16,2.9,0.2,0.105,2.05,1.1,0.95,4.2,4.43,3.95
835,2555_2015-16,0.0,0.0,0.0,12.0,59,2015-16,0.7,0.0,0.087,0.83,0.44,0.38,4.2,4.5,3.9
836,201156_2015-16,0.0,0.0,0.0,19.4,54,2015-16,0.8,0.1,0.118,1.25,0.67,0.57,3.91,4.13,3.68
837,201587_2015-16,0.0,0.0,0.0,35.4,70,2015-16,2.2,0.2,0.035,2.53,1.39,1.14,4.36,4.73,3.98
838,203917_2015-16,0.0,0.0,0.0,25.1,73,2015-16,1.4,0.4,0.077,1.85,1.0,0.85,4.48,4.76,4.19
839,203999_2015-16,0.0,0.0,0.01,21.9,80,2015-16,2.5,0.0,0.043,1.51,0.81,0.7,4.18,4.57,3.8
840,202703_2015-16,0.0,0.0,0.0,25.3,66,2015-16,2.1,0.2,0.116,1.74,0.92,0.82,4.19,4.5,3.89
841,201593_2015-16,0.0,0.0,0.0,13.2,12,2015-16,1.5,0.1,1.0,0.79,0.39,0.39,3.72,3.64,3.73
842,202696_2015-16,0.0,0.0,0.02,31.7,65,2015-16,2.5,0.2,0.073,2.08,1.1,0.98,4.01,4.21,3.8
843,203943_2015-16,0.0,0.0,0.0,15.2,78,2015-16,0.6,0.1,0.066,1.09,0.59,0.5,4.35,4.66,4.03
844,1626181_2015-16,0.0,0.0,0.0,15.0,49,2015-16,0.9,0.3,0.092,1.11,0.62,0.5,4.43,4.66,4.18
845,202708_2015-16,0.0,0.0,0.0,27.0,45,2015-16,1.6,0.3,0.046,1.92,1.06,0.87,4.36,4.98,3.79
846,201564_2015-16,0.0,0.0,0.0,26.9,41,2015-16,1.1,0.1,0.025,1.8,0.91,0.89,4.06,4.24,3.9
847,201600_2015-16,0.0,0.0,0.0,17.6,68,2015-16,1.5,0.0,0.333,1.16,0.62,0.54,4.04,4.35,3.73
848,201956_2015-16,0.0,0.0,0.0,27.6,69,2015-16,2.0,0.4,0.113,1.95,1.04,0.9,4.31,4.79,3.86
849,203111_2015-16,0.0,0.0,0.0,14.7,7,2015-16,0.9,0.1,0.067,1.06,0.59,0.46,4.37,4.75,3.96
850,203490_2015-16,0.0,0.0,0.0,30.7,75,2015-16,1.6,0.1,0.047,2.27,1.17,1.1,4.49,4.89,4.12
851,200782_2015-16,0.0,0.0,0.0,31.4,82,2015-16,1.9,0.1,0.04,2.09,1.08,1.01,4.06,4.2,3.93
852,203798_2015-16,0.0,0.0,0.0,20.2,66,2015-16,1.0,0.1,0.074,1.41,0.76,0.65,4.27,4.52,4.0
853,203143_2015-16,0.0,0.0,0.0,14.1,59,2015-16,0.5,0.0,0.006,1.07,0.57,0.5,4.62,4.77,4.46
854,1626192_2015-16,0.0,0.0,0.0,4.3,34,2015-16,0.1,0.0,0.0,0.3,0.17,0.13,4.26,4.5,3.9
855,201976_2015-16,0.0,0.0,0.03,29.1,71,2015-16,1.4,0.2,0.035,2.17,1.14,1.03,4.54,4.96,4.15
856,202335_2015-16,0.0,0.0,0.0,25.9,79,2015-16,0.7,0.1,0.031,1.68,0.91,0.77,3.98,4.16,3.78
857,201988_2015-16,0.0,0.0,0.0,20.8,81,2015-16,1.5,0.0,0.01,1.63,0.92,0.71,4.77,5.31,4.22
858,2200_2015-16,0.0,0.0,0.0,32.2,72,2015-16,3.7,0.3,0.135,2.07,1.11,0.95,3.91,4.19,3.62
859,202331_2015-16,0.0,0.0,0.0,35.3,81,2015-16,5.4,0.8,0.104,2.48,1.33,1.15,4.28,4.62,3.93
860,200794_2015-16,0.0,0.0,0.02,33.1,81,2015-16,4.5,0.6,0.107,2.28,1.2,1.08,4.2,4.53,3.88
861,1718_2015-16,0.0,0.0,0.0,18.3,68,2015-16,0.9,0.2,0.083,1.12,0.59,0.53,3.74,3.93,3.54
862,203515_2015-16,0.0,0.0,0.0,12.5,23,2015-16,0.9,0.2,0.034,0.97,0.51,0.46,4.76,5.2,4.35
863,203112_2015-16,0.0,0.0,0.0,15.0,59,2015-16,1.3,0.0,0.038,1.08,0.56,0.52,4.32,4.55,4.09
864,1626154_2015-16,0.0,0.0,0.0,8.9,36,2015-16,0.3,0.1,0.091,0.62,0.33,0.3,4.27,4.6,3.93
865,200765_2015-16,0.0,0.0,0.0,35.7,72,2015-16,2.2,0.4,0.027,2.42,1.26,1.15,4.1,4.4,3.82
866,1626176_2015-16,0.0,0.0,0.0,6.2,1,2015-16,0.0,0.0,0.0,0.39,0.2,0.18,3.92,3.79,4.08
867,201196_2015-16,0.0,0.0,0.0,20.6,82,2015-16,2.6,0.9,0.133,1.43,0.75,0.68,4.23,4.64,3.85
868,200751_2015-16,0.0,0.0,0.0,20.5,81,2015-16,0.9,0.2,0.058,1.38,0.74,0.64,4.1,4.42,3.78
869,1626173_2015-16,0.0,0.0,0.0,14.5,70,2015-16,0.3,0.1,0.053,1.05,0.54,0.51,4.4,4.52,4.29
870,2446_2015-16,0.0,0.0,0.0,9.5,46,2015-16,0.3,0.0,0.033,0.67,0.37,0.3,4.29,4.47,4.09
871,203526_2015-16,0.0,0.0,0.0,18.7,81,2015-16,1.4,0.3,0.048,1.39,0.77,0.62,4.5,4.74,4.24
872,203492_2015-16,0.0,0.0,0.0,11.7,41,2015-16,0.4,0.0,0.01,0.91,0.52,0.39,4.74,5.15,4.26
873,101109_2015-16,0.0,0.0,0.03,27.8,80,2015-16,2.0,0.4,0.06,1.89,1.03,0.86,4.15,4.4,3.88
874,203493_2015-16,0.0,0.0,0.0,11.7,37,2015-16,0.4,0.1,0.074,0.87,0.48,0.39,4.51,4.91,4.11
875,202704_2015-16,0.0,0.0,0.0,31.1,79,2015-16,3.4,0.7,0.048,2.12,1.14,0.98,4.16,4.48,3.84
876,2210_2015-16,0.0,0.0,0.0,18.2,74,2015-16,1.1,0.2,0.093,1.19,0.61,0.57,3.99,4.02,3.96
877,1626158_2015-16,0.0,0.0,0.0,13.9,51,2015-16,1.3,0.1,0.121,0.98,0.52,0.46,4.27,4.56,3.97
878,201937_2015-16,0.0,0.0,0.04,31.0,76,2015-16,3.5,0.6,0.071,2.19,1.17,1.02,4.3,4.64,3.97
879,203496_2015-16,0.0,0.0,0.01,28.8,67,2015-16,2.0,0.3,0.073,2.01,1.08,0.93,4.26,4.53,3.98
880,203135_2015-16,0.0,0.0,0.0,13.0,25,2015-16,1.1,0.0,1.0,0.85,0.46,0.39,4.0,4.24,3.75
881,201577_2015-16,0.0,0.0,0.01,27.4,82,2015-16,1.7,0.0,0.029,1.88,1.02,0.85,4.17,4.39,3.92
882,203918_2015-16,0.0,0.0,0.0,32.6,79,2015-16,2.1,0.5,0.073,2.24,1.27,0.97,4.19,4.49,3.84
883,201155_2015-16,0.0,0.0,0.0,22.3,58,2015-16,2.4,0.5,0.137,1.45,0.76,0.69,3.96,4.19,3.73
884,1626178_2015-16,0.0,0.0,0.0,21.5,29,2015-16,1.6,0.1,0.047,1.58,0.82,0.77,4.5,4.68,4.31
885,101179_2015-16,0.0,0.0,0.0,19.8,62,2015-16,1.2,0.1,0.042,1.46,0.76,0.7,4.5,4.74,4.25
886,201579_2015-16,0.0,0.0,0.0,23.5,81,2015-16,1.9,0.0,0.25,1.58,0.85,0.72,4.09,4.19,3.97
887,200752_2015-16,0.0,0.0,0.0,34.4,70,2015-16,3.1,0.5,0.094,2.38,1.24,1.14,4.21,4.49,3.94
888,203497_2015-16,0.0,0.0,0.0,32.1,61,2015-16,4.0,0.0,0.056,2.22,1.22,1.0,4.21,4.45,3.94
889,203893_2015-16,0.0,0.0,0.0,4.5,15,2015-16,0.5,0.2,0.097,0.33,0.18,0.15,4.54,4.91,4.17
890,201566_2015-16,0.0,0.0,0.0,34.8,80,2015-16,5.5,1.2,0.077,2.37,1.27,1.11,4.15,4.63,3.71
891,201583_2015-16,0.0,0.0,0.03,30.8,66,2015-16,3.0,0.3,0.14,2.05,1.09,0.96,4.06,4.48,3.67
892,200797_2015-16,0.0,0.0,0.0,12.6,37,2015-16,1.3,0.0,0.0,0.84,0.44,0.4,4.09,4.22,3.94
893,203527_2015-16,0.0,0.0,0.0,13.2,36,2015-16,1.2,0.1,0.074,0.9,0.47,0.42,4.13,4.53,3.76
894,1626257_2015-16,0.0,0.0,0.06,11.8,34,2015-16,1.3,0.1,0.5,0.83,0.43,0.4,4.28,4.4,4.15
895,1626155_2015-16,0.0,0.0,0.0,2.1,3,2015-16,0.0,0.0,0.0,0.16,0.08,0.09,4.8,4.99,4.68
896,201619_2015-16,0.0,0.0,0.0,3.9,25,2015-16,0.2,0.0,0.0,0.27,0.15,0.12,4.28,4.42,4.12
897,2756_2015-16,0.0,0.0,0.0,15.1,61,2015-16,0.9,0.0,0.031,1.11,0.61,0.5,4.47,4.79,4.14
898,203930_2015-16,0.0,0.0,0.0,20.1,31,2015-16,1.7,0.2,0.081,1.41,0.75,0.66,4.27,4.61,3.94
899,201586_2015-16,0.0,0.0,0.0,32.5,78,2015-16,1.3,0.1,0.086,2.11,1.1,1.01,3.96,4.27,3.67
900,203508_2015-16,0.0,0.0,0.0,10.1,40,2015-16,0.8,0.1,0.13,0.73,0.38,0.34,4.37,4.74,4.04
901,203552_2015-16,0.0,0.0,0.0,15.9,44,2015-16,0.9,0.1,0.051,1.11,0.58,0.53,4.3,4.64,3.96
902,203498_2015-16,0.0,0.0,0.01,20.8,82,2015-16,2.3,0.3,0.113,1.48,0.76,0.72,4.35,4.49,4.21
903,203894_2015-16,0.0,0.0,0.02,11.1,55,2015-16,0.9,0.2,0.076,0.82,0.43,0.38,4.5,4.84,4.17
904,203499_2015-16,0.0,0.0,0.0,22.7,78,2015-16,1.6,0.3,0.039,1.62,0.88,0.74,4.34,4.65,4.03
905,2733_2015-16,0.0,0.0,0.01,19.7,78,2015-16,1.1,0.1,0.054,1.42,0.78,0.65,4.39,4.98,3.85
906,203963_2015-16,0.0,0.0,0.0,5.9,7,2015-16,0.3,0.0,0.0,0.44,0.24,0.2,4.57,4.91,4.22
907,202714_2015-16,0.0,0.0,0.02,20.6,52,2015-16,1.3,0.3,0.026,1.55,0.89,0.66,4.57,5.06,4.03
908,203524_2015-16,0.0,0.0,0.0,14.9,59,2015-16,0.6,0.1,0.032,1.01,0.53,0.47,4.13,4.43,3.84
909,201603_2015-16,0.0,0.0,0.0,11.7,43,2015-16,0.4,0.1,0.053,0.83,0.44,0.4,4.33,4.6,4.07
910,203915_2015-16,0.0,0.0,0.0,13.4,12,2015-16,2.6,1.0,0.154,0.91,0.52,0.39,4.12,4.57,3.71
911,201150_2015-16,0.0,0.0,0.0,18.4,57,2015-16,1.1,0.1,0.056,1.24,0.68,0.56,4.12,4.45,3.78
912,1626169_2015-16,0.0,0.0,0.0,23.4,73,2015-16,1.2,0.2,0.049,1.7,0.91,0.79,4.43,4.71,4.14
913,201939_2015-16,0.0,0.0,0.09,34.6,79,2015-16,4.6,0.6,0.074,2.46,1.33,1.13,4.32,5.07,3.68
914,2581_2015-16,0.0,0.0,0.0,17.2,58,2015-16,0.8,0.1,0.013,1.24,0.7,0.54,4.4,4.89,3.88
915,200779_2015-16,0.0,0.0,0.0,4.5,10,2015-16,0.2,0.0,0.0,0.32,0.19,0.13,4.35,4.94,3.7
916,203500_2015-16,0.0,0.0,0.0,25.5,80,2015-16,2.5,0.0,0.071,1.79,0.97,0.82,4.27,4.78,3.79
917,204456_2015-16,0.0,0.0,0.02,20.1,81,2015-16,0.9,0.1,0.013,1.6,0.9,0.7,4.85,5.27,4.42
918,203933_2015-16,0.0,0.0,0.0,23.1,47,2015-16,1.4,0.1,0.056,1.68,0.88,0.81,4.43,4.58,4.27
919,201959_2015-16,0.0,0.0,0.01,26.9,73,2015-16,2.2,0.0,0.0,1.82,0.96,0.86,4.13,4.39,3.88
920,204028_2015-16,0.0,0.0,0.0,12.9,39,2015-16,1.0,0.0,0.0,0.89,0.48,0.41,4.23,4.64,3.85
921,2419_2015-16,0.0,0.0,0.0,19.2,77,2015-16,0.4,0.0,0.0,1.28,0.66,0.62,4.06,4.19,3.93
922,203093_2015-16,0.0,0.0,0.0,21.2,50,2015-16,1.7,0.3,0.117,1.44,0.76,0.68,4.15,4.43,3.88
923,203082_2015-16,0.0,0.0,0.0,24.3,73,2015-16,0.6,0.0,0.021,1.73,0.94,0.78,4.33,4.55,4.08
924,1626179_2015-16,0.0,0.0,0.0,8.1,39,2015-16,0.4,0.1,0.027,0.61,0.33,0.29,4.52,4.83,4.25
925,200757_2015-16,0.0,0.0,0.0,23.7,75,2015-16,1.1,0.1,0.069,1.67,0.85,0.82,4.29,4.55,4.05
926,201152_2015-16,0.0,0.0,0.0,33.4,73,2015-16,2.2,0.2,0.063,2.35,1.26,1.09,4.29,4.55,4.02
927,203648_2015-16,0.0,0.0,0.0,3.2,2,2015-16,0.0,0.0,0.0,0.25,0.12,0.13,4.8,4.42,5.09
928,203080_2015-16,0.0,0.0,0.0,13.1,71,2015-16,1.3,0.1,0.127,0.92,0.49,0.42,4.26,4.48,4.04
929,201168_2015-16,0.0,0.0,0.0,16.3,36,2015-16,1.3,0.0,0.067,1.12,0.58,0.54,4.21,4.5,3.94
930,202353_2015-16,0.0,0.0,0.0,6.9,12,2015-16,0.1,0.0,0.0,0.47,0.25,0.21,4.12,4.21,4.01
931,1495_2015-16,0.0,0.0,0.0,25.5,61,2015-16,1.9,0.1,0.222,1.61,0.86,0.75,3.84,3.96,3.71
932,204025_2015-16,0.0,0.0,0.0,14.7,51,2015-16,1.7,0.3,0.039,1.04,0.57,0.47,4.31,4.73,3.9
933,203501_2015-16,0.0,0.0,0.0,17.2,51,2015-16,0.9,0.1,0.039,1.21,0.62,0.59,4.3,4.63,3.98
934,202389_2015-16,0.0,0.0,0.0,17.7,76,2015-16,1.5,0.0,0.2,1.29,0.69,0.59,4.44,4.74,4.12
935,202699_2015-16,0.0,0.0,0.0,33.5,76,2015-16,2.5,0.5,0.086,2.38,1.29,1.09,4.34,4.72,3.97
936,201962_2015-16,0.0,0.0,0.0,21.0,61,2015-16,1.6,0.3,0.057,1.62,0.88,0.74,4.71,5.2,4.24
937,2754_2015-16,0.0,0.0,0.0,25.6,64,2015-16,1.7,0.2,0.062,1.75,0.91,0.84,4.17,4.22,4.1
938,2225_2015-16,0.0,0.0,0.0,27.9,72,2015-16,2.1,0.5,0.04,2.1,1.21,0.88,4.59,5.08,4.05
939,203503_2015-16,0.0,0.0,0.0,20.6,64,2015-16,0.6,0.1,0.043,1.44,0.76,0.68,4.24,4.57,3.92
940,203100_2015-16,0.0,0.0,0.0,18.3,8,2015-16,3.0,1.8,0.156,1.35,0.74,0.61,4.5,4.91,4.01
941,2772_2015-16,0.0,0.0,0.01,35.8,81,2015-16,1.4,0.3,0.059,2.38,1.19,1.18,4.05,4.21,3.91
942,202344_2015-16,0.0,0.0,0.0,20.9,79,2015-16,1.1,0.1,0.049,1.49,0.83,0.66,4.34,4.59,4.06
943,203504_2015-16,0.0,0.0,0.0,21.6,64,2015-16,1.2,0.3,0.039,1.55,0.87,0.68,4.35,4.67,4.01
944,1626168_2015-16,0.0,0.0,0.0,17.5,80,2015-16,1.0,0.2,0.07,1.22,0.68,0.55,4.26,4.46,4.02
945,202684_2015-16,0.0,0.0,0.01,28.0,82,2015-16,2.8,0.0,0.069,1.98,1.06,0.91,4.3,4.47,4.1
946,203584_2015-16,0.0,0.0,0.0,11.2,43,2015-16,0.3,0.0,0.071,0.85,0.47,0.38,4.61,5.0,4.24
947,201951_2015-16,0.0,0.0,0.0,21.7,66,2015-16,1.3,0.3,0.036,1.53,0.79,0.74,4.29,4.53,4.07
948,203898_2015-16,0.0,0.0,0.0,14.4,46,2015-16,0.8,0.1,0.025,1.06,0.57,0.49,4.49,4.85,4.13
949,201946_2015-16,0.0,0.0,0.0,7.9,44,2015-16,1.2,0.1,0.267,0.54,0.28,0.25,4.14,4.2,4.07
950,204020_2015-16,0.0,0.0,0.03,24.3,36,2015-16,1.8,0.4,0.077,1.72,0.93,0.79,4.31,4.57,4.04
951,203092_2015-16,0.0,0.0,0.0,12.0,60,2015-16,1.6,0.1,0.152,0.85,0.45,0.4,4.3,4.69,3.95
952,201936_2015-16,0.0,0.0,0.0,31.0,25,2015-16,3.0,0.9,0.071,2.06,1.13,0.93,4.05,4.57,3.55
953,2199_2015-16,0.0,0.0,0.0,24.8,66,2015-16,2.4,0.0,0.1,1.6,0.84,0.76,3.92,4.06,3.78
954,1626145_2015-16,0.0,0.0,0.08,15.7,37,2015-16,1.0,0.2,0.046,1.16,0.61,0.55,4.51,4.78,4.24
955,2617_2015-16,0.0,0.0,0.0,7.1,37,2015-16,0.6,0.0,0.0,0.45,0.25,0.2,3.85,4.06,3.62
956,203506_2015-16,0.0,0.0,0.03,33.5,72,2015-16,2.9,0.5,0.06,2.47,1.32,1.15,4.51,4.87,4.16
957,1713_2015-16,0.0,0.0,0.0,17.0,60,2015-16,1.3,0.1,0.079,1.13,0.61,0.52,4.04,4.32,3.75
958,201961_2015-16,0.0,0.0,0.0,21.5,76,2015-16,0.6,0.1,0.048,1.55,0.84,0.71,4.39,4.66,4.11
959,202325_2015-16,0.0,0.0,0.0,21.1,80,2015-16,0.5,0.0,0.038,1.47,0.76,0.71,4.24,4.42,4.06
960,202083_2015-16,0.0,0.0,0.04,34.3,78,2015-16,2.0,0.2,0.059,2.39,1.3,1.09,4.23,4.53,3.92
961,203115_2015-16,0.0,0.0,0.01,29.1,82,2015-16,2.5,0.5,0.075,2.02,1.1,0.92,4.23,4.63,3.82
962,1626161_2015-16,0.0,0.0,0.0,21.7,66,2015-16,1.4,0.0,0.103,1.62,0.85,0.77,4.54,4.88,4.22
963,203186_2015-16,0.0,0.0,0.0,11.1,39,2015-16,1.6,0.1,1.0,0.77,0.41,0.36,4.24,4.45,4.02
