,pidSzn,EFG_PCT,TS_PCT,USG_PCT,MIN,GP,Season,DD2,TD3,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_TOUCH,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,FG2A_FREQUENCY,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3A,FG3_PCT
277,2755_2014-15,0.487,0.549,0.262,33.8,39,2014-15,0,0,4.0,1.5,2.9,3.7,0.583,0.615,0.654,0.428,3.1,0.469,7.5,0.4,5.2,0.436,0.9,0.448,0.6,0.375,1.3,0.467,0.684,10.71,0.464,0.316,4.95,0.394
278,202338_2014-15,0.513,0.535,0.216,15.8,79,2014-15,1,0,0.7,1.0,0.3,4.0,0.253,0.527,0.761,0.257,0.2,0.714,1.2,0.442,0.6,0.421,3.1,0.605,2.6,0.475,0.6,0.407,0.995,5.44,0.537,0.005,0.03,0.0
279,203114_2014-15,0.53,0.563,0.194,30.5,79,2014-15,1,0,2.9,1.1,2.1,3.7,0.493,0.54,0.725,0.302,1.4,0.414,5.2,0.431,3.0,0.428,1.0,0.525,0.9,0.509,0.5,0.586,0.682,7.23,0.523,0.318,3.37,0.407
280,2550_2014-15,0.449,0.468,0.129,24.7,66,2014-15,0,0,1.0,0.6,0.8,1.3,0.909,0.0,0.692,0.141,1.2,0.451,2.6,0.368,1.4,0.319,0.1,1.0,0.0,0.0,0.2,0.667,0.544,2.91,0.438,0.456,2.44,0.36
281,202691_2014-15,0.555,0.591,0.272,32.3,77,2014-15,1,0,3.3,1.5,4.1,6.0,0.673,0.52,0.924,0.473,3.9,0.448,8.2,0.449,5.5,0.414,1.3,0.646,0.5,0.39,0.9,0.5,0.566,9.17,0.514,0.434,7.03,0.442
282,977_2014-15,0.411,0.477,0.337,34.9,35,2014-15,4,2,3.2,1.8,2.8,5.6,0.396,0.445,0.524,0.334,4.5,0.387,4.0,0.311,7.9,0.354,1.2,0.381,2.4,0.402,1.0,0.341,0.732,14.34,0.422,0.268,5.26,0.293
283,201585_2014-15,0.508,0.53,0.154,16.9,81,2014-15,0,0,0.9,1.1,0.4,4.2,0.52,0.358,0.705,0.212,0.1,0.429,0.4,0.314,0.0,0.167,3.4,0.555,0.5,0.327,1.1,0.514,1.0,4.15,0.542,0.0,0.0,
284,203123_2014-15,0.429,0.444,0.14,18.7,43,2014-15,0,0,1.0,0.7,0.5,1.6,0.08,0.571,0.404,0.127,0.5,0.324,2.0,0.283,0.2,0.15,0.5,0.579,0.1,0.667,0.0,0.167,0.429,1.81,0.5,0.571,2.4,0.267
285,2743_2014-15,0.473,0.512,0.181,21.3,64,2014-15,3,0,1.4,1.7,1.2,3.4,0.353,0.478,0.661,0.209,0.5,0.313,3.1,0.444,0.3,0.324,2.5,0.509,0.3,0.412,1.0,0.424,0.983,6.47,0.51,0.017,0.11,0.0
286,203937_2014-15,0.365,0.389,0.13,11.0,33,2014-15,0,0,0.3,0.2,0.1,1.2,0.0,0.857,0.727,0.12,0.6,0.32,0.5,0.273,0.4,0.318,0.2,0.571,0.2,0.75,0.0,0.0,0.867,2.18,0.389,0.133,0.33,0.273
287,2594_2014-15,0.671,0.699,0.139,32.7,75,2014-15,1,0,2.0,0.9,1.7,0.6,0.615,0.0,0.882,0.311,0.2,0.313,8.6,0.498,1.6,0.416,0.4,0.706,0.0,0.0,0.4,0.75,0.249,1.95,0.486,0.751,5.88,0.501
288,200768_2014-15,0.476,0.527,0.246,34.9,70,2014-15,13,2,2.7,1.7,2.7,5.7,0.348,0.5,0.699,0.224,4.6,0.435,3.0,0.349,5.9,0.352,0.8,0.595,0.3,0.458,0.2,0.389,0.606,8.53,0.499,0.394,5.54,0.34
289,203124_2014-15,0.517,0.55,0.179,16.4,51,2014-15,3,0,1.0,0.9,0.3,3.2,0.52,0.457,0.984,0.186,0.3,0.5,1.6,0.333,0.2,0.316,2.4,0.645,0.4,0.364,1.0,0.55,0.814,3.69,0.569,0.186,0.84,0.279
290,202713_2014-15,0.493,0.512,0.129,22.1,80,2014-15,0,0,0.9,0.8,0.9,1.3,0.45,0.133,0.681,0.216,0.7,0.279,3.7,0.401,0.7,0.294,0.4,0.5,0.0,0.143,0.2,0.5,0.432,2.26,0.42,0.568,2.98,0.403
291,202681_2014-15,0.532,0.583,0.255,36.9,75,2014-15,6,0,2.9,1.8,2.4,7.5,0.27,0.548,0.558,0.271,6.8,0.459,3.7,0.432,6.7,0.425,0.7,0.645,0.2,0.294,0.2,0.545,0.675,10.53,0.529,0.325,5.07,0.416
292,200746_2014-15,0.479,0.528,0.297,35.8,71,2014-15,39,0,2.9,4.2,0.9,8.4,0.403,0.559,1.015,0.368,1.1,0.439,5.9,0.432,5.5,0.394,4.6,0.655,7.0,0.45,1.6,0.5,0.925,17.94,0.488,0.075,1.46,0.356
293,202362_2014-15,0.393,0.419,0.206,26.1,61,2014-15,2,0,1.2,1.1,0.9,4.1,0.545,0.0,0.887,0.165,3.1,0.465,0.8,0.187,2.7,0.329,0.8,0.606,0.0,0.0,0.3,0.455,0.798,6.82,0.454,0.202,1.72,0.171
294,202498_2014-15,0.42,0.456,0.169,24.4,62,2014-15,0,0,1.3,1.1,0.6,3.2,0.307,0.468,0.748,0.21,1.1,0.383,1.9,0.362,1.2,0.352,1.8,0.5,0.4,0.281,0.8,0.409,0.948,6.25,0.454,0.052,0.34,0.333
295,202361_2014-15,0.5,0.527,0.105,8.4,26,2014-15,0,0,0.2,0.3,0.3,1.2,0.667,0.0,0.941,0.187,0.4,0.313,0.2,1.0,0.1,0.25,0.6,0.7,0.0,0.0,0.2,0.6,0.949,1.42,0.514,0.051,0.08,0.5
296,204038_2014-15,0.46,0.489,0.187,32.8,45,2014-15,0,0,2.3,1.4,1.4,3.2,0.458,0.5,0.565,0.172,1.8,0.322,4.5,0.397,3.2,0.372,0.6,0.647,0.0,0.5,0.5,0.556,0.651,7.09,0.452,0.349,3.8,0.365
297,203580_2014-15,0.379,0.388,0.168,18.5,12,2014-15,0,0,1.0,0.8,0.5,1.4,0.0,0.0,0.0,0.074,0.7,0.5,1.3,0.261,1.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.552,2.67,0.5,0.448,2.17,0.154
298,202336_2014-15,0.5,0.507,0.166,22.0,27,2014-15,0,0,0.9,2.5,0.9,6.3,0.25,0.308,0.728,0.246,0.4,0.5,0.4,0.385,0.0,0.0,5.4,0.528,0.3,0.286,0.7,0.45,1.0,5.7,0.558,0.0,0.0,
299,202730_2014-15,0.472,0.493,0.147,17.2,63,2014-15,4,0,0.7,1.8,0.2,2.9,0.211,0.168,0.688,0.177,0.1,0.222,1.5,0.358,0.0,0.0,2.8,0.635,0.3,0.174,0.4,0.379,1.0,4.57,0.486,0.0,0.0,
300,2544_2014-15,0.535,0.577,0.318,36.6,69,2014-15,22,2,4.9,2.5,4.9,11.1,0.638,0.459,0.981,0.308,7.5,0.506,2.9,0.35,6.4,0.375,2.2,0.709,1.7,0.379,1.2,0.674,0.728,13.0,0.562,0.272,4.87,0.356
301,2571_2014-15,0.53,0.558,0.2,15.1,66,2014-15,0,0,2.0,0.7,2.2,3.5,0.824,0.0,0.826,0.295,1.6,0.393,1.8,0.389,0.9,0.325,0.6,0.667,0.0,0.0,0.4,0.722,0.7,3.92,0.541,0.3,1.68,0.387
302,201991_2014-15,0.536,0.571,0.157,11.3,5,2014-15,0,0,0.8,0.0,0.8,1.2,0.0,0.0,1.0,0.15,0.6,0.333,1.2,0.4,0.6,0.25,0.4,1.0,0.0,0.0,0.0,0.0,0.538,1.4,0.429,0.462,1.2,0.5
303,203485_2014-15,0.451,0.468,0.133,19.2,29,2014-15,0,0,1.5,0.6,1.1,2.4,0.571,0.0,0.737,0.105,0.8,0.357,0.6,0.292,1.0,0.342,0.5,0.75,0.0,0.0,0.1,1.0,0.752,2.93,0.541,0.248,0.97,0.214
304,200811_2014-15,0.427,0.442,0.173,17.9,53,2014-15,3,0,0.6,1.2,0.3,3.6,0.326,0.166,0.582,0.149,0.4,0.667,0.6,0.349,0.2,0.455,2.6,0.468,0.7,0.333,1.2,0.451,0.995,4.25,0.466,0.005,0.02,0.0
305,101150_2014-15,0.486,0.564,0.257,25.5,80,2014-15,0,0,2.4,0.9,2.9,2.9,0.364,1.0,0.73,0.381,3.1,0.444,2.7,0.402,6.1,0.367,0.3,0.632,0.1,0.667,0.1,0.444,0.501,5.53,0.505,0.499,5.51,0.345
306,201601_2014-15,0.443,0.466,0.185,29.0,67,2014-15,4,0,1.7,1.5,1.0,3.7,0.315,0.516,0.624,0.181,1.5,0.384,3.9,0.336,1.0,0.34,1.6,0.547,0.7,0.419,0.7,0.556,0.659,5.73,0.492,0.341,2.97,0.312
307,203512_2014-15,0.25,0.307,0.188,3.9,6,2014-15,0,0,0.3,0.0,0.7,0.7,0.5,0.0,0.8,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.0,0.0,0.3,0.0,1.0,1.33,0.25,0.0,0.0,
308,2449_2014-15,0.471,0.515,0.221,20.8,81,2014-15,9,0,1.4,1.9,1.0,4.9,0.475,0.58,0.922,0.216,0.5,0.255,2.5,0.39,0.3,0.435,4.1,0.608,1.6,0.494,1.2,0.48,0.968,7.09,0.512,0.032,0.23,0.263
309,202337_2014-15,0.633,0.639,0.122,13.3,63,2014-15,0,0,0.5,0.3,0.3,0.8,0.421,0.0,0.538,0.25,0.7,0.462,2.9,0.525,0.3,0.259,0.2,0.6,0.0,0.0,0.1,0.4,0.387,1.11,0.471,0.613,1.76,0.532
310,2557_2014-15,0.483,0.507,0.145,14.7,47,2014-15,0,0,0.7,0.1,0.5,0.6,0.0,0.0,0.364,0.13,0.5,0.346,1.0,0.34,2.2,0.49,0.1,0.333,0.0,0.0,0.0,0.0,0.636,2.34,0.5,0.364,1.34,0.317
311,2736_2014-15,0.518,0.561,0.192,34.1,72,2014-15,5,0,2.3,1.8,1.7,5.7,0.529,0.577,0.85,0.312,1.8,0.4,3.7,0.37,1.9,0.377,2.7,0.624,1.4,0.442,0.8,0.5,0.706,7.25,0.546,0.294,3.01,0.36
312,202723_2014-15,0.0,0.0,0.167,2.0,1,2014-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
313,202952_2014-15,0.45,0.492,0.126,11.6,17,2014-15,0,0,0.1,1.3,0.2,2.0,0.091,0.111,0.683,0.109,0.0,0.0,0.1,0.1,0.0,0.0,1.6,0.6,0.1,0.167,0.1,1.0,0.8,1.65,0.643,0.2,0.41,0.0
314,1938_2014-15,0.502,0.544,0.231,23.0,70,2014-15,3,0,1.6,1.5,1.1,4.0,0.587,0.867,0.823,0.229,3.5,0.492,3.3,0.407,1.3,0.247,0.7,0.629,0.2,0.625,0.4,0.611,0.538,4.24,0.545,0.462,3.64,0.349
315,201188_2014-15,0.496,0.558,0.245,33.6,81,2014-15,20,0,2.6,2.1,0.9,8.6,0.331,0.559,0.708,0.259,0.9,0.529,4.0,0.408,1.3,0.358,5.6,0.553,6.1,0.474,4.2,0.514,0.983,12.38,0.524,0.017,0.21,0.176
316,101162_2014-15,0.566,0.587,0.173,30.3,82,2014-15,22,0,1.7,2.1,1.1,8.8,0.494,0.531,0.871,0.255,0.1,0.25,1.5,0.399,0.5,0.386,7.3,0.634,1.9,0.386,2.8,0.588,0.996,8.8,0.608,0.004,0.04,0.0
317,201158_2014-15,0.515,0.553,0.186,22.7,62,2014-15,0,0,1.3,1.0,0.4,1.7,0.375,1.0,0.683,0.268,1.2,0.509,4.4,0.422,2.0,0.385,0.7,0.545,0.1,0.667,0.3,0.429,0.503,3.74,0.487,0.497,3.69,0.376
318,202694_2014-15,0.507,0.52,0.188,25.6,81,2014-15,5,0,1.3,1.3,1.4,2.9,0.434,0.538,0.792,0.266,1.3,0.407,4.3,0.38,2.8,0.436,1.2,0.554,0.5,0.487,0.4,0.485,0.576,5.25,0.515,0.424,3.86,0.358
319,203935_2014-15,0.462,0.491,0.149,27.3,67,2014-15,0,0,1.1,1.1,1.1,2.0,0.222,0.1,0.657,0.169,1.1,0.32,3.4,0.35,1.5,0.304,0.7,0.636,0.0,0.0,0.1,0.333,0.41,2.78,0.452,0.59,4.0,0.34
320,201977_2014-15,0.484,0.514,0.228,15.2,48,2014-15,0,0,1.1,1.4,1.2,2.5,0.333,0.0,1.211,0.375,1.0,0.344,2.9,0.384,1.6,0.34,1.0,0.645,0.0,0.0,0.2,0.3,0.556,3.71,0.483,0.444,2.96,0.38
321,201596_2014-15,0.458,0.521,0.183,30.0,80,2014-15,4,0,2.1,1.2,1.2,4.0,0.423,0.625,0.702,0.161,3.9,0.449,2.6,0.355,1.1,0.298,0.4,0.611,0.1,1.0,0.3,0.444,0.605,4.7,0.52,0.395,3.06,0.298
322,203900_2014-15,0.402,0.459,0.147,16.8,47,2014-15,1,0,0.6,0.5,0.7,1.8,0.824,0.0,0.951,0.268,0.9,0.378,1.3,0.293,0.7,0.294,0.8,0.593,0.0,0.0,0.3,0.444,0.675,2.83,0.444,0.325,1.36,0.266
323,202693_2014-15,0.491,0.523,0.232,31.9,82,2014-15,12,0,2.0,1.9,1.3,6.0,0.396,0.557,0.845,0.292,1.9,0.539,4.5,0.395,2.7,0.439,2.7,0.548,4.2,0.458,1.3,0.512,0.831,10.72,0.518,0.169,2.18,0.318
324,201578_2014-15,0.496,0.546,0.281,16.1,76,2014-15,1,0,1.9,2.0,1.2,4.6,0.569,0.701,1.022,0.358,0.7,0.545,3.4,0.457,0.6,0.329,3.7,0.598,0.6,0.5,1.4,0.432,0.971,7.93,0.519,0.029,0.24,0.278
325,101110_2014-15,0.319,0.445,0.174,11.1,32,2014-15,0,0,0.5,0.5,0.1,0.4,0.167,0.667,0.842,0.233,0.4,0.0,0.8,0.2,0.6,0.32,0.5,0.5,0.1,0.0,0.1,0.0,0.517,1.44,0.304,0.483,1.34,0.233
326,101107_2014-15,0.52,0.541,0.131,26.4,78,2014-15,1,0,0.9,1.4,0.6,1.8,0.155,0.289,0.605,0.134,0.7,0.439,4.6,0.382,0.4,0.432,0.7,0.59,0.1,0.429,0.2,0.429,0.45,2.78,0.525,0.55,3.4,0.358
327,203486_2014-15,0.573,0.57,0.192,21.5,82,2014-15,12,0,1.7,1.8,1.4,6.8,0.517,0.339,0.78,0.283,0.3,0.5,0.0,0.333,0.1,0.375,5.3,0.593,0.8,0.328,1.8,0.615,0.993,5.21,0.656,0.007,0.04,0.0
328,2440_2014-15,0.553,0.574,0.145,30.3,76,2014-15,1,0,1.8,0.8,2.6,3.5,0.831,0.125,0.852,0.279,0.9,0.409,5.4,0.369,0.3,0.323,1.2,0.683,0.0,0.0,0.6,0.778,0.374,2.93,0.632,0.626,4.92,0.364
329,2588_2014-15,0.509,0.536,0.123,13.2,72,2014-15,0,0,0.7,0.2,0.2,1.0,0.121,0.375,0.622,0.18,0.9,0.438,2.1,0.364,0.3,0.5,0.3,0.833,0.0,0.5,0.1,1.0,0.437,1.35,0.495,0.563,1.74,0.368
330,203521_2014-15,0.472,0.493,0.125,20.9,67,2014-15,2,0,0.7,0.3,0.2,0.7,0.0,0.0,0.133,0.115,1.0,0.3,2.6,0.377,1.1,0.357,0.1,0.4,0.0,0.0,0.0,0.0,0.421,1.82,0.358,0.579,2.5,0.412
331,203090_2014-15,0.43,0.449,0.13,15.2,45,2014-15,0,0,0.6,0.7,0.9,2.4,0.5,0.667,0.787,0.211,0.7,0.448,0.6,0.205,0.1,0.063,1.3,0.533,0.1,1.0,0.1,0.5,0.627,2.09,0.564,0.373,1.24,0.179
332,203086_2014-15,0.606,0.631,0.157,15.6,55,2014-15,3,0,0.6,0.6,0.4,2.0,0.392,0.4,0.588,0.268,0.3,0.5,3.2,0.448,0.3,0.4,1.3,0.574,0.2,0.556,0.7,0.654,0.536,2.33,0.609,0.464,2.02,0.423
333,201563_2014-15,0.453,0.474,0.236,21.3,24,2014-15,1,0,2.0,1.4,0.3,4.3,0.284,0.702,0.714,0.247,1.9,0.478,1.8,0.316,2.3,0.375,1.7,0.548,1.7,0.5,0.9,0.391,0.83,6.92,0.506,0.17,1.42,0.235
334,203487_2014-15,0.416,0.461,0.264,33.0,66,2014-15,11,3,3.2,1.4,1.8,8.0,0.492,0.439,0.617,0.17,7.0,0.427,1.6,0.257,2.3,0.286,1.0,0.527,0.4,0.647,0.5,0.722,0.82,10.53,0.472,0.18,2.32,0.235
335,203077_2014-15,0.465,0.519,0.179,29.2,55,2014-15,12,0,2.6,1.6,2.6,5.8,0.537,0.364,0.676,0.302,2.6,0.421,1.3,0.367,1.4,0.422,1.7,0.559,0.1,0.667,0.7,0.571,1.0,7.62,0.535,0.0,0.0,
336,201144_2014-15,0.506,0.558,0.233,32.2,70,2014-15,6,0,2.4,1.0,2.0,6.6,0.397,1.333,0.795,0.197,5.4,0.452,3.2,0.397,4.3,0.389,0.5,0.636,0.1,1.0,0.3,0.455,0.672,7.99,0.512,0.328,3.9,0.392
337,2399_2014-15,0.546,0.573,0.14,29.6,63,2014-15,0,0,1.1,0.8,1.3,1.8,0.5,0.8,0.672,0.262,1.0,0.378,5.3,0.42,1.3,0.402,0.7,0.526,0.1,0.667,0.3,0.471,0.438,3.24,0.5,0.562,4.16,0.408
338,2034_2014-15,0.465,0.471,0.089,13.7,52,2014-15,0,0,0.2,0.3,0.2,0.1,0.2,0.0,0.286,0.109,0.0,0.25,1.6,0.3,0.3,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.14,0.29,0.333,0.86,1.8,0.326
339,203488_2014-15,0.579,0.608,0.16,12.7,40,2014-15,1,0,0.9,1.0,0.6,2.5,0.274,0.348,0.71,0.212,0.2,0.5,2.0,0.479,0.1,0.667,2.2,0.623,0.2,0.667,0.5,0.391,0.846,3.03,0.612,0.154,0.55,0.409
340,203118_2014-15,0.517,0.543,0.213,16.7,68,2014-15,0,0,1.3,0.6,0.7,2.6,0.412,0.34,0.816,0.279,0.2,0.176,3.9,0.387,0.5,0.39,2.1,0.619,0.5,0.348,0.8,0.55,0.568,3.65,0.544,0.432,2.78,0.349
341,203101_2014-15,0.535,0.536,0.12,16.6,73,2014-15,1,0,0.7,1.0,0.5,3.5,0.333,0.481,0.711,0.179,0.2,0.667,0.2,0.375,0.1,0.5,3.0,0.569,0.5,0.354,0.5,0.471,1.0,3.21,0.581,0.0,0.0,
342,203545_2014-15,0.375,0.45,0.216,4.6,5,2014-15,0,0,0.0,0.0,0.0,1.2,1.0,0.333,0.857,0.308,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.5,0.4,0.25,0.4,0.5,1.0,1.4,0.429,0.0,0.0,
343,203141_2014-15,0.48,0.5,0.197,22.6,40,2014-15,1,0,1.2,1.2,1.1,2.4,0.231,0.265,0.655,0.207,1.5,0.468,4.8,0.344,0.6,0.281,1.0,0.586,0.2,0.222,0.2,0.4,0.375,2.9,0.517,0.625,4.83,0.321
344,203956_2014-15,0.533,0.55,0.18,15.4,32,2014-15,3,0,1.3,1.3,1.1,4.9,0.617,0.444,0.901,0.247,0.5,0.5,0.9,0.378,0.0,0.0,3.4,0.615,0.3,0.444,1.8,0.568,0.987,4.72,0.583,0.013,0.06,0.0
345,2590_2014-15,0.466,0.512,0.243,29.5,68,2014-15,13,0,1.6,1.5,1.6,1.8,0.313,1.0,0.696,0.195,2.2,0.492,3.2,0.389,7.3,0.388,0.2,0.5,0.0,1.0,0.1,0.357,0.585,7.31,0.453,0.415,5.18,0.343
346,101145_2014-15,0.475,0.509,0.273,34.2,80,2014-15,3,0,4.1,1.6,3.2,7.6,0.323,0.857,0.52,0.297,5.8,0.477,2.4,0.33,6.4,0.394,0.6,0.641,0.2,0.5,0.7,0.52,0.785,12.94,0.503,0.215,3.54,0.286
347,101126_2014-15,0.406,0.432,0.225,14.3,42,2014-15,0,0,0.8,0.5,1.2,1.6,0.167,0.0,0.462,0.197,1.3,0.328,1.5,0.286,2.0,0.328,0.1,0.6,0.0,0.0,0.0,0.333,0.548,3.24,0.419,0.452,2.67,0.277
348,203489_2014-15,0.351,0.352,0.131,11.9,21,2014-15,0,0,0.3,0.1,0.2,1.6,0.0,0.0,0.4,0.1,1.3,0.448,0.0,0.0,0.6,0.375,0.2,0.5,0.0,0.0,0.0,0.0,0.868,2.19,0.435,0.132,0.33,0.0
349,1737_2014-15,0.433,0.431,0.131,5.6,23,2014-15,0,0,0.2,0.5,0.1,1.0,0.19,0.0,0.75,0.153,0.1,1.0,0.1,0.111,0.1,0.333,0.7,0.583,0.0,0.0,0.2,0.286,1.0,1.17,0.481,0.0,0.0,
350,2403_2014-15,0.512,0.534,0.215,25.6,67,2014-15,2,0,1.6,1.0,1.2,6.4,0.382,0.364,0.663,0.276,0.8,0.583,2.8,0.41,0.2,0.25,3.5,0.617,2.6,0.388,1.8,0.514,0.991,8.31,0.549,0.009,0.07,0.2
351,203457_2014-15,0.462,0.493,0.17,31.2,75,2014-15,18,0,1.9,2.2,1.0,7.1,0.213,0.27,0.723,0.203,1.0,0.407,0.9,0.294,0.3,0.333,5.5,0.58,1.3,0.326,1.1,0.324,1.0,8.19,0.492,0.0,0.0,
352,201979_2014-15,0.443,0.455,0.171,14.6,58,2014-15,0,0,1.2,0.2,1.0,3.0,0.7,0.0,0.721,0.126,1.2,0.354,0.4,0.243,0.6,0.27,0.8,0.59,0.0,0.0,0.4,0.474,0.809,3.14,0.511,0.191,0.74,0.256
353,2555_2014-15,0.451,0.485,0.126,16.9,66,2014-15,0,0,0.5,1.1,0.3,2.3,0.146,0.333,0.69,0.129,0.3,0.45,1.2,0.278,0.0,0.111,1.9,0.6,0.1,0.4,0.3,0.455,0.751,2.74,0.497,0.249,0.91,0.267
354,203910_2014-15,0.38,0.43,0.167,9.5,28,2014-15,0,0,0.4,0.4,0.5,1.5,0.25,0.0,0.955,0.2,0.6,0.3,0.3,0.188,0.3,0.273,0.8,0.727,0.0,0.0,0.1,0.2,0.691,1.74,0.447,0.309,0.78,0.238
355,201156_2014-15,0.453,0.52,0.248,24.1,42,2014-15,0,0,2.7,1.1,2.1,1.8,0.438,0.529,0.909,0.473,1.4,0.313,3.1,0.36,5.6,0.345,0.5,0.636,0.2,0.364,0.2,0.5,0.518,5.69,0.381,0.482,5.29,0.374
356,201587_2014-15,0.483,0.516,0.143,34.0,71,2014-15,5,0,1.3,1.0,1.6,2.4,0.267,0.125,0.692,0.154,1.1,0.375,3.8,0.321,2.1,0.36,0.8,0.703,0.0,0.333,0.3,0.692,0.473,3.9,0.505,0.527,4.35,0.324
357,203917_2014-15,0.446,0.492,0.138,15.6,73,2014-15,0,0,0.7,0.3,0.5,1.0,0.167,0.0,0.923,0.25,1.0,0.4,1.8,0.349,0.9,0.333,0.2,0.833,0.0,0.0,0.0,0.167,0.454,1.68,0.488,0.546,2.03,0.324
358,202703_2014-15,0.485,0.556,0.225,20.4,82,2014-15,8,0,1.6,1.3,1.1,2.9,0.74,0.72,0.855,0.291,1.4,0.437,3.3,0.347,1.1,0.277,1.9,0.589,0.9,0.49,0.5,0.524,0.474,3.38,0.542,0.526,3.74,0.322
359,201593_2014-15,0.424,0.502,0.224,26.6,31,2014-15,11,0,1.4,3.0,0.5,8.2,0.549,0.497,0.87,0.424,0.0,0.0,0.3,0.385,0.3,0.455,7.8,0.497,5.2,0.369,1.5,0.5,1.0,9.17,0.491,0.0,0.0,
360,202696_2014-15,0.524,0.548,0.254,34.6,74,2014-15,45,0,2.4,3.9,0.7,11.4,0.545,0.451,0.88,0.368,0.7,0.5,5.5,0.47,0.7,0.431,8.6,0.623,4.6,0.448,3.1,0.522,0.995,15.61,0.544,0.005,0.08,0.333
361,203943_2014-15,0.428,0.475,0.167,10.5,25,2014-15,1,0,0.6,1.1,0.0,1.8,0.346,0.321,0.755,0.161,0.2,0.222,0.6,0.385,0.3,0.3,1.6,0.519,0.4,0.214,0.4,0.286,0.797,2.04,0.49,0.203,0.52,0.385
362,202708_2014-15,0.461,0.483,0.179,24.7,75,2014-15,0,0,1.4,0.3,1.1,2.7,0.306,0.0,0.318,0.137,1.9,0.425,2.1,0.327,2.2,0.417,0.1,0.375,0.0,0.0,0.2,0.316,0.671,4.74,0.496,0.329,2.32,0.314
363,201564_2014-15,0.493,0.529,0.232,24.2,71,2014-15,0,0,2.2,1.0,1.8,3.6,0.477,0.355,0.86,0.323,2.1,0.475,4.3,0.375,2.1,0.337,0.7,0.7,0.2,0.267,0.6,0.581,0.595,5.57,0.49,0.405,3.8,0.357
364,203136_2014-15,0.667,0.727,0.109,4.5,16,2014-15,0,0,0.4,0.3,0.1,0.6,0.364,0.118,0.556,0.165,0.0,0.0,0.3,0.5,0.1,1.0,0.6,0.6,0.1,1.0,0.3,0.5,1.0,0.75,0.667,0.0,0.0,
365,201600_2014-15,0.517,0.545,0.138,26.4,76,2014-15,13,0,0.8,2.6,0.2,5.7,0.227,0.324,0.762,0.189,0.1,0.5,0.0,0.0,0.0,0.5,6.4,0.535,0.1,0.231,0.8,0.422,1.0,4.25,0.659,0.0,0.0,
366,201956_2014-15,0.53,0.58,0.182,21.4,67,2014-15,1,0,1.7,1.3,2.4,5.1,0.75,0.154,0.881,0.259,2.4,0.412,1.2,0.347,0.6,0.432,1.7,0.646,0.0,0.2,0.7,0.633,0.779,4.57,0.569,0.221,1.3,0.402
367,203490_2014-15,0.495,0.523,0.147,19.6,74,2014-15,0,0,1.2,0.8,1.3,2.4,0.542,0.5,0.694,0.281,0.4,0.462,2.2,0.361,0.7,0.347,1.4,0.553,0.1,0.429,0.4,0.583,0.724,3.65,0.522,0.276,1.39,0.34
368,200782_2014-15,0.511,0.541,0.138,31.0,78,2014-15,4,0,1.6,1.5,1.9,3.4,0.298,0.5,0.639,0.215,1.1,0.48,3.4,0.354,0.9,0.379,1.5,0.532,0.7,0.468,0.2,0.5,0.557,4.03,0.554,0.443,3.21,0.348
369,203798_2014-15,0.414,0.446,0.19,15.5,45,2014-15,1,0,1.1,0.9,0.6,1.1,2.0,0.0,0.421,0.367,1.1,0.347,3.2,0.306,0.9,0.353,0.2,0.364,0.0,0.0,0.0,0.0,0.368,2.11,0.4,0.632,3.62,0.301
370,203143_2014-15,0.524,0.557,0.113,18.1,67,2014-15,0,0,0.9,0.3,0.5,0.7,0.321,0.0,0.524,0.102,0.3,0.391,2.1,0.387,0.9,0.343,0.2,0.8,0.0,0.0,0.1,0.8,0.263,0.89,0.576,0.737,2.5,0.345
371,201976_2014-15,0.492,0.509,0.161,31.2,56,2014-15,2,0,1.9,1.2,1.2,2.9,0.136,0.0,0.159,0.158,2.4,0.433,5.7,0.363,1.0,0.3,0.2,0.333,0.0,0.0,0.1,0.2,0.354,3.14,0.506,0.646,5.73,0.358
372,203565_2014-15,0.25,0.25,0.203,7.3,4,2014-15,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.333,0.146,0.0,0.0,0.0,0.0,1.0,0.667,0.3,0.0,0.0,0.0,0.0,0.0,0.6,1.5,0.5,0.4,1.0,0.0
