,pidSzn,MIN,GP,Season,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,AVG_OREB_DIST,AVG_DREB_DIST,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
22,203460_2014-15,19.2,67,2014-15,0.4,0.5,3.1,0.291,0.1,0.9,2.0,0.303,4.9,0.6,0.4,8.2,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,200745_2014-15,27.1,29,2014-15,0.5,0.531,3.0,0.364,0.2,0.9,2.3,0.284,5.9,0.559,0.4,8.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1905_2014-15,5.2,7,2014-15,0.1,0.5,0.9,0.333,0.0,0.4,0.4,0.5,1.6,0.545,0.4,15.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,101106_2014-15,23.6,67,2014-15,0.5,0.745,4.0,0.522,0.0,2.9,3.0,0.48,10.5,0.57,0.9,5.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,203094_2014-15,12.3,40,2014-15,0.2,0.588,1.1,0.378,0.0,0.8,0.8,0.492,3.4,0.481,0.4,7.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,203952_2014-15,36.3,81,2014-15,0.5,0.679,5.3,0.312,0.2,1.0,2.0,0.339,5.6,0.526,0.4,6.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,203461_2014-15,15.8,56,2014-15,0.3,0.647,2.3,0.402,0.1,1.0,1.8,0.354,4.6,0.626,0.3,6.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,203076_2014-15,36.1,68,2014-15,0.8,0.694,5.3,0.481,0.2,3.3,4.4,0.424,10.7,0.716,0.5,5.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,201627_2014-15,24.4,74,2014-15,0.3,0.425,1.5,0.37,0.0,0.6,1.4,0.297,3.2,0.657,0.3,12.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,201229_2014-15,18.9,76,2014-15,0.4,0.353,1.8,0.381,0.1,0.8,1.7,0.319,5.3,0.46,0.6,8.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,203462_2014-15,13.0,41,2014-15,0.1,0.704,2.2,0.3,0.1,0.3,0.9,0.277,2.2,0.516,0.2,6.6,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,202620_2014-15,11.4,6,2014-15,0.2,0.857,2.5,0.467,0.0,0.8,1.5,0.357,3.0,0.778,0.0,3.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,203382_2014-15,16.0,70,2014-15,0.4,0.706,4.4,0.353,0.1,1.4,1.6,0.455,5.3,0.562,0.6,4.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,201167_2014-15,32.1,78,2014-15,0.2,0.444,1.5,0.231,0.1,0.3,2.6,0.091,4.6,0.613,0.3,16.2,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,201948_2014-15,10.1,34,2014-15,0.2,0.4,0.7,0.417,0.0,0.7,1.1,0.385,3.1,0.625,0.3,14.9,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,203085_2014-15,20.6,76,2014-15,0.2,0.407,1.6,0.218,0.1,0.3,1.4,0.168,3.6,0.453,0.4,11.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,202340_2014-15,31.5,77,2014-15,0.5,0.283,2.4,0.245,0.1,0.4,2.2,0.138,5.0,0.505,0.5,14.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2732_2014-15,14.1,56,2014-15,0.1,0.167,0.7,0.154,0.0,0.2,0.8,0.193,1.9,0.533,0.2,14.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,203463_2014-15,32.6,82,2014-15,0.3,0.161,1.9,0.199,0.1,0.4,2.1,0.171,5.5,0.467,0.5,15.1,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2757_2014-15,18.9,79,2014-15,0.2,0.35,1.0,0.256,0.0,0.2,1.4,0.122,3.2,0.482,0.3,15.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,203108_2014-15,9.9,16,2014-15,0.4,0.667,2.7,0.419,0.1,0.6,0.8,0.429,2.6,0.5,0.3,5.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,202687_2014-15,19.4,64,2014-15,0.5,0.792,6.1,0.41,0.3,1.4,2.4,0.371,7.2,0.54,0.6,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,201933_2014-15,35.2,67,2014-15,0.5,0.659,4.7,0.4,0.3,2.1,3.5,0.374,10.1,0.562,0.7,7.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,202711_2014-15,23.8,78,2014-15,0.2,0.72,2.3,0.276,0.1,0.3,1.8,0.16,3.4,0.613,0.2,7.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2564_2014-15,24.5,81,2014-15,0.3,0.641,2.8,0.345,0.2,1.1,2.2,0.337,6.3,0.525,0.6,7.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,203078_2014-15,33.5,63,2014-15,0.4,0.491,3.0,0.298,0.1,0.6,2.2,0.217,4.9,0.599,0.4,10.8,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,201148_2014-15,19.3,75,2014-15,0.8,0.523,3.3,0.516,0.1,1.2,1.3,0.472,5.4,0.48,0.6,7.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,101138_2014-15,23.5,82,2014-15,0.7,0.583,3.8,0.45,0.2,1.0,2.1,0.317,5.5,0.578,0.5,7.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,203561_2014-15,15.7,27,2014-15,0.4,0.553,2.9,0.494,0.0,0.6,1.1,0.333,3.7,0.45,0.4,7.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,201943_2014-15,28.6,41,2014-15,0.4,0.381,2.3,0.219,0.1,0.2,1.8,0.12,4.0,0.506,0.3,13.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,202688_2014-15,32.3,62,2014-15,0.2,0.519,2.1,0.209,0.1,0.5,2.9,0.142,6.5,0.522,0.5,12.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,201575_2014-15,8.2,33,2014-15,0.1,0.5,0.4,0.286,0.0,0.3,0.8,0.27,2.0,0.569,0.2,12.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2217_2014-15,5.4,22,2014-15,0.1,0.5,0.9,0.3,0.0,0.3,0.7,0.261,1.8,0.59,0.3,6.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,203148_2014-15,18.5,72,2014-15,0.2,0.154,0.8,0.232,0.1,0.0,1.3,0.031,2.7,0.487,0.3,18.9,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,201572_2014-15,29.2,72,2014-15,0.6,0.734,5.5,0.54,0.1,2.1,2.3,0.48,8.0,0.557,0.7,5.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,203998_2014-15,2.9,8,2014-15,0.0,1.0,0.5,0.25,0.1,0.0,0.1,0.0,0.3,0.5,0.0,2.3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,203955_2014-15,10.6,15,2014-15,0.1,0.333,0.4,0.5,0.0,0.1,0.9,0.067,1.6,0.625,0.0,22.1,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
