,pidSzn,SCREEN_ASSISTS,SCREEN_AST_PTS,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCHES,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCHES,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCHES,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS_PCT,PASSES_MADE,PASSES_RECEIVED,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,MIN,GP,Season,AST_PCT,AST_TO,AST_RATIO,TOV
12,201582_2014-15,0.0,0.0,1.0,0.253,0.1,0.03,0.3,0.072,3.9,0.4,0.219,0.1,0.061,0.1,0.07,1.7,2.3,0.634,0.3,0.143,0.2,0.058,3.6,0.7,0.1,0.0,1.4,0.053,13.1,10.7,0.1,0.244,0.0,0.024,0.0,0.049,20.1,12.0,0.6,1.86,0.53,14.1,68,2014-15,0.084,0.68,9.6,1.0
13,203459_2014-15,0.0,0.0,0.1,0.25,0.0,0.063,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.5,0.0,0.0,0.1,0.8,0.0,0.0,1.5,0.064,12.0,9.9,0.2,0.444,0.0,0.074,0.0,0.0,15.7,10.9,0.4,1.59,0.61,13.4,51,2014-15,0.082,2.6,18.3,0.3
14,202087_2014-15,0.0,0.0,0.4,0.3,0.1,0.071,0.0,0.029,1.3,0.1,0.429,0.0,0.0,0.0,0.0,0.1,0.2,0.476,0.0,0.1,0.0,0.095,0.4,0.5,0.1,0.1,1.2,0.052,8.9,8.8,0.6,0.337,0.1,0.059,0.1,0.05,14.0,10.6,0.5,2.11,1.31,12.2,54,2014-15,0.062,0.76,9.0,0.6
15,2405_2014-15,0.0,0.0,1.4,0.258,0.1,0.022,0.3,0.054,5.4,1.6,0.234,0.3,0.042,0.6,0.089,7.0,3.2,0.64,0.3,0.087,0.2,0.049,4.9,0.8,0.0,0.1,1.7,0.033,23.2,18.9,0.1,0.2,0.0,0.0,0.0,0.08,35.3,20.2,1.2,2.03,0.47,21.1,59,2014-15,0.064,0.58,6.5,1.3
16,101161_2014-15,0.0,0.0,1.7,0.272,0.2,0.033,0.2,0.039,6.1,0.4,0.341,0.1,0.099,0.2,0.154,1.2,1.4,0.458,0.2,0.155,0.2,0.058,3.0,1.6,0.2,0.1,3.0,0.047,33.4,23.6,0.2,0.188,0.1,0.059,0.1,0.082,43.1,24.8,1.0,1.38,0.42,26.4,75,2014-15,0.092,1.06,14.5,1.5
17,2760_2014-15,0.0,0.0,2.5,0.36,0.3,0.039,0.4,0.056,6.8,0.5,0.382,0.2,0.118,0.0,0.029,1.3,2.8,0.477,0.5,0.167,0.4,0.073,5.8,1.3,0.1,0.2,2.4,0.048,28.2,21.0,0.2,0.227,0.1,0.091,0.0,0.045,38.8,22.0,1.0,1.48,0.41,24.4,26,2014-15,0.09,1.0,12.0,1.4
18,203958_2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.067,3.8,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.3,4.5,0.2,2.01,0.52,5.4,4,2014-15,0.077,1.0,12.5,0.3
19,203083_2014-15,0.0,0.0,1.6,0.127,0.2,0.014,0.6,0.045,12.6,0.7,0.141,0.3,0.052,0.4,0.082,4.9,1.5,0.635,0.1,0.063,0.0,0.02,2.4,0.7,0.1,0.1,1.3,0.042,16.0,16.5,0.0,0.0,0.0,0.0,0.0,0.111,31.5,21.3,0.9,1.63,0.55,30.5,82,2014-15,0.037,0.46,4.2,1.5
20,2738_2014-15,0.0,0.0,0.5,0.398,0.1,0.08,0.1,0.045,1.1,0.2,0.341,0.1,0.136,0.0,0.068,0.6,0.4,0.592,0.1,0.172,0.0,0.0,0.6,3.0,0.2,0.3,5.7,0.089,33.2,33.2,0.8,0.361,0.3,0.136,0.2,0.107,44.4,27.5,2.2,3.0,2.03,26.9,77,2014-15,0.151,2.59,26.5,1.2
21,1889_2014-15,0.0,0.0,0.4,0.312,0.1,0.108,0.1,0.075,1.1,0.4,0.363,0.1,0.088,0.1,0.088,1.0,0.1,0.529,0.0,0.111,0.0,0.059,0.2,3.5,0.5,0.2,7.1,0.11,31.8,34.1,1.4,0.387,0.3,0.099,0.2,0.046,38.9,14.3,3.5,5.42,5.12,15.5,81,2014-15,0.352,2.73,39.8,1.3
