,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,Season
29,203382,Aron Baynes,1610612761,TOR,53,20,33,18.5,18.5,7013.98,1.33,0.69,0.64,4.05,4.23,3.87,2020-21
30,1630204,Ashton Hagans,1610612750,MIN,2,0,2,2.03,2.03,954.5,0.18,0.08,0.1,5.27,5.36,5.19,2020-21
31,203085,Austin Rivers,1610612743,DEN,36,20,16,23.47,23.47,8936.58,1.69,0.91,0.79,4.04,4.2,3.87,2020-21
32,202340,Avery Bradley,1610612745,HOU,27,6,21,22.29,22.29,8971.85,1.7,0.87,0.83,4.27,4.44,4.11,2020-21
33,1626253,Axel Toupane,1610612749,MIL,8,2,6,7.65,7.65,3396.0,0.64,0.32,0.32,4.55,5.2,4.18,2020-21
34,1628389,Bam Adebayo,1610612748,MIA,64,34,30,33.48,33.48,12582.88,2.38,1.24,1.14,4.0,4.23,3.78,2020-21
35,203463,Ben McLemore,1610612747,LAL,53,20,33,17.07,17.07,7054.64,1.34,0.7,0.63,4.47,4.68,4.25,2020-21
36,1627732,Ben Simmons,1610612755,PHI,58,42,16,32.37,32.37,12471.03,2.36,1.27,1.09,4.12,4.47,3.77,2020-21
37,202687,Bismack Biyombo,1610612766,CHA,66,28,38,20.44,20.44,7829.44,1.48,0.78,0.7,4.11,4.38,3.84,2020-21
38,201933,Blake Griffin,1610612751,BKN,46,24,22,25.8,25.8,8733.43,1.65,0.91,0.74,3.69,3.94,3.42,2020-21
