,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season
103,Lineups,-201949-202339-1626195-1628366-1630230-,J. Johnson - E. Bledsoe - W. Hernangomez - L. Ball - N. Marshall,1610612740,NOP,4,2,2,0.5,14.2,14.9,31.7,0.472,3.3,9.4,0.351,4.3,7.3,0.586,5.3,12.2,17.5,9.9,3.8,3.0,1.0,2.0,4.8,6.1,37.5,1.5,1342,1417,11786,6052,104,57,46,6675,304,187,5116,358,122,6081,35,62,44,54,14531,84,575,14428,14554,86,66,3920,2020-21
104,Lineups,-101150-201586-201976-202694-202704-,L. Williams - S. Ibaka - P. Beverley - M. Morris Sr. - R. Jackson,1610612746,LAC,1,0,1,0.0,14.2,12.2,25.3,0.48,3.0,5.1,0.6,2.0,3.0,0.667,1.0,10.1,11.1,4.1,4.1,4.1,1.0,0.0,6.1,3.0,29.4,-3.0,5843,8619,4785,8619,103,129,129,6540,326,867,2003,1650,1373,5425,1859,126,222,665,14540,15,575,1,14691,743,184,11993,2020-21
105,Lineups,-203090-1626153-1626158-1627741-1628963-,M. Harkless - D. Wright - R. Holmes - B. Hield - M. Bagley III,1610612758,SAC,5,4,1,0.8,14.2,13.0,25.7,0.504,2.4,7.7,0.316,2.4,4.3,0.571,3.2,10.3,13.6,6.5,4.3,4.1,1.4,1.2,5.7,2.8,30.8,3.2,957,534,4785,4878,105,106,121,4377,750,344,6177,1511,655,6091,201,121,100,246,14678,15,489,14250,14687,1307,159,1674,2020-21
106,Lineups,-202693-203083-203471-203484-1628398-,M. Morris - A. Drummond - D. Schroder - K. Caldwell-Pope - K. Kuzma,1610612747,LAL,5,1,4,0.2,14.2,12.0,23.9,0.5,4.7,10.1,0.46,4.3,5.1,0.84,2.8,9.7,12.6,8.1,5.3,1.8,1.8,1.2,5.5,4.5,32.8,-1.0,957,2859,14164,8517,108,157,168,4380,103,133,3967,367,411,3926,447,162,152,91,14754,773,367,14250,14681,316,130,8718,2020-21
107,Lineups,-1626195-1628411-1629627-1630184-1630230-,W. Hernangomez - W. Iwundu - Z. Williamson - K. Lewis Jr. - N. Marshall,1610612740,NOP,1,0,1,0.0,14.2,14.2,26.3,0.538,3.0,10.1,0.3,4.1,7.1,0.571,4.1,8.1,12.2,8.1,3.0,2.0,0.0,1.0,2.0,5.1,35.5,-1.0,5843,8619,4785,8619,107,67,103,3993,326,133,6247,371,125,6091,79,270,164,91,14124,284,4784,12416,11619,169,91,8718,2020-21
108,Lineups,-202329-202696-203095-203487-203932-,A. Aminu - N. Vucevic - E. Fournier - M. Carter-Williams - A. Gordon,1610612753,ORL,3,1,2,0.333,14.1,11.5,25.7,0.447,3.7,10.5,0.355,2.4,3.7,0.636,2.4,10.1,12.5,7.4,3.0,2.0,2.4,1.4,3.4,3.4,29.0,-2.7,1984,2859,11786,7833,110,163,122,7141,241,128,5098,1531,1209,5877,508,126,153,148,14124,284,86,14275,14170,686,208,11921,2020-21
109,Lineups,-1627747-1627763-1628410-1629048-1629052-,C. LeVert - M. Brogdon - E. Sumner - G. Bitadze - O. Brissett,1610612754,IND,1,0,1,0.0,14.1,11.1,30.4,0.367,5.1,14.2,0.357,5.1,6.1,0.833,5.1,9.1,14.2,7.1,2.0,3.0,4.1,1.0,6.1,5.1,32.4,-8.1,5843,8619,4785,8619,113,172,57,9037,60,34,5070,175,215,3930,36,184,84,161,12839,84,11,12416,14691,169,131,14541,2020-21
110,Lineups,-201942-1627749-1627751-1628401-1629640-,D. DeRozan - D. Murray - J. Poeltl - D. White - K. Johnson,1610612759,SAS,24,12,12,0.5,14.1,13.8,27.0,0.513,2.6,7.2,0.365,4.2,5.4,0.773,3.1,10.2,13.3,8.0,2.9,2.1,1.7,1.2,4.8,4.7,34.5,1.6,28,46,14796,6052,115,84,95,4326,680,381,5010,369,394,4557,209,125,103,119,14113,281,375,14241,14552,279,101,3899,2020-21
111,Lineups,-1629026-1629647-1629650-1630177-1630197-,K. Williams - D. Bazley - M. Brown - T. Maledon - A. Pokusevski,1610612760,OKC,2,0,2,0.0,14.1,11.7,26.8,0.434,2.0,7.6,0.267,3.0,5.1,0.6,4.6,7.6,12.2,7.6,9.1,2.5,0.5,0.5,6.1,5.6,28.4,-13.2,3207,8619,11786,8619,111,162,96,7468,822,348,6510,803,411,5959,74,358,164,136,14813,215,2719,11158,14691,146,216,14790,2020-21
112,Lineups,-203486-203924-1626153-1628402-1630180-,M. Plumlee - J. Grant - D. Wright - F. Jackson - S. Bey,1610612765,DET,4,2,2,0.5,14.1,10.9,24.8,0.439,2.8,9.4,0.297,7.9,9.6,0.816,2.8,11.4,14.2,7.6,5.1,3.0,0.5,1.5,5.6,7.9,32.4,1.5,1342,1417,11786,6052,109,207,145,7373,643,187,6295,39,39,4199,449,86,84,136,14709,84,2719,14317,14683,40,131,3920,2020-21
