,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season
151,Lineups,-201961-203486-1628372-1629635-1630180-,W. Ellington - M. Plumlee - D. Smith Jr. - S. Doumbouya - S. Bey,1610612765,DET,1,0,1,0.0,13.3,13.2,25.3,0.52,6.1,14.2,0.429,0.0,0.0,0.0,2.0,7.1,9.1,8.1,3.0,2.0,3.0,3.0,6.1,0.0,32.4,-2.0,5843,8619,4785,8619,146,89,129,4257,18,34,4156,7633,8014,7633,561,397,392,91,14124,284,26,14747,14691,9847,131,10339,2020-21
152,Lineups,-203083-1626204-1626224-1628422-1630171-,A. Drummond - L. Nance Jr. - C. Osman - D. Dotson - I. Okoro,1610612739,CLE,6,3,3,0.5,13.2,10.6,22.8,0.467,2.7,8.1,0.333,3.2,4.9,0.655,2.5,9.3,11.8,6.4,4.9,2.9,0.8,1.4,4.9,3.9,27.2,1.7,714,833,13480,6052,156,217,199,6752,651,272,5164,787,581,5869,464,179,201,250,14705,206,2302,14275,14561,595,261,3841,2020-21
153,Lineups,-1627761-1628449-1629139-1630223-1630273-,D. Bembry - C. Boucher - Y. Watanabe - J. Harris - F. Gillespie,1610612761,TOR,1,0,1,0.0,13.2,10.1,22.3,0.455,4.1,13.2,0.308,8.1,9.1,0.889,5.1,6.1,11.1,5.1,5.1,2.0,1.0,1.0,6.1,7.1,32.4,-2.0,5843,8619,4785,8619,155,237,211,6969,122,48,6211,25,42,3598,36,543,222,425,14709,284,575,12416,14691,47,131,10339,2020-21
154,Lineups,-201980-202699-203954-1627732-1630178-,D. Green - T. Harris - J. Embiid - B. Simmons - T. Maxey,1610612755,PHI,3,2,1,0.667,13.2,12.8,24.7,0.521,3.7,9.5,0.393,4.7,6.1,0.778,1.4,9.5,10.8,8.1,2.7,2.7,0.3,0.0,5.1,5.7,34.1,2.7,1984,1417,4785,5252,154,107,147,4254,241,181,4786,316,215,4498,1644,172,271,91,14071,210,3666,1,14566,141,113,2458,2020-21
155,Lineups,-201980-202699-203552-1627732-1628396-,D. Green - T. Harris - S. Curry - B. Simmons - T. Bradley,1610612755,PHI,6,3,3,0.5,13.2,12.3,25.5,0.483,3.7,8.8,0.423,2.2,3.9,0.565,2.9,10.5,13.3,7.9,4.4,2.7,1.5,1.9,5.1,4.4,30.6,0.5,714,833,13480,6052,157,127,127,6498,241,245,4322,1627,1187,6137,442,117,103,123,14683,210,399,14424,14566,320,160,5514,2020-21
156,Lineups,-202685-203937-1628415-1628960-1629630-,J. Valanciunas - K. Anderson - D. Brooks - G. Allen - J. Morant,1610612763,MEM,35,19,16,0.543,13.2,12.6,25.9,0.485,3.4,9.0,0.373,4.9,6.3,0.778,3.1,10.9,14.0,7.6,3.3,2.2,1.2,1.4,4.9,5.2,33.3,2.1,10,14,14815,6038,153,120,114,6486,302,239,4977,312,212,4498,210,107,97,143,14471,275,555,14305,14560,168,124,2740,2020-21
157,Lineups,-2730-201229-1629003-1629680-1630178-,D. Howard - A. Tolliver - S. Milton - M. Thybulle - T. Maxey,1610612755,PHI,1,0,1,0.0,13.1,10.1,24.3,0.417,1.0,5.1,0.2,6.1,9.1,0.667,4.1,9.1,13.2,4.1,4.1,5.1,1.0,2.0,8.1,10.1,27.4,-2.0,5843,8619,4785,8619,160,237,150,7883,2463,867,7137,81,42,5425,79,184,105,665,14540,5,575,14428,14798,5,248,10339,2020-21
158,Lineups,-1627749-1628401-1629234-1629640-1629677-,D. Murray - D. White - D. Eubanks - K. Johnson - L. Samanic,1610612759,SAS,1,1,0,1.0,13.1,11.1,23.3,0.478,3.0,8.1,0.375,0.0,0.0,0.0,2.0,9.1,11.1,4.1,6.1,3.0,3.0,1.0,5.1,1.0,25.3,4.1,5843,2859,1,1,165,172,180,6556,326,272,4869,7633,8014,7633,561,184,222,665,14762,84,26,12416,14566,4371,299,1079,2020-21
159,Lineups,-1626156-1626157-1627736-1627823-1629633-,D. Russell - K. Towns - M. Beasley - J. Hernangomez - J. Culver,1610612750,MIN,1,0,1,0.0,13.1,12.2,21.3,0.571,3.0,5.1,0.6,1.0,2.0,0.5,2.0,13.2,15.2,6.1,5.1,0.0,2.0,1.0,3.0,4.1,28.4,0.0,5843,8619,4785,8619,162,129,241,3387,326,867,2003,4231,2365,6168,561,44,62,266,14709,6157,95,12416,13550,349,216,5967,2020-21
160,Lineups,-203920-1627783-1629018-1629139-1630201-,K. Birch - P. Siakam - G. Trent Jr. - Y. Watanabe - M. Flynn,1610612761,TOR,1,0,1,0.0,13.1,10.1,31.4,0.323,4.1,12.2,0.333,3.0,5.1,0.6,6.1,9.1,15.2,7.1,3.0,1.0,1.0,3.0,5.1,5.1,27.4,-8.1,5843,8619,4785,8619,158,237,48,10262,122,69,5164,803,411,5959,15,184,62,161,14124,1192,575,14747,14566,169,248,14541,2020-21
161,Lineups,-200768-203382-1626181-1627783-1627832-,K. Lowry - A. Baynes - N. Powell - P. Siakam - F. VanVleet,1610612761,TOR,10,4,6,0.4,13.1,12.1,25.5,0.472,4.6,10.5,0.433,5.5,6.2,0.885,2.3,7.5,9.8,7.5,3.0,3.3,0.9,1.4,6.1,5.8,34.1,1.1,268,534,14594,7676,164,155,126,6667,104,125,4147,165,214,3660,523,373,362,147,14124,80,2284,14305,14691,139,112,4274,2020-21
162,Lineups,-202696-203095-203487-203516-203920-,N. Vucevic - E. Fournier - M. Carter-Williams - J. Ennis III - K. Birch,1610612753,ORL,1,1,0,1.0,13.1,15.2,28.4,0.536,8.1,15.2,0.533,2.0,3.0,0.667,4.1,14.2,18.2,11.1,5.1,0.0,2.0,0.0,6.1,4.1,40.5,7.1,5843,2859,1,1,159,42,74,4071,6,22,2354,1650,1373,5425,79,29,35,20,14709,6157,95,1,14691,349,43,304,2020-21
163,Lineups,-201939-203952-1626162-1628539-1629308-,S. Curry - A. Wiggins - K. Oubre Jr. - M. Mulder - J. Toscano-Anderson,1610612744,GSW,1,1,0,1.0,13.1,10.1,21.3,0.476,6.1,15.2,0.4,4.1,4.1,1.0,0.0,10.1,10.1,10.1,4.1,2.0,1.0,0.0,6.1,4.1,30.4,6.1,5843,2859,1,1,162,237,241,6585,18,22,4420,371,667,1,6830,126,290,31,14540,284,575,1,14691,349,162,462,2020-21
164,Lineups,-202684-202689-203935-1628369-1629641-,T. Thompson - K. Walker - M. Smart - J. Tatum - R. Langford,1610612738,BOS,1,1,0,1.0,13.1,11.1,24.3,0.458,4.1,9.1,0.444,5.1,5.1,1.0,4.1,9.1,13.2,7.1,4.1,1.0,1.0,0.0,2.0,7.1,31.4,7.1,5843,2859,1,1,160,172,150,6927,122,192,4028,175,411,1,79,184,105,161,14540,1192,575,1,11619,47,148,304,2020-21
165,Lineups,-202322-203463-1626174-1628425-1630256-,J. Wall - B. McLemore - C. Wood - S. Brown - J. Tate,1610612745,HOU,2,1,1,0.5,13.0,11.1,25.8,0.431,5.1,12.7,0.4,2.0,3.0,0.667,2.5,10.1,12.7,9.6,4.1,3.0,2.0,1.0,4.1,4.1,29.4,2.0,3207,2859,4785,6052,169,172,115,7488,60,63,4420,1650,1373,5425,464,126,145,55,14540,84,95,12416,14287,349,184,2742,2020-21
166,Lineups,-202689-203935-1627759-1628369-1629021-,K. Walker - M. Smart - J. Brown - J. Tatum - M. Wagner,1610612738,BOS,1,0,1,0.0,13.0,8.1,26.3,0.308,3.0,13.2,0.231,4.1,4.1,1.0,6.1,7.1,13.2,5.1,5.1,3.0,1.0,3.0,6.1,3.0,23.3,-3.0,5843,8619,4785,8619,168,424,103,10310,326,48,7037,371,667,1,15,397,105,425,14709,84,575,14747,14691,743,369,11993,2020-21
167,Lineups,-1628396-1629660-1629718-1630221-1630466-,T. Bradley - T. Jerome - C. Brown Jr. - J. Hall - G. Deck,1610612760,OKC,1,0,1,0.0,13.0,9.1,21.3,0.429,3.0,10.1,0.3,4.1,4.1,1.0,0.0,12.2,12.2,5.1,1.0,0.0,0.0,0.0,4.1,5.1,25.3,-2.0,5843,8619,4785,8619,167,326,241,7494,326,133,6247,371,667,1,6830,62,164,425,8625,6157,4784,1,14287,169,299,10339,2020-21
168,Lineups,-202684-202689-203095-203935-1628369-,T. Thompson - K. Walker - E. Fournier - M. Smart - J. Tatum,1610612738,BOS,3,0,3,0.0,13.0,11.8,22.6,0.522,5.7,12.2,0.472,4.7,6.4,0.737,1.7,11.8,13.5,8.1,3.7,2.0,0.3,0.7,7.1,6.1,34.1,6.4,1984,8619,13480,8619,166,160,203,4238,51,69,3923,316,206,5167,1324,80,102,91,14522,284,3666,12068,14767,86,113,457,2020-21
169,Lineups,-201571-1629610-1630231-1630237-1630256-,D. Augustin - D. Jeffries - K. Martin Jr. - A. Lamb - J. Tate,1610612745,HOU,1,0,1,0.0,12.9,10.1,27.4,0.37,5.1,12.2,0.417,2.0,3.0,0.667,3.0,8.1,11.1,7.1,3.0,0.0,0.0,1.0,6.1,1.0,27.4,-16.2,5843,8619,4785,8619,172,237,86,9014,60,69,4342,1650,1373,5425,211,270,222,161,14124,6157,4784,12416,14691,4371,248,14809,2020-21
170,Lineups,-201142-201145-201599-201935-202681-,K. Durant - J. Green - D. Jordan - J. Harden - K. Irving,1610612751,BKN,1,0,1,0.0,12.9,13.2,19.3,0.684,4.1,8.1,0.5,5.1,5.1,1.0,1.0,11.1,12.2,10.1,6.1,1.0,1.0,0.0,6.1,5.1,35.5,2.0,5843,8619,4785,8619,171,89,323,1805,122,272,2381,175,411,1,1859,88,164,31,14762,1192,575,1,14691,169,91,2742,2020-21
171,Lineups,-204001-1626196-1627827-1628467-1629029-,K. Porzingis - J. Richardson - D. Finney-Smith - M. Kleber - L. Doncic,1610612742,DAL,22,16,6,0.727,12.9,12.0,23.7,0.506,5.2,11.9,0.434,4.1,5.3,0.774,2.3,9.6,11.9,7.1,3.2,1.9,1.3,0.7,4.2,5.2,33.2,3.2,36,20,14594,5171,170,156,171,4370,59,85,4141,370,406,4556,527,167,199,160,14461,767,527,12256,14492,167,126,1679,2020-21
172,Lineups,-200746-201933-202681-203925-1628971-,L. Aldridge - B. Griffin - K. Irving - J. Harris - B. Brown,1610612751,BKN,1,0,1,0.0,12.9,12.2,27.4,0.444,2.0,6.1,0.333,1.0,1.0,1.0,3.0,9.1,12.2,7.1,1.0,1.0,2.0,2.0,0.0,2.0,27.4,3.0,5843,8619,4785,8619,173,129,86,7161,822,569,5164,4231,5625,1,211,184,164,161,8625,1192,95,14428,1,1669,248,1688,2020-21
173,Lineups,-200794-203115-203999-1627750-1629626-,P. Millsap - W. Barton - N. Jokic - J. Murray - B. Bol,1610612743,DEN,2,1,1,0.5,12.9,14.2,22.8,0.622,3.5,6.6,0.538,2.0,3.0,0.667,1.0,7.1,8.1,10.1,4.1,3.5,2.0,0.5,3.5,3.0,33.9,0.0,3207,2859,4785,6052,173,67,199,2798,255,505,2330,1650,1373,5425,1859,397,520,31,14540,67,95,11158,14197,743,117,5967,2020-21
174,Lineups,-201933-203486-203924-1626153-1630165-,B. Griffin - M. Plumlee - J. Grant - D. Wright - K. Hayes,1610612765,DET,3,0,3,0.0,12.8,11.1,22.0,0.508,3.7,8.4,0.44,3.4,5.1,0.667,0.7,9.1,9.8,7.1,3.7,1.4,0.3,1.0,3.0,5.7,29.4,-2.7,1984,8619,13480,8619,181,172,233,4358,241,260,4109,757,411,5425,4629,184,363,161,14522,1034,3666,12416,13550,141,184,11921,2020-21
175,Lineups,-101108-1626163-1626164-1628969-1629028-,C. Paul - F. Kaminsky - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,13,10,3,0.769,12.8,12.7,23.2,0.547,2.6,6.4,0.402,3.1,3.6,0.87,2.1,10.1,12.2,7.6,3.7,1.2,1.1,1.0,4.1,2.9,31.1,2.2,133,80,13480,4965,180,112,197,3874,683,548,4418,801,1241,3743,559,126,162,144,14520,1174,569,12416,14488,1302,155,2733,2020-21
176,Lineups,-201980-203118-203552-203954-1627788-,D. Green - M. Scott - S. Curry - J. Embiid - F. Korkmaz,1610612755,PHI,1,0,1,0.0,12.8,13.2,26.3,0.5,6.1,10.1,0.6,0.0,0.0,0.0,1.0,8.1,9.1,8.1,1.0,3.0,1.0,2.0,5.1,1.0,32.4,7.1,5843,8619,4785,8619,177,89,103,4380,18,133,2003,7633,8014,7633,1859,270,392,91,8625,84,575,14428,14566,4371,131,304,2020-21
177,Lineups,-201142-201145-203925-1628386-1628971-,K. Durant - J. Green - J. Harris - J. Allen - B. Brown,1610612751,BKN,1,1,0,1.0,12.8,17.2,23.3,0.739,5.1,7.1,0.714,1.0,2.0,0.5,1.0,6.1,7.1,11.1,5.1,2.0,3.0,2.0,5.1,5.1,40.5,10.1,5843,2859,1,1,182,28,180,1623,60,383,1496,4231,2365,6168,1859,543,674,20,14709,284,26,14428,14566,169,43,90,2020-21
178,Lineups,-1627783-1628384-1628449-1629018-1630201-,P. Siakam - O. Anunoby - C. Boucher - G. Trent Jr. - M. Flynn,1610612761,TOR,4,2,2,0.5,12.8,12.4,24.3,0.51,4.3,11.1,0.386,4.1,5.1,0.8,2.3,9.6,11.9,6.1,3.0,2.8,1.3,0.5,5.8,4.3,33.2,5.1,1342,1417,11786,6052,176,124,150,4349,118,92,4806,371,411,4235,529,164,198,266,14124,207,531,11158,14688,333,127,702,2020-21
179,Lineups,-200752-201988-203476-1629022-1629640-,R. Gay - P. Mills - G. Dieng - L. Walker IV - K. Johnson,1610612759,SAS,1,0,1,0.0,12.8,8.1,18.2,0.444,3.0,8.1,0.375,2.0,3.0,0.667,1.0,6.1,7.1,4.1,4.1,4.1,0.0,2.0,7.1,7.1,21.3,0.0,5843,8619,4785,8619,182,424,377,7161,326,272,4869,1650,1373,5425,1859,543,674,665,14540,15,4784,14428,14767,47,454,5967,2020-21
180,Lineups,-203524-1628381-1629027-1629631-1630168-,S. Hill - J. Collins - T. Young - D. Hunter - O. Okongwu,1610612737,ATL,1,1,0,1.0,12.8,14.2,21.3,0.667,2.0,5.1,0.4,12.2,14.2,0.857,2.0,8.1,10.1,10.1,2.0,3.0,3.0,0.0,5.1,10.1,42.6,8.1,5843,2859,1,1,177,67,241,1815,822,867,4420,5,5,3770,561,270,290,31,12839,84,26,1,14566,5,38,194,2020-21
181,Lineups,-2772-202710-1628389-1629130-1629134-,T. Ariza - J. Butler - B. Adebayo - D. Robinson - K. Nunn,1610612748,MIA,16,10,6,0.625,12.8,11.3,22.2,0.509,3.6,9.4,0.385,3.9,4.8,0.816,1.6,8.4,9.9,7.5,3.2,3.3,1.1,1.0,4.3,4.7,30.1,1.5,81,80,14594,5774,175,170,226,4355,251,187,4811,664,584,4199,1386,267,356,146,14460,81,572,12416,14499,270,177,3920,2020-21
182,Lineups,-2772-202710-203506-1628389-1629130-,T. Ariza - J. Butler - V. Oladipo - B. Adebayo - D. Robinson,1610612748,MIA,4,3,1,0.75,12.8,10.9,22.0,0.494,3.0,8.9,0.343,5.3,6.6,0.808,1.8,8.6,10.4,7.9,4.6,3.8,0.8,0.8,4.1,6.3,30.1,3.8,1342,833,4785,4973,179,207,228,6426,326,243,5155,169,197,4227,1307,247,286,127,14690,63,2351,12279,14287,81,176,1526,2020-21
183,Lineups,-203200-1626167-1627734-1627747-1628410-,J. Holiday - M. Turner - D. Sabonis - C. LeVert - E. Sumner,1610612754,IND,1,0,1,0.0,12.7,11.1,22.3,0.5,3.0,10.1,0.3,0.0,0.0,0.0,2.0,9.1,11.1,8.1,7.1,3.0,1.0,1.0,5.1,2.0,25.3,-4.1,5843,8619,4785,8619,185,172,211,4380,326,133,6247,7633,8014,7633,561,184,222,91,14790,84,575,12416,14566,1669,299,13029,2020-21
184,Lineups,-101150-203524-203991-1628381-1629164-,L. Williams - S. Hill - C. Capela - J. Collins - B. Goodwin,1610612737,ATL,1,0,1,0.0,12.7,7.1,24.3,0.292,1.0,6.1,0.167,5.1,7.1,0.714,6.1,8.1,14.2,6.1,5.1,0.0,2.0,4.1,4.1,6.1,20.3,-14.2,5843,8619,4785,8619,185,563,150,10451,2463,569,7433,175,125,5245,15,270,84,266,14709,6157,95,14808,14287,86,521,14798,2020-21
185,Lineups,-201144-203497-204060-1627777-1629671-,M. Conley - R. Gobert - J. Ingles - G. Niang - M. Oni,1610612762,UTA,2,2,0,1.0,12.7,9.1,24.3,0.375,5.6,16.7,0.333,5.1,5.6,0.909,2.0,10.6,12.7,7.6,1.0,1.0,0.5,2.0,4.6,5.1,28.9,4.1,3207,1417,1,1,187,326,150,8809,53,15,5164,175,376,3513,561,111,145,136,8625,1192,2719,14428,14522,169,211,1079,2020-21
186,Lineups,-203115-203999-1627750-1628420-1629008-,W. Barton - N. Jokic - J. Murray - M. Morris - M. Porter Jr.,1610612743,DEN,12,8,4,0.667,12.7,13.4,25.0,0.537,4.0,8.4,0.47,2.9,3.4,0.85,2.4,10.4,12.7,8.1,2.8,1.9,1.0,1.3,3.3,3.9,33.7,6.2,172,139,14164,5252,184,87,143,4067,231,260,3930,1312,1314,3885,508,120,144,91,14097,769,575,14258,14150,595,120,461,2020-21
187,Lineups,-1627761-1628384-1628449-1629018-1630201-,D. Bembry - O. Anunoby - C. Boucher - G. Trent Jr. - M. Flynn,1610612761,TOR,1,1,0,1.0,12.6,12.2,20.3,0.6,3.0,6.1,0.5,5.1,6.1,0.833,1.0,11.1,12.2,6.1,6.1,1.0,5.1,2.0,4.1,5.1,32.4,1.0,5843,2859,1,1,192,129,275,2864,326,569,2381,175,215,3930,1859,88,164,266,14762,1192,3,14428,14287,169,131,4284,2020-21
188,Lineups,-203914-1628407-1628976-1629643-1630175-,G. Harris - D. Bacon - W. Carter Jr. - C. Okeke - C. Anthony,1610612753,ORL,6,1,5,0.167,12.6,8.1,21.3,0.381,1.5,5.4,0.281,5.9,7.4,0.795,1.5,7.8,9.3,4.2,2.2,2.7,0.7,1.4,4.1,5.1,23.6,-6.4,714,2859,14448,8574,188,424,241,8776,1845,821,6463,150,120,4457,1390,347,389,664,13911,210,2436,14275,14287,169,366,14356,2020-21
189,Lineups,-203087-203200-1626167-1627734-1627763-,J. Lamb - J. Holiday - M. Turner - D. Sabonis - M. Brogdon,1610612754,IND,11,4,7,0.364,12.6,10.8,23.6,0.457,4.5,10.5,0.43,2.7,3.0,0.879,2.3,7.6,9.9,7.0,3.1,1.5,1.6,1.4,3.9,3.5,28.7,-2.4,210,534,14678,7824,191,213,175,6954,113,127,4153,1373,1373,3668,527,357,355,220,14457,1014,395,14302,14278,678,214,11738,2020-21
190,Lineups,-202693-203083-203471-203484-1629659-,M. Morris - A. Drummond - D. Schroder - K. Caldwell-Pope - T. Horton-Tucker,1610612747,LAL,1,1,0,1.0,12.6,13.2,23.3,0.565,4.1,6.1,0.667,4.1,5.1,0.8,1.0,12.2,13.2,9.1,3.0,0.0,1.0,3.0,2.0,6.1,34.4,13.2,5843,2859,1,1,189,89,180,3612,122,569,1528,371,411,4235,1859,62,105,60,14124,6157,575,14747,11619,86,102,31,2020-21
191,Lineups,-200782-201935-1626174-1627863-1628021-,P. Tucker - J. Harden - C. Wood - D. House Jr. - D. Nwaba,1610612745,HOU,2,0,2,0.0,12.6,9.6,19.8,0.487,3.5,8.6,0.412,4.6,6.1,0.75,0.0,7.6,7.6,6.1,4.1,2.5,0.5,1.0,5.1,4.1,27.4,-6.1,3207,8619,11786,8619,190,301,312,6460,255,250,4375,325,215,4604,6830,358,638,266,14540,215,2719,12416,14566,349,248,14103,2020-21
192,Lineups,-201959-202692-1628373-1630167-1630193-,T. Gibson - A. Burks - F. Ntilikina - O. Toppin - I. Quickley,1610612752,NYK,2,1,1,0.5,12.6,10.1,19.3,0.526,4.6,11.1,0.409,7.6,8.6,0.882,2.0,7.6,9.6,4.6,5.1,3.0,0.0,0.5,6.6,7.1,32.4,2.5,3207,2859,4785,6052,193,237,323,4198,104,92,4396,40,64,3662,561,358,369,606,14709,84,4784,11158,14755,47,131,2520,2020-21
193,Lineups,-202329-202696-203487-203932-1628407-,A. Aminu - N. Vucevic - M. Carter-Williams - A. Gordon - D. Bacon,1610612753,ORL,1,0,1,0.0,12.5,13.2,20.3,0.65,2.0,5.1,0.4,6.1,6.1,1.0,2.0,14.2,16.2,5.1,6.1,1.0,1.0,0.0,3.0,5.1,34.4,11.1,5843,8619,4785,8619,196,89,275,2580,822,867,4420,81,215,1,561,29,54,425,14762,1192,575,1,13550,169,102,61,2020-21
194,Lineups,-201942-1626168-1627749-1627751-1629022-,D. DeRozan - T. Lyles - D. Murray - J. Poeltl - L. Walker IV,1610612759,SAS,5,3,2,0.6,12.5,11.3,23.5,0.483,3.0,7.5,0.405,3.9,4.5,0.864,2.6,8.5,11.1,7.7,3.0,1.8,1.6,1.6,3.2,3.0,29.6,-0.8,957,833,11786,5817,194,168,179,6504,326,365,4413,669,634,3759,462,257,222,131,14124,773,389,14389,14140,743,182,8670,2020-21
195,Lineups,-202322-203482-1626174-1629717-1630256-,J. Wall - K. Olynyk - C. Wood - A. Brooks - J. Tate,1610612745,HOU,3,0,3,0.0,12.5,7.1,22.0,0.323,3.0,12.2,0.25,5.7,6.8,0.85,2.7,9.8,12.5,5.4,4.7,2.0,1.0,1.0,3.4,5.4,23.0,-5.7,1984,8619,13480,8619,198,563,233,10261,326,69,6546,155,192,3885,453,160,153,406,14699,284,575,12416,14170,159,396,14095,2020-21
196,Lineups,-202357-1629130-1629216-1629639-1630173-,N. Bjelica - D. Robinson - G. Vincent - T. Herro - P. Achiuwa,1610612748,MIA,1,1,0,1.0,12.5,12.2,20.3,0.6,4.1,7.1,0.571,0.0,0.0,0.0,0.0,9.1,9.1,10.1,5.1,5.1,2.0,2.0,6.1,2.0,28.4,9.1,5843,2859,1,1,195,129,275,2864,122,383,2188,7633,8014,7633,6830,184,392,31,14709,5,95,14428,14691,1669,216,137,2020-21
197,Lineups,-1626145-1626159-1629681-1630214-1630217-,T. Jones - J. Winslow - K. Tillie - X. Tillman - D. Bane,1610612763,MEM,1,1,0,1.0,12.5,10.1,23.3,0.435,2.0,7.1,0.286,7.1,7.1,1.0,2.0,13.2,15.2,5.1,3.0,4.1,1.0,0.0,2.0,4.1,29.4,5.1,5843,2859,1,1,196,237,180,7442,822,383,6320,46,125,1,561,44,62,425,14124,15,575,1,11619,349,184,702,2020-21
198,Lineups,-201980-203118-203954-1629751-1630178-,D. Green - M. Scott - J. Embiid - D. Mathias - T. Maxey,1610612755,PHI,1,0,1,0.0,12.4,4.1,21.3,0.19,1.0,8.1,0.125,3.0,4.1,0.75,0.0,13.2,13.2,4.1,4.1,0.0,3.0,0.0,6.1,2.0,12.2,-17.2,5843,8619,4785,8619,199,1709,241,11592,2463,272,7669,803,667,4604,6830,44,105,665,14540,6157,26,1,14691,1669,1561,14811,2020-21
199,Lineups,-203121-203488-1629026-1629676-1630197-,D. Miller - M. Muscala - K. Williams - I. Roby - A. Pokusevski,1610612760,OKC,1,1,0,1.0,12.4,12.2,16.2,0.75,4.1,6.1,0.667,8.1,8.1,1.0,0.0,11.1,11.1,10.1,8.1,2.0,1.0,1.0,4.1,4.1,36.5,13.2,5843,2859,1,1,202,129,482,1324,122,569,1528,25,68,1,6830,88,222,31,14809,284,575,12416,14287,349,77,31,2020-21
200,Lineups,-202334-1626156-1627736-1627823-1629633-,E. Davis - D. Russell - M. Beasley - J. Hernangomez - J. Culver,1610612750,MIN,4,1,3,0.25,12.4,10.1,22.5,0.449,3.3,7.6,0.433,4.3,5.6,0.773,3.3,9.1,12.4,4.1,3.5,1.8,1.5,0.8,5.3,4.6,27.9,-2.5,1342,2859,13480,8342,202,237,207,7124,304,348,4142,358,376,4558,199,184,157,665,14492,784,399,12279,14675,288,241,11751,2020-21
201,Lineups,-202322-1626174-1627863-1628425-1630256-,J. Wall - C. Wood - D. House Jr. - S. Brown - J. Tate,1610612745,HOU,3,2,1,0.667,12.4,11.5,23.3,0.493,3.7,8.8,0.423,3.7,4.7,0.786,3.0,10.1,13.2,8.1,2.7,1.0,0.7,1.0,2.4,5.4,30.4,4.4,1984,1417,4785,5252,204,163,180,6434,241,245,4322,676,586,4473,211,126,105,91,14071,1192,2436,12416,13240,159,162,1057,2020-21
202,Lineups,-2544-201188-203471-203484-1628398-,L. James - M. Gasol - D. Schroder - K. Caldwell-Pope - K. Kuzma,1610612747,LAL,6,4,2,0.667,12.4,11.5,21.6,0.531,3.2,8.1,0.396,2.5,3.2,0.789,2.0,9.1,11.1,6.2,4.4,0.8,1.5,0.8,4.2,4.7,28.7,0.7,714,534,11786,5252,201,163,238,4138,319,272,4776,1385,1366,4463,561,184,222,262,14683,3542,399,12376,14493,271,215,5406,2020-21
203,Lineups,-200782-202322-203506-1626174-1630256-,P. Tucker - J. Wall - V. Oladipo - C. Wood - J. Tate,1610612745,HOU,3,3,0,1.0,12.4,10.8,23.6,0.457,5.1,13.8,0.366,1.4,2.4,0.571,1.4,9.5,10.8,6.8,4.1,1.7,1.4,2.0,2.7,3.0,28.0,1.0,1984,833,1,1,200,210,172,6948,60,47,5006,3892,2206,6091,1644,172,271,224,14540,815,498,14428,13485,743,239,4284,2020-21
204,Lineups,-200782-202322-203506-1628425-1630256-,P. Tucker - J. Wall - V. Oladipo - S. Brown - J. Tate,1610612745,HOU,2,0,2,0.0,12.4,7.1,21.3,0.333,3.5,11.7,0.304,5.6,7.6,0.733,2.0,7.1,9.1,3.5,3.0,2.5,1.5,1.0,5.6,5.6,23.3,-2.5,3207,8619,11786,8619,205,563,241,9263,255,87,6240,159,117,5179,561,397,392,1060,14124,215,399,12416,14683,146,369,11751,2020-21
205,Lineups,-203952-1626162-1629308-1629673-1630164-,A. Wiggins - K. Oubre Jr. - J. Toscano-Anderson - J. Poole - J. Wiseman,1610612744,GSW,2,0,2,0.0,12.3,10.6,24.3,0.438,3.5,7.1,0.5,2.0,2.0,1.0,3.0,8.6,11.7,5.6,4.6,1.0,0.0,3.0,6.6,3.0,26.8,-10.1,3207,8619,11786,8619,209,217,150,7378,255,383,2381,1650,2365,1,211,247,205,387,14690,1192,4784,14747,14755,743,265,14717,2020-21
206,Lineups,-201567-1628386-1629012-1629636-1630171-,K. Love - J. Allen - C. Sexton - D. Garland - I. Okoro,1610612739,CLE,7,1,6,0.143,12.3,10.4,22.6,0.462,2.2,6.7,0.326,3.9,5.1,0.771,3.3,9.6,12.9,5.5,3.9,1.6,0.6,1.0,3.3,5.1,26.9,1.3,542,2859,14594,8604,207,232,206,6823,816,502,6149,666,411,4562,198,168,140,405,14535,862,2685,12416,14164,169,264,4198,2020-21
207,Lineups,-201937-1626157-1627774-1629020-1630162-,R. Rubio - K. Towns - J. Layman - J. Vanderbilt - A. Edwards,1610612750,MIN,8,3,5,0.375,12.3,10.6,22.0,0.483,3.2,8.4,0.379,3.0,4.2,0.727,2.2,9.2,11.4,7.3,5.7,2.7,2.0,1.4,4.8,4.3,27.5,0.1,427,833,14448,7808,210,217,228,6504,321,265,4862,803,661,5200,553,180,216,152,14759,214,95,14303,14554,333,246,5951,2020-21
