,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,Season
1595,Lineups,-101108-203967-1628470-1629661-,C. Paul - D. Saric - T. Craig - C. Johnson,1610612756,PHX,19,15,4,0.789,63.0,0.526,0.171,0.081,0.324,0.561,0.234,0.114,0.253,783,371,24126,6915,1592,13008,15872,10094,8806,17111,15772,14876,19644,2020-21
1596,Lineups,-203081-203496-1627884-1629014-,D. Lillard - R. Covington - D. Jones Jr. - A. Simons,1610612757,POR,17,13,4,0.765,63.0,0.568,0.191,0.142,0.271,0.482,0.321,0.123,0.224,980,530,24126,7025,1619,10059,14852,17180,11535,10439,19962,13893,16999,2020-21
1597,Lineups,-203926-1627747-1628410-1629052-,D. McDermott - C. LeVert - E. Sumner - O. Brissett,1610612754,IND,7,4,3,0.571,63.0,0.605,0.266,0.125,0.169,0.5,0.319,0.138,0.291,4033,3408,21655,10490,1604,7727,10771,14858,17665,10918,19893,11764,21457,2020-21
1598,Lineups,-201565-203944-1629628-1630193-,D. Rose - J. Randle - R. Barrett - I. Quickley,1610612752,NYK,17,14,3,0.824,63.0,0.648,0.257,0.191,0.277,0.492,0.195,0.104,0.25,980,443,21655,6587,1607,5837,11079,22350,11167,10791,13413,16252,18205,2020-21
1599,Lineups,-203967-1626166-1628470-1628975-,D. Saric - C. Payne - T. Craig - J. Carter,1610612756,PHX,11,9,2,0.818,63.0,0.603,0.119,0.115,0.27,0.505,0.279,0.137,0.183,2133,1098,17094,6593,1593,7811,18221,13900,11583,13790,18101,11892,13656,2020-21
1600,Lineups,-203200-1626167-1627734-1628410-,J. Holiday - M. Turner - D. Sabonis - E. Sumner,1610612754,IND,8,2,6,0.25,63.0,0.491,0.124,0.187,0.221,0.488,0.163,0.116,0.267,3466,6537,26656,18084,1611,16861,18147,22077,15234,10688,11722,14653,20073,2020-21
1601,Lineups,-1628367-1628402-1630180-1630191-,J. Jackson - F. Jackson - S. Bey - I. Stewart,1610612765,DET,15,4,11,0.267,63.0,0.553,0.31,0.176,0.328,0.522,0.36,0.156,0.238,1271,3408,28545,18074,1603,11141,8789,21307,8746,14554,21471,9489,17793,2020-21
1602,Lineups,-201567-1626224-1628386-1629636-,K. Love - C. Osman - J. Allen - D. Garland,1610612739,CLE,4,1,3,0.25,63.0,0.548,0.278,0.14,0.242,0.592,0.202,0.165,0.2,7446,10228,21655,18084,1597,11496,10182,17029,14067,19137,14070,8797,14392,2020-21
1603,Lineups,-200746-201145-202681-203925-,L. Aldridge - J. Green - K. Irving - J. Harris,1610612751,BKN,5,3,2,0.6,63.0,0.548,0.145,0.091,0.227,0.46,0.23,0.159,0.235,5911,4604,17094,9860,1599,11465,17127,10792,14716,9485,15565,9189,17620,2020-21
1604,Lineups,-101150-202694-202695-1629611-,L. Williams - M. Morris Sr. - K. Leonard - T. Mann,1610612746,LAC,14,8,6,0.571,63.0,0.582,0.233,0.096,0.279,0.464,0.153,0.107,0.148,1440,1353,26656,10490,1614,9234,12490,11522,11035,9611,11296,15870,11500,2020-21
1605,Lineups,-101150-202704-1627826-1628379-,L. Williams - R. Jackson - I. Zubac - L. Kennard,1610612746,LAC,11,5,6,0.455,63.0,0.658,0.222,0.124,0.296,0.583,0.321,0.12,0.232,2133,2617,26656,14942,1617,5515,12890,14839,9948,18475,19962,14121,17507,2020-21
1606,Lineups,-1628970-1628984-1628997-1629023-,M. Bridges - D. Graham - C. Martin - P. Washington,1610612766,CHA,18,8,10,0.444,63.0,0.5,0.215,0.159,0.384,0.619,0.193,0.201,0.227,867,1353,28360,15020,1596,14016,13502,19578,5595,20532,13314,5006,17133,2020-21
1607,Lineups,-203935-1627759-1629057-1629684-,M. Smart - J. Brown - R. Williams III - G. Williams,1610612738,BOS,15,8,7,0.533,63.0,0.476,0.159,0.133,0.289,0.59,0.188,0.141,0.224,1271,1353,27319,11034,1610,17390,16552,16189,10214,19013,13109,11581,16999,2020-21
1608,Lineups,-202696-203516-1628407-1629109-,N. Vucevic - J. Ennis III - D. Bacon - G. Clark,1610612753,ORL,7,1,6,0.143,63.0,0.442,0.283,0.134,0.25,0.65,0.137,0.155,0.178,4033,10228,26656,19402,1602,19026,10044,16468,12319,21890,10659,9551,13265,2020-21
1609,Lineups,-200782-201569-202322-1626174-,P. Tucker - E. Gordon - J. Wall - C. Wood,1610612745,HOU,9,6,3,0.667,63.0,0.561,0.189,0.141,0.288,0.517,0.193,0.134,0.183,2932,2068,21655,8123,1622,10606,14988,17116,10257,14279,13332,12164,13656,2020-21
1610,Lineups,-200782-202322-1627863-1630256-,P. Tucker - J. Wall - D. House Jr. - J. Tate,1610612745,HOU,7,1,6,0.143,63.0,0.406,0.164,0.087,0.233,0.711,0.202,0.094,0.233,4033,10228,26656,19402,1609,20543,16381,10680,14454,23906,14070,17286,17542,2020-21
1611,Lineups,-200752-201988-1629640-1630170-,R. Gay - P. Mills - K. Johnson - D. Vassell,1610612759,SAS,18,8,10,0.444,63.0,0.488,0.122,0.102,0.208,0.553,0.292,0.146,0.25,867,1353,28360,15020,1605,16969,18166,12304,15667,16645,18979,10477,18205,2020-21
1612,Lineups,-201577-202397-203078-1629060-,R. Lopez - I. Smith - B. Beal - R. Hachimura,1610612764,WAS,17,12,5,0.706,63.0,0.521,0.16,0.116,0.212,0.472,0.185,0.095,0.224,980,630,25673,7927,1612,13271,16535,14008,15548,9992,12968,17276,16997,2020-21
1613,Lineups,-201937-1626156-1626157-1629020-,R. Rubio - D. Russell - K. Towns - J. Vanderbilt,1610612750,MIN,7,4,3,0.571,63.0,0.552,0.246,0.109,0.247,0.453,0.222,0.204,0.244,4033,3408,21655,10490,1601,11227,11902,12863,13934,9160,14915,4973,18091,2020-21
1614,Lineups,-201566-202722-203078-1628418-,R. Westbrook - D. Bertans - B. Beal - T. Bryant,1610612764,WAS,7,1,6,0.143,63.0,0.574,0.417,0.169,0.258,0.622,0.387,0.178,0.297,4033,10228,26656,19402,1595,9655,5516,20949,12148,20595,22149,7149,21654,2020-21
