,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
1168,Lineups,-201566-201577-203078-203526-1630166-,R. Westbrook - R. Lopez - B. Beal - R. Neto - D. Avdija,1610612764,WAS,6,3,3,0.5,17.0,78.9,75.0,104.5,108.1,-25.6,-33.1,0.444,0.67,7.7,0.348,0.696,0.522,0.15,0.306,0.394,106.6,107.5,89.59,40,0.365,714,833,13480,6052,1137,9870,8196,10129,8756,5982,9758,3547,7707,5368,9657,10734,10468,6828,8976,2020-21
1169,Lineups,-201566-201577-202397-202722-1629060-,R. Westbrook - R. Lopez - I. Smith - D. Bertans - R. Hachimura,1610612764,WAS,7,6,1,0.857,17.0,120.4,113.5,73.8,71.8,46.7,41.7,0.474,1.5,18.4,0.231,0.818,0.6,0.162,0.645,0.659,99.9,104.25,86.87,37,0.728,542,254,4785,4809,1111,5404,3832,3208,8654,3363,5403,6223,5429,3343,9958,3936,4457,8262,3441,2020-21
1170,Lineups,-201566-201577-202397-202722-203526-,R. Westbrook - R. Lopez - I. Smith - D. Bertans - R. Neto,1610612764,WAS,6,1,5,0.167,17.0,104.1,100.0,61.9,59.5,42.2,40.5,0.467,1.4,13.2,0.238,0.84,0.565,0.122,0.5,0.534,114.5,119.04,99.2,41,0.86,714,2859,14448,8574,1171,6466,2826,3263,8677,3738,8239,6170,5084,4410,8450,6391,7305,3610,2475,2020-21
1171,Lineups,-203500-1627742-1628366-1629627-1630230-,S. Adams - B. Ingram - L. Ball - Z. Williamson - N. Marshall,1610612740,NOP,3,0,3,0.0,17.0,111.3,110.8,111.4,102.9,-0.1,8.0,0.533,2.67,16.3,0.222,0.786,0.469,0.081,0.532,0.572,98.1,102.11,85.09,37,0.521,1984,8619,13480,8619,1158,5729,7769,5748,6800,1461,6855,6303,6023,8162,6983,6122,6396,9226,6384,2020-21
1172,Lineups,-201939-203110-203145-1627814-1628539-,S. Curry - D. Green - K. Bazemore - D. Lee - M. Mulder,1610612744,GSW,4,3,1,0.75,17.0,132.9,135.0,97.7,100.0,35.2,35.0,0.6,2.0,21.1,0.333,0.714,0.556,0.15,0.7,0.717,112.2,110.03,91.69,40,0.69,1342,833,4785,4973,1135,3037,5947,3560,5976,1975,3815,3574,7361,4533,9657,2966,3281,5909,3850,2020-21
1173,Lineups,-201939-203110-203145-1629308-1629673-,S. Curry - D. Green - K. Bazemore - J. Toscano-Anderson - J. Poole,1610612744,GSW,7,6,1,0.857,17.0,112.5,107.7,135.4,133.3,-22.9,-25.6,0.778,2.8,25.0,0.188,0.684,0.457,0.128,0.588,0.595,106.9,110.12,91.76,39,0.442,542,254,4785,4809,1149,6028,10778,9752,3610,1421,1922,6994,7805,8393,8816,5024,5911,5878,7814,2020-21
1174,Lineups,-203524-203992-1628381-1628989-1630168-,S. Hill - B. Bogdanovic - J. Collins - K. Huerter - O. Okongwu,1610612737,ATL,1,1,0,1.0,17.0,106.3,109.1,130.4,131.3,-24.2,-22.2,0.5,1.0,15.9,0.286,0.75,0.5,0.212,0.607,0.623,95.3,93.79,78.16,33,0.373,5843,2859,1,1,1176,5884,10720,9432,6898,4164,6973,4936,6379,5602,11560,4634,5212,12388,8876,2020-21
1175,Lineups,-2772-201609-1628389-1629130-1629134-,T. Ariza - G. Dragic - B. Adebayo - D. Robinson - K. Nunn,1610612748,MIA,7,3,4,0.429,17.0,128.7,118.9,139.6,141.7,-11.0,-22.7,0.529,0.0,18.0,0.211,0.875,0.407,0.0,0.556,0.576,99.9,103.09,85.91,37,0.448,542,833,14164,7628,1151,4747,11610,9472,6821,6907,5684,6488,4720,9484,1,5668,6330,8750,7681,2020-21
1176,Lineups,-1629076-1630165-1630180-1630191-1630240-,T. Cook - K. Hayes - S. Bey - I. Stewart - S. Lee,1610612765,DET,2,0,2,0.0,17.0,128.0,125.0,115.1,108.3,12.9,16.7,0.625,2.5,20.4,0.214,0.786,0.5,0.111,0.648,0.679,95.7,99.77,83.14,36,0.572,3207,8619,11786,8619,1125,3895,8205,4941,5741,1549,4021,6443,6023,5602,7929,3918,3997,10250,5457,2020-21
1177,Lineups,-201959-202692-203493-1630167-1630193-,T. Gibson - A. Burks - R. Bullock - O. Toppin - I. Quickley,1610612752,NYK,5,4,1,0.8,17.0,118.9,116.7,122.1,125.0,-3.2,-8.3,0.375,3.0,13.0,0.211,0.813,0.486,0.056,0.557,0.578,99.6,99.41,82.84,36,0.446,957,534,4785,4878,1120,4942,9980,8298,9159,840,8253,6488,5494,7880,6397,5662,6288,10399,7719,2020-21
