,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,Season
1300,Lineups,-1627736-1629675-1630162-,M. Beasley - N. Reid - A. Edwards,1610612750,MIN,29,6,23,0.207,7.3,0.565,0.435,0.509,0.033,0.394,0.094,0.097,0.146,0.476,0.516,0.484,0.844,0.156,0.628,0.372,1053,3625,18231,13581,3267,11632,6333,8681,11692,5171,8804,13273,8109,5842,7121,9697,8559,6611,7153,10116,2020-21
1301,Lineups,-203935-1627759-1628400-,M. Smart - J. Brown - S. Ojeleye,1610612738,BOS,25,12,13,0.48,7.3,0.599,0.401,0.488,0.11,0.359,0.112,0.153,0.148,0.378,0.402,0.598,0.8,0.2,0.533,0.467,1401,1694,16990,9111,3264,9629,8335,10114,4782,6940,6829,8230,7874,11425,12070,4762,9829,4837,11947,5323,2020-21
1302,Lineups,-201976-202694-202695-,P. Beverley - M. Morris Sr. - K. Leonard,1610612746,LAC,22,17,5,0.773,7.3,0.572,0.428,0.426,0.108,0.392,0.054,0.182,0.119,0.318,0.427,0.573,0.87,0.13,0.595,0.405,1789,927,12416,2942,3317,11139,6825,13096,4938,5244,12010,5566,10666,14042,11565,5267,7720,7431,9048,8221,2020-21
1303,Lineups,-1628408-1628420-1630267-,P. Dozier - M. Morris - F. Campazzo,1610612743,DEN,22,15,7,0.682,7.3,0.566,0.434,0.493,0.089,0.416,0.086,0.091,0.213,0.404,0.438,0.562,0.8,0.2,0.568,0.432,1789,1178,14318,4020,3258,11616,6349,9880,6563,4289,9648,13536,3370,9704,11089,5744,9829,4837,10497,6774,2020-21
1304,Lineups,-201988-1627751-1630170-,P. Mills - J. Poeltl - D. Vassell,1610612759,SAS,45,22,23,0.489,7.3,0.635,0.365,0.541,0.134,0.347,0.116,0.112,0.151,0.407,0.524,0.476,0.822,0.178,0.613,0.387,243,463,18231,9061,3239,7088,10867,7001,3278,7515,6568,12221,7683,9608,6857,9929,9328,5842,7927,9341,2020-21
1305,Lineups,-200752-201988-1629234-,R. Gay - P. Mills - D. Eubanks,1610612759,SAS,37,16,21,0.432,7.3,0.598,0.402,0.481,0.149,0.345,0.103,0.174,0.125,0.332,0.486,0.514,0.838,0.162,0.6,0.4,524,1038,18133,9764,3320,9657,8308,10467,2683,7666,7832,6192,10037,13710,9452,7382,8680,6495,8421,8344,2020-21
1306,Lineups,-1629003-1629680-1630178-,S. Milton - M. Thybulle - T. Maxey,1610612755,PHI,37,25,12,0.676,7.3,0.649,0.351,0.524,0.11,0.316,0.119,0.16,0.157,0.414,0.433,0.567,0.889,0.111,0.564,0.436,524,288,16702,4066,3321,6244,11721,7885,4772,9382,6290,7513,7048,9223,11247,5586,6918,8062,10657,6606,2020-21
1307,Lineups,-203501-203939-1627827-,T. Hardaway Jr. - D. Powell - D. Finney-Smith,1610612742,DAL,38,21,17,0.553,7.3,0.528,0.472,0.486,0.107,0.374,0.12,0.14,0.183,0.379,0.506,0.494,0.772,0.228,0.597,0.403,479,548,17764,6527,3240,13545,4420,10238,4976,6314,6186,9589,4941,11394,7396,9438,10816,4362,8997,8273,2020-21
1308,Lineups,-202692-203457-203944-,A. Burks - N. Noel - J. Randle,1610612752,NYK,38,21,17,0.553,7.2,0.662,0.338,0.51,0.089,0.345,0.072,0.145,0.146,0.421,0.484,0.516,0.814,0.186,0.587,0.413,479,548,17764,6527,3363,5599,12366,8650,6553,7661,10800,9039,8054,8789,9502,7313,9591,5585,9426,7844,2020-21
1309,Lineups,-202687-1629667-1630163-,B. Biyombo - J. McDaniels - L. Ball,1610612766,CHA,19,7,12,0.368,7.2,0.643,0.357,0.559,0.043,0.333,0.072,0.108,0.122,0.516,0.551,0.449,0.903,0.097,0.651,0.349,2246,3179,16702,11018,3423,6652,11313,6064,10955,8138,10830,12614,10438,4018,5867,10964,6579,8588,6078,11192,2020-21
1310,Lineups,-2546-1629014-1629018-,C. Anthony - A. Simons - G. Trent Jr.,1610612757,POR,29,17,12,0.586,7.2,0.549,0.451,0.439,0.183,0.439,0.062,0.121,0.108,0.256,0.208,0.792,0.672,0.328,0.394,0.606,1053,927,16702,5990,3353,12566,5399,12558,1688,3243,11553,11471,11524,15387,15099,1733,12554,2624,15394,1877,2020-21
