,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Season
1845,Lineups,-202687-1628997-,B. Biyombo - C. Martin,1610612766,CHA,37,13,24,0.351,6.9,2.4,1.6,2.0,6.2,2.6,2.0,2.4,5.4,762,1183,4671,3391,1345,2809,3288,2427,2985,2347,2162,2973,1645,2020-21
1846,Lineups,-203110-1627814-,D. Green - D. Lee,1610612744,GSW,44,23,21,0.523,6.9,3.2,1.6,2.6,7.1,2.1,2.0,1.2,6.0,515,538,4478,1969,1152,1967,3278,1691,2627,1804,2395,1387,1843,2020-21
1847,Lineups,-2730-1627732-,D. Howard - B. Simmons,1610612755,PHI,54,38,16,0.704,6.9,2.4,1.9,1.5,6.6,3.0,1.7,2.6,7.4,230,84,4005,787,938,2756,2894,2974,2881,2695,1850,3232,2399,2020-21
1848,Lineups,-202339-1629637-,E. Bledsoe - J. Hayes,1610612740,NOP,52,19,33,0.365,6.9,2.7,2.2,2.4,7.2,2.5,1.9,2.2,6.5,281,766,4970,3310,979,2469,2433,1921,2620,2166,2063,2721,2103,2020-21
1849,Lineups,-202330-1628997-,G. Hayward - C. Martin,1610612766,CHA,22,10,12,0.455,6.9,1.8,1.6,1.8,6.0,2.3,2.5,1.9,7.2,1532,1502,3486,2659,1895,3478,3227,2703,3164,1996,2893,2331,2350,2020-21
1850,Lineups,-1628392-1630267-,I. Hartenstein - F. Campazzo,1610612743,DEN,25,12,13,0.48,6.9,3.9,2.4,1.3,6.2,2.5,2.5,1.3,5.5,1343,1268,3614,2476,1771,1408,2178,3290,2997,2165,2857,1472,1671,2020-21
1851,Lineups,-202397-203526-,I. Smith - R. Neto,1610612764,WAS,27,12,15,0.444,6.9,3.0,1.6,1.9,7.6,2.3,1.9,1.4,7.4,1217,1268,3874,2736,1700,2215,3267,2550,2481,1986,2045,1645,2399,2020-21
1852,Lineups,-203954-1630178-,J. Embiid - T. Maxey,1610612755,PHI,30,22,8,0.733,6.9,2.4,1.5,2.3,7.0,2.4,2.2,2.9,6.6,1069,595,2781,630,1570,2800,3430,1941,2711,2096,2524,3513,2134,2020-21
1853,Lineups,-1629723-1630214-,J. Konchar - X. Tillman,1610612763,MEM,32,17,15,0.531,6.9,3.8,1.9,2.3,6.9,2.1,1.9,1.9,6.5,986,901,3874,1924,1496,1455,2865,1960,2730,1756,2037,2288,2108,2020-21
1854,Lineups,-101150-201586-,L. Williams - S. Ibaka,1610612746,LAC,30,19,11,0.633,6.9,2.8,1.7,1.7,6.3,2.3,2.0,1.6,7.6,1069,766,3323,1260,1573,2382,3090,2755,2973,1945,2135,1934,2477,2020-21
