,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
30,A. Brooks | M. Dunleavy | P. Gasol | N. Mirotić | T. Snell,CHI,2014-15,15,66.2,131,122,91.7,+7.6,-8.9,+.123,+2.5,-2.3,+.098,+.142,+4.3,0.0,+.195,+21.9
31,C. Boozer | E. Davis | W. Ellington | W. Johnson | J. Lin,LAL,2014-15,13,53.9,103,102,91.3,+10.3,+3.1,+.104,-3.0,-8.0,+.042,+.084,+3.8,+3.7,+.040,+21.4
32,J. Butler | M. Dunleavy | P. Gasol | T. Gibson | K. Hinrich,CHI,2014-15,14,51.9,97,93,87.8,+5.6,-4.0,+.077,-5.6,-11.2,-.022,+.049,+15.1,+16.0,+.125,+20.8
33,K. Durant | S. Ibaka | K. Perkins | A. Roberson | R. Westbrook,OKC,2014-15,12,56.5,112,115,96.4,+11.6,+3.2,+.114,+2.9,+1.5,+.092,+.128,-5.6,-6.4,-.007,+20.6
34,K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,2014-15,33,479.2,960,955,95.9,+5.1,-1.3,+.064,+5.2,+12.5,+.018,+.093,+5.3,+6.0,+.050,+20.6
35,G. Dragić | G. Green | M. Morris | M. Plumlee | I. Thomas,PHO,2014-15,14,48.1,90,96,92.9,+9.4,+12.7,+.035,+16.0,+12.8,+.331,+.108,-15.2,-15.9,-.232,+19.7
36,A. Baynes | M. Belinelli | B. Diaw | M. Ginóbili | P. Mills,SAS,2014-15,12,50.8,110,107,102.5,+15.7,+3.3,+.176,+3.5,+5.8,+.083,+.196,-15.3,-23.7,+.139,+19.7
37,D. Augustin | N. Collison | M. McGary | A. Morrow | D. Waiters,OKC,2014-15,9,62.4,130,126,98.4,+10.7,+19.7,+.038,+2.8,+1.4,+.078,+.041,-4.4,-10.1,+.111,+19.7
38,R. Anderson | A. Davis | T. Evans | J. Holiday | A. Rivers,NOP,2014-15,18,62.6,123,125,95.0,+7.1,+7.9,+.038,+0.1,-8.5,+.121,+.035,+5.2,-0.3,+.181,+19.6
39,B. Beal | D. Gooden | M. Gortat | O. Porter | J. Wall,WAS,2014-15,10,79.7,146,150,89.1,+8.6,+9.3,+.047,+2.9,-2.1,+.161,+.059,-0.4,-5.0,+.229,+19.6
40,H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,2014-15,58,810.5,1668,1664,98.7,+7.5,+1.2,+.078,+8.1,+15.5,+.070,+.122,-3.6,-5.0,+.014,+19.5
41,T. Booker | T. Burke | R. Gobert | G. Hayward | E. Millsap,UTA,2014-15,25,71.2,133,133,89.7,+2.3,+1.5,+.017,+6.0,+7.5,+.135,+.050,+9.0,+9.0,+.121,+19.5
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,T. Ariza | I. Canaan | J. Harden | D. Howard | D. Motiejūnas,HOU,2014-15,7,55.7,111,107,94.0,+2.3,-17.0,+.108,+4.2,+1.8,+.141,+.142,+10.5,+16.6,+.071,+19.3
45,H. Barnes | S. Curry | D. Green | M. Speights | K. Thompson,GSW,2014-15,35,200.5,427,434,103.0,+8.6,+7.7,+.055,+5.7,+5.5,+.137,+.083,-3.7,-6.2,+.063,+19.2
46,D. Collison | D. Cousins | R. Gay | C. Landry | B. McLemore,SAC,2014-15,14,49.2,105,102,101.0,+1.0,-11.8,+.080,-4.0,-14.1,-.019,+.059,+21.2,+17.2,+.172,+19.2
47,A. Brooks | J. Butler | T. Gibson | K. Hinrich | N. Mirotić,CHI,2014-15,14,55.4,100,102,87.6,+3.7,-0.2,+.041,+8.1,+2.4,+.335,+.085,+3.5,+6.6,-.050,+19.0
48,M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,2014-15,60,1213.6,2397,2395,94.8,+6.5,+1.2,+.066,+2.5,+2.7,+.058,+.079,+3.2,+6.4,-.056,+18.7
49,M. Barnes | B. Griffin | D. Jordan | C. Paul | A. Rivers,LAC,2014-15,14,63.7,121,125,92.7,+14.5,-1.0,+.157,+0.3,+2.5,-.020,+.159,-10.8,-9.8,-.147,+18.5
50,T. Hansbrough | J. Johnson | P. Patterson | G. Vásquez | L. Williams,TOR,2014-15,39,227.9,429,429,90.3,+5.6,+3.7,+.044,+3.3,+7.9,+.017,+.060,+3.5,+1.9,+.079,+17.9
51,G. Henderson | A. Jefferson | M. Kidd-Gilchrist | M. Williams | M. Williams,CHO,2014-15,12,116.9,229,225,93.2,+10.3,+2.9,+.104,-2.3,-5.2,-.018,+.089,-0.7,+0.1,-.036,+17.5
52,T. Allen | N. Calathes | K. Koufos | J. Leuer | B. Udrih,MEM,2014-15,12,66.5,134,134,96.7,+9.0,+14.9,+.031,-1.5,-4.5,-.026,+.019,0.0,-0.7,+.023,+16.4
53,A. Baynes | M. Belinelli | B. Diaw | M. Ginóbili | C. Joseph,SAS,2014-15,17,73.2,148,147,96.8,+3.8,+0.8,+.040,+6.7,+9.3,+.122,+.078,+1.9,-4.9,+.303,+16.3
54,D. Collison | D. Cousins | R. Gay | B. McLemore | J. Thompson,SAC,2014-15,30,425.6,852,850,96.0,+6.1,+1.3,+.064,+0.1,-5.8,+.110,+.064,+4.0,+3.7,+.053,+16.3
55,A. Anderson | J. Jack | J. Johnson | M. Plumlee | M. Teletović,BRK,2014-15,13,52.4,93,93,85.3,+8.6,-11.8,+.143,-2.2,-4.3,-.019,+.138,+1.1,0.0,+.048,+16.1
56,E. Fournier | C. Frye | T. Harris | V. Oladipo | K. O'Quinn,ORL,2014-15,13,82.3,155,151,89.2,+8.7,+2.2,+.084,+3.6,+2.6,+.101,+.103,-4.9,-7.7,+.047,+16.0
57,T. Ariza | J. Harden | D. Howard | T. Jones | J. Terry,HOU,2014-15,10,84.6,164,165,93.4,+0.2,-11.0,+.066,+7.3,+10.5,+.173,+.115,+8.0,+7.5,+.080,+15.9
58,D. Exum | D. Favors | G. Hayward | E. Kanter | E. Millsap,UTA,2014-15,4,48.1,82,82,81.8,+12.2,+11.0,+.074,-8.5,-7.3,-.243,+.028,0.0,-1.2,+.082,+15.9
59,D. Exum | D. Favors | G. Hayward | J. Ingles | E. Kanter,UTA,2014-15,12,79.1,144,142,86.8,+3.6,-1.3,+.045,-0.1,+2.5,-.055,+.045,+8.3,+11.0,-.075,+15.3
60,S. Adams | K. Durant | S. Ibaka | A. Roberson | R. Westbrook,OKC,2014-15,23,248.5,492,494,95.2,+4.4,+2.4,+.038,-0.8,-0.3,-.030,+.032,+7.2,+8.2,+.027,+15.2
61,O. Casspi | D. Collison | D. Cousins | R. Gay | B. McLemore,SAC,2014-15,11,53.0,108,102,95.2,+3.4,-2.9,+.057,-9.0,-14.8,-.183,+.005,+17.3,+20.6,+.044,+15.1
62,T. Burke | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,2014-15,26,127.0,254,241,93.5,+8.6,-5.2,+.131,-1.5,-3.4,-.022,+.124,-0.6,+0.3,-.033,+15.0
