,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
33,D. DeRozan | K. Lowry | L. Scola | J. Valančiūnas,TOR,2015-16,52,778.2,1504,1505,92.8,-3.4,-0.1,-.038,-1.7,-1.6,-.044,-0.047,+5.1,+4.9,+.065,-3.4
34,K. Irving | L. James | T. Mozgov | J. Smith,CLE,2015-16,35,324.2,628,636,93.6,-1.5,-2.5,-.004,+2.0,+10.9,-.079,+.008,-2.4,-2.0,-.061,-3.4
35,A. Johnson | M. Smart | I. Thomas | E. Turner,BOS,2015-16,44,147.4,320,320,104.2,+0.9,-0.3,+.013,-2.2,-3.1,-.046,.000,-3.1,-4.1,+.002,-3.4
36,T. Ariza | P. Beverley | C. Brewer | D. Howard,HOU,2015-16,46,234.9,469,494,98.4,-0.5,-3.3,+.012,+3.3,+6.6,+.032,+.034,-5.8,-2.0,-.148,-3.5
37,B. Biyombo | D. DeRozan | T. Ross | L. Scola,TOR,2015-16,23,121.5,233,230,91.5,-4.0,-8.5,-.001,-1.9,-2.5,-.033,-0.006,+6.3,+6.2,+.068,-3.6
38,A. Afflalo | J. Calderón | R. Lopez | K. Porziņģis,NYK,2015-16,57,880.0,1681,1675,91.5,-1.2,-3.3,+.003,0.0,-1.5,+.026,+.005,-1.3,-3.6,+.083,-3.6
39,M. Belinelli | O. Casspi | K. Koufos | R. Rondo,SAC,2015-16,42,189.5,396,404,101.3,+1.3,-4.8,+.040,-2.0,-7.5,+.029,+.032,-4.2,-3.8,-.056,-3.6
40,O. Casspi | W. Cauley-Stein | D. Collison | K. Koufos,SAC,2015-16,33,152.1,315,313,99.1,+0.7,+4.5,-.017,-4.8,-6.8,-.089,-0.047,-0.1,+1.1,-.042,-3.6
41,M. Conley | M. Gasol | J. Green | Z. Randolph,MEM,2015-16,35,340.0,642,631,89.9,-1.2,+2.7,-.027,-6.0,-13.9,-.040,-0.062,+4.7,+7.1,-.028,-3.6
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,G. Harris | N. Jokić | E. Mudiay | J. Sampson,DEN,2015-16,23,323.1,634,645,95.0,+2.0,+5.2,-.004,-4.0,-5.8,-.068,-0.029,-3.5,-3.6,-.035,-3.6
45,Q. Acy | D. Collison | D. Cousins | R. Rondo,SAC,2015-16,19,118.1,250,245,100.6,+0.1,+3.6,-.018,-2.6,-7.8,.000,-0.036,-1.2,+1.1,-.075,-3.7
46,D. DeRozan | K. Lowry | T. Ross | L. Scola,TOR,2015-16,38,173.4,337,334,92.9,-1.6,-6.2,+.014,-2.8,-2.6,-.065,+.003,+2.2,+3.1,-.009,-3.7
47,P. Gasol | N. Mirotić | D. Rose | T. Snell,CHI,2015-16,26,206.2,430,415,98.4,-6.4,-8.8,-.028,+3.8,+5.4,+.093,-0.004,+5.4,+3.8,+.124,-3.7
48,J. Butler | P. Gasol | K. Hinrich | N. Mirotić,CHI,2015-16,16,109.9,218,217,95.0,-3.4,-2.3,-.027,-1.4,-7.0,+.060,-0.033,+4.5,+4.0,+.067,-3.7
49,A. Crabbe | E. Davis | M. Leonard | D. Lillard,POR,2015-16,50,305.0,614,605,95.9,-1.2,+2.3,-.026,+1.5,+9.1,-.067,-0.019,-2.7,-6.1,+.071,-3.7
50,W. Ellington | J. Johnson | S. Larkin | B. Lopez,BRK,2015-16,32,126.5,241,240,91.2,+1.5,-5.4,+.042,-5.0,-9.2,-.072,+.017,-1.7,-2.2,+.004,-3.7
51,Z. LaVine | S. Muhammad | R. Rubio | K. Towns,MIN,2015-16,31,125.7,273,256,101.0,-5.7,-15.5,+.026,-4.8,-13.8,+.006,+.008,+12.4,+19.5,-.088,-3.7
52,O. Casspi | D. Collison | R. Gay | K. Koufos,SAC,2015-16,37,144.3,288,288,95.8,+2.1,+1.4,+.016,-0.3,-4.9,+.053,+.013,-7.6,-8.7,-.038,-3.8
53,P. George | G. Hill | J. Hill | M. Turner,IND,2015-16,28,169.5,340,341,96.4,+1.3,+2.3,+.002,+0.3,-1.4,+.039,+.003,-6.7,-10.2,+.027,-3.8
54,A. Afflalo | C. Anthony | J. Calderón | R. Lopez,NYK,2015-16,54,953.3,1842,1833,92.5,-2.1,-4.8,+.001,-0.1,-2.8,+.041,+.003,+0.4,-1.5,+.081,-3.8
55,G. Antetokounmpo | J. Bayless | G. Monroe | J. Parker,MIL,2015-16,34,346.7,664,658,91.5,-0.5,-1.3,+.001,-4.3,-14.1,+.053,-0.023,+1.6,+3.9,-.054,-3.8
56,D. DeRozan | J. Johnson | K. Lowry | J. Valančiūnas,TOR,2015-16,26,372.3,712,713,91.9,-5.3,-2.5,-.045,-1.5,+0.3,-.076,-0.052,+8.3,+9.0,+.058,-3.8
57,E. Fournier | V. Oladipo | E. Payton | J. Smith,ORL,2015-16,25,104.0,211,218,99.0,+3.7,+9.8,-.013,-5.8,-10.4,-.086,-0.053,-5.4,-8.9,+.034,-3.8
58,C. Bosh | L. Deng | D. Wade | H. Whiteside,MIA,2015-16,33,402.1,759,760,90.7,-2.2,-6.5,+.009,-1.0,-0.9,-.038,+.006,+1.5,+3.8,-.077,-3.9
59,O. Casspi | R. Gay | K. Koufos | R. Rondo,SAC,2015-16,30,132.3,284,284,103.0,+2.1,+2.8,+.009,-1.1,-4.2,+.019,+.002,-7.0,-7.7,-.083,-3.9
60,M. Ellis | G. Hill | J. Hill | M. Turner,IND,2015-16,28,168.7,341,337,96.4,+1.6,+0.4,+.015,+0.2,-1.7,+.039,+.016,-7.3,-10.9,+.024,-3.9
61,G. Antetokounmpo | M. Carter-Williams | K. Middleton | G. Monroe,MIL,2015-16,50,778.2,1551,1547,95.5,+1.6,-0.1,+.020,-7.4,-17.0,-.062,-0.023,+0.2,+0.8,-.014,-3.9
62,E. Davis | M. Harkless | M. Leonard | D. Lillard,POR,2015-16,29,104.3,212,209,96.9,-2.0,+5.4,-.049,-2.1,+5.7,-.126,-0.064,+2.2,+3.0,+.004,-3.9
63,Ö. Aşık | N. Cole | A. Davis | B. Dejean-Jones,NOP,2015-16,9,116.3,225,225,92.8,+2.2,+8.0,-.015,-3.1,-6.7,-.040,-0.034,-5.3,-3.1,-.205,-4.0
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,W. Barton | R. Foye | N. Jokić | J. Nelson,DEN,2015-16,19,124.0,240,246,94.0,-0.3,+15.8,-.083,+1.5,+10.6,-.080,-0.084,-4.9,-8.9,+.079,-4.0
67,T. Allen | M. Chalmers | M. Gasol | Z. Randolph,MEM,2015-16,21,135.9,257,254,90.3,+2.3,+10.3,-.025,-5.6,-12.0,-.057,-0.061,-3.0,-1.9,-.060,-4.0
68,A. Crabbe | E. Davis | M. Harkless | G. Henderson,POR,2015-16,34,223.4,440,444,95.0,-1.0,+1.5,-.019,-2.2,+0.2,-.085,-0.032,+0.2,+0.5,-.006,-4.0
69,J. Crawford | W. Johnson | A. Rivers | J. Smith,LAC,2015-16,25,174.2,346,346,95.4,-2.0,-0.3,-.022,+1.7,+10.7,-.072,-0.012,-1.7,-2.3,-.002,-4.0
70,B. Bogdanović | J. Jack | J. Johnson | T. Young,BRK,2015-16,30,349.4,694,691,95.1,-0.3,+2.6,-.018,-3.8,-6.6,-.062,-0.041,+0.4,-0.7,+.045,-4.1
71,A. Afflalo | L. Galloway | R. Lopez | K. Porziņģis,NYK,2015-16,24,130.6,251,247,91.6,-6.7,+3.3,-.089,+0.7,+1.6,+.006,-0.087,+8.6,+8.9,+.082,-4.1
72,T. Ariza | J. Harden | D. Howard | T. Lawson,HOU,2015-16,31,228.8,463,462,97.0,-6.4,-4.3,-.051,+0.8,+6.2,-.055,-0.043,+7.7,+13.6,-.096,-4.1
73,D. Booker | T. Chandler | R. Price | P. Tucker,PHO,2015-16,18,276.1,557,553,96.5,-1.0,+3.7,-.029,-3.0,-4.3,-.054,-0.049,+0.8,+3.6,-.079,-4.1
74,K. Faried | D. Gallinari | G. Harris | N. Jokić,DEN,2015-16,27,344.7,679,677,94.4,-2.8,+6.4,-.063,-4.0,-5.4,-.080,-0.089,+5.4,+6.9,-.005,-4.2
75,M. Barnes | M. Conley | J. Green | C. Lee,MEM,2015-16,32,216.3,422,421,93.5,+0.1,-2.8,+.016,-0.3,-2.0,+.017,+.016,-4.3,-6.0,+.017,-4.3
76,D. Booker | A. Len | R. Price | P. Tucker,PHO,2015-16,22,299.6,608,611,97.6,-1.6,+2.1,-.029,-0.8,-1.5,-.008,-0.035,-0.2,-0.7,+.013,-4.3
77,N. Cole | D. Cunningham | A. Davis | J. Holiday,NOP,2015-16,28,170.3,361,356,101.0,-1.7,-1.4,-.012,-1.8,-6.2,+.009,-0.022,+0.8,+3.8,-.086,-4.3
78,D. Dedmon | E. Fournier | A. Gordon | V. Oladipo,ORL,2015-16,23,200.9,395,402,95.2,+0.3,-2.7,+.017,-2.1,-6.9,+.017,+.007,-2.7,-6.1,+.071,-4.3
79,D. Dedmon | E. Fournier | V. Oladipo | E. Payton,ORL,2015-16,18,164.6,332,329,96.4,-1.6,-3.2,-.001,-1.9,-8.1,+.046,-0.010,+0.8,-1.1,+.068,-4.3
80,M. Conley | M. Gasol | J. Green | C. Lee,MEM,2015-16,43,375.2,724,716,92.1,-0.9,-0.1,-.009,-2.7,-7.5,-.001,-0.024,+0.1,0.0,+.002,-4.4
81,R. Covington | J. Okafor | I. Smith | N. Stauskas,PHI,2015-16,17,166.3,347,346,100.0,-0.1,-3.7,+.019,-0.6,-3.5,+.037,+.018,-3.5,-3.8,-.020,-4.4
82,A. Davis | T. Evans | A. Gee | E. Gordon,NOP,2015-16,18,225.8,430,443,92.8,-1.8,-2.1,-.010,-1.4,-4.3,+.002,-0.017,+0.5,-3.0,+.123,-4.5
83,P. George | G. Hill | I. Mahinmi | C. Miles,IND,2015-16,37,373.8,783,780,100.4,-2.5,-3.0,-.012,+0.1,+2.7,-.035,-0.010,+0.3,-0.2,+.022,-4.5
84,J. Jack | J. Johnson | B. Lopez | T. Young,BRK,2015-16,32,668.0,1338,1345,96.4,+0.1,+4.4,-.022,-4.6,-9.6,-.052,-0.050,-0.2,-2.2,+.072,-4.5
85,E. Bledsoe | T. Chandler | B. Knight | P. Tucker,PHO,2015-16,18,288.7,588,595,98.3,-2.7,+2.7,-.046,-0.4,+0.1,-.017,-0.050,+1.4,+0.7,+.040,-4.5
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,B. Bogdanović | W. Ellington | D. Sloan | T. Young,BRK,2015-16,25,199.5,401,400,96.4,-4.1,-9.5,+.004,+0.5,-2.5,+.068,+.010,+3.2,+5.7,-.079,-4.5
89,R. Hood | T. Lyles | R. Neto | J. Withey,UTA,2015-16,17,105.1,187,189,85.9,-4.8,-2.8,-.039,+0.6,+2.4,-.014,-0.033,+4.4,+0.7,+.198,-4.6
90,D. Booker | T. Chandler | M. Teletović | P. Tucker,PHO,2015-16,25,166.5,342,337,97.9,+0.3,+11.4,-.058,-1.0,+8.7,-.149,-0.072,-4.2,-3.1,-.057,-4.6
91,M. Carter-Williams | K. Middleton | G. Monroe | J. Parker,MIL,2015-16,45,661.8,1298,1296,94.1,+0.5,-0.8,+.010,-7.5,-18.8,-.020,-0.032,+2.0,+3.0,-.013,-4.6
92,D. Nowitzki | Z. Pachulia | C. Parsons | D. Williams,DAL,2015-16,44,472.8,922,903,92.6,-4.5,-4.7,-.028,+2.1,+5.4,+.007,-0.013,+2.3,+1.8,+.050,-4.6
93,J. Butler | P. Gasol | E. Moore | D. Rose,CHI,2015-16,18,120.9,239,236,94.3,-2.6,-1.1,-.023,-3.5,-4.0,-.110,-0.042,+4.0,+1.4,+.132,-4.7
94,R. Anderson | D. Cunningham | T. Douglas | J. Holiday,NOP,2015-16,20,111.6,221,219,94.6,+1.0,+9.7,-.044,-1.9,+4.3,-.130,-0.062,-4.7,-6.6,+.028,-4.7
95,K. Martin | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,24,246.0,502,496,97.4,-4.9,-2.2,-.045,-2.9,-8.7,+.006,-0.060,+7.9,+6.8,+.087,-4.7
96,R. Covington | J. Grant | N. Noel | N. Stauskas,PHI,2015-16,28,125.0,268,271,103.5,-3.3,+1.3,-.048,+1.6,+10.3,-.081,-0.039,+0.2,-0.8,+.031,-4.8
97,G. Dieng | Z. LaVine | K. Martin | S. Muhammad,MIN,2015-16,26,237.3,481,484,97.6,-5.8,-5.7,-.039,-2.4,-3.6,-.059,-0.051,+9.2,+6.6,+.168,-4.8
98,G. Antetokounmpo | M. Carter-Williams | K. Middleton | J. Parker,MIL,2015-16,43,637.7,1255,1256,94.5,+0.4,-1.4,+.013,-8.5,-20.8,-.056,-0.035,+2.8,+4.2,-.016,-4.9
99,D. Dedmon | E. Fournier | A. Gordon | E. Payton,ORL,2015-16,21,138.5,270,271,93.8,+0.2,-0.8,+.005,-2.2,-6.9,-.007,-0.006,-3.3,-7.7,+.091,-5.1
100,D. DeRozan | J. Johnson | K. Lowry | L. Scola,TOR,2015-16,30,398.7,763,757,91.5,-5.1,-2.0,-.046,-2.2,-0.8,-.087,-0.057,+7.1,+8.1,+.037,-5.2
101,M. Ellis | P. George | C. Miles | R. Stuckey,IND,2015-16,26,130.4,270,271,99.6,-5.0,-7.1,-.021,+3.0,+5.6,+.054,.000,+1.9,+0.5,+.062,-5.2
102,B. Beal | K. Humphries | O. Porter | J. Wall,WAS,2015-16,13,164.0,343,342,100.3,-1.3,0.0,-.015,-0.3,+0.8,-.024,-0.017,-2.4,-1.5,-.065,-5.3
103,K. Irving | L. James | K. Love | T. Mozgov,CLE,2015-16,33,285.6,556,563,94.0,-1.8,-6.2,+.012,+0.3,+7.5,-.089,+.017,-2.0,-2.1,-.024,-5.3
104,A. Afflalo | L. Galloway | J. Grant | D. Williams,NYK,2015-16,27,126.2,246,246,93.6,-3.7,-11.4,+.014,0.0,-2.0,+.030,+.019,+2.0,-1.2,+.177,-5.3
105,H. Barnes | S. Livingston | M. Speights | K. Thompson,GSW,2015-16,32,123.4,241,243,94.2,-3.0,-13.7,+.034,+3.4,-3.1,+.195,+.058,-2.8,-4.4,+.035,-5.3
106,W. Barton | K. Faried | G. Harris | E. Mudiay,DEN,2015-16,35,166.9,346,344,99.2,-5.4,-4.0,-.042,-3.8,-5.7,-.079,-0.061,+9.4,+13.2,-.031,-5.3
107,P. Beverley | C. Capela | J. Harden | T. Jones,HOU,2015-16,28,104.9,202,204,92.9,-3.0,-2.1,-.022,-1.9,+2.3,-.098,-0.031,+2.6,+5.6,-.082,-5.3
0,A. Brown | J. Clarkson | R. Hibbert | L. Williams,LAL,2015-16,13,162.9,323,319,94.6,-3.6,+0.1,-.040,-3.5,-9.3,-.022,-0.059,+5.4,+4.4,+.091,-5.3
1,K. Irving | L. James | K. Love | T. Mozgov,CLE,2015-16,33,285.6,556,563,94.0,-1.8,-6.2,+.012,+0.3,+7.5,-.089,+.017,-2.0,-2.1,-.024,-5.3
2,A. Afflalo | L. Galloway | J. Grant | D. Williams,NYK,2015-16,27,126.2,246,246,93.6,-3.7,-11.4,+.014,0.0,-2.0,+.030,+.019,+2.0,-1.2,+.177,-5.3
3,D. Arthur | W. Barton | R. Foye | J. Nelson,DEN,2015-16,22,190.2,371,374,94.0,+1.6,+8.5,-.021,-1.0,+3.7,-.073,-0.032,-7.6,-14.6,+.139,-5.4
4,B. Beal | J. Dudley | N. Hilário | R. Sessions,WAS,2015-16,35,163.0,323,320,94.7,-0.4,-0.5,-.002,-0.7,-6.7,+.073,-0.006,-3.9,+0.4,-.206,-5.4
5,R. Covington | N. Noel | I. Smith | N. Stauskas,PHI,2015-16,24,273.9,578,577,101.2,-1.5,-3.1,.000,+0.2,+4.1,-.056,+.002,-2.6,-3.3,.000,-5.4
6,J. Barea | R. Felton | D. Harris | D. Nowitzki,DAL,2015-16,25,155.7,318,315,97.6,+0.2,-3.7,+.022,-3.3,-4.4,-.052,+.007,-2.7,-3.4,+.001,-5.5
7,M. Belinelli | O. Casspi | W. Cauley-Stein | D. Collison,SAC,2015-16,35,179.5,362,362,96.8,-0.8,+4.1,-.032,-4.7,-4.7,-.132,-0.061,+0.8,+2.2,-.036,-5.5
8,K. Faried | G. Harris | J. Hickson | E. Mudiay,DEN,2015-16,9,120.6,239,238,94.9,-1.0,+1.3,-.017,-2.5,-6.4,-.003,-0.031,-0.9,+2.4,-.132,-5.5
9,K. Garnett | K. Martin | R. Rubio | K. Towns,MIN,2015-16,13,125.0,252,250,96.4,-3.5,-4.7,-.017,-4.0,-9.3,-.042,-0.038,+5.4,+7.4,-.007,-5.6
10,M. Barnes | M. Gasol | J. Green | C. Lee,MEM,2015-16,37,257.8,500,500,93.1,-0.6,-4.0,+.014,-0.8,-3.4,+.018,+.011,-3.6,-4.2,-.009,-5.6
11,M. Barnes | M. Chalmers | M. Gasol | J. Green,MEM,2015-16,27,110.2,213,222,94.8,-1.7,-4.0,.000,-2.8,-10.4,+.034,-0.014,+0.7,+1.9,-.025,-5.6
12,L. Galloway | J. Grant | K. Séraphin | D. Williams,NYK,2015-16,33,157.5,332,326,100.3,-2.5,-3.6,-.011,-4.1,-4.6,-.120,-0.034,+3.3,+3.2,+.042,-5.7
13,E. İlyasova | R. Jackson | S. Johnson | M. Morris,DET,2015-16,24,106.7,213,212,95.6,+2.6,+12.3,-.043,+4.7,+10.7,+.022,-0.023,-15.6,-13.3,-.199,-5.7
14,Ö. Aşık | D. Cunningham | A. Davis | J. Holiday,NOP,2015-16,20,121.0,250,254,100.0,+0.7,+5.4,-.022,-5.8,-10.3,-.094,-0.058,-1.3,+3.6,-.170,-5.8
15,L. Barbosa | A. Iguodala | S. Livingston | M. Speights,GSW,2015-16,38,183.2,357,358,93.7,-0.7,+4.7,-.032,-4.5,-3.3,-.189,-0.058,0.0,-1.6,+.059,-5.9
16,W. Ellington | S. Larkin | B. Lopez | T. Young,BRK,2015-16,40,126.0,254,245,95.0,-2.1,-5.2,+.001,-3.4,-9.1,-.028,-0.017,+1.8,+2.5,-.014,-5.9
17,M. Belinelli | D. Cousins | R. Gay | R. Rondo,SAC,2015-16,39,274.2,591,577,102.2,-3.3,-6.5,-.004,-2.1,-7.9,+.043,-0.012,+2.8,+8.8,-.144,-5.9
18,L. Galloway | J. Grant | K. Séraphin | L. Thomas,NYK,2015-16,22,126.8,253,250,95.2,-4.0,-2.6,-.034,-2.5,-4.2,-.057,-0.047,+4.5,+3.6,+.061,-5.9
19,M. Barnes | M. Conley | M. Gasol | C. Lee,MEM,2015-16,33,322.7,633,622,93.3,-0.4,-0.2,-.003,-2.6,-4.7,-.033,-0.018,-2.8,-3.2,-.010,-6.0
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,E. Bledsoe | B. Knight | J. Leuer | P. Tucker,PHO,2015-16,27,288.6,584,585,97.2,-1.6,+0.8,-.023,+0.9,+4.7,-.030,-0.019,-3.6,-4.4,-.011,-6.0
23,A. Crabbe | M. Harkless | G. Henderson | D. Lillard,POR,2015-16,31,117.4,244,239,98.8,-3.7,-9.3,+.006,-1.0,+2.0,-.067,+.005,+2.4,+7.2,-.091,-6.0
24,T. Ariza | P. Beverley | J. Harden | T. Jones,HOU,2015-16,34,227.4,445,450,94.5,-4.4,-1.3,-.043,-0.3,+0.3,-.015,-0.044,+3.1,+5.7,-.033,-6.1
25,G. Antetokounmpo | O. Mayo | K. Middleton | M. Plumlee,MIL,2015-16,15,139.3,279,280,96.3,+0.5,+2.8,-.009,-4.6,-14.2,+.056,-0.036,-2.5,-4.9,+.066,-6.1
26,G. Antetokounmpo | M. Carter-Williams | G. Monroe | J. Parker,MIL,2015-16,43,580.0,1135,1130,93.7,+0.8,+0.1,+.009,-8.8,-20.7,-.047,-0.041,+1.0,+2.4,-.035,-6.2
27,B. Beal | M. Gortat | K. Humphries | J. Wall,WAS,2015-16,12,151.2,318,318,100.9,-2.2,-0.9,-.020,-0.9,-0.3,-.033,-0.025,-0.9,+0.9,-.092,-6.3
28,K. Lowry | N. Powell | L. Scola | J. Valančiūnas,TOR,2015-16,15,151.4,280,284,89.4,-1.2,+1.2,-.021,-3.7,-1.7,-.110,-0.043,-0.1,-6.1,+.187,-6.3
29,T. Harris | V. Oladipo | E. Payton | N. Vučević,ORL,2015-16,31,426.1,864,860,97.1,-0.3,+4.0,-.023,-5.3,-8.7,-.104,-0.054,-0.6,-0.2,-.016,-6.4
30,M. Ellis | G. Hill | I. Mahinmi | C. Miles,IND,2015-16,41,366.3,769,766,100.6,-2.9,-3.1,-.017,-0.7,+2.2,-.057,-0.019,+0.1,-0.2,+.010,-6.4
31,A. Crabbe | E. Davis | M. Harkless | D. Lillard,POR,2015-16,55,233.9,474,467,96.6,-4.9,-5.6,-.026,-0.8,+3.4,-.075,-0.027,+4.0,+7.0,-.042,-6.5
32,C. Anthony | J. Calderón | R. Lopez | D. Williams,NYK,2015-16,25,119.7,229,230,92.1,-4.2,-11.4,+.011,-6.1,-8.6,-.185,-0.018,+7.9,+12.7,-.097,-6.5
33,R. Felton | W. Matthews | Z. Pachulia | C. Parsons,DAL,2015-16,33,163.8,311,330,93.9,-6.6,-5.6,-.045,+0.9,+2.4,+.003,-0.037,+5.8,+4.9,+.084,-6.5
34,B. Biyombo | D. Carroll | K. Lowry | L. Scola,TOR,2015-16,16,134.0,256,257,91.9,-1.4,+4.2,-.038,-3.9,-6.5,-.046,-0.063,+0.1,-0.3,+.015,-6.6
35,D. DeRozan | N. Powell | L. Scola | J. Valančiūnas,TOR,2015-16,17,167.1,309,316,89.8,-1.6,+1.3,-.026,-3.0,-1.9,-.081,-0.044,-0.3,-5.3,+.167,-6.6
36,A. Burks | D. Favors | G. Hayward | R. Hood,UTA,2015-16,25,166.0,326,320,93.4,-0.1,+4.3,-.026,-2.9,+0.5,-.141,-0.046,-3.6,0.0,-.109,-6.7
37,T. Chandler | B. Knight | M. Morris | P. Tucker,PHO,2015-16,18,253.5,517,519,98.1,-2.9,+1.7,-.043,-1.1,-2.0,-.014,-0.051,+0.3,-1.1,+.047,-6.7
38,N. Bjelica | G. Dieng | Z. LaVine | S. Muhammad,MIN,2015-16,46,325.8,645,656,95.8,-4.9,-3.4,-.040,-2.9,-4.1,-.064,-0.055,+5.9,+4.4,+.096,-6.8
39,P. Beverley | C. Brewer | J. Harden | D. Howard,HOU,2015-16,47,266.8,546,562,99.7,-2.3,-5.5,+.002,+1.2,+3.0,+.006,+.013,-3.3,+1.4,-.143,-6.8
40,E. Fournier | C. Frye | V. Oladipo | N. Vučević,ORL,2015-16,18,111.2,215,209,91.5,-0.2,+2.1,-.013,+0.3,+3.1,-.035,-0.013,-6.6,-8.5,+.025,-6.8
41,J. Crowder | M. Smart | I. Thomas | E. Turner,BOS,2015-16,43,169.6,381,379,107.6,-4.1,+7.5,-.091,+0.2,+5.1,-.051,-0.093,+1.2,-2.0,+.089,-6.9
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,I. Canaan | T. McConnell | N. Noel | H. Thompson,PHI,2015-16,40,126.1,258,256,97.9,-3.8,+3.6,-.064,+5.7,+16.5,-.024,-0.033,-5.2,-4.8,-.073,-7.0
45,K. Faried | D. Gallinari | G. Harris | J. Nelson,DEN,2015-16,15,226.2,431,425,90.8,-4.3,+6.9,-.086,-2.9,-0.8,-.103,-0.107,+4.6,+4.2,+.046,-7.0
46,N. Bjelica | Z. LaVine | K. Martin | S. Muhammad,MIN,2015-16,20,158.2,326,327,99.0,-6.3,-8.6,-.033,-2.4,-3.3,-.060,-0.043,+8.0,+4.4,+.166,-7.0
47,E. Fournier | V. Oladipo | E. Payton | N. Vučević,ORL,2015-16,35,443.8,910,915,98.7,-1.6,-0.5,-.016,-3.2,-4.8,-.068,-0.034,-0.5,-0.9,+.009,-7.0
48,M. Belinelli | W. Cauley-Stein | D. Collison | K. Koufos,SAC,2015-16,30,122.1,252,244,97.5,-0.1,+8.7,-.044,-3.9,-5.2,-.093,-0.069,-3.0,-6.0,+.070,-7.0
49,J. Dudley | N. Hilário | G. Neal | R. Sessions,WAS,2015-16,20,134.3,267,275,96.9,-5.2,-6.9,-.027,-2.0,-8.6,+.036,-0.035,+5.4,+8.6,-.031,-7.0
50,E. Fournier | C. Frye | T. Harris | V. Oladipo,ORL,2015-16,16,106.2,200,201,90.6,+0.2,+2.0,-.007,-0.5,+3.1,-.066,-0.011,-6.9,-7.9,-.022,-7.0
51,T. Ariza | C. Capela | J. Harden | J. Terry,HOU,2015-16,44,205.6,410,407,95.4,-4.2,+1.8,-.059,-2.0,+5.9,-.157,-0.073,+3.5,+12.5,-.176,-7.0
52,O. Casspi | W. Cauley-Stein | D. Cousins | R. Rondo,SAC,2015-16,24,136.0,283,285,100.2,-3.9,-1.5,-.036,-3.5,-6.9,-.036,-0.055,+4.4,+8.3,-.072,-7.0
53,E. Kanter | C. Payne | K. Singler | D. Waiters,OKC,2015-16,22,103.1,197,198,92.0,-3.8,+13.6,-.105,-2.5,+0.6,-.102,-0.125,+3.2,+4.2,-.002,-7.0
54,K. Irving | I. Shumpert | J. Smith | T. Thompson,CLE,2015-16,22,106.8,205,221,95.7,-5.4,+9.4,-.111,+1.6,+10.6,-.060,-0.107,+2.2,+0.9,+.051,-7.0
55,L. Barbosa | F. Ezeli | A. Iguodala | S. Livingston,GSW,2015-16,26,130.1,249,254,92.8,-2.0,+7.4,-.057,+0.2,+4.4,-.074,-0.060,-3.3,-2.8,-.063,-7.1
56,K. Bazemore | A. Horford | P. Millsap | T. Sefolosha,ATL,2015-16,53,131.3,243,318,102.6,-6.1,+1.9,-.082,-1.1,+1.0,-.055,-0.090,+6.2,+11.3,-.082,-7.1
57,J. Butler | T. Gibson | D. McDermott | D. Rose,CHI,2015-16,37,144.1,280,273,92.1,-5.8,-4.2,-.041,+1.2,-5.3,+.141,-0.032,+3.2,+1.9,+.074,-7.2
58,B. Biyombo | D. Carroll | D. DeRozan | L. Scola,TOR,2015-16,15,129.7,246,248,91.4,-1.7,+4.4,-.042,-4.4,-7.9,-.044,-0.070,+0.5,-0.2,+.036,-7.2
59,M. Ellis | P. George | J. Hill | M. Turner,IND,2015-16,34,202.6,410,410,97.1,0.0,+2.0,-.010,-0.2,-2.4,+.028,-0.013,-7.1,-11.7,+.073,-7.3
60,A. Afflalo | J. Calderón | K. Porziņģis | L. Thomas,NYK,2015-16,23,148.0,280,281,91.0,-2.7,-11.4,+.028,+1.1,+0.4,+.041,+.039,-3.1,-8.8,+.184,-7.4
61,E. Fournier | A. Gordon | V. Oladipo | E. Payton,ORL,2015-16,33,373.7,774,786,100.2,-0.5,+3.7,-.025,-3.8,-4.0,-.101,-0.049,-2.7,-3.6,-.006,-7.5
62,I. Canaan | J. Grant | T. McConnell | N. Noel,PHI,2015-16,34,119.5,237,240,95.8,-2.9,-2.3,-.023,+5.1,+9.5,+.081,+.009,-6.9,-4.3,-.146,-7.6
63,E. Fournier | A. Gordon | E. Payton | N. Vučević,ORL,2015-16,40,316.8,648,653,98.6,-1.7,+1.6,-.028,-3.9,-2.1,-.144,-0.051,-0.3,+0.3,-.029,-7.6
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,D. Arthur | D. Gallinari | G. Harris | E. Mudiay,DEN,2015-16,24,164.3,331,338,97.8,-6.9,-3.6,-.062,-5.8,-9.1,-.108,-0.094,+12.1,+9.8,+.185,-7.6
67,A. Baynes | K. Caldwell-Pope | R. Jackson | M. Morris,DET,2015-16,50,177.4,379,352,98.9,-3.5,-3.4,-.024,+0.4,-1.5,+.041,-0.020,-1.0,-0.6,-.014,-7.6
