,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
31,P. Antić | P. Millsap | T. Sefolosha | J. Teague,ATL,2014-15,26,126.2,256,254,97.0,+6.8,+2.5,+.067,+1.1,+6.9,-.048,+.072,+7.3,+8.4,+.044,+22.0
32,T. Duncan | D. Green | K. Leonard | T. Splitter,SAS,2014-15,30,284.2,557,562,94.5,+9.3,-2.2,+.113,+0.6,-1.8,+.084,+.117,+2.8,+2.8,+.031,+22.0
33,A. Baynes | B. Diaw | M. Ginóbili | C. Joseph,SAS,2014-15,32,140.7,275,276,94.0,+6.7,+9.4,+.028,+8.0,+12.1,+.169,+.069,+0.4,-6.5,+.240,+21.8
34,S. Curry | A. Iguodala | M. Speights | K. Thompson,GSW,2014-15,49,163.1,354,336,101.6,+6.8,-1.4,+.086,+5.4,+10.6,+.077,+.117,+2.7,+3.2,+.004,+21.6
35,T. Ariza | I. Canaan | J. Harden | D. Howard,HOU,2014-15,8,101.2,203,200,95.6,+2.9,-8.2,+.076,+4.8,+7.1,+.094,+.109,+10.7,+14.5,+.035,+21.3
36,T. Duncan | K. Leonard | T. Parker | T. Splitter,SAS,2014-15,30,325.0,639,646,94.9,+8.2,-0.7,+.094,+0.5,-3.1,+.107,+.097,+4.1,+3.9,+.049,+21.1
37,R. Anderson | A. Davis | J. Holiday | A. Rivers,NOP,2014-15,28,153.5,308,300,95.1,+5.4,+7.2,+.022,+0.8,-0.2,+.041,+.024,+9.3,+2.9,+.260,+21.0
38,S. Curry | D. Green | M. Speights | K. Thompson,GSW,2014-15,52,348.6,745,733,101.8,+8.0,+3.8,+.069,+5.1,+7.3,+.089,+.095,-0.3,-2.1,+.061,+20.8
39,R. Hibbert | G. Hill | C. Miles | R. Stuckey,IND,2014-15,22,145.3,285,281,93.5,+7.9,-3.8,+.106,+2.0,-2.8,+.143,+.119,+2.9,+2.1,+.052,+20.7
40,M. Ellis | J. Nelson | C. Parsons | B. Wright,DAL,2014-15,17,107.2,214,213,95.6,+6.4,-4.1,+.098,+1.4,+0.3,+.044,+.109,+6.5,+3.2,+.168,+20.6
41,N. Batum | J. Freeland | D. Lillard | W. Matthews,POR,2014-15,13,101.6,197,204,94.8,+3.8,-7.8,+.079,+8.8,+13.5,+.155,+.133,+4.0,+1.6,+.157,+20.5
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,T. Hansbrough | J. Johnson | G. Vásquez | L. Williams,TOR,2014-15,44,272.5,508,514,90.0,+6.1,+3.0,+.054,+4.2,+7.0,+.067,+.076,+3.9,+2.1,+.090,+20.5
45,T. Allen | M. Conley | M. Gasol | T. Prince,MEM,2014-15,19,143.3,265,283,91.8,+5.4,+5.4,+.035,+0.5,-11.2,+.270,+.036,+9.1,+8.0,+.100,+20.4
46,A. Bogut | S. Curry | D. Green | K. Thompson,GSW,2014-15,59,1018.9,2099,2096,98.8,+7.9,+2.7,+.074,+8.2,+15.4,+.082,+.118,-3.5,-5.0,+.025,+20.4
47,B. Bass | K. Olynyk | M. Smart | E. Turner,BOS,2014-15,31,144.0,291,291,97.0,+9.6,+7.9,+.070,-0.3,+0.3,-.021,+.063,+1.4,+0.3,+.041,+20.3
48,H. Barnes | D. Green | M. Speights | K. Thompson,GSW,2014-15,37,208.1,443,451,103.1,+9.0,+7.9,+.060,+5.8,+4.9,+.150,+.087,-3.5,-6.4,+.078,+20.3
49,A. Baynes | B. Diaw | M. Ginóbili | P. Mills,SAS,2014-15,21,126.9,260,256,97.6,+10.7,+6.1,+.099,+5.3,+9.0,+.096,+.128,-6.5,-10.9,+.074,+20.2
50,B. Beal | R. Butler | N. Hilário | J. Wall,WAS,2014-15,32,118.9,242,232,95.7,+6.1,-11.1,+.130,-0.3,-8.5,+.121,+.134,+8.3,+9.2,+.044,+20.1
51,J. Barea | T. Chandler | M. Ellis | C. Parsons,DAL,2014-15,33,174.1,353,345,96.2,+9.1,+4.8,+.075,+3.0,-2.0,+.154,+.089,-1.0,-1.4,+.006,+20.1
52,R. Butler | M. Gortat | K. Humphries | J. Wall,WAS,2014-15,40,164.8,335,330,96.8,+8.1,-2.6,+.100,+3.2,-0.6,+.159,+.118,+0.6,-3.7,+.129,+20.0
53,T. Hansbrough | J. Johnson | P. Patterson | G. Vásquez,TOR,2014-15,41,240.4,452,450,90.1,+6.9,+5.2,+.052,+3.3,+8.7,+.010,+.068,+2.8,+1.2,+.069,+19.9
54,A. Brooks | N. Mirotić | J. Noah | T. Snell,CHI,2014-15,27,129.4,249,241,90.9,+6.9,+2.4,+.065,+8.3,+11.8,+.184,+.110,-2.3,-1.2,-.052,+19.8
55,T. Allen | M. Conley | J. Green | Z. Randolph,MEM,2014-15,23,120.4,222,226,89.3,+7.0,-3.4,+.099,-2.1,-13.5,+.215,+.089,+8.0,+11.6,-.044,+19.8
56,A. Aminu | T. Chandler | M. Ellis | D. Harris,DAL,2014-15,37,143.7,302,312,102.5,+3.5,-2.7,+.053,+3.5,+4.4,+.089,+.074,+9.4,+10.0,+.092,+19.8
57,H. Barnes | A. Bogut | S. Curry | D. Green,GSW,2014-15,62,894.4,1842,1835,98.7,+7.8,+1.0,+.083,+7.4,+14.3,+.061,+.123,-3.6,-4.6,-.001,+19.4
