,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
30,27,ATL,NBA,PG,73,1248,7.5,.456,.284,.240,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,,-1.2,1.3,0.1,.005,,-5.3,-0.3,-5.6,-1.1,2016-17,1627098
31,28,ATL,NBA,PG,54,1014,10.6,.519,.435,.323,1.0,10.0,5.5,23.4,1.7,0.5,16.9,16.9,,0.4,0.6,1.0,.047,,-2.2,-0.4,-2.6,-0.1,2017-18,1627098
32,,,NBA,,127,2262,8.9,.483,.348,.275,0.9,9.9,5.5,23.2,1.6,0.3,17.6,17.7,,-0.7,1.8,1.1,.024,,-3.9,-0.3,-4.2,-1.3,Career,1627098
33,21,DET,NBA,SF,69,915,12.8,.546,.322,.190,4.2,19.8,11.5,6.3,1.5,2.4,13.1,18.5,,0.6,0.7,1.3,.067,,-1.7,-0.1,-1.8,0.1,2009-10,201948
34,22,DET,NBA,SF,72,1446,13.0,.518,.365,.229,5.2,18.6,11.6,8.5,1.5,2.2,10.2,18.6,,1.2,0.9,2.1,.070,,-0.8,-0.5,-1.3,0.3,2010-11,201948
35,23,DET,NBA,SF,41,603,7.1,.394,.273,.189,2.7,15.8,9.0,9.2,2.0,2.8,14.0,21.9,,-1.3,0.6,-0.6,-0.050,,-5.0,-0.1,-5.0,-0.5,2011-12,201948
36,24,TOT,NBA,SF,55,676,12.9,.554,.471,.163,2.7,18.8,10.6,10.1,1.1,2.6,11.5,17.1,,0.8,0.9,1.6,.117,,-0.7,1.1,0.4,0.4,2012-13,201948
37,24,DET,NBA,SF,24,348,12.6,.581,.412,.186,3.2,17.9,10.4,9.6,0.8,1.8,11.0,15.4,,0.5,0.2,0.8,.108,,-0.6,0.3,-0.2,0.2,2012-13,201948
38,24,MEM,NBA,SF,31,328,13.3,.529,.523,.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,,0.2,0.6,0.9,.127,,-0.7,1.9,1.1,0.3,2012-13,201948
39,25,TOT,NBA,SF,22,148,11.0,.456,.544,.147,3.9,16.4,10.4,8.2,1.4,2.0,6.5,23.7,,-0.1,0.2,0.1,.047,,-2.8,-1.0,-3.8,-0.1,2013-14,201948
40,25,TOR,NBA,SF,8,33,2.4,.279,.615,.231,7.0,17.8,12.4,9.2,0.0,0.0,0.0,19.7,,-0.1,0.0,0.0,-0.067,,-6.9,-3.4,-10.3,-0.1,2013-14,201948
41,25,SAS,NBA,SF,14,115,13.5,.499,.527,.127,3.1,16.0,9.8,7.9,1.8,2.5,7.9,24.8,,0.0,0.2,0.2,.080,,-1.6,-0.4,-1.9,0.0,2013-14,201948
42,26,TOT,NBA,SF,34,344,8.2,.449,.504,.043,3.4,21.0,12.4,7.5,1.8,1.1,13.8,22.1,,-0.6,0.5,0.0,-0.001,,-3.9,-0.3,-4.2,-0.2,2014-15,201948
43,26,SAS,NBA,SF,26,268,7.1,.441,.496,.035,2.6,22.8,12.9,5.1,1.5,0.8,13.4,22.9,,-0.5,0.4,-0.1,-0.021,,-4.6,-0.6,-5.2,-0.2,2014-15,201948
