,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201936
1133,,SAC,NBA,,271,9276,16.8,.519,.146,.331,2.8,13.1,7.8,23.1,2.1,0.9,13.9,24.6,,8.7,5.6,14.3,.074,,0.9,-0.2,0.7,6.2,5 seasons,201936
1134,,NOP,NBA,,202,5957,17.8,.508,.183,.289,3.5,15.1,9.3,32.1,2.1,0.9,15.4,26.3,,4.9,4.7,9.6,.077,,1.2,-0.3,1.0,4.5,4 seasons,201936
1135,,IND,NBA,,69,1402,11.5,.483,.327,.242,2.7,13.0,7.9,17.5,2.0,1.1,13.9,26.4,,-1.7,2.0,0.3,.010,,-2.4,-0.3,-2.7,-0.2,1 season,201936
1136,,MEM,NBA,,52,1607,21.1,.561,.354,.258,3.1,16.3,9.5,31.2,1.8,1.0,11.5,28.4,,3.1,1.2,4.2,.126,,4.9,-0.5,4.5,2.6,1 season,201936
1137,22,SAC,NBA,PG,45,897,9.7,.439,.197,.143,2.2,7.8,5.0,21.0,1.2,0.8,10.9,17.6,,0.0,0.4,0.4,.020,,-2.3,-0.8,-3.1,-0.3,2013-14,203492
1138,23,SAC,NBA,PG,68,1436,12.5,.496,.236,.179,4.3,9.8,7.1,21.3,1.6,0.6,14.4,18.2,,0.8,0.5,1.4,.045,,-0.9,-1.1,-2.0,0.0,2014-15,203492
1139,24,TOT,NBA,PG,41,475,9.1,.449,.288,.103,1.9,9.3,5.6,18.5,1.3,1.2,13.6,16.8,,-0.2,0.5,0.3,.034,,-2.6,-0.5,-3.1,-0.1,2015-16,203492
1140,24,SAS,NBA,PG,31,256,10.3,.476,.239,.149,2.8,10.8,6.9,17.7,1.0,1.2,13.3,14.7,,0.1,0.4,0.5,.092,,-2.3,0.5,-1.7,0.0,2015-16,203492
1141,24,MEM,NBA,PG,10,219,7.7,.425,.329,.063,1.0,7.6,4.2,19.5,1.6,1.3,13.8,19.3,,-0.3,0.1,-0.2,-0.033,,-3.0,-1.6,-4.7,-0.1,2015-16,203492
1142,,,NBA,,154,2808,11.0,.470,.231,.155,3.2,9.1,6.2,20.7,1.4,0.8,13.1,17.8,,0.7,1.4,2.1,.035,,-1.7,-0.9,-2.6,-0.4,Career,203492
1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203492
1144,,SAC,NBA,,113,2333,11.4,.474,.221,.165,3.5,9.0,6.3,21.2,1.5,0.7,13.1,17.9,,0.8,0.9,1.7,.036,,-1.5,-1.0,-2.4,-0.3,2 seasons,203492
1145,,SAS,NBA,,31,256,10.3,.476,.239,.149,2.8,10.8,6.9,17.7,1.0,1.2,13.3,14.7,,0.1,0.4,0.5,.092,,-2.3,0.5,-1.7,0.0,1 season,203492
1146,,MEM,NBA,,10,219,7.7,.425,.329,.063,1.0,7.6,4.2,19.5,1.6,1.3,13.8,19.3,,-0.3,0.1,-0.2,-0.033,,-3.0,-1.6,-4.7,-0.1,1 season,203492
1147,22,POR,NBA,SG,24,149,18.8,.537,.365,.243,5.4,9.6,7.4,8.0,2.1,1.6,5.8,26.7,,0.2,0.1,0.3,.105,,0.7,-0.8,-0.1,0.1,2011-12,202343
1148,24,PHI,NBA,SG,67,1157,8.7,.519,.371,.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,,0.0,0.3,0.3,.014,,-3.9,-1.7,-5.6,-1.1,2013-14,202343
1149,25,TOT,NBA,SG,13,119,8.7,.477,.486,.108,0.0,7.7,3.8,15.5,1.8,0.0,9.4,16.4,,0.0,0.1,0.1,.039,,-2.7,-0.2,-2.8,0.0,2014-15,202343
1150,25,UTA,NBA,SG,5,42,14.4,.648,.538,.154,0.0,8.2,4.1,16.1,2.5,0.0,22.4,19.5,,0.0,0.0,0.1,.090,,3.1,0.6,3.6,0.1,2014-15,202343
1151,25,NOP,NBA,SG,8,77,5.6,.382,.458,.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,,0.0,0.0,0.0,.012,,-5.8,-0.6,-6.4,-0.1,2014-15,202343
1152,26,MEM,NBA,PG,5,45,3.3,.340,.400,.400,2.4,7.9,5.1,12.4,0.0,0.0,7.8,12.7,,0.0,0.0,0.0,-0.046,,-5.3,-2.6,-7.9,-0.1,2015-16,202343
1153,,,NBA,,109,1470,9.5,.515,.380,.317,2.7,9.5,6.0,9.8,1.5,0.3,13.0,17.6,,0.2,0.5,0.7,.024,,-3.4,-1.6,-4.9,-1.1,Career,202343
1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202343
1155,,PHI,NBA,,67,1157,8.7,.519,.371,.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,,0.0,0.3,0.3,.014,,-3.9,-1.7,-5.6,-1.1,1 season,202343
1156,,POR,NBA,,24,149,18.8,.537,.365,.243,5.4,9.6,7.4,8.0,2.1,1.6,5.8,26.7,,0.2,0.1,0.3,.105,,0.7,-0.8,-0.1,0.1,1 season,202343
1157,,NOP,NBA,,8,77,5.6,.382,.458,.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,,0.0,0.0,0.0,.012,,-5.8,-0.6,-6.4,-0.1,1 season,202343
1158,,MEM,NBA,,5,45,3.3,.340,.400,.400,2.4,7.9,5.1,12.4,0.0,0.0,7.8,12.7,,0.0,0.0,0.0,-0.046,,-5.3,-2.6,-7.9,-0.1,1 season,202343
1159,,UTA,NBA,,5,42,14.4,.648,.538,.154,0.0,8.2,4.1,16.1,2.5,0.0,22.4,19.5,,0.0,0.0,0.1,.090,,3.1,0.6,3.6,0.1,1 season,202343
1160,23,TOT,NBA,SG,27,334,10.5,.553,.366,.495,2.1,8.8,5.4,9.6,2.0,1.3,18.0,20.3,,0.0,0.4,0.4,.057,,-3.4,0.4,-2.9,-0.1,2009-10,202066
1161,23,HOU,NBA,SG,9,118,8.6,.569,.414,.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,,-0.1,0.1,0.0,.004,,-5.2,-0.3,-5.5,-0.1,2009-10,202066
1162,23,SAC,NBA,SG,5,23,15.4,.539,.250,.625,4.9,10.1,7.5,13.2,2.2,0.0,16.4,23.5,,0.0,0.0,0.0,.078,,0.0,0.5,0.5,0.0,2009-10,202066
1163,23,SAS,NBA,SG,13,193,11.1,.546,.359,.328,1.9,6.6,4.3,9.5,2.2,0.7,13.1,20.0,,0.1,0.2,0.3,.086,,-2.7,0.9,-1.8,0.0,2009-10,202066
1164,24,TOT,NBA,"PG,SG",24,230,4.7,.378,.544,.250,0.5,11.6,6.0,21.9,2.6,2.1,23.4,20.1,,-0.7,0.3,-0.4,-0.085,,-6.2,-0.2,-6.4,-0.3,2010-11,202066
1165,24,SAS,NBA,SG,3,21,0.6,.170,.200,.400,5.7,5.4,5.5,12.7,2.5,3.4,14.5,15.1,,-0.1,0.0,-0.1,-0.135,,-6.2,0.8,-5.4,0.0,2010-11,202066
1166,24,MIL,NBA,SG,9,83,3.1,.373,.476,.190,0.0,8.6,4.2,11.6,0.6,0.9,8.1,14.0,,-0.1,0.1,0.0,-0.019,,-6.4,0.0,-6.4,-0.1,2010-11,202066
1167,24,CHA,NBA,PG,12,126,6.4,.406,.619,.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,,-0.5,0.2,-0.3,-0.119,,-6.2,-0.4,-6.6,-0.1,2010-11,202066
1168,26,WAS,NBA,SG,51,1156,8.8,.478,.310,.143,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,,-0.3,1.5,1.2,.049,,-3.8,1.5,-2.3,-0.1,2012-13,202066
1169,27,WAS,NBA,SG,75,638,7.8,.431,.206,.305,3.8,8.7,6.2,15.8,2.8,1.4,20.8,14.3,,-0.5,0.9,0.3,.025,,-4.8,1.8,-3.0,-0.2,2013-14,202066
1170,28,WAS,NBA,SG,52,735,10.9,.534,.518,.282,3.8,9.9,6.9,11.0,2.9,1.0,15.1,13.9,,0.4,1.1,1.5,.100,,-2.0,2.6,0.6,0.5,2014-15,202066
1171,29,WAS,NBA,SF,80,1951,9.3,.520,.511,.248,2.0,10.3,6.1,10.0,1.7,0.7,10.3,14.0,,1.0,1.7,2.7,.066,,-2.5,0.4,-2.1,0.0,2015-16,202066
1172,30,SAC,NBA,SG,65,1728,11.2,.545,.509,.171,2.2,10.1,6.2,14.4,2.5,1.5,14.4,14.2,,0.9,1.3,2.2,.061,,-1.5,0.8,-0.8,0.5,2016-17,202066
1173,31,SAC,NBA,SG,65,1615,10.2,.536,.477,.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,,0.3,0.9,1.2,.035,,-2.2,-0.3,-2.5,-0.2,2017-18,202066
1174,32,TOT,NBA,SG,75,2040,8.5,.543,.535,.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,,0.3,2.0,2.2,.052,,-3.3,0.5,-2.8,-0.4,2018-19,202066
1175,32,MEM,NBA,SG,49,1530,8.6,.551,.543,.196,1.3,10.0,5.6,6.7,1.6,1.5,11.4,13.9,,0.1,1.5,1.6,.050,,-3.1,0.4,-2.7,-0.3,2018-19,202066
1176,32,LAC,NBA,SG,26,510,8.0,.514,.509,.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,,0.2,0.5,0.6,.061,,-4.1,1.0,-3.1,-0.1,2018-19,202066
1177,33,BRK,NBA,SG,62,1730,10.5,.513,.658,.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,,0.7,1.7,2.4,.066,,-1.4,0.3,-1.1,0.4,2019-20,202066
1178,34,CHI,NBA,SG,35,977,9.1,.539,.517,.147,2.3,10.0,6.2,9.2,1.6,1.6,11.3,13.6,,0.3,0.9,1.2,.061,,-2.9,-0.1,-3.1,-0.3,2020-21,202066
1179,,,NBA,,611,13134,9.6,.521,.504,.202,2.1,10.0,6.0,11.7,2.0,1.3,13.1,14.7,,2.3,12.7,15.0,.055,,-2.6,0.6,-2.0,-0.1,Career,202066
1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202066
1181,,WAS,NBA,,258,4480,9.2,.500,.424,.236,2.7,9.7,6.2,12.4,2.2,1.0,14.5,13.8,,0.6,5.1,5.7,.062,,-3.1,1.3,-1.8,0.2,4 seasons,202066
1182,,SAC,NBA,,135,3366,10.8,.540,.490,.171,1.9,9.8,5.8,12.9,2.1,1.5,13.9,15.3,,1.2,2.3,3.4,.049,,-1.8,0.3,-1.6,0.4,3 seasons,202066
1183,,BRK,NBA,,62,1730,10.5,.513,.658,.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,,0.7,1.7,2.4,.066,,-1.4,0.3,-1.1,0.4,1 season,202066
1184,,MEM,NBA,,49,1530,8.6,.551,.543,.196,1.3,10.0,5.6,6.7,1.6,1.5,11.4,13.9,,0.1,1.5,1.6,.050,,-3.1,0.4,-2.7,-0.3,1 season,202066
1185,,CHI,NBA,,35,977,9.1,.539,.517,.147,2.3,10.0,6.2,9.2,1.6,1.6,11.3,13.6,,0.3,0.9,1.2,.061,,-2.9,-0.1,-3.1,-0.3,1 season,202066
1186,,LAC,NBA,,26,510,8.0,.514,.509,.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,,0.2,0.5,0.6,.061,,-4.1,1.0,-3.1,-0.1,1 season,202066
1187,,SAS,NBA,,16,214,10.1,.518,.348,.333,2.2,6.4,4.4,9.9,2.2,1.0,13.2,19.5,,0.0,0.3,0.3,.064,,-3.0,0.9,-2.1,0.0,2 seasons,202066
1188,,CHA,NBA,,12,126,6.4,.406,.619,.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,,-0.5,0.2,-0.3,-0.119,,-6.2,-0.4,-6.6,-0.1,1 season,202066
1189,,HOU,NBA,,9,118,8.6,.569,.414,.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,,-0.1,0.1,0.0,.004,,-5.2,-0.3,-5.5,-0.1,1 season,202066
1190,,MIL,NBA,,9,83,3.1,.373,.476,.190,0.0,8.6,4.2,11.6,0.6,0.9,8.1,14.0,,-0.1,0.1,0.0,-0.019,,-6.4,0.0,-6.4,-0.1,1 season,202066
1191,24,HOU,NBA,PF,51,641,9.2,.480,.914,.046,4.1,16.2,10.0,3.8,1.5,3.5,4.3,10.9,,0.3,0.7,1.0,.071,,-1.1,0.4,-0.7,0.2,2018-19,1629109
1192,25,TOT,NBA,"PF,SF",42,567,10.7,.568,.835,.075,6.8,14.0,10.3,4.1,0.5,3.4,6.8,11.0,,0.7,0.5,1.2,.100,,-0.9,-1.0,-1.9,0.0,2019-20,1629109
1193,25,HOU,NBA,PF,18,212,11.8,.564,.864,.119,5.4,14.5,9.9,7.7,0.4,2.8,3.1,12.5,,0.4,0.2,0.5,.123,,0.3,-0.9,-0.6,0.1,2019-20,1629109
1194,25,ORL,NBA,SF,24,355,10.1,.571,.811,.041,7.6,13.8,10.6,1.9,0.5,3.8,9.6,10.1,,0.3,0.3,0.6,.087,,-1.7,-1.0,-2.7,-0.1,2019-20,1629109
1195,26,ORL,NBA,SF,35,637,6.1,.439,.824,.076,5.2,13.3,9.2,6.4,0.9,1.0,11.2,10.3,,-0.2,0.5,0.2,.018,,-3.8,-0.9,-4.8,-0.4,2020-21,1629109
1196,,,NBA,,128,1845,8.6,.495,.860,.065,5.3,14.5,9.8,4.8,1.0,2.6,7.4,10.8,,0.7,1.7,2.4,.062,,-2.0,-0.5,-2.5,-0.2,Career,1629109
1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629109
1198,,HOU,NBA,,69,853,9.8,.504,.900,.067,4.4,15.8,10.0,4.8,1.3,3.3,4.0,11.3,,0.6,0.9,1.5,.084,,-0.8,0.1,-0.7,0.3,2 seasons,1629109
1199,,ORL,NBA,,59,992,7.5,.486,.820,.063,6.1,13.5,9.7,4.8,0.8,2.0,10.6,10.3,,0.1,0.8,0.9,.042,,-3.1,-1.0,-4.0,-0.5,2 seasons,1629109
1200,20,DAL,NBA,PG,11,56,6.0,.318,.438,.188,0.0,11.5,5.9,14.1,4.4,0.0,10.4,15.3,,-0.1,0.1,-0.1,-0.055,,-7.7,2.2,-5.5,-0.1,2020-21,1630179
1201,,,NBA,,11,56,6.0,.318,.438,.188,0.0,11.5,5.9,14.1,4.4,0.0,10.4,15.3,,-0.1,0.1,-0.1,-0.055,,-7.7,2.2,-5.5,-0.1,Career,1630179
1202,21,ATL,NBA,PG,71,719,11.0,.459,.141,.216,0.8,10.2,5.4,25.1,2.5,1.2,16.7,19.1,,-0.2,0.8,0.6,.042,,-3.8,0.3,-3.6,-0.3,2009-10,201952
1203,22,ATL,NBA,PG,70,963,14.6,.521,.158,.319,1.4,11.3,6.4,23.3,2.5,2.0,15.6,20.3,,0.4,1.2,1.7,.083,,-0.8,1.3,0.5,0.6,2010-11,201952
1204,23,ATL,NBA,PG,66,2183,15.8,.551,.222,.275,1.1,7.4,4.3,24.3,2.6,1.3,15.1,19.1,,3.0,3.0,6.0,.131,,0.0,1.3,1.3,1.8,2011-12,201952
1205,24,ATL,NBA,PG,80,2628,16.8,.543,.255,.232,1.1,6.7,3.9,36.1,2.3,0.8,17.6,23.0,,3.5,2.6,6.1,.111,,0.9,-0.6,0.3,1.5,2012-13,201952
1206,25,ATL,NBA,PG,79,2542,17.1,.541,.216,.362,1.6,7.9,4.7,35.1,1.8,0.5,16.1,25.7,,3.3,1.9,5.2,.098,,1.2,-1.3,-0.1,1.2,2013-14,201952
1207,26,ATL,NBA,PG,73,2228,20.6,.566,.233,.360,1.6,7.7,4.7,37.9,2.9,1.2,16.6,25.3,,5.0,2.8,7.7,.166,,2.7,0.3,2.9,2.8,2014-15,201952
1208,27,ATL,NBA,PG,79,2255,17.9,.551,.278,.316,1.6,8.6,5.2,34.4,2.1,0.8,16.2,26.6,,2.8,3.0,5.9,.125,,1.5,-0.2,1.3,1.9,2015-16,201952
1209,28,IND,NBA,PG,82,2657,19.2,.574,.277,.457,1.4,12.4,7.0,36.4,1.9,1.1,16.5,22.1,,5.7,2.4,8.1,.146,,2.3,-0.1,2.2,2.8,2016-17,201952
1210,29,MIN,NBA,PG,70,2311,16.4,.553,.287,.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,,3.4,1.4,4.9,.101,,1.1,-0.7,0.4,1.4,2017-18,201952
1211,30,MIN,NBA,PG,42,1264,15.4,.528,.252,.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,,1.7,0.5,2.2,.085,,0.8,-1.2,-0.4,0.5,2018-19,201952
1212,31,TOT,NBA,PG,59,1464,14.6,.557,.239,.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,,1.9,0.6,2.5,.082,,-0.2,-1.3,-1.5,0.2,2019-20,201952
1213,31,MIN,NBA,PG,34,945,15.9,.578,.269,.444,1.6,8.5,4.9,32.5,1.2,1.1,16.4,20.2,,1.7,0.4,2.1,.108,,0.6,-1.2,-0.6,0.3,2019-20,201952
1214,31,ATL,NBA,PG,25,519,12.2,.512,.182,.321,2.5,8.8,5.6,27.3,1.7,1.0,17.5,18.3,,0.2,0.2,0.4,.035,,-1.6,-1.5,-3.1,-0.2,2019-20,201952
1215,32,BOS,NBA,PG,34,616,11.6,.542,.298,.324,1.8,8.7,5.2,16.1,2.1,1.1,15.4,17.8,,0.3,0.4,0.7,.058,,-2.4,-0.2,-2.5,-0.1,2020-21,201952
1216,,,NBA,,805,21830,16.8,.549,.246,.333,1.4,8.7,5.1,32.5,2.2,1.0,16.4,22.3,,30.9,20.7,51.6,.113,,0.9,-0.3,0.6,14.3,Career,201952
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201952
1218,,ATL,NBA,,543,14037,16.8,.543,.231,.308,1.4,8.0,4.8,32.3,2.3,1.0,16.4,23.3,,18.0,15.5,33.5,.115,,0.7,-0.1,0.6,9.3,8 seasons,201952
1219,,MIN,NBA,,146,4520,16.0,.551,.274,.349,1.3,8.7,4.9,32.9,1.8,1.0,16.5,20.1,,6.8,2.4,9.2,.098,,0.9,-0.9,0.0,2.2,3 seasons,201952
1220,,IND,NBA,,82,2657,19.2,.574,.277,.457,1.4,12.4,7.0,36.4,1.9,1.1,16.5,22.1,,5.7,2.4,8.1,.146,,2.3,-0.1,2.2,2.8,1 season,201952
1221,,BOS,NBA,,34,616,11.6,.542,.298,.324,1.8,8.7,5.2,16.1,2.1,1.1,15.4,17.8,,0.3,0.4,0.7,.058,,-2.4,-0.2,-2.5,-0.1,1 season,201952
1222,25,TOR,NBA,SG,41,440,13.3,.650,.660,.080,2.2,12.2,7.3,7.5,1.1,0.2,9.3,16.6,,0.7,0.6,1.2,.133,,1.0,0.1,1.1,0.3,2019-20,1629744
1223,26,TOR,NBA,SG,26,192,8.1,.545,.661,.113,1.7,10.7,6.0,6.7,0.5,0.0,8.4,16.0,,0.0,0.1,0.1,.025,,-2.2,-2.5,-4.7,-0.1,2020-21,1629744
1224,,,NBA,,67,632,11.7,.619,.660,.090,2.0,11.7,6.9,7.3,0.9,0.2,9.1,16.4,,0.7,0.6,1.3,.100,,0.0,-0.7,-0.7,0.2,Career,1629744
1225,23,IND,NBA,SF,6,26,4.9,.354,.444,.222,0.0,9.2,4.5,0.0,2.1,0.0,0.0,17.9,,0.0,0.0,0.0,.010,,-3.4,-0.5,-3.9,0.0,2003-04,2592
1226,24,IND,NBA,SF,75,1330,10.5,.537,.522,.195,3.6,11.9,7.8,7.4,1.3,1.6,11.1,14.0,,1.1,1.4,2.5,.090,,-0.6,0.5,-0.1,0.6,2004-05,2592
1227,25,PHO,NBA,SF,75,1772,13.2,.551,.491,.208,2.8,12.8,7.9,4.5,1.1,1.9,5.2,16.9,,2.3,1.7,4.0,.110,,0.1,-0.2,-0.1,0.9,2005-06,2592
1228,26,PHO,NBA,SF,76,1376,10.8,.510,.541,.184,2.9,11.5,7.5,4.5,1.0,2.1,5.6,16.5,,1.0,1.2,2.2,.077,,-0.5,-0.2,-0.6,0.5,2006-07,2592
1229,27,POR,NBA,SF,58,1276,13.6,.625,.627,.300,4.0,10.8,7.4,4.3,1.0,0.9,7.0,14.8,,2.9,0.8,3.7,.139,,1.4,-0.2,1.3,1.1,2007-08,2592
1230,28,MIA,NBA,SF,40,630,8.4,.520,.644,.208,2.3,9.6,5.9,4.7,1.0,1.8,6.9,13.0,,0.4,0.5,0.9,.065,,-2.1,-0.7,-2.7,-0.1,2008-09,2592
1231,29,MIA,NBA,SF,36,503,8.8,.556,.756,.235,0.9,9.5,5.3,5.1,1.2,0.6,7.7,13.3,,0.5,0.5,1.0,.099,,-1.4,0.2,-1.2,0.1,2009-10,2592
1232,30,MIA,NBA,SF,81,1549,11.1,.629,.829,.208,1.9,9.9,6.1,4.1,1.0,1.0,5.3,12.0,,3.0,1.7,4.7,.145,,0.7,0.3,1.0,1.2,2010-11,2592
1233,31,MIA,NBA,SG,51,666,9.7,.567,.760,.200,1.1,7.4,4.4,4.2,1.3,1.1,5.8,12.1,,0.9,0.7,1.7,.120,,-0.4,0.4,0.0,0.3,2011-12,2592
1234,32,MIA,NBA,SF,38,221,8.1,.478,.869,.066,0.0,11.6,6.1,8.4,0.5,2.2,4.6,14.2,,0.1,0.2,0.2,.054,,-2.0,-1.0,-3.0,-0.1,2012-13,2592
1235,33,MIA,NBA,SF,20,236,15.4,.666,.794,.162,1.1,10.8,6.1,5.8,0.7,1.5,5.2,15.6,,0.6,0.1,0.7,.147,,4.1,-0.9,3.2,0.3,2013-14,2592
1236,34,CLE,NBA,SF,57,669,11.1,.565,.871,.229,1.6,9.0,5.3,5.4,1.0,0.9,5.5,15.8,,1.2,0.4,1.5,.110,,0.2,-0.9,-0.7,0.2,2014-15,2592
1237,35,CLE,NBA,SF,48,463,11.6,.580,.732,.183,2.0,10.2,6.1,4.5,1.2,1.8,7.8,16.2,,0.7,0.5,1.2,.120,,-0.2,-0.1,-0.3,0.2,2015-16,2592
1238,36,CLE,NBA,SF,48,381,11.1,.655,.717,.217,0.9,9.5,5.4,5.2,0.8,2.1,9.0,13.0,,0.6,0.2,0.8,.102,,-0.1,-0.3,-0.3,0.2,2016-17,2592
1239,,,NBA,,709,11098,11.3,.566,.645,.210,2.4,10.7,6.7,5.0,1.1,1.5,6.6,14.6,,15.2,10.0,25.2,.109,,0.0,-0.1,-0.1,5.4,Career,2592
1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592
1241,,MIA,NBA,,266,3805,10.2,.583,.777,.197,1.5,9.5,5.7,4.7,1.0,1.2,5.9,12.7,,5.5,3.7,9.2,.116,,-0.2,0.0,-0.2,1.7,6 seasons,2592
1242,,CLE,NBA,,153,1513,11.2,.589,.793,.211,1.5,9.5,5.6,5.0,1.0,1.5,7.0,15.2,,2.4,1.1,3.5,.111,,0.0,-0.5,-0.5,0.6,3 seasons,2592
1243,,PHO,NBA,,151,3148,12.1,.533,.512,.198,2.9,12.2,7.7,4.5,1.1,2.0,5.4,16.7,,3.3,2.9,6.2,.095,,-0.2,-0.2,-0.3,1.3,2 seasons,2592
1244,,IND,NBA,,81,1356,10.3,.532,.520,.196,3.5,11.9,7.7,7.3,1.3,1.6,10.8,14.1,,1.1,1.4,2.5,.088,,-0.6,0.5,-0.2,0.6,2 seasons,2592
1245,,POR,NBA,,58,1276,13.6,.625,.627,.300,4.0,10.8,7.4,4.3,1.0,0.9,7.0,14.8,,2.9,0.8,3.7,.139,,1.4,-0.2,1.3,1.1,1 season,2592
1246,21,DEN,NBA,PF,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.014,,-3.9,-1.6,-5.4,0.0,2017-18,1628399
1247,22,DEN,NBA,PF,25,94,9.3,.595,.556,.167,8.0,12.7,10.4,8.2,1.0,0.0,17.2,10.6,,0.1,0.1,0.2,.086,,-2.8,-1.4,-4.2,-0.1,2018-19,1628399
1248,,,NBA,,26,96,9.1,.595,.556,.167,7.9,12.5,10.2,8.1,1.0,0.0,17.2,10.4,,0.1,0.1,0.2,.084,,-2.8,-1.4,-4.3,-0.1,Career,1628399
1249,24,TOR,NBA,PG,14,146,7.2,.414,.354,.188,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,,-0.2,0.2,0.0,-0.009,,-4.4,1.1,-3.4,0.0,2013-14,202779
1250,25,LAL,NBA,PG,6,123,13.1,.586,.275,.250,1.7,9.3,5.4,18.4,1.2,0.0,21.3,20.4,,0.1,0.0,0.1,.027,,-0.2,-2.3,-2.6,0.0,2014-15,202779
1251,28,DET,NBA,PG,29,427,12.8,.498,.227,.207,3.0,7.7,5.3,22.4,2.2,0.4,15.3,26.4,,-0.2,0.4,0.2,.027,,-2.3,-0.7,-3.1,-0.1,2017-18,202779
1252,,,NBA,,49,696,11.7,.496,.255,.210,2.8,9.5,6.1,19.2,2.2,0.3,16.3,23.9,,-0.4,0.6,0.3,.020,,-2.4,-0.6,-3.1,-0.2,Career,202779
1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202779
1254,,DET,NBA,,29,427,12.8,.498,.227,.207,3.0,7.7,5.3,22.4,2.2,0.4,15.3,26.4,,-0.2,0.4,0.2,.027,,-2.3,-0.7,-3.1,-0.1,1 season,202779
1255,,TOR,NBA,,14,146,7.2,.414,.354,.188,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,,-0.2,0.2,0.0,-0.009,,-4.4,1.1,-3.4,0.0,1 season,202779
1256,,LAL,NBA,,6,123,13.1,.586,.275,.250,1.7,9.3,5.4,18.4,1.2,0.0,21.3,20.4,,0.1,0.0,0.1,.027,,-0.2,-2.3,-2.6,0.0,1 season,202779
1257,20,NOP,NBA,PF,17,199,16.8,.510,.000,.276,12.1,26.7,19.4,3.2,1.0,2.9,7.6,20.5,,0.2,0.3,0.5,.111,,-1.8,-1.9,-3.7,-0.1,2016-17,1627767
1258,21,NOP,NBA,PF,52,581,17.0,.619,.000,.375,9.1,29.6,19.7,4.7,0.9,2.9,12.0,17.4,,1.1,0.8,1.9,.157,,-1.3,0.1,-1.2,0.1,2017-18,1627767
1259,22,NOP,NBA,PF,64,896,17.5,.644,.015,.247,8.8,29.3,19.2,5.1,1.5,3.0,14.0,16.0,,1.4,1.2,2.6,.140,,-1.1,0.1,-0.9,0.2,2018-19,1627767
1260,23,PHO,NBA,C,47,479,16.5,.688,.021,.275,6.9,23.7,15.2,6.9,1.1,2.2,16.7,17.0,,0.8,0.5,1.3,.132,,-1.1,-0.2,-1.3,0.1,2019-20,1627767
1261,,,NBA,,180,2155,17.1,.631,.011,.290,8.7,27.9,18.4,5.2,1.2,2.8,13.4,17.0,,3.5,2.8,6.3,.140,,-1.2,-0.1,-1.3,0.4,Career,1627767
1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627767
1263,,NOP,NBA,,133,1676,17.3,.616,.008,.294,9.3,29.1,19.4,4.7,1.2,2.9,12.4,17.0,,2.7,2.3,5.0,.142,,-1.2,-0.1,-1.4,0.3,3 seasons,1627767
1264,,PHO,NBA,,47,479,16.5,.688,.021,.275,6.9,23.7,15.2,6.9,1.1,2.2,16.7,17.0,,0.8,0.5,1.3,.132,,-1.1,-0.2,-1.3,0.1,1 season,1627767
1265,20,PHO,NBA,C,42,362,7.3,.469,.000,.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,,-0.2,0.4,0.2,.024,,-5.9,-0.7,-6.6,-0.4,2013-14,203458
