"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"Chris Welp","welpch01",FALSE,"1988-1990",3,"1987-88","1989-90","https://www.basketball-reference.com/players/w/welpch01.html"
"Chris Whitney","whitnch01",FALSE,"1994-2004",11,"1993-94","2003-04","https://www.basketball-reference.com/players/w/whitnch01.html"
"Chris Wilcox","wilcoch01",FALSE,"2003-2013",11,"2002-03","2012-13","https://www.basketball-reference.com/players/w/wilcoch01.html"
"Chris Wright","wrighch01",FALSE,"2012-2014",3,"2011-12","2013-14","https://www.basketball-reference.com/players/w/wrighch01.html"
"Chris Wright","wrighch02",FALSE,"2013",1,"2012-13","2012-13","https://www.basketball-reference.com/players/w/wrighch02.html"
"Christ Koumadje","koumach01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/k/koumach01.html"
"Christian Burns","burnsch01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/burnsch01.html"
"Christian Eyenga","eyengch01",FALSE,"2011-2012",2,"2010-11","2011-12","https://www.basketball-reference.com/players/e/eyengch01.html"
"Christian Laettner","laettch01",FALSE,"1993-2005",13,"1992-93","2004-05","https://www.basketball-reference.com/players/l/laettch01.html"
"Christian Vital","vitalch01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/v/vitalch01.html"
"Christian Watford","watfoch01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/w/watfoch01.html"
"Christian Wood","woodch01",TRUE,"2016-2021",6,"2015-16","2020-21","https://www.basketball-reference.com/players/w/woodch01.html"
"Chubby Cox","coxch01",FALSE,"1983",1,"1982-83","1982-83","https://www.basketball-reference.com/players/c/coxch01.html"
"Chuck Aleksinas","aleksch01",FALSE,"1985",1,"1984-85","1984-85","https://www.basketball-reference.com/players/a/aleksch01.html"
"Chuck Connors","connoch01",FALSE,"1947-1948",2,"1946-47","1947-48","https://www.basketball-reference.com/players/c/connoch01.html"
"Chuck Cooper","coopech01",FALSE,"1951-1956",6,"1950-51","1955-56","https://www.basketball-reference.com/players/c/coopech01.html"
"Chuck Gardner","gardnch01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/g/gardnch01.html"
"Chuck Gilmur","gilmuch01",FALSE,"1947-1951",5,"1946-47","1950-51","https://www.basketball-reference.com/players/g/gilmuch01.html"
"Chuck Grigsby","grigsch01",FALSE,"1955",1,"1954-55","1954-55","https://www.basketball-reference.com/players/g/grigsch01.html"
