"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"A.C. Green","greenac01",FALSE,"1986-2001",16,"1985-86","2000-01","https://www.basketball-reference.com/players/g/greenac01.html"
"A.J. Bramlett","bramlaj01",FALSE,"2000",1,"1999-00","1999-00","https://www.basketball-reference.com/players/b/bramlaj01.html"
"A.J. English","engliaj01",FALSE,"1991-1992",2,"1990-91","1991-92","https://www.basketball-reference.com/players/e/engliaj01.html"
"A.J. Guyton","guytoaj01",FALSE,"2001-2003",3,"2000-01","2002-03","https://www.basketball-reference.com/players/g/guytoaj01.html"
"A.J. Hammons","hammoaj01",FALSE,"2017",1,"2016-17","2016-17","https://www.basketball-reference.com/players/h/hammoaj01.html"
"A.J. Matthews","matthaj01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/matthaj01.html"
"A.J. Price","priceaj01",FALSE,"2010-2015",6,"2009-10","2014-15","https://www.basketball-reference.com/players/p/priceaj01.html"
"A.J. Slaughter","slaugaj01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/slaugaj01.html"
"A.J. Wynder","wyndeaj01",FALSE,"1991",1,"1990-91","1990-91","https://www.basketball-reference.com/players/w/wyndeaj01.html"
"A.W. Holt","holtaw01",FALSE,"1971",1,"1970-71","1970-71","https://www.basketball-reference.com/players/h/holtaw01.html"
"Aaron Brooks","brookaa01",FALSE,"2008-2018",11,"2007-08","2017-18","https://www.basketball-reference.com/players/b/brookaa01.html"
"Aaron Craft","craftaa01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/c/craftaa01.html"
"Aaron Gordon","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html"
"Aaron Gray","grayaa01",FALSE,"2008-2014",7,"2007-08","2013-14","https://www.basketball-reference.com/players/g/grayaa01.html"
"Aaron Harrison","harriaa01",FALSE,"2016-2018",3,"2015-16","2017-18","https://www.basketball-reference.com/players/h/harriaa01.html"
"Aaron Holiday","holidaa01",TRUE,"2019-2021",3,"2018-19","2020-21","https://www.basketball-reference.com/players/h/holidaa01.html"
"Aaron Jackson","jacksaa01",FALSE,"2018",1,"2017-18","2017-18","https://www.basketball-reference.com/players/j/jacksaa01.html"
"Aaron James","jamesaa01",FALSE,"1975-1979",5,"1974-75","1978-79","https://www.basketball-reference.com/players/j/jamesaa01.html"
"Aaron McKie","mckieaa01",FALSE,"1995-2007",13,"1994-95","2006-07","https://www.basketball-reference.com/players/m/mckieaa01.html"
"Aaron Miles","milesaa01",FALSE,"2006",1,"2005-06","2005-06","https://www.basketball-reference.com/players/m/milesaa01.html"
"Aaron Nesmith","nesmiaa01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/n/nesmiaa01.html"
"Aaron Swinson","swinsaa01",FALSE,"1995",1,"1994-95","1994-95","https://www.basketball-reference.com/players/s/swinsaa01.html"
"Aaron White","whiteaa01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/w/whiteaa01.html"
"Aaron Williams","williaa01",FALSE,"1994-2008",15,"1993-94","2007-08","https://www.basketball-reference.com/players/w/williaa01.html"
"Abdel Nader","naderab01",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/n/naderab01.html"
"Abdoulaye N'Doye","ndoyeab01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/n/ndoyeab01.html"
"Abdul Gaddy","gaddyab01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/g/gaddyab01.html"
"Abdul Jeelani","jeelaab01",FALSE,"1980-1981",2,"1979-80","1980-81","https://www.basketball-reference.com/players/j/jeelaab01.html"
"Acie Earl","earlac01",FALSE,"1994-1997",4,"1993-94","1996-97","https://www.basketball-reference.com/players/e/earlac01.html"
"Acie Law","lawac01",FALSE,"2008-2011",4,"2007-08","2010-11","https://www.basketball-reference.com/players/l/lawac01.html"
"Ádám Hanga","hangaad01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hangaad01.html"
"Adam Harrington","harriad01",FALSE,"2003",1,"2002-03","2002-03","https://www.basketball-reference.com/players/h/harriad01.html"
"Adam Keefe","keefead01",FALSE,"1993-2001",9,"1992-93","2000-01","https://www.basketball-reference.com/players/k/keefead01.html"
"Adam Mokoka","mokokad01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/m/mokokad01.html"
"Adam Morrison","morriad01",FALSE,"2007-2010",4,"2006-07","2009-10","https://www.basketball-reference.com/players/m/morriad01.html"
"Ade Murkey","murkead01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/murkead01.html"
"Admiral Schofield","schofad01",TRUE,"2020",1,"2019-20","2019-20","https://www.basketball-reference.com/players/s/schofad01.html"
"Adonal Foyle","foylead01",FALSE,"1998-2009",12,"1997-98","2008-09","https://www.basketball-reference.com/players/f/foylead01.html"
"Adonis Jordan","jordaad01",FALSE,"1994-1999",6,"1993-94","1998-99","https://www.basketball-reference.com/players/j/jordaad01.html"
"Adonis Thomas","thomaad01",FALSE,"2014",1,"2013-14","2013-14","https://www.basketball-reference.com/players/t/thomaad01.html"
"Adreian Payne","paynead01",FALSE,"2015-2018",4,"2014-15","2017-18","https://www.basketball-reference.com/players/p/paynead01.html"
"Adrian Branch","brancad01",FALSE,"1987-1990",4,"1986-87","1989-90","https://www.basketball-reference.com/players/b/brancad01.html"
"Adrian Caldwell","caldwad01",FALSE,"1990-1998",9,"1989-90","1997-98","https://www.basketball-reference.com/players/c/caldwad01.html"
"Adrian Dantley","dantlad01",FALSE,"1977-1991",15,"1976-77","1990-91","https://www.basketball-reference.com/players/d/dantlad01.html"
"Adrian Griffin","griffad01",FALSE,"2000-2008",9,"1999-00","2007-08","https://www.basketball-reference.com/players/g/griffad01.html"
"Adrian Smith","smithad01",FALSE,"1962-1972",11,"1961-62","1971-72","https://www.basketball-reference.com/players/s/smithad01.html"
"Ahmad Caver","caverah01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/c/caverah01.html"
"Ahmed Hill","hillah01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hillah01.html"
"Akil Mitchell","mitchak01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/mitchak01.html"
"Al Attles","attleal01",FALSE,"1961-1971",11,"1960-61","1970-71","https://www.basketball-reference.com/players/a/attleal01.html"
"Al Beard","beardal01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/b/beardal01.html"
"Al Bianchi","biancal01",FALSE,"1957-1966",10,"1956-57","1965-66","https://www.basketball-reference.com/players/b/biancal01.html"
"Al Brightman","brighal01",FALSE,"1947",1,"1946-47","1946-47","https://www.basketball-reference.com/players/b/brighal01.html"
"Al Butler","butleal01",FALSE,"1962-1965",4,"1961-62","1964-65","https://www.basketball-reference.com/players/b/butleal01.html"
"Al Carlson","carlsal01",FALSE,"1976",1,"1975-76","1975-76","https://www.basketball-reference.com/players/c/carlsal01.html"
"Al Cervi","cervial01",FALSE,"1950-1953",4,"1949-50","1952-53","https://www.basketball-reference.com/players/c/cervial01.html"
"Al Cueto","cuetoal01",FALSE,"1970-1971",2,"1969-70","1970-71","https://www.basketball-reference.com/players/c/cuetoal01.html"
"Al Eberhard","eberhal01",FALSE,"1975-1978",4,"1974-75","1977-78","https://www.basketball-reference.com/players/e/eberhal01.html"
"Al Ferrari","ferraal01",FALSE,"1956-1963",8,"1955-56","1962-63","https://www.basketball-reference.com/players/f/ferraal01.html"
"Al Fleming","flemial01",FALSE,"1978",1,"1977-78","1977-78","https://www.basketball-reference.com/players/f/flemial01.html"
"Al Guokas","guokaal01",FALSE,"1950",1,"1949-50","1949-50","https://www.basketball-reference.com/players/g/guokaal01.html"
"Al Hairston","hairsal01",FALSE,"1969-1970",2,"1968-69","1969-70","https://www.basketball-reference.com/players/h/hairsal01.html"
"Al Harrington","harrial01",FALSE,"1999-2014",16,"1998-99","2013-14","https://www.basketball-reference.com/players/h/harrial01.html"
"Al Henry","henryal01",FALSE,"1971-1972",2,"1970-71","1971-72","https://www.basketball-reference.com/players/h/henryal01.html"
"Al Horford","horfoal01",TRUE,"2008-2021",14,"2007-08","2020-21","https://www.basketball-reference.com/players/h/horfoal01.html"
"Al Jackson","jacksal01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/j/jacksal01.html"
"Al Jefferson","jeffeal01",FALSE,"2005-2018",14,"2004-05","2017-18","https://www.basketball-reference.com/players/j/jeffeal01.html"
"Al Lucas","lucasal01",FALSE,"1949",1,"1948-49","1948-49","https://www.basketball-reference.com/players/l/lucasal01.html"
"Al Lujack","lujacal01",FALSE,"1947",1,"1946-47","1946-47","https://www.basketball-reference.com/players/l/lujacal01.html"
"Al Masino","masinal01",FALSE,"1953-1954",2,"1952-53","1953-54","https://www.basketball-reference.com/players/m/masinal01.html"
"Al Miksis","miksial01",FALSE,"1950",1,"1949-50","1949-50","https://www.basketball-reference.com/players/m/miksial01.html"
"Al Negratti","negraal01",FALSE,"1947",1,"1946-47","1946-47","https://www.basketball-reference.com/players/n/negraal01.html"
"Al Roges","rogesal01",FALSE,"1954-1955",2,"1953-54","1954-55","https://www.basketball-reference.com/players/r/rogesal01.html"
"Al Salvadori","salvaal01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/s/salvaal01.html"
"Al Sanders","sandeal01",FALSE,"1973",1,"1972-73","1972-73","https://www.basketball-reference.com/players/s/sandeal01.html"
"Al Skinner","skinnal01",FALSE,"1975-1980",6,"1974-75","1979-80","https://www.basketball-reference.com/players/s/skinnal01.html"
"Al Smith","smithal01",FALSE,"1972-1976",5,"1971-72","1975-76","https://www.basketball-reference.com/players/s/smithal01.html"
"Al Thornton","thornal01",FALSE,"2008-2011",4,"2007-08","2010-11","https://www.basketball-reference.com/players/t/thornal01.html"
"Al Tucker","tuckeal01",FALSE,"1968-1972",5,"1967-68","1971-72","https://www.basketball-reference.com/players/t/tuckeal01.html"
"Al Williams","willial01",FALSE,"1971",1,"1970-71","1970-71","https://www.basketball-reference.com/players/w/willial01.html"
"Al Wood","woodal01",FALSE,"1982-1987",6,"1981-82","1986-87","https://www.basketball-reference.com/players/w/woodal01.html"
"Al-Farouq Aminu","aminual01",TRUE,"2011-2020",10,"2010-11","2019-20","https://www.basketball-reference.com/players/a/aminual01.html"
"Alaa Abdelnaby","abdelal01",FALSE,"1991-1995",5,"1990-91","1994-95","https://www.basketball-reference.com/players/a/abdelal01.html"
"Alade Aminu","aminual02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/a/aminual02.html"
"Alan Anderson","anderal01",FALSE,"2006-2017",12,"2005-06","2016-17","https://www.basketball-reference.com/players/a/anderal01.html"
"Alan Hardy","hardyal01",FALSE,"1981-1982",2,"1980-81","1981-82","https://www.basketball-reference.com/players/h/hardyal01.html"
"Alan Henderson","hendeal01",FALSE,"1996-2007",12,"1995-96","2006-07","https://www.basketball-reference.com/players/h/hendeal01.html"
"Alan Ogg","oggal01",FALSE,"1991-1993",3,"1990-91","1992-93","https://www.basketball-reference.com/players/o/oggal01.html"
"Alan Sawyer","sawyeal01",FALSE,"1951",1,"1950-51","1950-51","https://www.basketball-reference.com/players/s/sawyeal01.html"
"Alan Williams","willial03",TRUE,"2016-2019",4,"2015-16","2018-19","https://www.basketball-reference.com/players/w/willial03.html"
"Alando Tucker","tuckeal02",FALSE,"2008-2010",3,"2007-08","2009-10","https://www.basketball-reference.com/players/t/tuckeal02.html"
"Albert King","kingal01",FALSE,"1982-1992",11,"1981-82","1991-92","https://www.basketball-reference.com/players/k/kingal01.html"
"Albert Miralles","miralal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/miralal01.html"
"Alec Brown","brownal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/brownal01.html"
"Alec Burks","burksal01",TRUE,"2012-2021",10,"2011-12","2020-21","https://www.basketball-reference.com/players/b/burksal01.html"
"Alec Kessler","kesslal01",FALSE,"1991-1994",4,"1990-91","1993-94","https://www.basketball-reference.com/players/k/kesslal01.html"
"Alec Peters","peteral01",TRUE,"2018",1,"2017-18","2017-18","https://www.basketball-reference.com/players/p/peteral01.html"
"Aleksandar Djordjevic","djordal01",FALSE,"1997",1,"1996-97","1996-97","https://www.basketball-reference.com/players/d/djordal01.html"
"Aleksandar Pavlovic","pavloal02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/p/pavloal02.html"
"Aleksandar Radojević","radojal01",FALSE,"2000-2005",6,"1999-00","2004-05","https://www.basketball-reference.com/players/r/radojal01.html"
"Aleksej Pokusevski","pokusal01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/p/pokusal01.html"
"Alen Smailagić","smailal01",TRUE,"2020",1,"2019-20","2019-20","https://www.basketball-reference.com/players/s/smailal01.html"
"Alessandro Gentile","gential01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/g/gential01.html"
"Álex Abrines","abrinal01",TRUE,"2017-2019",3,"2016-17","2018-19","https://www.basketball-reference.com/players/a/abrinal01.html"
"Alex Acker","ackeral01",FALSE,"2006-2009",4,"2005-06","2008-09","https://www.basketball-reference.com/players/a/ackeral01.html"
"Alex Blackwell","blackal01",FALSE,"1993",1,"1992-93","1992-93","https://www.basketball-reference.com/players/b/blackal01.html"
"Alex Bradley","bradlal02",FALSE,"1982",1,"1981-82","1981-82","https://www.basketball-reference.com/players/b/bradlal02.html"
"Alex Caruso","carusal01",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/c/carusal01.html"
"Alex English","englial01",FALSE,"1977-1991",15,"1976-77","1990-91","https://www.basketball-reference.com/players/e/englial01.html"
"Alex Garcia","garcial01",FALSE,"2004-2005",2,"2003-04","2004-05","https://www.basketball-reference.com/players/g/garcial01.html"
"Alex Groza","grozaal01",FALSE,"1950-1951",2,"1949-50","1950-51","https://www.basketball-reference.com/players/g/grozaal01.html"
"Alex Hamilton","hamilal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hamilal01.html"
"Alex Hannum","hannual01",FALSE,"1950-1957",8,"1949-50","1956-57","https://www.basketball-reference.com/players/h/hannual01.html"
"Alex Kirk","kirkal01",FALSE,"2015",1,"2014-15","2014-15","https://www.basketball-reference.com/players/k/kirkal01.html"
"Alex Len","lenal01",TRUE,"2014-2021",8,"2013-14","2020-21","https://www.basketball-reference.com/players/l/lenal01.html"
"Alex Oriakhi","oriakal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/o/oriakal01.html"
"Alex Poythress","poythal01",TRUE,"2017-2019",3,"2016-17","2018-19","https://www.basketball-reference.com/players/p/poythal01.html"
"Alex Robinson","robinal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/r/robinal01.html"
"Alex Scales","scaleal01",FALSE,"2006",1,"2005-06","2005-06","https://www.basketball-reference.com/players/s/scaleal01.html"
"Alex Stepheson","stephal01",FALSE,"2016",1,"2015-16","2015-16","https://www.basketball-reference.com/players/s/stephal01.html"
"Alex Stivrins","stivral01",FALSE,"1986-1993",8,"1985-86","1992-93","https://www.basketball-reference.com/players/s/stivral01.html"
"Alexander Johnson","johnsal01",FALSE,"2007-2008",2,"2006-07","2007-08","https://www.basketball-reference.com/players/j/johnsal01.html"
"Alexander Volkov","volkoal01",FALSE,"1990-1992",3,"1989-90","1991-92","https://www.basketball-reference.com/players/v/volkoal01.html"
"Alexandre Paranhos","paranal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/p/paranal01.html"
"Alexey Shved","shvedal01",FALSE,"2013-2015",3,"2012-13","2014-15","https://www.basketball-reference.com/players/s/shvedal01.html"
"Alexis Ajinça","ajincal01",FALSE,"2009-2017",9,"2008-09","2016-17","https://www.basketball-reference.com/players/a/ajincal01.html"
"Alfonzo McKinnie","mckinal01",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/m/mckinal01.html"
"Alfred McGuire","mcguial01",FALSE,"1952-1955",4,"1951-52","1954-55","https://www.basketball-reference.com/players/m/mcguial01.html"
"Alfredrick Hughes","hugheri01",FALSE,"1986",1,"1985-86","1985-86","https://www.basketball-reference.com/players/h/hugheri01.html"
"Alize Johnson","johnsal02",TRUE,"2019-2020",2,"2018-19","2019-20","https://www.basketball-reference.com/players/j/johnsal02.html"
"Allan Bristow","bristal01",FALSE,"1974-1983",10,"1973-74","1982-83","https://www.basketball-reference.com/players/b/bristal01.html"
"Allan Houston","houstal01",FALSE,"1994-2005",12,"1993-94","2004-05","https://www.basketball-reference.com/players/h/houstal01.html"
"Allan Ray","rayal01",FALSE,"2007",1,"2006-07","2006-07","https://www.basketball-reference.com/players/r/rayal01.html"
"Allen Crabbe","crabbal01",TRUE,"2014-2020",7,"2013-14","2019-20","https://www.basketball-reference.com/players/c/crabbal01.html"
"Allen Iverson","iversal01",FALSE,"1997-2010",14,"1996-97","2009-10","https://www.basketball-reference.com/players/i/iversal01.html"
"Allen Leavell","leaveal01",FALSE,"1980-1989",10,"1979-80","1988-89","https://www.basketball-reference.com/players/l/leaveal01.html"
"Allen Murphy","murphal01",FALSE,"1976-1977",2,"1975-76","1976-77","https://www.basketball-reference.com/players/m/murphal01.html"
"Allie McGuire","mcguial02",FALSE,"1974",1,"1973-74","1973-74","https://www.basketball-reference.com/players/m/mcguial02.html"
"Allonzo Trier","trieral01",TRUE,"2019-2020",2,"2018-19","2019-20","https://www.basketball-reference.com/players/t/trieral01.html"
"Alonzo Bradley","bradlal01",FALSE,"1978-1980",3,"1977-78","1979-80","https://www.basketball-reference.com/players/b/bradlal01.html"
"Alonzo Gee","geeal01",FALSE,"2010-2017",8,"2009-10","2016-17","https://www.basketball-reference.com/players/g/geeal01.html"
"Alonzo Mourning","mournal01",FALSE,"1993-2008",16,"1992-93","2007-08","https://www.basketball-reference.com/players/m/mournal01.html"
"Alpha Kaba","kabaal01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/k/kabaal01.html"
"Alphonso Ford","fordal01",FALSE,"1994-1995",2,"1993-94","1994-95","https://www.basketball-reference.com/players/f/fordal01.html"
"Alton Ford","fordal02",FALSE,"2002-2004",3,"2001-02","2003-04","https://www.basketball-reference.com/players/f/fordal02.html"
"Alton Lister","listeal01",FALSE,"1982-1998",17,"1981-82","1997-98","https://www.basketball-reference.com/players/l/listeal01.html"
"Alvan Adams","adamsal01",FALSE,"1976-1988",13,"1975-76","1987-88","https://www.basketball-reference.com/players/a/adamsal01.html"
"Alvin Heggs","heggsal01",FALSE,"1996",1,"1995-96","1995-96","https://www.basketball-reference.com/players/h/heggsal01.html"
"Alvin Jones","jonesal01",FALSE,"2002",1,"2001-02","2001-02","https://www.basketball-reference.com/players/j/jonesal01.html"
"Alvin Robertson","roberal01",FALSE,"1985-1996",12,"1984-85","1995-96","https://www.basketball-reference.com/players/r/roberal01.html"
"Alvin Scott","scottal01",FALSE,"1978-1985",8,"1977-78","1984-85","https://www.basketball-reference.com/players/s/scottal01.html"
"Alvin Sims","simsal01",FALSE,"1999",1,"1998-99","1998-99","https://www.basketball-reference.com/players/s/simsal01.html"
"Alvin Williams","willial02",FALSE,"1998-2007",10,"1997-98","2006-07","https://www.basketball-reference.com/players/w/willial02.html"
"Amal McCaskill","mccasam01",FALSE,"1997-2004",8,"1996-97","2003-04","https://www.basketball-reference.com/players/m/mccasam01.html"
"Amar'e Stoudemire","stoudam01",FALSE,"2003-2016",14,"2002-03","2015-16","https://www.basketball-reference.com/players/s/stoudam01.html"
"Amath M'Baye","mbayeam01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/mbayeam01.html"
"Amida Brimah","brimaam01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/brimaam01.html"
"Amile Jefferson","jeffeam01",TRUE,"2019-2020",2,"2018-19","2019-20","https://www.basketball-reference.com/players/j/jeffeam01.html"
"Amir Coffey","coffeam01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/c/coffeam01.html"
"Amir Hinton","hintoam01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hintoam01.html"
"Amir Johnson","johnsam01",TRUE,"2006-2019",14,"2005-06","2018-19","https://www.basketball-reference.com/players/j/johnsam01.html"
"Anderson Varejão","varejan01",FALSE,"2005-2017",13,"2004-05","2016-17","https://www.basketball-reference.com/players/v/varejan01.html"
"Andrae Patterson","pattean01",FALSE,"1999-2000",2,"1998-99","1999-00","https://www.basketball-reference.com/players/p/pattean01.html"
"Andray Blatche","blatcan01",FALSE,"2006-2014",9,"2005-06","2013-14","https://www.basketball-reference.com/players/b/blatcan01.html"
"Andre Barrett","barrean01",FALSE,"2005-2008",4,"2004-05","2007-08","https://www.basketball-reference.com/players/b/barrean01.html"
"Andre Brown","brownan01",FALSE,"2007-2009",3,"2006-07","2008-09","https://www.basketball-reference.com/players/b/brownan01.html"
"Andre Dawkins","dawkian01",FALSE,"2015",1,"2014-15","2014-15","https://www.basketball-reference.com/players/d/dawkian01.html"
"Andre Drummond","drumman01",TRUE,"2013-2021",9,"2012-13","2020-21","https://www.basketball-reference.com/players/d/drumman01.html"
"Andre Emmett","emmetan01",FALSE,"2005-2012",8,"2004-05","2011-12","https://www.basketball-reference.com/players/e/emmetan01.html"
"Andre Iguodala","iguodan01",TRUE,"2005-2021",17,"2004-05","2020-21","https://www.basketball-reference.com/players/i/iguodan01.html"
"Andre Ingram","ingraan01",TRUE,"2018-2019",2,"2017-18","2018-19","https://www.basketball-reference.com/players/i/ingraan01.html"
"Andre McCarter","mccaran01",FALSE,"1977-1981",5,"1976-77","1980-81","https://www.basketball-reference.com/players/m/mccaran01.html"
"Andre Miller","millean02",FALSE,"2000-2016",17,"1999-00","2015-16","https://www.basketball-reference.com/players/m/millean02.html"
"Andre Moore","moorean01",FALSE,"1988",1,"1987-88","1987-88","https://www.basketball-reference.com/players/m/moorean01.html"
"Andre Owens","owensan01",FALSE,"2006-2008",3,"2005-06","2007-08","https://www.basketball-reference.com/players/o/owensan01.html"
"Andre Roberson","roberan03",TRUE,"2014-2020",7,"2013-14","2019-20","https://www.basketball-reference.com/players/r/roberan03.html"
"Andre Spencer","spencan01",FALSE,"1993-1994",2,"1992-93","1993-94","https://www.basketball-reference.com/players/s/spencan01.html"
"Andre Turner","turnean01",FALSE,"1987-1992",6,"1986-87","1991-92","https://www.basketball-reference.com/players/t/turnean01.html"
"Andre Wakefield","wakefan01",FALSE,"1979-1980",2,"1978-79","1979-80","https://www.basketball-reference.com/players/w/wakefan01.html"
"Andrea Bargnani","bargnan01",FALSE,"2007-2016",10,"2006-07","2015-16","https://www.basketball-reference.com/players/b/bargnan01.html"
"Andreas Glyniadakis","glynian01",FALSE,"2007",1,"2006-07","2006-07","https://www.basketball-reference.com/players/g/glynian01.html"
"Andrei Kirilenko","kirilan01",FALSE,"2002-2015",14,"2001-02","2014-15","https://www.basketball-reference.com/players/k/kirilan01.html"
"Andreja Milutinović","milutan01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/milutan01.html"
"Andrés Guibert","guibean01",FALSE,"1994-1995",2,"1993-94","1994-95","https://www.basketball-reference.com/players/g/guibean01.html"
"Andrés Nocioni","nocioan01",FALSE,"2005-2012",8,"2004-05","2011-12","https://www.basketball-reference.com/players/n/nocioan01.html"
"Andrew Anderson","anderan01",FALSE,"1968-1970",3,"1967-68","1969-70","https://www.basketball-reference.com/players/a/anderan01.html"
"Andrew Andrews","andrean01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/a/andrean01.html"
"Andrew Bogut","bogutan01",FALSE,"2006-2019",14,"2005-06","2018-19","https://www.basketball-reference.com/players/b/bogutan01.html"
"Andrew Bynum","bynuman01",FALSE,"2006-2014",9,"2005-06","2013-14","https://www.basketball-reference.com/players/b/bynuman01.html"
"Andrew DeClercq","declean01",FALSE,"1996-2005",10,"1995-96","2004-05","https://www.basketball-reference.com/players/d/declean01.html"
"Andrew Gaze","gazean01",FALSE,"1994-1999",6,"1993-94","1998-99","https://www.basketball-reference.com/players/g/gazean01.html"
"Andrew Goudelock","goudean01",FALSE,"2012-2016",5,"2011-12","2015-16","https://www.basketball-reference.com/players/g/goudean01.html"
"Andrew Harrison","harrian01",TRUE,"2017-2019",3,"2016-17","2018-19","https://www.basketball-reference.com/players/h/harrian01.html"
"Andrew Lang","langan01",FALSE,"1989-2000",12,"1988-89","1999-00","https://www.basketball-reference.com/players/l/langan01.html"
"Andrew Lawrence","lawrean01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/l/lawrean01.html"
"Andrew Levane","levanan01",FALSE,"1949-1953",5,"1948-49","1952-53","https://www.basketball-reference.com/players/l/levanan01.html"
"Andrew Nicholson","nichoan01",FALSE,"2013-2017",5,"2012-13","2016-17","https://www.basketball-reference.com/players/n/nichoan01.html"
"Andrew Smith","smithan01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/smithan01.html"
"Andrew Toney","toneyan01",FALSE,"1981-1988",8,"1980-81","1987-88","https://www.basketball-reference.com/players/t/toneyan01.html"
"Andrew White","whitean01",FALSE,"2018",1,"2017-18","2017-18","https://www.basketball-reference.com/players/w/whitean01.html"
"Andrew Wiggins","wiggian01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/w/wiggian01.html"
"Andris Biedriņš","biedran01",FALSE,"2005-2014",10,"2004-05","2013-14","https://www.basketball-reference.com/players/b/biedran01.html"
"Andy Duncan","duncaan01",FALSE,"1949-1951",3,"1948-49","1950-51","https://www.basketball-reference.com/players/d/duncaan01.html"
"Andy Johnson","johnsan01",FALSE,"1959-1962",4,"1958-59","1961-62","https://www.basketball-reference.com/players/j/johnsan01.html"
"Andy Kostecka","kostean01",FALSE,"1949",1,"1948-49","1948-49","https://www.basketball-reference.com/players/k/kostean01.html"
"Andy O'Donnell","odonnan01",FALSE,"1950",1,"1949-50","1949-50","https://www.basketball-reference.com/players/o/odonnan01.html"
"Andy Panko","pankoan01",FALSE,"2001",1,"2000-01","2000-01","https://www.basketball-reference.com/players/p/pankoan01.html"
"Andy Phillip","phillan01",FALSE,"1948-1958",11,"1947-48","1957-58","https://www.basketball-reference.com/players/p/phillan01.html"
"Andy Rautins","rautian01",FALSE,"2011",1,"2010-11","2010-11","https://www.basketball-reference.com/players/r/rautian01.html"
"Andy Tonkovich","tonkoan01",FALSE,"1949",1,"1948-49","1948-49","https://www.basketball-reference.com/players/t/tonkoan01.html"
"Andy Toolson","toolsan01",FALSE,"1991-1996",6,"1990-91","1995-96","https://www.basketball-reference.com/players/t/toolsan01.html"
"Andy Walker","walkean01",FALSE,"1977",1,"1976-77","1976-77","https://www.basketball-reference.com/players/w/walkean01.html"
"Anfernee Hardaway","hardaan01",FALSE,"1994-2008",15,"1993-94","2007-08","https://www.basketball-reference.com/players/h/hardaan01.html"
"Anfernee Simons","simonan01",TRUE,"2019-2021",3,"2018-19","2020-21","https://www.basketball-reference.com/players/s/simonan01.html"
"Ángel Delgado","delgaan01",TRUE,"2019",1,"2018-19","2018-19","https://www.basketball-reference.com/players/d/delgaan01.html"
"Ángel Rodríguez","rodrian01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/r/rodrian01.html"
"Angelo Musi","musian01",FALSE,"1947-1949",3,"1946-47","1948-49","https://www.basketball-reference.com/players/m/musian01.html"
