,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
207,Andre Emmett,JR,2002-03,G,Texas Tech,Big 12,34,1258,297,595,.499,286,557,11,38,.289,136,191,.712,77,149,226,63,64,16,71,51,741
208,Michael Watson,JR,2002-03,F,Missouri-Kansas City,Mid-Cont,29,1124,247,656,.377,129,319,118,337,.350,128,170,.753,23,85,108,109,41,6,106,70,740
209,Luis Flores,JR,2002-03,G,Manhattan,MAAC,30,1166,231,508,.455,175,363,56,145,.386,221,245,.902,49,120,169,87,58,11,98,69,739
210,Chris Williams,SR,2002-03,G,Ball State,MAC,30,1073,226,527,.429,162,331,64,196,.327,220,256,.859,35,67,102,65,38,2,70,79,736
211,Keydren Clark,FR,2002-03,G,Saint Peter's,MAAC,29,1107,231,584,.396,122,306,109,278,.392,151,177,.853,24,71,95,121,41,6,115,55,722
212,Dwyane Wade,JR,2002-03,G,Marquette,CUSA,33,1058,251,501,.501,237,457,14,44,.318,194,249,.779,60,149,209,145,71,43,107,76,710
213,Nick Collison,SR,2002-03,F,Kansas,Big 12,38,1232,281,507,.554,268,469,13,38,.342,127,200,.635,125,255,380,84,44,74,92,95,702
214,Chris Kaman,JR,2002-03,C,Central Michigan,MAC,31,1055,244,392,.622,244,392,0,0,,206,275,.749,112,261,373,37,19,98,137,99,694
215,Jermaine Hall,SR,2002-03,F,Wagner,NEC,32,1080,273,475,.575,266,449,7,26,.269,133,185,.719,87,142,229,52,23,25,84,93,686
216,Willie Green,SR,2002-03,G,Detroit Mercy,Horizon,30,1021,244,498,.490,207,399,37,99,.374,153,190,.805,32,116,148,75,40,13,68,71,678
217,Matt Carroll,SR,2002-03,G,Notre Dame,Big East,34,1154,215,487,.441,116,244,99,243,.407,135,160,.844,29,140,169,55,37,5,54,75,664
218,Jermaine Boyette,SR,2002-03,G,Weber State,Big Sky,32,1023,199,365,.545,168,276,31,89,.348,228,283,.806,34,46,80,106,57,1,77,82,657
219,Brett Blizzard,SR,2002-03,G,North Carolina-Wilmington,CAA,31,1091,223,486,.459,114,239,109,247,.441,100,132,.758,39,93,132,113,69,10,69,43,655
220,Ricky Minard,JR,2002-03,F,Morehead State,OVC,29,909,225,436,.516,171,289,54,147,.367,149,178,.837,43,138,181,117,63,17,89,77,653
221,Ron Williamson,SR,2002-03,G,Howard,MEAC,30,1117,197,478,.412,93,241,104,237,.439,152,176,.864,26,59,85,70,44,1,72,61,650
222,Marcus Banks,SR,2002-03,G,Nevada-Las Vegas,MWC,32,1154,223,434,.514,182,312,41,122,.336,162,214,.757,18,89,107,175,91,4,126,87,649
223,Luke Ridnour,JR,2002-03,G,Oregon,Pac-10,33,1169,203,470,.432,122,258,81,212,.382,162,184,.880,20,92,112,218,63,2,129,77,649
224,Ben Gordon,SO,2002-03,G,Connecticut,Big East,33,1101,211,476,.443,131,285,80,191,.419,143,177,.808,29,109,138,156,38,7,113,72,645
225,Brandon Hunter,SR,2002-03,F,Ohio,MAC,30,1146,217,415,.523,206,378,11,37,.297,199,335,.594,95,283,378,78,25,35,108,84,644
226,David West,SR,2002-03,F,Xavier,A-10,32,1168,213,415,.513,204,389,9,26,.346,209,256,.816,100,278,378,102,42,52,85,95,644
227,Kirk Hinrich,SR,2002-03,G,Kansas,Big 12,37,1241,232,488,.475,143,269,89,219,.406,88,125,.704,38,101,139,130,69,16,83,78,641
228,Antonio Gates,SR,2002-03,F,Kent State,MAC,31,1031,231,483,.478,216,440,15,43,.349,163,230,.709,56,183,239,127,45,5,108,85,640
229,Chris Thomas,SO,2002-03,G,Notre Dame,Big East,34,1246,211,523,.403,131,315,80,208,.385,135,155,.871,34,101,135,236,62,8,142,80,637
230,Joe Shipp,SR,2002-03,F,University of California,Pac-10,31,1098,241,465,.518,201,352,40,113,.354,110,145,.759,60,130,190,70,29,21,60,63,632
231,Marquis Daniels,SR,2002-03,G,Auburn,SEC,34,1187,244,476,.513,214,378,30,98,.306,107,159,.673,63,147,210,113,78,8,102,68,625
232,Seth Doliboa,JR,2002-03,F,Wright State,Horizon,28,1005,217,487,.446,150,311,67,176,.381,124,162,.765,52,159,211,37,32,33,63,83,625
233,Morris Finley,JR,2002-03,G,Alabama-Birmingham,CUSA,34,1167,201,484,.415,102,244,99,240,.413,122,149,.819,28,83,111,108,67,0,61,69,623
234,Craig Smith,FR,2002-03,F,Boston College,Big East,31,989,241,400,.603,238,385,3,15,.200,132,194,.680,100,146,246,41,27,28,74,106,617
235,Andrew Wisniewski,JR,2002-03,G,Centenary (LA),Ind,28,950,207,411,.504,154,264,53,147,.361,150,180,.833,,,70,124,72,3,,,617
236,Ron Slay,SR,2002-03,F,Tennessee,SEC,29,991,211,434,.486,168,319,43,115,.374,151,193,.782,45,181,226,61,21,4,108,86,616
237,Hollis Price,SR,2002-03,G,Oklahoma,Big 12,34,1141,194,428,.453,100,211,94,217,.433,130,140,.929,16,77,93,96,54,6,69,65,612
238,Quinton Ross,SR,2002-03,G,Southern Methodist,WAC,30,1056,191,422,.453,149,281,42,141,.298,184,232,.793,77,114,191,63,46,24,64,66,608
239,Ike Diogu,FR,2002-03,F,Arizona State,Pac-10,32,1030,209,344,.608,200,320,9,24,.375,180,245,.735,98,151,249,26,8,31,91,92,607
240,Carl English,JR,2002-03,G,Hawaii,WAC,31,1114,198,463,.428,109,236,89,227,.392,122,167,.731,32,134,166,73,22,3,82,78,607
241,Josh Howard,SR,2002-03,F,Wake Forest,ACC,31,1002,204,428,.477,151,286,53,142,.373,145,174,.833,102,155,257,59,64,48,82,89,606
242,Darshan Luckey,FR,2002-03,G,Saint Francis (PA),NEC,28,1051,201,525,.383,155,361,46,164,.280,157,202,.777,21,123,144,46,48,7,114,65,605
243,Taylor Coppenrath,SO,2002-03,F,Vermont,AEC,30,1000,211,457,.462,173,359,38,98,.388,144,194,.742,85,102,187,37,27,12,63,58,604
244,Kyle Korver,SR,2002-03,F,Creighton,MVC,34,1082,183,391,.468,54,122,129,269,.480,109,120,.908,46,171,217,104,50,23,68,89,604
245,Karim Souchu,SR,2002-03,F,Furman,Southern,31,963,223,438,.509,167,274,56,164,.341,102,146,.699,57,82,139,47,41,14,69,54,604
246,Keith Langford,SO,2002-03,G,Kansas,Big 12,38,1246,240,453,.530,218,377,22,76,.289,101,159,.635,83,102,185,75,34,31,73,84,603
247,Brian Cook,SR,2002-03,F,Illinois,Big Ten,30,940,202,422,.479,175,333,27,89,.303,168,205,.820,44,183,227,60,20,13,83,88,599
248,Rashad McCants,FR,2002-03,G,North Carolina,ACC,35,1046,215,438,.491,143,264,72,174,.414,92,132,.697,58,104,162,51,49,19,81,95,594
249,Blake Stepp,JR,2002-03,G,Gonzaga,WCC,33,1172,175,406,.431,77,163,98,243,.403,145,174,.833,21,102,123,198,54,4,110,66,593
250,Jameer Nelson,JR,2002-03,G,Saint Joseph's,A-10,30,1048,194,444,.437,130,255,64,189,.339,139,180,.772,39,115,154,142,66,6,87,64,591
251,Ronald Blackshear,JR,2002-03,G,Marshall,MAC,29,952,190,481,.395,92,216,98,265,.370,111,125,.888,19,84,103,46,20,2,84,54,589
252,Ryan Gomes,SO,2002-03,F,Providence,Big East,32,1152,213,397,.537,213,394,0,3,.000,163,194,.840,106,205,311,66,55,25,78,70,589
253,Chris Monroe,SR,2002-03,G,George Washington,A-10,29,975,172,399,.431,113,222,59,177,.333,184,258,.713,55,90,145,56,29,9,91,79,587
254,Brent Darby,SR,2002-03,G,Ohio State,Big Ten,32,1219,163,431,.378,108,269,55,162,.340,205,253,.810,17,107,124,141,58,3,116,85,586
255,Julius Jenkins,SR,2002-03,G,Georgia Southern,Southern,27,946,213,469,.454,139,292,74,177,.418,84,117,.718,48,84,132,91,29,6,64,56,584
256,Dahntay Jones,SR,2002-03,F,Duke,ACC,33,1014,198,421,.470,151,303,47,118,.398,140,187,.749,46,134,180,29,38,18,63,101,583
257,Drew Schifino,SO,2002-03,F,West Virginia,Big East,29,991,220,487,.452,195,404,25,83,.301,117,175,.669,41,96,137,67,32,9,69,58,582
258,Romain Sato,JR,2002-03,G,Xavier,A-10,32,1180,182,443,.411,98,196,84,247,.340,131,162,.809,60,167,227,74,32,8,62,70,579
259,Donta Richardson,SR,2002-03,G,Wyoming,MWC,32,1009,178,407,.437,116,242,62,165,.376,160,198,.808,25,80,105,77,41,0,75,69,578
260,Derrick Tarver,JR,2002-03,G,Akron,MAC,28,959,192,407,.472,138,245,54,162,.333,140,215,.651,25,52,77,48,14,1,63,58,578
261,Terrence Woods,JR,2002-03,G,Florida A&M,MEAC,28,818,168,378,.444,29,74,139,304,.457,100,113,.885,17,94,111,29,39,0,47,66,575
262,Reece Gaines,SR,2002-03,G,Louisville,CUSA,32,1030,177,383,.462,102,191,75,192,.391,145,197,.736,18,76,94,159,55,4,95,82,574
263,Marques Green,JR,2002-03,G,St. Bonaventure,A-10,27,1003,182,461,.395,88,221,94,240,.392,116,132,.879,22,77,99,216,71,0,98,79,574
264,David Hawkins,JR,2002-03,G,Temple,A-10,34,1242,184,453,.406,126,263,58,190,.305,148,188,.787,45,100,145,95,85,10,106,81,574
265,Ra'Kim Hollis,SR,2002-03,G,Texas Southern,SWAC,31,1047,170,384,.443,79,156,91,228,.399,143,203,.704,50,132,182,115,48,5,82,77,574
266,Shawn Hall,SR,2002-03,G,Appalachian State,Southern,28,875,189,521,.363,86,212,103,309,.333,92,112,.821,16,68,84,69,31,5,91,26,573
267,Rickey Paulding,JR,2002-03,G,Missouri,Big 12,33,1153,199,442,.450,124,249,75,193,.389,100,125,.800,63,120,183,71,24,13,79,75,573
268,Tee Trotter,JR,2002-03,G,Maryland-Eastern Shore,MEAC,28,1055,183,457,.400,100,242,83,215,.386,124,151,.821,13,52,65,90,28,1,102,63,573
269,Phillip Gilbert,JR,2002-03,G,Bradley,MVC,30,1092,200,463,.432,122,265,78,198,.394,90,120,.750,47,90,137,41,39,7,81,54,568
270,Dylan Page,JR,2002-03,F,Milwaukee,Horizon,32,914,209,351,.595,192,298,17,53,.321,130,166,.783,76,131,207,43,22,27,83,87,565
271,Keith Bogans,SR,2002-03,G,Kentucky,SEC,36,1068,194,425,.456,114,216,80,209,.383,96,130,.738,41,97,138,98,42,4,78,60,564
272,Adam Hess,JR,2002-03,F,William & Mary,CAA,28,1007,191,409,.467,123,226,68,183,.372,114,135,.844,75,102,177,64,27,3,61,56,564
273,Desmon Farmer,JR,2002-03,G,Southern California,Pac-10,30,978,182,454,.401,119,259,63,195,.323,135,163,.828,64,79,143,54,27,2,66,65,562
274,Radee Skipworth,JR,2002-03,F,Virginia Military Institute,Southern,30,978,208,449,.463,175,346,33,103,.320,109,164,.665,49,124,173,62,33,10,81,89,558
275,Vernard Hollins,SR,2002-03,G,Wright State,Horizon,28,1026,197,412,.478,194,383,3,29,.103,160,228,.702,51,108,159,115,31,10,87,58,557
276,David Bailey,SR,2002-03,G,Loyola (IL),Horizon,30,998,182,503,.362,131,315,51,188,.271,137,168,.815,42,70,112,158,49,1,100,79,552
277,Drew Nicholas,SR,2002-03,G,Maryland,ACC,31,984,182,414,.440,109,236,73,178,.410,115,135,.852,27,92,119,83,37,12,66,53,552
278,Clay Tucker,SR,2002-03,G,Milwaukee,Horizon,30,989,188,439,.428,134,252,54,187,.289,120,176,.682,30,123,153,124,59,19,66,55,550
279,Julius Hodge,SO,2002-03,G,North Carolina State,ACC,31,1093,164,374,.439,123,249,41,125,.328,179,219,.817,52,138,190,109,39,23,87,81,548
280,Kevin Martin,SO,2002-03,G,Western Carolina,Southern,24,759,161,380,.424,111,220,50,160,.313,174,197,.883,23,68,91,43,33,12,74,59,546
281,Richard Toussaint,SR,2002-03,G,Bethune-Cookman,MEAC,30,972,183,443,.413,167,388,16,55,.291,163,212,.769,36,85,121,38,44,8,73,64,545
282,Jason Keep,SR,2002-03,C,San Diego,WCC,30,792,195,323,.604,194,321,1,2,.500,149,265,.562,89,185,274,34,17,36,105,110,540
283,Gary Neal,FR,2002-03,G,La Salle,A-10,29,930,169,423,.400,83,193,86,230,.374,116,142,.817,34,88,122,47,18,1,63,67,540
284,Travis Hansen,SR,2002-03,G,Brigham Young,MWC,32,1025,169,383,.441,133,277,36,106,.340,163,204,.799,53,99,152,77,29,20,84,97,537
285,Willie Deane,SR,2002-03,G,Purdue,Big Ten,30,863,164,393,.417,116,244,48,149,.322,158,202,.782,23,128,151,65,52,7,70,76,534
286,Juan Mendez,SO,2002-03,F,Niagara,MAAC,29,1002,207,344,.602,207,341,0,3,.000,119,161,.739,115,145,260,20,38,35,63,75,533
287,Arthur Johnson,JR,2002-03,C,Missouri,Big 12,33,1098,222,450,.493,222,450,0,0,,88,155,.568,118,198,316,40,30,61,70,87,532
288,Prosper Karangwa,JR,2002-03,G,Siena,MAAC,32,1103,169,418,.404,122,271,47,147,.320,145,171,.848,54,151,205,158,38,10,122,78,530
289,Mike Manciel,SR,2002-03,F,Central Michigan,MAC,32,1038,172,324,.531,143,247,29,77,.377,157,205,.766,51,107,158,38,47,5,76,74,530
290,Julius Barnes,SR,2002-03,G,Stanford,Pac-10,33,1158,165,436,.378,86,210,79,226,.350,120,147,.816,13,78,91,124,25,1,104,74,529
291,David Bell,SR,2002-03,G,Montana,Big Sky,30,975,162,390,.415,64,137,98,253,.387,107,128,.836,5,73,78,82,36,1,85,89,529
292,Allan Lovett,SO,2002-03,G,Texas Southern,SWAC,31,979,182,415,.439,167,358,15,57,.263,150,244,.615,72,147,219,63,37,8,98,71,529
293,Jake Sullivan,JR,2002-03,G,Iowa State,Big 12,31,1100,179,395,.453,112,235,67,160,.419,103,118,.873,2,90,92,74,19,5,76,73,528
294,Matt Nelson,SO,2002-03,C,Colorado State,MWC,31,844,205,319,.643,205,319,0,0,,117,171,.684,55,120,175,38,8,44,59,66,527
295,Donald Cole,SR,2002-03,C,Sam Houston State,Southland,30,840,191,357,.535,158,274,33,83,.398,111,159,.698,73,173,246,41,29,47,77,73,526
296,Michel Morandais,JR,2002-03,G,Colorado,Big 12,31,1006,197,434,.454,160,332,37,102,.363,94,121,.777,41,125,166,105,29,19,69,70,525
297,Kasib Powell,SR,2002-03,F,Texas Tech,Big 12,35,1250,203,409,.496,201,395,2,14,.143,117,194,.603,68,144,212,151,31,15,55,79,525
298,Gregory Burks,SR,2002-03,G,Prairie View,SWAC,29,1046,175,401,.436,134,279,41,122,.336,133,163,.816,29,68,97,128,51,0,83,71,524
299,Emeka Okafor,SO,2002-03,C,Connecticut,Big East,33,1087,221,381,.580,221,381,0,0,,82,137,.599,125,245,370,18,29,156,75,98,524
300,Keydren Clark,SO,2003-04,G,Saint Peter's,MAAC,29,1125,233,562,.415,121,267,112,295,.380,197,235,.838,29,95,124,125,51,4,98,57,775
301,Luis Flores,SR,2003-04,G,Manhattan,MAAC,31,1121,234,529,.442,166,347,68,182,.374,208,241,.863,36,86,122,50,60,4,73,76,744
302,Ben Gordon,JR,2003-04,G,Connecticut,Big East,39,1346,239,551,.434,135,311,104,240,.433,141,170,.829,34,150,184,176,53,6,108,91,723
303,David Hawkins,SR,2003-04,G,Temple,A-10,29,1127,224,571,.392,140,295,84,276,.304,177,234,.756,47,102,149,81,78,9,75,65,709
304,Andre Emmett,SR,2003-04,G,Texas Tech,Big 12,34,1259,260,494,.526,244,449,16,45,.356,165,226,.730,69,156,225,62,44,10,70,49,701
305,Mike Helms,SR,2003-04,G,Oakland,Mid-Cont,30,920,224,556,.403,145,328,79,228,.346,168,224,.750,25,84,109,71,45,16,81,96,695
306,Michael Watson,SR,2003-04,F,Missouri-Kansas City,Mid-Cont,29,1098,225,558,.403,129,301,96,257,.374,134,155,.865,20,79,99,104,42,5,80,79,680
307,Kevin Martin,JR,2003-04,G,Western Carolina,Southern,27,843,208,439,.474,157,287,51,152,.336,206,252,.817,25,105,130,47,50,8,84,52,673
308,Odell Bradley,SR,2003-04,G,IUPUI,Mid-Cont,29,1090,235,487,.483,204,388,31,99,.313,170,223,.762,66,181,247,68,24,6,98,73,671
309,Jameer Nelson,SR,2003-04,G,Saint Joseph's,A-10,32,1085,234,493,.475,161,306,73,187,.390,118,149,.792,33,117,150,170,89,1,91,59,659
310,Luke Jackson,SR,2003-04,G,Oregon,Pac-10,31,1072,210,430,.488,137,264,73,166,.440,163,189,.862,57,166,223,139,39,5,93,53,656
311,Juan Mendez,JR,2003-04,F,Niagara,MAAC,32,1077,208,399,.521,191,340,17,59,.288,223,276,.808,111,169,280,30,29,56,69,98,656
312,Dylan Page,SR,2003-04,F,Milwaukee,Horizon,31,977,227,448,.507,168,302,59,146,.404,134,173,.775,38,166,204,38,14,37,71,71,647
313,Bryant Matthews,SR,2003-04,F,Virginia Tech,Big East,29,1028,219,463,.473,188,377,31,86,.360,172,259,.664,127,132,259,43,72,24,87,106,641
314,Leroy Hurd,SR,2003-04,F,Texas-San Antonio,Southland,33,1118,211,440,.480,168,329,43,111,.387,174,222,.784,76,188,264,56,32,14,113,97,639
315,Kirk Snyder,JR,2003-04,G,Nevada,WAC,34,1079,209,485,.431,155,330,54,155,.348,166,227,.731,65,130,195,117,35,22,119,72,638
316,Emeka Okafor,JR,2003-04,C,Connecticut,Big East,36,1166,261,436,.599,261,436,0,0,,113,218,.518,138,277,415,36,36,147,84,85,635
317,Ricky Minard,SR,2003-04,F,Morehead State,OVC,29,994,210,466,.451,165,328,45,138,.326,166,214,.776,44,169,213,147,60,15,106,73,631
318,Chris Thomas,JR,2003-04,G,Notre Dame,Big East,32,1225,211,548,.385,117,280,94,268,.351,114,138,.826,24,111,135,150,50,3,77,60,630
319,Kris Humphries,FR,2003-04,F,Minnesota,Big Ten,29,990,221,498,.444,204,448,17,50,.340,170,229,.742,91,203,294,20,27,33,82,65,629
320,Terrence Woods,SR,2003-04,G,Florida A&M,MEAC,31,931,192,465,.413,52,117,140,348,.402,104,122,.852,25,96,121,35,45,4,74,69,628
321,Devin Harris,JR,2003-04,G,Wisconsin,Big Ten,32,1162,189,412,.459,114,211,75,201,.373,171,216,.792,20,119,139,141,56,4,66,62,624
322,Ike Diogu,SO,2003-04,F,Arizona State,Pac-10,27,996,179,338,.530,165,301,14,37,.378,243,298,.815,90,151,241,44,13,47,99,78,615
323,Hakim Warrick,JR,2003-04,F,Syracuse,Big East,31,1156,222,434,.512,222,428,0,6,.000,171,247,.692,98,168,266,82,29,35,95,84,615
324,Lionel Chalmers,SR,2003-04,G,Xavier,A-10,37,1293,204,454,.449,103,207,101,247,.409,105,148,.709,17,105,122,117,40,1,103,78,614
325,Derrick Tarver,SR,2003-04,G,Akron,MAC,27,846,196,400,.490,149,249,47,151,.311,173,230,.752,26,51,77,43,23,0,75,52,612
326,Andrew Wisniewski,SR,2003-04,G,Centenary (LA),Mid-Cont,28,980,196,383,.512,130,225,66,158,.418,154,196,.786,,,98,121,45,1,,,612
327,Matt Freije,SR,2003-04,F,Vanderbilt,SEC,33,985,185,446,.415,123,272,62,174,.356,175,222,.788,66,112,178,30,23,21,34,53,607
328,Allan Ray,SO,2003-04,G,Villanova,Big East,35,1216,203,463,.438,116,241,87,222,.392,114,144,.792,21,114,135,96,33,7,89,91,607
329,Keith Triplett,SR,2003-04,G,Toledo,MAC,31,1033,203,432,.470,137,273,66,159,.415,135,168,.804,38,109,147,96,79,5,77,48,607
330,Delonte West,JR,2003-04,G,Saint Joseph's,A-10,32,1073,212,416,.510,156,280,56,136,.412,124,139,.892,38,134,172,151,55,6,82,60,604
331,Romain Sato,SR,2003-04,G,Xavier,A-10,37,1366,179,443,.404,104,228,75,215,.349,170,205,.829,75,222,297,84,47,5,63,89,603
332,Rashad McCants,SO,2003-04,G,North Carolina,ACC,30,961,216,451,.479,138,260,78,191,.408,89,119,.748,62,75,137,65,53,20,76,62,599
333,Michael Kuebler,SR,2003-04,G,Hawaii,WAC,33,1179,210,465,.452,113,223,97,242,.401,81,111,.730,30,75,105,77,25,8,67,44,598
334,Cedrick Banks,SR,2003-04,G,Illinois-Chicago,Horizon,32,1076,215,489,.440,125,280,90,209,.431,69,90,.767,37,70,107,63,51,6,49,55,589
335,J.J. Redick,SO,2003-04,G,Duke,ACC,37,1152,172,407,.423,70,149,102,258,.395,143,150,.953,26,89,115,58,27,3,70,78,589
336,Mike Williams,SR,2003-04,F,Western Michigan,MAC,31,888,228,427,.534,227,422,1,5,.200,130,169,.769,79,139,218,37,60,35,53,89,587
337,Travis Diener,JR,2003-04,G,Marquette,CUSA,31,1060,179,424,.422,89,224,90,200,.450,136,154,.883,21,76,97,187,41,0,74,76,584
338,Taylor Coppenrath,JR,2003-04,F,Vermont,AEC,24,871,203,398,.510,189,351,14,47,.298,159,212,.750,75,98,173,34,30,15,52,52,579
339,Jerry Johnson,JR,2003-04,G,Rider,MAAC,31,1147,190,460,.413,106,250,84,210,.400,115,141,.816,18,88,106,121,50,5,96,57,579
340,Ken Tutt,FR,2003-04,G,Oral Roberts,Mid-Cont,28,990,193,432,.447,92,207,101,225,.449,92,109,.844,13,53,66,57,25,1,56,51,579
341,Mike Harris,JR,2003-04,F,Rice,WAC,33,1016,217,360,.603,201,327,16,33,.485,128,183,.699,102,193,295,40,45,22,60,78,578
342,Craig Smith,SO,2003-04,F,Boston College,Big East,34,1117,235,425,.553,228,406,7,19,.368,99,173,.572,83,200,283,46,51,30,65,93,576
343,Tremmell Darden,SR,2003-04,G,Niagara,MAAC,32,1116,184,386,.477,134,252,50,134,.373,157,215,.730,63,111,174,95,27,34,82,83,575
344,Wayne Simien,JR,2003-04,F,Kansas,Big 12,32,1045,200,376,.532,198,365,2,11,.182,167,206,.811,98,199,297,39,28,30,71,90,569
