,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1631,Semi Ojeleye,JR,2016-17,F,Southern Methodist,AAC,35,1195,210,431,.487,137,259,73,172,.424,172,219,.785,80,160,240,53,15,14,50,62,665
1632,Sindarius Thornwell,SR,2016-17,G,South Carolina,SEC,31,1051,195,439,.444,137,291,58,148,.392,215,259,.830,77,144,221,86,66,30,76,71,663
1633,Lamond Murray,SR,2016-17,G,Pepperdine,WCC,31,1060,251,528,.475,200,394,51,134,.381,109,140,.779,36,140,176,40,35,12,81,64,662
1634,Jonathan Wade,SR,2016-17,G,Norfolk State,MEAC,34,1187,217,448,.484,156,289,61,159,.384,163,218,.748,53,178,231,63,22,3,110,73,658
1635,Peyton Aldridge,JR,2016-17,F,Davidson,A-10,32,1180,233,471,.495,163,300,70,171,.409,120,144,.833,54,209,263,70,28,28,53,65,656
1636,Kendrick Ray,SR,2016-17,G,Kennesaw State,A-Sun,31,1049,244,543,.449,158,325,86,218,.394,82,104,.788,30,84,114,97,22,10,81,75,656
1637,Tim Kempton,SR,2016-17,C,Lehigh,Patriot,32,1012,231,422,.547,208,366,23,56,.411,168,221,.760,62,271,333,36,29,41,99,99,653
1638,Garrison Mathews,SO,2016-17,G,Lipscomb,A-Sun,32,1002,202,441,.458,113,188,89,253,.352,159,219,.726,39,140,179,73,27,6,74,83,652
1639,T.J. Cline,SR,2016-17,F,Richmond,A-10,35,1137,243,470,.517,195,318,48,152,.316,114,166,.687,30,242,272,197,33,8,103,88,648
1640,Ike Smith,SO,2016-17,G,Georgia Southern,Sun Belt,33,1005,230,462,.498,169,308,61,154,.396,127,195,.651,35,137,172,56,47,21,72,74,648
1641,Michael Young,SR,2016-17,F,Pittsburgh,ACC,33,1097,217,479,.453,175,356,42,123,.341,172,221,.778,53,170,223,90,19,25,70,59,648
1642,Caleb Swanigan,SO,2016-17,F,Purdue,Big Ten,35,1139,222,421,.527,184,336,38,85,.447,164,210,.781,96,340,436,107,15,28,118,97,646
1643,T.J. Williams,SR,2016-17,G,Northeastern,CAA,30,1145,202,436,.463,166,328,36,108,.333,202,265,.762,23,118,141,158,31,4,101,67,642
1644,Tyler Cavanaugh,SR,2016-17,F,George Washington,A-10,35,1126,200,446,.448,133,282,67,164,.409,173,204,.848,87,207,294,71,19,14,93,98,640
1645,J.J. Frazier,SR,2016-17,G,Georgia,SEC,34,1178,199,490,.406,144,309,55,181,.304,187,211,.886,12,117,129,140,63,4,80,81,640
1646,Nigel Williams-Goss,JR,2016-17,G,Gonzaga,WCC,38,1248,220,453,.486,177,336,43,117,.368,157,181,.867,22,205,227,179,64,3,81,60,640
1647,Bonzie Colson,JR,2016-17,F,Notre Dame,ACC,36,1156,236,449,.526,210,389,26,60,.433,141,180,.783,104,258,362,56,40,50,44,81,639
1648,Marcus Foster,JR,2016-17,G,Creighton,Big East,35,1081,245,532,.461,172,318,73,214,.341,75,107,.701,9,92,101,84,21,2,78,69,638
1649,Robert Gray,JR,2016-17,G,Houston,AAC,31,1002,233,493,.473,170,328,63,165,.382,109,134,.813,33,83,116,91,37,5,70,57,638
1650,Egor Koulechov,JR,2016-17,G,Rice,CUSA,35,1201,208,440,.473,127,269,81,171,.474,140,171,.819,65,247,312,75,29,11,71,70,637
1651,Patrick Cole,SR,2016-17,G,North Carolina Central,MEAC,33,1166,203,529,.384,137,335,66,194,.340,164,217,.756,39,191,230,184,31,8,124,79,636
1652,Peter Jok,SR,2016-17,G,Iowa,Big Ten,32,983,199,467,.426,115,246,84,221,.380,154,169,.911,30,146,176,84,34,3,81,70,636
1653,Matt Mooney,SO,2016-17,G,South Dakota,Summit,34,1059,222,483,.460,146,276,76,207,.367,114,159,.717,14,138,152,71,75,5,86,65,634
1654,John Collins,SO,2016-17,F,Wake Forest,ACC,33,878,234,376,.622,234,375,0,1,.000,164,220,.745,124,200,324,17,21,52,60,98,632
1655,Brandon Goodwin,JR,2016-17,G,Florida Gulf Coast,A-Sun,34,1073,219,428,.512,164,272,55,156,.353,136,172,.791,28,126,154,139,41,2,72,73,629
1656,Jordan Washington,SR,2016-17,F,Iona,MAAC,35,760,233,422,.552,232,418,1,4,.250,162,236,.686,83,182,265,22,32,14,78,122,629
1657,Andrew White,SR,2016-17,G,Syracuse,ACC,34,1266,199,451,.441,87,173,112,278,.403,118,141,.837,28,130,158,38,55,12,56,72,628
1658,Jonathan Williams,SR,2016-17,G,Toledo,MAC,32,1097,212,479,.443,146,272,66,207,.319,138,169,.817,22,75,97,102,25,4,87,67,628
1659,Nisre Zouzoua,SO,2016-17,G,Bryant,NEC,31,1102,208,508,.409,116,257,92,251,.367,120,156,.769,29,100,129,48,45,13,59,83,628
1660,David Nichols,SO,2016-17,G,Albany (NY),AEC,35,1182,248,560,.443,197,416,51,144,.354,78,94,.830,14,107,121,111,43,3,93,97,625
1661,LaVell Boyd,SR,2016-17,G,Missouri-Kansas City,WAC,35,1086,189,461,.410,102,245,87,216,.403,158,190,.832,19,123,142,136,37,1,89,95,623
1662,Joe Chealey,JR,2016-17,G,College of Charleston,CAA,35,1184,175,405,.432,110,239,65,166,.392,208,253,.822,16,107,123,113,35,1,60,82,623
1663,Jordan Howard,JR,2016-17,G,Central Arkansas,Southland,32,1098,189,439,.431,88,212,101,227,.445,144,162,.889,9,107,116,93,36,2,80,34,623
1664,Jacorey Williams,SR,2016-17,F,Middle Tennessee,CUSA,36,1069,258,484,.533,256,469,2,15,.133,103,148,.696,63,201,264,56,32,17,60,72,621
1665,Jaylen Adams,JR,2016-17,G,St. Bonaventure,A-10,30,1123,168,401,.419,91,185,77,216,.356,206,251,.821,18,94,112,195,62,5,103,84,619
1666,Quinton Hooker,SR,2016-17,G,North Dakota,Big Sky,32,1156,202,432,.468,118,243,84,189,.444,128,148,.865,24,123,147,115,56,5,56,69,616
1667,Erik Thomas,SR,2016-17,F,New Orleans,Southland,32,1043,223,379,.588,219,362,4,17,.235,166,212,.783,95,155,250,73,47,11,88,68,616
1668,Thomas Wilder,JR,2016-17,G,Western Michigan,MAC,32,1014,197,430,.458,134,288,63,142,.444,159,191,.832,14,123,137,121,42,12,64,78,616
1669,Derrick White,SR,2016-17,G,Colorado,Pac-12,34,1116,205,404,.507,148,260,57,144,.396,148,182,.813,35,104,139,148,42,49,81,72,615
1670,Torian Graham,SR,2016-17,G,Arizona State,Pac-12,33,1147,230,513,.448,122,234,108,279,.387,46,56,.821,19,120,139,39,31,11,44,51,614
1671,Dedric Lawson,SO,2016-17,F,Memphis,AAC,32,1104,216,469,.461,186,358,30,111,.270,152,205,.741,92,225,317,105,41,68,76,81,614
1672,Jawun Evans,SO,2016-17,G,Oklahoma State,Big 12,32,936,211,482,.438,175,387,36,95,.379,155,191,.812,24,86,110,204,57,4,90,74,613
1673,Fletcher Magee,SO,2016-17,G,Wofford,Southern,33,1099,196,448,.438,84,183,112,265,.423,109,122,.893,10,100,110,61,24,5,55,44,613
1674,Jordon Varnado,SO,2016-17,F,Troy,Sun Belt,37,1068,233,442,.527,205,365,28,77,.364,118,168,.702,76,188,264,50,19,51,70,100,612
1675,Ehab Amin,JR,2016-17,G,Texas A&M-Corpus Christi,Southland,36,1213,225,487,.462,182,338,43,149,.289,116,162,.716,71,166,237,105,124,13,99,102,609
1676,Mark Alstork,JR,2016-17,G,Wright State,Horizon,32,965,181,452,.400,111,271,70,181,.387,176,208,.846,26,124,150,112,25,19,136,92,608
1677,C.J. Bryce,SO,2016-17,G,North Carolina-Wilmington,CAA,35,1199,231,477,.484,189,350,42,127,.331,104,153,.680,60,129,189,104,33,7,66,80,608
1678,Quincy McKnight,SO,2016-17,G,Sacred Heart,NEC,32,1040,203,473,.429,176,389,27,84,.321,172,222,.775,26,130,156,95,52,5,148,94,605
1679,Jairus Lyles,JR,2016-17,G,Maryland-Baltimore County,AEC,32,1107,210,475,.442,165,334,45,141,.319,139,191,.728,42,169,211,83,54,1,71,50,604
1680,Tyler Nelson,JR,2016-17,G,Fairfield,MAAC,31,1119,196,442,.443,115,235,81,207,.391,131,153,.856,23,75,98,112,35,4,69,53,604
1681,Martez Walker,JR,2016-17,G,Oakland,Horizon,34,1146,195,446,.437,124,221,71,225,.316,143,172,.831,48,89,137,49,30,12,63,61,604
1682,Dwayne Bacon,SO,2016-17,G,Florida State,ACC,35,1008,221,489,.452,164,318,57,171,.333,104,138,.754,35,112,147,61,35,4,71,55,603
1683,Nick Dixon,JR,2016-17,G,Texas-Rio Grande Valley,WAC,32,877,201,386,.521,173,300,28,86,.326,173,226,.765,49,113,162,109,60,2,93,75,603
1684,Malcolm Hill,SR,2016-17,G,Illinois,Big Ten,35,1164,189,435,.434,124,252,65,183,.355,160,204,.784,35,145,180,102,42,13,66,74,603
1685,Devin Sibley,JR,2016-17,G,Furman,Southern,34,1093,201,385,.522,122,209,79,176,.449,121,162,.747,9,131,140,78,26,7,91,68,602
1686,De'Aaron Fox,FR,2016-17,G,Kentucky,SEC,36,1064,214,447,.479,197,378,17,69,.246,156,212,.736,21,122,143,165,53,7,87,90,601
1687,Isaiah Johnson,SR,2016-17,C,Akron,MAC,36,1076,223,357,.625,223,355,0,2,.000,152,259,.587,103,154,257,103,17,33,84,95,598
1688,Jared Brownridge,SR,2016-17,G,Santa Clara,WCC,33,1223,190,464,.409,84,177,106,287,.369,111,137,.810,9,80,89,93,32,4,55,69,597
1689,Kevin Hervey,JR,2016-17,F,Texas-Arlington,Sun Belt,35,973,208,453,.459,140,255,68,198,.343,113,150,.753,49,249,298,74,43,14,66,65,597
1690,Jerome Robinson,SO,2016-17,F,Boston College,ACC,32,1089,213,503,.423,159,341,54,162,.333,117,162,.722,20,104,124,108,55,12,102,89,597
1691,Josh Okogie,FR,2016-17,G,Georgia Tech,ACC,37,1141,194,428,.453,166,355,28,73,.384,180,241,.747,55,146,201,61,48,27,77,94,596
