Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
45,45,DET,Isaiah Roby,Nebraska,2,50,1114,416,270,87,.498,.338,.716,22.3,8.3,5.4,1.7,1.3,.058,-2.8,-0.2
46,46,ORL,Talen Horton-Tucker,Iowa State,2,58,1104,485,151,138,.442,.264,.802,19.0,8.4,2.6,2.4,1.7,.076,-1.5,0.1
47,47,SAC,Ignas Brazdeikis,Michigan,2,14,68,19,9,5,.231,.100,.857,4.9,1.4,0.6,0.4,-0.2,-.119,-10.2,-0.1
48,48,LAC,Terance Mann,Florida State,2,97,1395,458,264,142,.485,.411,.753,14.4,4.7,2.7,1.5,3.6,.123,-0.9,0.4
49,49,SAS,Quinndary Weatherspoon,Mississippi State,2,27,152,31,13,16,.333,.143,.800,5.6,1.1,0.5,0.6,-0.2,-.065,-7.9,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,28,182,63,39,17,.431,.323,.750,6.5,2.3,1.4,0.6,0.3,.087,-1.7,0.0
51,51,BOS,Tremont Waters,LSU,2,27,235,81,22,51,.299,.244,.950,8.7,3.0,0.8,1.9,-0.1,-.027,-3.9,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,2,47,775,288,147,38,.476,.357,.778,16.5,6.1,3.1,0.8,1.0,.061,-3.8,-0.3
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,2,25,162,68,23,20,.381,.286,.833,6.5,2.7,0.9,0.8,0.1,.042,-4.4,-0.1
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.014,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,2,51,467,120,85,18,.360,.348,.818,9.2,2.4,1.7,0.4,0.7,.070,-3.1,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
