,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
48,S. Adams | P. Jones,OKC,2014-15,27,301.0,588,582,93.3,-3.1,-7.9,+.004,-3.0,-6.2,-.042,-0.009,+3.9,+6.2,-.031,-5.4,"('adamsst01', 'jonespe01')"
49,M. Belinelli | J. Ayres,SAS,2014-15,28,153.1,290,300,92.5,-1.9,+4.4,-.045,+2.0,+5.6,+.005,-0.037,-3.5,-7.3,+.091,-5.4,"('belinma01', 'pendeje02')"
50,E. Davis | R. Kelly,LAL,2014-15,45,364.2,701,705,92.7,+0.1,+3.1,-.014,-3.4,-7.1,-.035,-0.034,-2.2,-0.7,-.064,-5.4,"('davised01', 'kellyry01')"
51,G. Dragić | U. Haslem,MIA,2014-15,23,397.1,762,767,92.4,-3.5,-1.6,-.031,-3.5,-4.6,-.088,-0.050,+5.1,+2.8,+.124,-5.4,"('dragigo01', 'hasleud01')"
52,T. Harris | E. Payton,ORL,2014-15,68,1470.3,2869,2875,93.8,-0.3,+1.0,-.008,-3.3,-6.6,-.037,-0.027,-1.5,-0.7,-.047,-5.4,"('harrito02', 'paytoel01')"
53,R. Hibbert | C. Watson,IND,2014-15,48,590.9,1134,1130,92.0,-0.9,-3.1,+.005,-1.3,-3.5,-.005,-0.001,-2.2,-4.6,+.065,-5.4,"('hibbero01', 'watsocj01')"
54,J. Maxiell | L. Stephenson,CHO,2014-15,40,387.9,740,750,92.2,-0.7,+0.4,-.009,-2.9,-1.9,-.102,-0.025,-1.1,+1.9,-.112,-5.4,"('maxieja01', 'stephla01')"
55,Q. Acy | A. Stoudemire,NYK,2014-15,26,219.8,409,415,90.0,-0.1,+0.6,-.004,-1.6,-1.6,-.043,-0.014,-3.6,-6.7,+.069,-5.5,"('acyqu01', 'stoudam01')"
56,J. Green | C. Lee,MEM,2014-15,43,811.6,1553,1545,91.6,-2.8,-3.2,-.015,-3.8,-9.0,-.031,-0.035,+3.9,+3.3,+.061,-5.5,"('greenje02', 'leeco01')"
57,U. Haslem | D. Wade,MIA,2014-15,46,529.9,1008,1013,91.5,-3.1,-2.5,-.021,-3.9,-7.0,-.078,-0.042,+4.5,+3.8,+.073,-5.5,"('hasleud01', 'wadedw01')"
58,T. Burke | J. Ingles,UTA,2014-15,72,757.9,1464,1434,91.8,-1.7,-2.4,-.007,-1.1,+2.6,-.082,-0.012,-1.1,+0.4,-.054,-5.5,"('burketr01', 'inglejo01')"
59,D. Collison | N. Stauskas,SAC,2014-15,39,207.3,429,423,98.6,-4.8,-4.5,-.033,-4.8,-5.3,-.126,-0.059,+8.8,+11.0,+.004,-5.5,"('collida01', 'stausni01')"
60,D. Cousins | N. Stauskas,SAC,2014-15,48,372.5,761,736,96.5,-6.2,-9.1,-.025,-4.4,-9.0,-.061,-0.046,+11.4,+13.8,+.032,-5.5,"('couside01', 'stausni01')"
61,B. Gordon | W. Green,ORL,2014-15,24,205.0,403,394,93.3,-4.1,-8.5,-.005,-0.4,+0.3,-.022,-0.004,+3.1,+2.0,+.069,-5.5,"('gordobe01', 'greenwi01')"
62,C. Martin | G. Monroe,DET,2014-15,16,105.7,196,199,89.7,-5.5,+4.9,-.084,-0.4,-0.1,-.013,-0.089,+5.8,+7.4,+.020,-5.5,"('martica01', 'monrogr01')"
63,A. Miller | D. Williams,SAC,2014-15,30,442.3,871,881,95.1,-5.5,-10.1,-.010,-4.2,-10.0,-.014,-0.028,+9.7,+13.1,+.015,-5.5,"('millean02', 'willide02')"
66,P. Pressey | M. Thornton,BOS,2014-15,17,121.6,240,236,93.9,-6.9,-2.8,-.063,-2.7,+0.9,-.145,-0.077,+11.1,+21.1,-.235,-5.5,"('pressph01', 'thornma01')"
67,P. Tucker | T. Warren,PHO,2014-15,29,288.8,575,569,95.1,+0.5,+1.3,-.002,-2.2,-0.1,-.091,-0.015,-4.2,-2.7,-.086,-5.5,"('tuckepj01', 'warretj01')"
68,C. Frye | E. Payton,ORL,2014-15,72,1081.9,2148,2134,95.0,-0.7,+3.3,-.025,-0.8,-1.0,-.021,-0.032,-3.3,-3.0,-.056,-5.6,"('fryech01', 'paytoel01')"
69,K. Anderson | C. Joseph,SAS,2014-15,29,212.0,411,408,92.7,-1.3,-6.2,+.018,-3.7,-7.0,-.069,-0.001,+0.6,-1.4,+.071,-5.6,"('anderky01', 'josepco01')"
70,M. Barnes | G. Davis,LAC,2014-15,45,199.3,397,405,96.6,-0.5,0.0,-.006,-1.9,+2.2,-.104,-0.017,-2.6,-3.7,-.001,-5.6,"('barnema02', 'davisgl01')"
71,K. Bazemore | M. Scott,ATL,2014-15,56,500.3,958,975,92.7,-2.3,-6.2,+.005,-0.1,-1.4,+.012,+.008,-0.8,-1.6,+.017,-5.6,"('bazemke01', 'scottmi01')"
72,M. Carter-Williams | R. Covington,PHI,2014-15,37,829.2,1652,1645,95.4,-2.2,+0.5,-.028,+0.1,+2.9,-.036,-0.027,-1.4,+0.7,-.082,-5.6,"('cartemi01', 'covinro01')"
73,C. Copeland | I. Mahinmi,IND,2014-15,22,192.4,354,355,88.4,-2.7,0.0,-.030,-0.3,+6.3,-.098,-0.031,0.0,-2.2,+.077,-5.6,"('copelch01', 'mahinia01')"
74,K. Garnett | B. Lopez,BRK,2014-15,26,287.1,546,541,90.9,-0.6,-0.6,-.003,-4.5,-9.9,-.041,-0.029,0.0,-0.4,+.017,-5.6,"('garneke01', 'lopezbr01')"
75,J. Holiday | S. Livingston,GSW,2014-15,50,374.4,751,763,97.1,-1.9,-5.5,+.005,-1.6,-4.6,-.005,-0.002,-0.2,+0.2,-.012,-5.6,"('holidju01', 'livinsh01')"
76,K. Martin | N. Peković,MIN,2014-15,26,533.4,1059,1040,94.4,-4.0,+0.8,-.048,-3.9,-10.2,-.010,-0.070,+6.3,+5.9,+.074,-5.6,"('martike02', 'pekovni01')"
77,B. McLemore | R. Sessions,SAC,2014-15,28,335.7,642,634,91.2,-3.0,-10.0,+.017,-3.1,-8.7,-.001,+.005,+3.5,+6.3,-.040,-5.6,"('mclembe01', 'sessira01')"
78,P. Prigioni | J. Smith,NYK,2014-15,22,293.1,563,549,91.1,+0.4,+0.5,+.002,+0.7,-3.3,+.074,+.006,-7.1,-8.3,-.034,-5.6,"('prigipa01', 'smithjr01')"
79,G. Green | A. Len,PHO,2014-15,57,467.2,952,955,98.0,-1.3,+2.5,-.029,+3.3,+7.0,+.035,-0.011,-6.3,-8.8,+.019,-5.7,"('greenge01', 'lenal01')"
80,J. Clarkson | W. Johnson,LAL,2014-15,46,697.8,1360,1354,93.3,-0.5,+3.1,-.022,-0.8,-3.9,+.023,-0.028,-3.8,-5.3,+.012,-5.7,"('clarkjo01', 'johnswe01')"
81,J. Dorsey | N. Johnson,HOU,2014-15,22,115.4,242,245,101.3,-0.8,+1.1,-.014,+4.6,+11.0,+.065,+.012,-8.8,-9.5,-.093,-5.7,"('dorsejo01', 'johnsni01')"
82,A. Drummond | J. Meeks,DET,2014-15,60,728.7,1455,1436,95.2,-0.7,+2.9,-.022,+0.2,+2.8,-.032,-0.023,-4.5,-2.1,-.119,-5.7,"('drumman01', 'meeksjo01')"
83,R. Evans | R. McCallum,SAC,2014-15,29,240.6,459,459,91.6,-7.2,+0.7,-.082,-1.5,-12.0,+.096,-0.091,+10.2,+13.7,-.022,-5.7,"('evansre01', 'mccalra01')"
84,E. Fournier | M. Harkless,ORL,2014-15,21,132.8,254,267,94.2,+1.1,+5.3,-.015,-1.6,+1.2,-.082,-0.028,-6.3,-9.1,+.008,-5.7,"('fournev01', 'harklma01')"
85,E. Fournier | L. Ridnour,ORL,2014-15,28,237.0,463,459,93.4,+2.7,+3.0,+.016,+1.0,+0.7,+.038,+.021,-12.1,-14.6,-.041,-5.7,"('fournev01', 'ridnolu01')"
88,T. Harris | L. Ridnour,ORL,2014-15,32,258.0,525,512,96.5,+2.3,+2.1,+.016,-1.0,-1.5,-.019,+.009,-9.3,-11.6,-.032,-5.7,"('harrito02', 'ridnolu01')"
89,J. Hickson | J. Nelson,DEN,2014-15,33,360.7,717,714,95.2,-1.8,+3.7,-.039,+1.1,+3.2,+.003,-0.034,-3.1,-2.3,-.065,-5.7,"('hicksjj01', 'nelsoja01')"
90,K. Middleton | L. Sanders,MIL,2014-15,22,219.2,438,442,96.4,+0.6,+2.4,-.005,-1.1,-1.8,-.021,-0.012,-5.8,-7.0,-.036,-5.7,"('middlkh01', 'sandela01')"
91,E. Davis | J. Lin,LAL,2014-15,70,824.7,1627,1630,94.8,+0.9,+3.3,-.007,-3.3,-7.5,-.031,-0.027,-4.3,-3.9,-.053,-5.8,"('davised01', 'linje01')"
92,E. Moore | J. Noah,CHI,2014-15,28,180.6,350,356,93.8,-3.5,+0.9,-.046,+1.8,+6.1,-.022,-0.036,-0.6,+0.9,-.057,-5.8,"('mooreet01', 'noahjo01')"
93,J. Bayless | E. İlyasova,MIL,2014-15,49,444.0,862,863,93.2,-1.1,+0.9,-.017,-2.0,-4.7,-.014,-0.029,-1.6,-3.6,+.041,-5.8,"('bayleje01', 'ilyaser01')"
94,M. Belinelli | T. Parker,SAS,2014-15,48,391.8,764,761,93.4,-3.3,+1.8,-.048,+1.5,+7.4,-.071,-0.040,-0.7,-3.5,+.083,-5.8,"('belinma01', 'parketo01')"
95,G. Davis | S. Hawes,LAC,2014-15,60,435.2,836,844,92.7,-0.5,-1.3,+.001,-0.1,+3.0,-.037,+.001,-4.7,-7.0,+.013,-5.8,"('davisgl01', 'hawessp01')"
96,G. Dieng | S. Muhammad,MIN,2014-15,38,562.4,1117,1114,95.2,-3.1,+2.1,-.046,-3.0,-6.1,-.043,-0.064,+3.4,+6.7,-.076,-5.8,"('dienggo01', 'muhamsh01')"
97,G. Dieng | T. Young,MIN,2014-15,48,1005.4,1973,1977,94.3,-2.9,+0.4,-.034,-2.8,-7.2,-.022,-0.050,+2.8,+4.1,-.019,-5.8,"('dienggo01', 'youngth01')"
98,A. Drummond | J. Jerebko,DET,2014-15,40,258.6,491,488,90.9,-2.1,+2.1,-.034,-0.7,+4.5,-.090,-0.039,-0.9,-1.2,-.003,-5.8,"('drumman01', 'jerebjo01')"
99,J. Harris | T. Thompson,CLE,2014-15,40,276.0,528,536,92.5,-2.8,-1.7,-.022,+3.4,+4.4,+.053,-0.002,-3.7,-0.2,-.136,-5.8,"('harrijo01', 'thomptr01')"
100,J. Hickson | T. Lawson,DEN,2014-15,65,773.2,1565,1571,97.3,-2.5,-1.3,-.021,-0.6,+0.7,-.037,-0.024,-0.2,+0.9,-.035,-5.8,"('hicksjj01', 'lawsoty01')"
101,D. Carroll | S. Mack,ATL,2014-15,28,146.6,295,286,95.1,-3.4,-6.1,-.005,0.0,-3.3,+.046,.000,+0.8,-2.8,+.118,-5.9,"('carrode01', 'macksh01')"
102,L. Amundson | T. Hardaway,NYK,2014-15,25,269.5,517,525,92.8,+3.7,+4.8,+.018,-0.1,-2.9,+.040,+.015,-13.1,-14.9,-.074,-5.9,"('amundlo01', 'hardati02')"
103,W. Barton | E. Green,DEN,2014-15,22,194.3,394,393,97.2,-0.3,+6.1,-.036,+0.5,+0.5,+.018,-0.035,-5.6,-7.4,-.004,-5.9,"('bartowi01', 'greener01')"
104,C. Budinger | S. Muhammad,MIN,2014-15,25,223.5,451,457,97.5,-4.3,-5.9,-.018,-3.6,-13.6,+.071,-0.036,+6.4,+10.0,-.057,-5.9,"('budinch01', 'muhamsh01')"
105,J. Butler | E. Moore,CHI,2014-15,24,152.3,286,299,92.2,-7.9,-8.8,-.046,+1.4,+6.5,-.043,-0.033,+8.4,+11.1,-.003,-5.9,"('butleji01', 'mooreet01')"
106,D. Cousins | R. Sessions,SAC,2014-15,27,313.1,613,613,94.0,-4.9,-11.6,+.005,-2.9,-10.0,+.029,-0.007,+6.9,+7.8,+.027,-5.9,"('couside01', 'sessira01')"
107,D. Cousins | D. Williams,SAC,2014-15,51,571.0,1160,1162,97.6,-5.0,-14.2,+.016,-4.0,-8.9,-.040,.000,+8.1,+8.9,+.048,-5.9,"('couside01', 'willide02')"
0,L. Amundson | T. Hardaway,NYK,2014-15,25,269.5,517,525,92.8,+3.7,+4.8,+.018,-0.1,-2.9,+.040,+.015,-13.1,-14.9,-.074,-5.9,"('amundlo01', 'hardati02')"
1,G. Davis | A. Rivers,LAC,2014-15,39,436.6,851,853,93.7,-0.4,-0.5,-.002,-0.8,+3.4,-.068,-0.006,-4.3,-6.0,-.002,-5.9,"('davisgl01', 'riverau01')"
2,W. Barton | E. Green,DEN,2014-15,22,194.3,394,393,97.2,-0.3,+6.1,-.036,+0.5,+0.5,+.018,-0.035,-5.6,-7.4,-.004,-5.9,"('bartowi01', 'greener01')"
3,J. Hill | R. Price,LAL,2014-15,41,568.5,1118,1115,94.3,-2.9,+4.0,-.052,-0.7,+0.7,-.044,-0.058,+0.5,-0.2,+.026,-6.0,"('hilljo01', 'pricero01')"
4,M. Kidd-Gilchrist | G. Neal,CHO,2014-15,30,184.3,349,354,91.6,-4.0,+0.4,-.048,-2.5,-3.4,-.064,-0.062,+4.5,+8.1,-.035,-6.0,"('kiddgmi01', 'nealga01')"
5,G. Neal | L. Stephenson,CHO,2014-15,30,367.3,717,708,93.1,-3.0,-4.6,-.012,-1.6,-2.4,-.040,-0.019,+1.6,+4.0,-.058,-6.0,"('nealga01', 'stephla01')"
6,J. Anthony | D. Augustin,DET,2014-15,21,102.8,199,203,93.9,-0.8,+2.7,-.022,+2.2,+12.5,-.080,-0.011,-6.7,-14.0,+.172,-6.0,"('anthojo01', 'augusdj01')"
7,P. Prigioni | T. Wear,NYK,2014-15,27,178.9,329,337,89.3,-0.9,+2.6,-.025,-4.3,-6.6,-.073,-0.052,+0.1,-6.7,+.238,-6.0,"('prigipa01', 'weartr01')"
8,K. Olynyk | T. Zeller,BOS,2014-15,32,146.5,301,301,98.6,+4.3,+0.3,+.048,-2.7,-4.3,-.055,+.032,-12.0,-11.6,-.121,-6.0,"('olynyke01', 'zellety01')"
9,D. Dedmon | W. Green,ORL,2014-15,36,242.2,476,469,93.7,-1.6,-2.3,-.007,-1.4,-2.0,-.035,-0.014,-1.5,-0.7,-.045,-6.1,"('dedmode01', 'greenwi01')"
10,E. Fournier | B. Gordon,ORL,2014-15,35,255.2,492,494,92.7,-0.9,+1.8,-.019,+2.9,+2.3,+.087,-0.004,-7.2,-11.9,+.055,-6.1,"('fournev01', 'gordobe01')"
11,J. Bayless | J. Henson,MIL,2014-15,59,705.9,1359,1365,92.6,+0.2,-0.9,+.007,-0.9,-4.3,+.020,+.002,-5.7,-6.0,-.051,-6.1,"('bayleje01', 'hensojo01')"
12,R. Gay | N. Stauskas,SAC,2014-15,52,377.0,763,757,96.8,-6.0,-8.7,-.023,-3.5,-6.9,-.057,-0.039,+9.3,+10.7,+.022,-6.1,"('gayru01', 'stausni01')"
13,R. Hummel | M. Williams,MIN,2014-15,26,289.1,560,561,93.1,-2.1,+1.1,-.028,-2.3,-5.3,-.020,-0.042,+0.4,-1.9,+.069,-6.1,"('hummero01', 'willima01')"
14,B. Gordon | M. Harkless,ORL,2014-15,25,195.0,377,379,93.1,+1.8,+3.6,+.002,-1.6,-3.3,-.028,-0.009,-8.1,-8.8,-.059,-6.1,"('gordobe01', 'harklma01')"
15,U. Haslem | S. Napier,MIA,2014-15,33,274.2,512,512,89.6,-2.1,+4.9,-.051,-1.2,+1.6,-.075,-0.061,-0.6,-0.2,-.018,-6.1,"('hasleud01', 'napiesh01')"
16,J. Hickson | T. Mozgov,DEN,2014-15,21,172.0,331,330,92.3,-2.6,+2.1,-.038,-2.4,-1.3,-.087,-0.052,+1.5,+0.2,+.054,-6.1,"('hicksjj01', 'mozgoti01')"
17,E. Fournier | V. Oladipo,ORL,2014-15,47,881.4,1714,1711,93.3,-1.1,+1.2,-.019,-1.1,-2.2,-.014,-0.026,-2.9,-4.0,+.002,-6.1,"('fournev01', 'oladivi01')"
18,D. Morris | M. Plumlee,BRK,2014-15,27,103.1,195,196,91.0,-3.4,-2.6,-.025,+1.1,-0.4,+.045,-0.018,-0.4,+5.2,-.217,-6.1,"('morrida01', 'plumlma01')"
19,J. Calderón | L. Galloway,NYK,2014-15,18,345.2,664,668,92.6,+1.6,+9.2,-.029,+0.4,-0.9,+.031,-0.032,-9.6,-11.1,-.041,-6.1,"('caldejo01', 'gallola01')"
22,M. Plumlee | T. Young,BRK,2014-15,26,165.9,323,326,93.9,+0.1,-5.7,+.033,-4.5,-8.1,-.059,+.010,-1.7,-0.1,-.070,-6.1,"('plumlma01', 'youngth01')"
23,K. Singler | R. Westbrook,OKC,2014-15,25,344.3,714,712,99.4,-1.1,+1.1,-.018,-3.5,-5.0,-.081,-0.038,-0.3,+0.6,-.033,-6.1,"('singlky01', 'westbru01')"
24,D. Dedmon | B. Gordon,ORL,2014-15,32,212.4,402,403,91.0,-0.9,+0.7,-.014,-0.2,-3.7,+.040,-0.016,-4.2,-8.1,+.051,-6.2,"('dedmode01', 'gordobe01')"
25,E. Fournier | T. Harris,ORL,2014-15,50,1084.1,2132,2120,94.1,-1.2,-2.0,-.003,-0.8,-2.2,+.004,-0.006,-3.0,-4.1,+.003,-6.2,"('fournev01', 'harrito02')"
26,A. Gordon | T. Harris,ORL,2014-15,36,314.4,615,636,95.5,+1.3,+1.9,+.006,-2.0,-4.9,-.009,-0.006,-6.9,-7.5,-.057,-6.2,"('gordoaa01', 'harrito02')"
27,B. Bass | J. Sullinger,BOS,2014-15,48,412.3,800,808,93.6,-2.7,+1.0,-.035,-0.3,+1.6,-.032,-0.037,-0.5,+0.8,-.051,-6.2,"('bassbr01', 'sullija01')"
28,R. Foye | J. Nurkić,DEN,2014-15,30,202.9,399,401,94.6,-0.6,+5.4,-.033,+1.8,+4.4,+.013,-0.026,-6.9,-7.1,-.061,-6.2,"('foyera01', 'nurkiju01')"
29,H. Sims | T. Wroten,PHI,2014-15,30,482.3,964,954,95.4,-2.8,+1.0,-.038,-2.5,-1.7,-.081,-0.052,+1.9,+3.0,-.007,-6.2,"('simshe01', 'wroteto01')"
30,J. Hickson | N. Robinson,DEN,2014-15,25,198.1,380,405,95.1,0.0,-4.4,+.021,-1.6,-5.1,-.002,+.013,-4.5,-4.7,-.040,-6.2,"('hicksjj01', 'robinna01')"
31,A. Crabbe | D. Lillard,POR,2014-15,35,329.0,657,650,95.3,-2.7,+0.4,-.033,+3.4,+10.0,+.025,-0.013,-4.2,-5.6,+.011,-6.2,"('crabbal01', 'lillada01')"
32,M. Muscala | M. Scott,ATL,2014-15,23,105.8,209,201,93.0,-2.0,-6.8,+.012,-2.3,-7.0,-.010,+.003,+0.1,-0.1,+.008,-6.2,"('muscami01', 'scottmi01')"
33,C. Anthony | J. Calderón,NYK,2014-15,27,750.2,1414,1414,90.5,-0.9,+2.8,-.024,-0.8,-0.8,-.025,-0.030,-3.5,-5.3,+.025,-6.2,"('anthoca01', 'caldejo01')"
34,M. Ellis | C. Villanueva,DAL,2014-15,48,336.4,710,701,100.7,-1.6,-0.1,-.018,+2.7,+6.0,+.027,-0.002,-5.6,-6.4,-.041,-6.2,"('ellismo01', 'villach01')"
35,B. Bass | J. Young,BOS,2014-15,19,116.1,238,231,97.0,-8.4,-8.2,-.054,+3.1,+8.5,+.010,-0.031,+7.5,+9.0,+.037,-6.2,"('bassbr01', 'youngja01')"
36,J. Lin | R. Price,LAL,2014-15,18,103.7,208,216,98.1,-2.9,-3.1,-.018,-4.8,-8.5,-.070,-0.046,+4.2,+8.4,-.046,-6.3,"('linje01', 'pricero01')"
37,L. Ridnour | N. Vučević,ORL,2014-15,40,284.9,581,564,96.5,+0.8,+4.3,-.015,-1.5,-1.7,-.037,-0.026,-6.3,-9.6,+.052,-6.3,"('ridnolu01', 'vucevni01')"
38,C. Anthony | S. Larkin,NYK,2014-15,37,463.6,876,875,90.6,+0.6,+1.7,-.001,-3.9,-6.8,-.048,-0.024,-3.7,-6.9,+.068,-6.3,"('anthoca01', 'larkish01')"
39,S. Dalembert | J. Smith,NYK,2014-15,17,146.2,275,281,91.3,-0.6,-6.8,+.031,+0.5,-3.8,+.086,+.038,-5.8,-11.0,+.085,-6.3,"('dalemsa01', 'smithjr01')"
40,S. Ibaka | L. Thomas,OKC,2014-15,18,291.6,553,559,91.5,-1.9,-3.3,-.005,-1.6,-6.4,+.011,-0.012,-0.9,-1.4,+.004,-6.3,"('ibakase01', 'thomala01')"
41,J. Hamilton | S. Napier,MIA,2014-15,17,100.2,187,189,90.1,-4.9,+4.1,-.081,-2.5,-2.9,-.048,-0.100,+6.1,+8.3,-.008,-6.3,"('hamilju01', 'napiesh01')"
44,L. Deng | D. Granger,MIA,2014-15,19,182.6,337,336,88.5,-1.9,-7.1,+.015,-0.3,-0.1,-.011,+.017,-2.1,-0.1,-.069,-6.3,"('denglu01', 'grangda01')"
45,K. Faried | E. Green,DEN,2014-15,19,108.2,209,202,91.2,-2.8,+11.9,-.084,-1.3,-0.5,-.041,-0.097,+0.7,+1.9,-.024,-6.3,"('farieke01', 'greener01')"
46,D. Harris | D. Powell,DAL,2014-15,13,108.5,224,224,99.1,-0.4,+13.4,-.079,+3.6,+10.7,-.008,-0.066,-8.9,-11.6,+.021,-6.3,"('harride01', 'poweldw01')"
47,W. Barton | J. Nurkić,DEN,2014-15,20,198.0,400,400,97.0,+1.5,+5.8,-.010,-0.5,-1.0,-.008,-0.016,-8.8,-11.0,-.038,-6.3,"('bartowi01', 'nurkiju01')"
48,W. Johnson | R. Price,LAL,2014-15,40,577.8,1138,1143,94.8,-4.1,+0.3,-.048,-0.4,0.0,-.017,-0.050,+2.3,+1.9,+.038,-6.4,"('johnswe01', 'pricero01')"
49,B. Bass | A. Bradley,BOS,2014-15,75,1168.8,2314,2369,96.2,-1.3,+1.6,-.023,-1.9,-2.1,-.056,-0.034,-1.8,-2.1,-.009,-6.4,"('bassbr01', 'bradlav01')"
50,K. Garnett | J. Jack,BRK,2014-15,42,538.1,1023,1030,91.6,-2.3,-2.7,-.012,-4.5,-8.4,-.076,-0.037,+2.6,+2.6,+.031,-6.4,"('garneke01', 'jackja01')"
51,E. Turner | T. Zeller,BOS,2014-15,82,1122.2,2228,2234,95.4,-0.2,+1.7,-.010,-1.9,-4.0,-.035,-0.021,-4.1,-5.3,-.003,-6.4,"('turneev01', 'zellety01')"
52,A. Jefferson | M. Williams,CHO,2014-15,61,993.9,1949,1918,93.4,-1.9,+1.7,-.030,-0.7,+0.5,-.042,-0.035,-1.9,-1.8,-.023,-6.4,"('jeffeal01', 'willima02')"
53,B. Knight | J. Parker,MIL,2014-15,25,631.6,1260,1275,96.3,-0.6,+2.0,-.018,-2.4,-5.8,-.018,-0.033,-2.7,-6.1,+.078,-6.4,"('knighbr03', 'parkeja01')"
54,O. Mayo | J. Parker,MIL,2014-15,25,335.7,671,693,97.5,-1.8,-1.1,-.015,-2.3,-8.0,+.018,-0.028,-0.5,-4.4,+.113,-6.4,"('mayooj01', 'parkeja01')"
55,A. Afflalo | W. Chandler,DEN,2014-15,52,1352.4,2699,2678,95.4,-1.9,+2.8,-.035,+0.2,+1.8,-.019,-0.036,-2.7,-2.9,-.023,-6.4,"('afflaar01', 'chandwi01')"
56,A. Wiggins | M. Williams,MIN,2014-15,41,799.4,1590,1574,95.0,-3.7,+0.7,-.045,-2.1,-5.7,-.007,-0.057,+3.1,+3.2,+.028,-6.4,"('wiggian01', 'willima01')"
57,O. Casspi | R. Hollins,SAC,2014-15,23,109.6,218,221,96.1,+0.1,-5.2,+.029,-5.8,-15.2,-.068,-0.004,-0.6,+0.3,-.036,-6.4,"('casspom01', 'holliry01')"
58,T. Burke | A. Burks,UTA,2014-15,27,668.8,1271,1265,91.0,-4.2,-1.8,-.038,-1.5,-1.6,-.043,-0.045,+3.5,+3.9,+.021,-6.4,"('burketr01', 'burksal01')"
59,S. Marion | D. Waiters,CLE,2014-15,29,247.0,477,482,93.2,-4.0,-5.7,-.016,-3.5,-5.0,-.087,-0.033,+5.0,+6.9,+.006,-6.4,"('mariosh01', 'waitedi01')"
60,G. Dieng | R. Hummel,MIN,2014-15,26,250.8,485,485,92.8,-4.1,+0.4,-.049,-3.1,-5.8,-.034,-0.067,+4.9,+1.6,+.144,-6.4,"('dienggo01', 'hummero01')"
61,D. Cousins | R. McCallum,SAC,2014-15,47,716.8,1452,1447,97.1,-3.9,-3.2,-.028,-3.3,-6.2,-.052,-0.045,+4.6,+4.5,+.050,-6.4,"('couside01', 'mccalra01')"
62,A. Crabbe | C. Kaman,POR,2014-15,31,269.7,536,531,94.9,-2.4,-4.4,-.006,+4.1,+8.4,+.057,+.019,-5.6,-8.8,+.051,-6.4,"('crabbal01', 'kamanch01')"
63,R. Hummel | T. Young,MIN,2014-15,18,186.4,359,365,93.2,-1.8,-0.4,-.018,-3.2,-7.1,-.025,-0.035,+0.3,-3.2,+.110,-6.4,"('hummero01', 'youngth01')"
66,B. Knight | M. Morris,PHO,2014-15,11,163.4,343,342,100.6,-1.3,+4.4,-.039,-2.9,+3.1,-.165,-0.059,-0.9,+0.8,-.061,-6.4,"('knighbr03', 'morrima03')"
67,B. Knight | B. Wright,PHO,2014-15,10,116.6,241,235,98.0,+0.7,+1.6,.000,-4.8,-0.6,-.186,-0.028,-3.0,+1.1,-.173,-6.4,"('knighbr03', 'wrighbr03')"
68,Q. Acy | S. Larkin,NYK,2014-15,61,675.1,1268,1269,90.2,-0.4,+3.9,-.023,-1.4,-3.8,-.003,-0.033,-4.3,-6.2,+.016,-6.5,"('acyqu01', 'larkish01')"
69,B. McLemore | D. Williams,SAC,2014-15,69,762.1,1543,1553,97.5,-3.5,-10.2,+.014,-3.1,-8.4,-.003,+.002,+3.6,+3.4,+.038,-6.5,"('mclembe01', 'willide02')"
70,T. Booker | J. Ingles,UTA,2014-15,73,663.3,1240,1225,89.2,-2.9,-3.7,-.014,0.0,+3.9,-.054,-0.012,-0.6,+2.5,-.094,-6.5,"('booketr01', 'inglejo01')"
71,B. Diaw | J. Ayres,SAS,2014-15,31,196.6,384,374,92.5,-3.1,-0.2,-.036,+1.1,+3.6,-.008,-0.029,-1.3,-3.6,+.055,-6.5,"('diawbo01', 'pendeje02')"
72,S. Adams | R. Jackson,OKC,2014-15,43,532.4,1030,1022,92.5,-3.2,-3.9,-.017,-1.9,-2.6,-.041,-0.025,+1.9,+4.3,-.055,-6.5,"('adamsst01', 'jacksre01')"
73,C. Boozer | R. Kelly,LAL,2014-15,35,388.9,756,756,93.3,-1.9,+0.5,-.024,-3.6,-9.4,-.012,-0.045,+0.8,+0.9,+.005,-6.5,"('boozeca01', 'kellyry01')"
74,J. Jerebko | T. Zeller,BOS,2014-15,23,126.6,248,248,94.0,-4.0,-0.8,-.042,-0.4,+0.4,-.022,-0.043,+2.0,+0.4,+.079,-6.5,"('jerebjo01', 'zellety01')"
75,E. Fournier | N. Vučević,ORL,2014-15,52,1053.9,2067,2058,93.9,-1.1,+0.1,-.012,-0.8,-2.8,+.011,-0.017,-3.7,-4.8,-.005,-6.6,"('fournev01', 'vucevni01')"
76,D. Arthur | W. Chandler,DEN,2014-15,52,417.3,849,853,97.9,+1.0,+4.3,-.009,-2.7,-0.8,-.091,-0.026,-5.9,-8.2,+.010,-6.6,"('arthuda01', 'chandwi01')"
77,E. Fournier | C. Frye,ORL,2014-15,55,953.6,1852,1828,92.6,-1.9,-0.4,-.019,+1.7,+2.0,+.045,-0.009,-4.5,-6.0,-.005,-6.6,"('fournev01', 'fryech01')"
