,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
80,G. Henderson | A. Jefferson | M. Williams | C. Zeller,CHO,2014-15,11,178.3,354,362,96.4,+2.3,-1.0,+.031,-1.2,-8.5,+.121,+.025,+1.7,-0.4,+.115,+5.2,"('hendege02', 'jeffeal01', 'willima01', 'zelleco01')"
81,A. Johnson | J. Johnson | K. Lowry | J. Valančiūnas,TOR,2014-15,29,221.6,424,432,92.7,+3.6,+0.1,+.037,-1.3,-3.8,+.001,+.030,-0.7,-3.6,+.104,+5.2,"('johnsam01', 'johnsja01', 'lowryky01', 'valanjo01')"
82,D. Cousins | R. Gay | C. Landry | B. McLemore,SAC,2014-15,22,124.6,250,246,95.6,-2.2,-8.2,+.018,-2.9,-11.2,+.029,+.005,+12.5,+12.1,+.101,+5.1,"('couside01', 'gayru01', 'landrca01', 'mclembe01')"
83,B. Beal | M. Gortat | N. Hilário | P. Pierce,WAS,2014-15,41,614.2,1208,1205,94.3,+3.5,-0.4,+.041,-0.8,-4.2,+.035,+.037,-0.9,0.0,-.050,+5.1,"('bealbr01', 'gortama01', 'hilarne01', 'piercpa01')"
84,C. Frye | M. Harkless | V. Oladipo | E. Payton,ORL,2014-15,14,74.6,155,149,97.8,+5.7,+10.4,+.012,-3.0,-6.3,-.022,-0.013,-3.3,-0.8,-.129,+5.1,"('fryech01', 'harklma01', 'oladivi01', 'paytoel01')"
85,T. Ariza | C. Brewer | D. Motiejūnas | J. Terry,HOU,2014-15,34,139.1,273,275,94.6,+1.0,-1.2,+.016,+3.4,+5.7,+.053,+.035,-0.3,+0.1,-.018,+5.1,"('arizatr01', 'breweco01', 'motiedo01', 'terryja01')"
88,D. Augustin | C. Butler | J. Jerebko | J. Meeks,DET,2014-15,21,159.8,300,305,90.9,+0.4,-3.8,+.025,+0.5,+0.4,+.012,+.031,+3.9,+3.9,+.042,+5.1,"('augusdj01', 'butleca01', 'jerebjo01', 'meeksjo01')"
89,J. Barea | T. Chandler | D. Nowitzki | C. Parsons,DAL,2014-15,18,80.5,161,148,92.1,+0.2,0.0,+.002,+0.6,-1.5,+.042,+.006,+4.1,+5.0,-.001,+5.1,"('bareajo01', 'chandty01', 'nowitdi01', 'parsoch01')"
90,P. Beverley | J. Dorsey | J. Harden | D. Motiejūnas,HOU,2014-15,24,198.4,394,398,95.8,-0.9,+6.9,-.048,+3.9,+16.7,-.054,-0.029,+3.0,+3.8,+.002,+5.1,"('beverpa01', 'dorsejo01', 'hardeja01', 'motiedo01')"
91,T. Duncan | M. Ginóbili | D. Green | T. Parker,SAS,2014-15,29,94.0,197,198,100.8,+0.7,-6.7,+.048,-0.5,+0.6,-.033,+.049,+4.2,+6.2,-.001,+5.1,"('duncati01', 'ginobma01', 'greenda02', 'parketo01')"
92,N. Calathes | M. Conley | M. Gasol | C. Lee,MEM,2014-15,17,49.9,100,99,95.7,+6.7,+17.3,-.014,-4.1,+1.8,-.183,-0.047,-4.2,-5.3,-.001,+5.0,"('calatni01', 'conlemi01', 'gasolma01', 'leeco01')"
93,B. Beal | R. Butler | K. Séraphin | R. Sessions,WAS,2014-15,9,57.3,111,115,94.7,+2.1,-13.8,+.090,+4.6,-6.5,+.426,+.123,-3.9,-2.0,-.119,+5.0,"('bealbr01', 'butlera01', 'serapke01', 'sessira01')"
94,T. Gibson | N. Mirotić | J. Noah | T. Snell,CHI,2014-15,12,55.0,100,99,86.9,-2.4,-14.0,+.040,+8.0,+7.8,+.208,+.091,+1.8,+10.8,-.194,+5.0,"('gibsota01', 'mirotni01', 'noahjo01', 'snellto01')"
95,J. Harris | K. Irving | K. Love | T. Thompson,CLE,2014-15,14,55.6,116,112,98.4,+1.0,+1.4,+.003,+6.5,+1.6,+.192,+.041,-3.6,-2.0,-.059,+5.0,"('harrijo01', 'irvinky01', 'loveke01', 'thomptr01')"
96,C. Aldrich | S. Larkin | A. Shved | J. Smith,NYK,2014-15,12,54.4,99,104,89.5,+5.7,+4.4,+.044,+0.4,-0.9,+.033,+.044,-6.9,-4.7,-.130,+5.0,"('aldrico01', 'larkish01', 'shvedal01', 'smithja02')"
97,G. Dragić | M. Morris | M. Plumlee | P. Tucker,PHO,2014-15,31,198.7,403,401,97.1,-1.9,+1.3,-.028,+2.7,+2.4,+.081,-0.014,+6.1,+6.9,+.031,+5.0,"('dragigo01', 'morrima02', 'plumlmi01', 'tuckepj01')"
98,J. Johnson | P. Patterson | G. Vásquez | L. Williams,TOR,2014-15,55,425.2,809,801,90.9,-1.5,-0.3,-.016,+1.4,+7.3,-.037,-0.008,+6.6,+6.6,+.069,+5.0,"('johnsja01', 'pattepa01', 'vasqugr01', 'willilo02')"
99,C. Bosh | N. Cole | L. Deng | D. Wade,MIA,2014-15,22,255.1,470,469,88.4,+1.8,-2.5,+.033,-0.9,-3.0,+.010,+.030,+2.1,+4.0,-.031,+4.9,"('boshch01', 'coleno01', 'denglu01', 'wadedw01')"
100,D. Cousins | R. Gay | R. McCallum | J. Thompson,SAC,2014-15,19,104.1,206,206,95.0,+0.5,+12.6,-.056,-0.5,+1.9,-.055,-0.063,+4.4,+4.9,+.030,+4.9,"('couside01', 'gayru01', 'mccalra01', 'thompja02')"
101,A. Anderson | B. Bogdanović | J. Jack | M. Teletović,BRK,2014-15,22,95.1,185,183,92.9,+2.9,-5.3,+.058,-0.6,-3.5,+.026,+.057,-0.2,+2.5,-.087,+4.9,"('anderal01', 'bogdabo02', 'jackja01', 'teletmi01')"
102,M. Gortat | N. Hilário | P. Pierce | J. Wall,WAS,2014-15,57,960.3,1905,1884,94.7,+2.5,-1.7,+.037,-2.0,-5.8,+.002,+.026,+2.1,+3.2,-.016,+4.9,"('gortama01', 'hilarne01', 'piercpa01', 'walljo01')"
103,A. Bennett | G. Dieng | S. Muhammad | A. Wiggins,MIN,2014-15,13,49.7,102,94,94.7,+3.5,+9.7,-.012,-4.7,-14.9,+.038,-0.041,+2.5,+11.2,-.267,+4.9,"('bennean01', 'dienggo01', 'muhamsh01', 'wiggian01')"
104,G. Green | M. Morris | M. Plumlee | P. Tucker,PHO,2014-15,20,64.2,128,132,97.2,+2.0,+9.7,-.025,+5.0,+7.9,+.061,-0.005,-4.0,-10.0,+.162,+4.9,"('greenge01', 'morrima03', 'plumlmi01', 'tuckepj01')"
105,A. Ajinça | N. Cole | D. Cunningham | T. Douglas,NOP,2014-15,8,70.2,128,130,88.2,+3.8,+0.7,+.037,+0.9,-3.6,+.118,+.042,-3.6,-2.8,-.056,+4.8,"('ajincal01', 'coleno01', 'cunnida01', 'douglto01')"
106,R. Anderson | Ö. Aşık | T. Evans | J. Holiday,NOP,2014-15,25,106.5,212,208,94.7,+2.4,+1.1,+.020,-1.7,-5.3,+.021,+.011,+1.6,+3.0,-.043,+4.8,"('anderry01', 'asikom01', 'evansty01', 'holidjr01')"
107,M. Barnes | S. Hawes | D. Jordan | C. Paul,LAC,2014-15,33,261.9,512,519,94.5,+4.6,+1.2,+.046,+3.5,+5.0,+.049,+.065,-7.9,-6.8,-.120,+4.8,"('barnema02', 'hawessp01', 'jordade01', 'paulch01')"
0,A. Brooks | M. Dunleavy | N. Mirotić | J. Noah,CHI,2014-15,17,62.5,122,119,92.6,-0.9,+6.9,-.044,+0.5,+15.8,-.199,-0.046,+6.1,+5.9,+.046,+4.8,"('brookaa01', 'dunlemi02', 'mirotni01', 'noahjo01')"
1,T. Burke | D. Exum | R. Gobert | E. Millsap,UTA,2014-15,17,70.9,124,125,84.3,-0.5,-0.9,-.002,-3.1,-4.6,-.067,-0.018,+9.0,+11.4,+.021,+4.8,"('burketr01', 'exumda01', 'goberru01', 'millsel01')"
2,K. Irving | K. Love | S. Marion | A. Varejão,CLE,2014-15,24,276.8,540,535,93.2,-1.3,-4.0,+.006,+1.1,+1.1,+.033,+.014,+6.4,+8.4,-.014,+4.8,"('irvinky01', 'loveke01', 'mariosh01', 'varejan01')"
3,A. Anderson | J. Johnson | B. Lopez | M. Teletović,BRK,2014-15,19,108.4,210,205,91.9,+1.0,+7.5,-.026,-1.1,+6.1,-.103,-0.036,+3.9,+2.3,+.090,+4.8,"('anderal01', 'johnsjo02', 'lopezbr01', 'teletmi01')"
4,T. Ariza | P. Beverley | J. Dorsey | D. Motiejūnas,HOU,2014-15,20,179.7,357,357,95.4,-0.3,+6.7,-.040,+3.6,+16.5,-.068,-0.022,+1.7,+3.6,-.052,+4.8,"('arizatr01', 'beverpa01', 'dorsejo01', 'motiedo01')"
5,A. Baynes | T. Duncan | D. Green | T. Parker,SAS,2014-15,17,138.7,268,275,93.9,+4.7,+3.8,+.034,-3.2,-2.5,-.126,+.015,-1.4,-7.2,+.183,+4.8,"('baynear01', 'duncati01', 'greenda02', 'parketo01')"
6,M. Brown | J. Johnson | B. Lopez | T. Young,BRK,2014-15,23,260.5,491,500,91.3,+0.8,+1.3,+.002,-4.5,-6.5,-.092,-0.023,+7.7,+7.2,+.125,+4.8,"('brownma02', 'johnsjo02', 'lopezbr01', 'youngth01')"
7,T. Chandler | D. Harris | R. Jefferson | D. Nowitzki,DAL,2014-15,26,75.6,143,141,90.1,+0.1,-3.4,+.018,+0.5,-10.3,+.142,+.024,+4.0,+5.3,-.023,+4.8,"('chandty01', 'harride01', 'jefferi01', 'nowitdi01')"
8,J. Dudley | B. Knight | K. Middleton | J. Parker,MIL,2014-15,9,73.0,146,145,95.7,+3.2,+4.9,+.011,+4.8,+6.0,+.111,+.036,-6.3,-16.0,+.218,+4.8,"('dudleja01', 'knighbr03', 'middlkh01', 'parkeja01')"
9,K. Durant | S. Ibaka | D. Waiters | R. Westbrook,OKC,2014-15,14,121.5,245,239,95.6,+4.4,+1.4,+.041,-1.5,+1.4,-.076,+.032,-2.5,-7.2,+.122,+4.8,"('duranke01', 'ibakase01', 'waitedi01', 'westbru01')"
10,C. Boozer | J. Brown | E. Davis | J. Lin,LAL,2014-15,5,77.2,147,148,91.8,+4.3,+0.6,+.048,-4.7,-16.1,+.043,+.020,+0.8,+1.5,-.010,+4.7,"('boozeca01', 'brownja01', 'davised01', 'linje01')"
11,B. Diaw | T. Duncan | K. Leonard | T. Parker,SAS,2014-15,52,468.9,914,908,93.3,-0.1,-3.4,+.018,+1.2,+1.3,+.033,+.026,+3.6,+4.5,+.008,+4.7,"('diawbo01', 'duncati01', 'leonaka01', 'parketo01')"
12,R. Anderson | A. Davis | E. Gordon | Q. Pondexter,NOP,2014-15,16,109.3,219,207,93.6,+1.4,-4.1,+.037,+2.8,+6.7,+.023,+.055,-0.8,-0.6,-.010,+4.7,"('anderry01', 'davisan02', 'gordoer01', 'pondequ01')"
13,R. Anderson | T. Evans | E. Gordon | J. Holiday,NOP,2014-15,16,116.2,238,233,97.3,+3.3,+5.8,+.006,+3.6,+4.6,+.072,+.023,-5.6,-5.3,-.049,+4.7,"('anderry01', 'evansty01', 'gordoer01', 'holidjr01')"
14,H. Barnes | S. Curry | F. Ezeli | D. Green,GSW,2014-15,17,104.6,208,214,96.9,+0.2,-1.6,+.009,+3.5,+9.7,+.032,+.029,+0.9,-0.4,+.058,+4.7,"('barneha02', 'curryst01', 'ezelife01', 'greendr01')"
15,M. Brown | J. Johnson | D. Williams | T. Young,BRK,2014-15,25,266.5,504,514,91.7,+0.8,+2.2,-.002,-4.0,-5.9,-.078,-0.025,+7.0,+6.0,+.128,+4.7,"('brownma02', 'johnsjo02', 'willide01', 'youngth01')"
16,G. Hill | S. Hill | I. Mahinmi | D. West,IND,2014-15,23,102.2,198,199,93.2,+1.7,-3.6,+.041,0.0,+5.7,-.100,+.044,+1.1,+3.7,-.074,+4.6,"('hillge01', 'hillso01', 'mahinia01', 'westda01')"
17,J. Butler | M. Dunleavy | J. Noah | D. Rose,CHI,2014-15,21,365.2,717,716,94.2,-0.1,-5.4,+.026,-0.3,+1.2,-.036,+.027,+5.0,+6.3,.000,+4.6,"('butleji01', 'dunlemi02', 'noahjo01', 'rosede01')"
18,W. Ellington | J. Lin | R. Sacre | N. Young,LAL,2014-15,17,131.1,259,260,95.0,+1.3,-3.9,+.035,+0.8,-5.3,+.128,+.041,+1.2,+0.9,+.028,+4.6,"('ellinwa01', 'linje01', 'sacrero01', 'youngni01')"
19,L. Allen | C. Miles | C. Watson | D. West,IND,2014-15,16,62.8,131,130,99.8,+7.4,+5.5,+.058,-0.8,+0.6,-.051,+.051,-9.4,-14.8,+.035,+4.6,"('allenla01', 'milescj01', 'watsocj01', 'westda01')"
22,A. Bradley | K. Olynyk | M. Smart | J. Sullinger,BOS,2014-15,16,54.2,111,104,95.3,+2.9,+2.4,+.019,+1.8,+13.6,-.136,+.027,-2.9,-7.8,+.169,+4.6,"('bradlav01', 'olynyke01', 'smartma01', 'sullija01')"
23,M. Conley | M. Gasol | T. Prince | Z. Randolph,MEM,2014-15,15,184.6,347,337,89.0,-0.9,+2.2,-.019,-2.5,-11.1,+.100,-0.034,+8.9,+8.1,+.124,+4.6,"('conlemi01', 'gasolma01', 'princta01', 'randoza01')"
24,A. Drummond | R. Jackson | J. Meeks | A. Tolliver,DET,2014-15,23,85.2,177,162,95.5,+5.6,+14.6,-.005,-1.4,+4.6,-.103,-0.021,-5.2,-1.8,-.144,+4.6,"('drumman01', 'jacksre01', 'meeksjo01', 'tollian01')"
25,M. Dunleavy | K. Hinrich | N. Mirotić | T. Snell,CHI,2014-15,13,51.2,93,101,91.0,-4.1,-8.2,-.007,-0.5,+6.1,-.093,-0.006,+13.4,+13.8,+.070,+4.6,"('dunlemi02', 'hinriki01', 'mirotni01', 'snellto01')"
26,K. Durant | A. Morrow | K. Perkins | D. Waiters,OKC,2014-15,10,52.7,114,118,105.7,+3.2,-3.8,+.056,+1.2,+6.1,-.034,+.065,-2.9,-0.1,-.123,+4.6,"('duranke01', 'morroan01', 'perkike01', 'waitedi01')"
27,K. Garnett | J. Johnson | S. Karasev | M. Plumlee,BRK,2014-15,12,151.3,287,289,91.4,+3.1,-2.5,+.048,-2.0,-4.7,-.013,+.038,+0.5,-0.2,+.032,+4.6,"('garneke01', 'johnsjo02', 'karasse01', 'plumlma01')"
28,M. Belinelli | B. Diaw | P. Mills | T. Splitter,SAS,2014-15,19,99.1,199,196,95.7,+3.5,+1.6,+.030,+3.9,+7.7,+.038,+.050,-6.3,-10.4,+.085,+4.5,"('belinma01', 'diawbo01', 'millspa02', 'splitti01')"
29,D. Favors | R. Gobert | G. Hayward | R. Hood,UTA,2014-15,22,200.8,359,363,86.3,+1.0,-2.3,+.022,+0.6,+1.1,+.011,+.027,+1.8,+4.1,-.041,+4.5,"('favorde01', 'goberru01', 'haywago01', 'hoodro01')"
30,T. Ariza | P. Beverley | J. Harden | T. Jones,HOU,2014-15,17,249.5,482,476,92.2,-0.1,-5.5,+.026,+3.8,+8.6,+.027,+.050,+0.9,+0.8,+.012,+4.5,"('arizatr01', 'beverpa01', 'hardeja01', 'joneste01')"
31,A. Brooks | J. Butler | K. Hinrich | N. Mirotić,CHI,2014-15,27,137.3,266,265,92.8,-2.4,-11.6,+.033,+6.0,+6.3,+.193,+.073,+3.3,+3.6,+.011,+4.5,"('brookaa01', 'butleji01', 'hinriki01', 'mirotni01')"
32,M. Dellavedova | S. Marion | I. Shumpert | T. Thompson,CLE,2014-15,11,62.8,112,113,86.0,+3.0,-5.4,+.057,-0.8,-3.3,+.008,+.055,-0.8,+2.9,-.120,+4.5,"('dellama01', 'mariosh01', 'shumpim01', 'thomptr01')"
33,C. Miles | D. Rudež | L. Scola | D. Sloan,IND,2014-15,10,66.2,131,132,95.4,+1.0,+12.1,-.043,+2.3,+11.6,-.017,-0.035,+0.1,-1.4,+.083,+4.5,"('milescj01', 'rudezda01', 'scolalu01', 'sloando01')"
34,E. Bledsoe | A. Len | M. Morris | I. Thomas,PHO,2014-15,23,58.9,124,126,101.8,+6.2,+6.2,+.040,+8.2,+19.6,+.013,+.083,-16.3,-24.1,+.085,+4.4,"('bledser01', 'lenal01', 'morrima03', 'thomais02')"
35,B. Bass | A. Bradley | J. Crowder | M. Smart,BOS,2014-15,36,116.7,233,269,103.3,+3.5,+4.0,+.020,+2.3,+4.2,+.040,+.031,-4.8,+1.3,-.156,+4.4,"('bassbr01', 'bradlav01', 'crowdja01', 'smartma01')"
36,L. Aldridge | N. Batum | D. Lillard | C. McCollum,POR,2014-15,34,140.1,283,259,92.8,+3.3,+6.2,+.004,+4.0,+11.5,-.005,+.024,-6.2,-10.0,+.068,+4.4,"('aldrila01', 'batumni01', 'lillada01', 'mccolcj01')"
37,R. Anderson | A. Davis | T. Evans | Q. Pondexter,NOP,2014-15,17,125.5,253,239,94.1,-1.6,-6.8,+.017,+2.3,+0.6,+.080,+.034,+5.2,+6.5,+.007,+4.4,"('anderry01', 'davisan02', 'evansty01', 'pondequ01')"
38,P. Antić | K. Bazemore | P. Millsap | D. Schröder,ATL,2014-15,25,92.1,180,181,94.1,+3.5,+7.1,+.006,+0.6,-1.0,+.038,+.004,-3.2,-1.6,-.102,+4.4,"('anticpe01', 'bazemke01', 'millspa01', 'schrode01')"
39,E. Bledsoe | G. Dragić | M. Morris | M. Plumlee,PHO,2014-15,42,413.1,823,819,95.4,+1.1,-1.8,+.022,+2.6,+0.6,+.115,+.038,-0.6,-1.1,+.018,+4.4,"('bledser01', 'dragigo01', 'morrima02', 'plumlmi01')"
40,C. Brewer | D. Howard | J. Smith | J. Terry,HOU,2014-15,15,86.3,184,181,101.5,-3.9,-0.8,-.044,+4.3,+9.5,+.061,-0.017,+8.0,+6.2,+.180,+4.4,"('breweco01', 'howardw01', 'smithjo03', 'terryja01')"
41,A. Brooks | T. Gibson | K. Hinrich | N. Mirotić,CHI,2014-15,30,152.4,288,298,92.3,+1.2,+1.2,+.008,+4.7,+5.5,+.126,+.036,-2.7,-0.8,-.077,+4.4,"('brookaa01', 'gibsota01', 'hinriki01', 'mirotni01')"
44,T. Burke | D. Favors | G. Hayward | E. Millsap,UTA,2014-15,23,113.0,227,229,96.8,+1.6,+2.1,+.009,-0.8,-2.5,+.001,+.003,+2.0,+8.2,-.119,+4.4,"('burketr01', 'favorde01', 'haywago01', 'millsel01')"
45,N. Cole | L. Deng | D. Wade | S. Williams,MIA,2014-15,19,217.8,406,401,88.9,+0.7,-2.1,+.020,+0.4,-0.3,+.021,+.023,+2.5,+3.7,-.012,+4.3,"('coleno01', 'denglu01', 'wadedw01', 'willish03')"
46,R. Covington | T. Frazier | L. Mbah a Moute | N. Noel,PHI,2014-15,4,86.1,166,164,92.0,+0.8,-4.1,+.028,+2.9,+0.9,+.100,+.047,-0.2,+7.6,-.277,+4.3,"('covinro01', 'fraziti01', 'mbahalu01', 'noelne01')"
47,A. Johnson | K. Lowry | T. Ross | G. Vásquez,TOR,2014-15,26,111.5,223,220,95.4,+3.9,+6.0,+.010,+0.8,+6.9,-.081,+.012,-4.4,-4.0,-.044,+4.3,"('johnsam01', 'lowryky01', 'rosste01', 'vasqugr01')"
48,L. Aldridge | N. Batum | S. Blake | R. Lopez,POR,2014-15,26,91.3,169,173,89.9,-1.3,-4.8,+.010,+1.4,+11.7,-.134,+.020,+5.5,+6.8,+.068,+4.3,"('aldrila01', 'batumni01', 'blakest01', 'lopezro01')"
49,L. Aldridge | N. Batum | D. Lillard | R. Lopez,POR,2014-15,48,1044.1,2029,2039,93.5,-1.3,-4.5,+.008,+1.7,+6.2,-.025,+.019,+5.2,+4.3,+.091,+4.3,"('aldrila01', 'batumni01', 'lillada01', 'lopezro01')"
50,T. Ariza | P. Beverley | C. Brewer | T. Jones,HOU,2014-15,13,48.0,95,97,96.0,+5.0,-3.2,+.068,+7.5,-0.3,+.223,+.108,-13.2,-14.2,-.162,+4.3,"('arizatr01', 'beverpa01', 'breweco01', 'joneste01')"
51,M. Brown | C. Jefferson | J. Jordan | D. Morris,BRK,2014-15,10,57.3,119,116,98.4,0.0,+10.6,-.050,-1.0,-4.1,+.004,-0.062,+5.4,+5.3,+.047,+4.3,"('brownma02', 'jeffeco01', 'jordaje01', 'morrida01')"
52,J. Crawford | J. Farmar | S. Hawes | H. Türkoğlu,LAC,2014-15,14,84.9,163,164,92.4,+2.7,-3.2,+.048,+4.4,+6.9,+.057,+.076,-5.4,-11.5,+.150,+4.3,"('crawfja01', 'farmajo01', 'hawessp01', 'turkohe01')"
53,M. Dellavedova | L. James | S. Marion | T. Thompson,CLE,2014-15,21,84.2,155,160,89.8,+3.2,+4.1,+.015,+0.3,-3.6,+.068,+.014,-2.4,+1.6,-.116,+4.3,"('dellama01', 'jamesle01', 'mariosh01', 'thomptr01')"
54,K. Faried | D. Gallinari | T. Lawson | T. Mozgov,DEN,2014-15,11,63.1,115,118,88.6,+1.9,+2.3,+.010,+0.1,-0.3,+.011,+.010,+0.4,+0.6,.000,+4.3,"('farieke01', 'gallida01', 'lawsoty01', 'mozgoti01')"
55,B. Bass | A. Bradley | K. Olynyk | E. Turner,BOS,2014-15,31,106.1,218,210,96.8,+2.8,-5.6,+.061,-3.1,-4.2,-.069,+.046,+1.7,+1.0,+.041,+4.2,"('bassbr01', 'bradlav01', 'olynyke01', 'turneev01')"
56,L. James | K. Love | S. Marion | A. Varejão,CLE,2014-15,22,269.8,523,522,92.9,-1.2,-3.0,+.002,0.0,+0.3,-.006,+.004,+6.7,+8.0,+.018,+4.2,"('jamesle01', 'loveke01', 'mariosh01', 'varejan01')"
57,K. Bryant | E. Davis | R. Price | N. Young,LAL,2014-15,15,66.1,131,134,96.2,+1.7,+5.8,-.011,-5.0,-9.1,-.015,-0.043,+5.7,+0.6,+.200,+4.2,"('bryanko01', 'davised01', 'pricero01', 'youngni01')"
58,A. Goodwin | M. Morris | P. Tucker | B. Wright,PHO,2014-15,11,49.6,96,95,92.4,-1.4,-7.3,+.015,-1.1,-5.5,+.013,+.012,+8.2,+17.5,-.147,+4.2,"('goodwar01', 'morrima03', 'tuckepj01', 'wrighbr03')"
59,A. Johnson | J. Johnson | G. Vásquez | L. Williams,TOR,2014-15,23,67.4,129,135,94.0,-5.0,-11.8,+.004,+4.2,+7.4,+.073,+.033,+10.0,+13.4,+.026,+4.2,"('johnsam01', 'johnsja01', 'vasqugr01', 'willilo02')"
60,B. Biyombo | P. Hairston | G. Neal | B. Roberts,CHO,2014-15,11,48.0,96,95,95.5,-1.4,-0.9,-.012,+9.3,+14.3,+.116,+.041,-2.3,-3.4,+.014,+4.1,"('biyombi01', 'hairspj02', 'nealga01', 'roberbr01')"
61,D. Favors | G. Hayward | R. Hood | E. Kanter,UTA,2014-15,17,101.6,191,184,88.6,+0.6,+3.9,-.011,+2.9,+5.6,+.055,+.003,-0.1,-0.8,+.026,+4.1,"('favorde01', 'haywago01', 'hoodro01', 'kanteen01')"
62,A. Johnson | J. Johnson | K. Lowry | T. Ross,TOR,2014-15,26,156.0,293,306,92.1,+1.2,+5.9,-.014,+2.3,+5.0,+.028,-0.005,-0.7,-3.8,+.096,+4.1,"('johnsam01', 'johnsja01', 'lowryky01', 'rosste01')"
63,S. Adams | S. Ibaka | P. Jones | A. Roberson,OKC,2014-15,17,174.6,338,338,92.9,0.0,-8.9,+.044,-1.8,-5.9,+.012,+.038,+5.9,+7.4,+.013,+4.1,"('adamsst01', 'ibakase01', 'jonespe01', 'roberan03')"
66,L. Aldridge | C. Kaman | D. Lillard | C. McCollum,POR,2014-15,26,93.1,178,172,90.2,+1.4,+7.7,-.025,+5.4,+11.2,+.056,.000,-4.0,-4.7,-.011,+4.1,"('aldrila01', 'kamanch01', 'lillada01', 'mccolcj01')"
67,M. Bonner | T. Duncan | D. Green | C. Joseph,SAS,2014-15,23,121.0,227,220,88.6,+2.9,+1.2,+.026,-3.8,-0.7,-.160,+.004,+2.2,+6.1,-.110,+4.1,"('bonnema01', 'duncati01', 'greenda02', 'josepco01')"
68,D. Carroll | A. Horford | M. Scott | J. Teague,ATL,2014-15,31,62.1,122,120,93.6,+0.2,-0.6,+.005,-0.1,-1.3,+.008,+.005,+3.8,+2.1,+.082,+4.1,"('carrode01', 'horfoal01', 'scottmi01', 'teaguje01')"
69,A. Horford | P. Millsap | T. Sefolosha | J. Teague,ATL,2014-15,27,107.3,207,212,93.7,-0.4,-6.9,+.034,-0.2,-3.2,+.046,+.037,+5.1,+1.9,+.205,+4.1,"('horfoal01', 'millspa01', 'sefolth01', 'teaguje01')"
70,B. Beal | M. Gortat | P. Pierce | J. Wall,WAS,2014-15,55,1032.6,2034,2029,94.4,+3.7,+0.7,+.039,-0.1,-3.2,+.050,+.038,-3.2,-2.8,-.054,+4.0,"('bealbr01', 'gortama01', 'piercpa01', 'walljo01')"
71,A. Baynes | M. Belinelli | B. Diaw | D. Green,SAS,2014-15,15,49.5,99,101,96.9,+3.7,-2.4,+.058,+5.2,+9.4,+.088,+.090,-8.5,-8.5,-.049,+4.0,"('baynear01', 'belinma01', 'diawbo01', 'greenda02')"
72,B. Biyombo | G. Neal | K. Walker | M. Williams,CHO,2014-15,20,68.2,130,133,92.6,+2.4,+8.9,-.015,-1.3,-1.7,-.025,-0.027,+0.5,+1.5,-.017,+4.0,"('biyombi01', 'nealga01', 'walkeke02', 'willima02')"
73,A. Ajinça | T. Evans | E. Gordon | Q. Pondexter,NOP,2014-15,16,57.3,105,107,88.7,+2.7,+4.6,+.006,-1.7,-5.2,+.016,-0.006,+0.3,-6.2,+.187,+4.0,"('ajincal01', 'evansty01', 'gordoer01', 'pondequ01')"
74,T. Booker | T. Burke | R. Gobert | E. Millsap,UTA,2014-15,36,160.9,301,298,89.3,+0.6,-1.9,+.016,+0.9,+1.7,+.011,+.023,+1.9,+2.1,+.013,+4.0,"('booketr01', 'burketr01', 'goberru01', 'millsel01')"
75,A. Brooks | J. Butler | M. Dunleavy | P. Gasol,CHI,2014-15,27,278.9,531,518,90.3,-1.2,-4.8,+.010,+0.4,-1.3,+.039,+.014,+6.0,+8.5,-.006,+4.0,"('brookaa01', 'butleji01', 'dunlemi02', 'gasolpa01')"
76,D. Collison | D. Cousins | C. Landry | B. McLemore,SAC,2014-15,17,72.6,152,149,99.5,-4.0,-20.2,+.057,-4.1,-12.3,-.060,+.038,+16.1,+8.6,+.270,+4.0,"('collida01', 'couside01', 'landrca01', 'mclembe01')"
77,J. Crawford | S. Hawes | A. Rivers | H. Türkoğlu,LAC,2014-15,14,95.5,178,179,89.7,+3.0,+0.5,+.030,+0.1,+2.4,-.027,+.030,-2.1,-6.6,+.104,+4.0,"('crawfja01', 'hawessp01', 'riverau01', 'turkohe01')"
78,C. Hayes | J. Johnson | G. Vásquez | L. Williams,TOR,2014-15,14,78.2,151,151,92.7,+2.6,+9.3,-.023,-2.6,+6.0,-.179,-0.044,+1.3,+2.6,-.050,+4.0,"('hayesch01', 'johnsja01', 'vasqugr01', 'willilo02')"
79,K. Irving | L. James | M. Miller | T. Thompson,CLE,2014-15,13,54.1,117,106,99.0,-9.6,-24.1,+.007,-1.8,-2.7,-.032,+.013,+25.1,+29.0,+.039,+4.0,"('irvinky01', 'jamesle01', 'millemi01', 'thomptr01')"
80,C. Andersen | N. Cole | L. Deng | D. Wade,MIA,2014-15,14,85.9,158,159,88.6,+5.3,+5.0,+.034,-1.2,-1.7,-.020,+.023,-5.6,-8.0,+.004,+3.9,"('anderch01', 'coleno01', 'denglu01', 'wadedw01')"
81,B. Biyombo | G. Neal | B. Roberts | M. Williams,CHO,2014-15,20,93.6,178,178,91.3,+1.1,+0.6,+.010,+5.6,+12.9,+.019,+.040,-3.9,-3.4,-.062,+3.9,"('biyombi01', 'nealga01', 'roberbr01', 'willima02')"
