,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
25,P. Antić | K. Korver | T. Sefolosha | J. Teague,ATL,2014-15,16,67.3,140,127,95.3,+11.8,+6.0,+.105,+2.1,+6.5,-.007,+.114,+11.8,+12.0,+.144,+37.5,"('anticpe01', 'korveky01', 'sefolth01', 'teaguje01')"
26,S. Blake | J. Freeland | D. Lillard | W. Matthews,POR,2014-15,13,50.0,91,96,89.8,+11.9,+9.5,+.080,+12.2,+14.2,+.331,+.139,+0.9,+2.1,-.044,+36.8,"('blakest01', 'freeljo01', 'lillada01', 'matthwe02')"
27,L. James | I. Shumpert | J. Smith | T. Thompson,CLE,2014-15,16,70.1,128,144,93.1,+11.5,+4.5,+.107,+11.9,+17.8,+.154,+.170,+1.6,+3.0,-.029,+36.5,"('jamesle01', 'shumpim01', 'smithjr01', 'thomptr01')"
28,R. Butler | M. Gortat | K. Humphries | O. Porter,WAS,2014-15,24,68.6,137,139,96.6,+16.6,+2.8,+.161,-2.1,-14.2,+.078,+.149,+5.3,+7.6,+.011,+36.4,"('butlera01', 'gortama01', 'humphkr01', 'porteot01')"
29,M. Dellavedova | K. Love | I. Shumpert | T. Thompson,CLE,2014-15,21,58.1,108,112,90.9,+15.3,-0.2,+.163,+11.3,+6.6,+.288,+.223,-5.8,-2.9,-.173,+36.2,"('dellama01', 'loveke01', 'shumpim01', 'thomptr01')"
30,L. James | K. Love | I. Shumpert | T. Thompson,CLE,2014-15,24,68.8,136,136,94.8,+8.8,-11.8,+.171,+11.8,+8.8,+.267,+.250,+6.6,+7.4,+.036,+36.0,"('jamesle01', 'loveke01', 'shumpim01', 'thomptr01')"
31,B. Beal | N. Hilário | K. Séraphin | J. Wall,WAS,2014-15,25,69.9,139,132,93.0,+14.9,-9.3,+.242,+1.9,-6.4,+.164,+.258,+3.9,+5.0,+.006,+35.7,"('bealbr01', 'hilarne01', 'serapke01', 'walljo01')"
32,B. Beal | P. Pierce | K. Séraphin | J. Wall,WAS,2014-15,21,62.2,127,126,97.6,+15.5,+5.7,+.164,+0.7,-11.2,+.215,+.166,+3.8,-2.6,+.174,+35.5,"('bealbr01', 'piercpa01', 'serapke01', 'walljo01')"
33,J. Crowder | J. Jerebko | M. Smart | I. Thomas,BOS,2014-15,17,78.7,154,161,96.1,+12.5,+15.4,+.066,+12.6,+21.3,+.158,+.125,-2.2,-3.9,+.038,+35.4,"('crowdja01', 'jerebjo01', 'smartma01', 'thomais02')"
34,J. Butler | M. Dunleavy | K. Hinrich | N. Mirotić,CHI,2014-15,18,56.5,107,112,93.0,+7.1,-2.4,+.093,+5.8,+2.7,+.240,+.127,+14.8,+17.0,+.060,+34.8,"('butleji01', 'dunlemi02', 'hinriki01', 'mirotni01')"
35,A. Brooks | M. Dunleavy | T. Gibson | N. Mirotić,CHI,2014-15,11,48.9,92,92,90.4,+18.5,-1.1,+.219,+6.5,+8.7,+.115,+.258,-8.7,-6.5,-.119,+34.8,"('brookaa01', 'dunlemi02', 'gibsota01', 'mirotni01')"
36,N. Hilário | P. Pierce | K. Séraphin | J. Wall,WAS,2014-15,23,57.0,115,113,96.1,+16.9,+11.8,+.146,+2.5,-8.3,+.276,+.155,-2.2,-6.7,+.086,+34.1,"('hilarne01', 'piercpa01', 'serapke01', 'walljo01')"
37,M. Dunleavy | P. Gasol | D. Rose | T. Snell,CHI,2014-15,7,60.9,115,114,90.2,+12.7,+4.4,+.116,+3.4,-0.2,+.160,+.133,+5.1,-0.2,+.261,+34.0,"('dunlemi02', 'gasolpa01', 'rosede01', 'snellto01')"
38,J. Dudley | E. İlyasova | K. Middleton | Z. Pachulia,MIL,2014-15,8,51.4,97,97,90.6,+15.5,+18.6,+.076,+2.1,+7.2,-.020,+.079,+1.0,-5.2,+.241,+34.0,"('dudleja01', 'ilyaser01', 'middlkh01', 'pachuza01')"
39,S. Ibaka | R. Jackson | K. Perkins | R. Westbrook,OKC,2014-15,22,68.9,142,141,98.6,+13.2,+5.7,+.118,+4.2,-0.9,+.181,+.139,+3.4,+1.9,+.066,+33.9,"('ibakase01', 'jacksre01', 'perkike01', 'westbru01')"
40,S. Curry | A. Iguodala | D. Lee | M. Speights,GSW,2014-15,21,52.8,114,120,106.3,+14.8,+11.0,+.119,+1.4,+2.9,+.001,+.118,+2.8,+3.1,+.013,+33.9,"('curryst01', 'iguodan01', 'leeda02', 'speigma01')"
41,M. Barnes | J. Crawford | D. Jordan | J. Redick,LAC,2014-15,16,69.8,148,148,101.8,+8.8,-4.7,+.131,0.0,-4.1,+.039,+.134,+16.2,+23.0,+.028,+33.8,"('barnema02', 'crawfja01', 'jordade01', 'redicjj01')"
44,T. Booker | T. Burke | D. Favors | R. Hood,UTA,2014-15,31,115.5,210,217,88.7,+13.8,+7.5,+.125,+0.2,-2.5,+.042,+.122,+5.3,+1.4,+.154,+33.2,"('booketr01', 'burketr01', 'favorde01', 'hoodro01')"
45,L. Allen | C. Copeland | C. Miles | C. Watson,IND,2014-15,8,52.2,108,100,95.7,+19.6,+8.7,+.188,+3.3,+8.9,+.004,+.202,-9.5,-6.1,-.161,+33.0,"('allenla01', 'copelch01', 'milescj01', 'watsocj01')"
