,Team,Lg,Salary,Season,pid
0,Oklahoma City Thunder,NBA,< $Minimum,2017-18,1628408
1,Boston Celtics,NBA,< $Minimum,2018-19,1628408
2,Denver Nuggets,NBA,"$183,115",2019-20,1628408
3,(may be incomplete),,"$183,115",Career,1628408
4,Utah Jazz,NBA,"$4,133,280",2011-12,202683
5,Utah Jazz,NBA,"$4,443,360",2012-13,202683
6,Utah Jazz,NBA,"$4,505,280",2013-14,202683
7,Oklahoma City Thunder,NBA,"$5,694,674",2014-15,202683
8,Oklahoma City Thunder,NBA,"$16,400,000",2015-16,202683
9,Oklahoma City Thunder,NBA,"$17,145,838",2016-17,202683
10,New York Knicks,NBA,"$20,566,802",2017-18,202683
11,New York Knicks,NBA,"$18,622,514",2018-19,202683
12,Portland Trail Blazers,NBA,"$653,556",2018-19,202683
13,Boston Celtics,NBA,"$4,767,000",2019-20,202683
14,(may be incomplete),,"$96,932,304",Career,202683
15,Atlanta Hawks,NBA,"$2,500,000",2016-17,1627098
16,Atlanta Hawks,NBA,"$2,500,000",2017-18,1627098
17,(may be incomplete),,"$5,000,000",Career,1627098
18,Detroit Pistons,NBA,"$1,677,840",2009-10,201948
19,Detroit Pistons,NBA,"$1,803,720",2010-11,201948
20,Detroit Pistons,NBA,"$1,929,600",2011-12,201948
21,Memphis Grizzlies,NBA,"$2,958,077",2012-13,201948
22,Toronto Raptors,NBA,"$947,907",2013-14,201948
23,San Antonio Spurs,NBA,"$1,063,384",2014-15,201948
24,Atlanta Hawks,NBA,"$125,104",2014-15,201948
25,(may be incomplete),,"$10,505,632",Career,201948
26,New York Knicks,NBA,"$1,572,360",2015-16,1626170
27,Chicago Bulls,NBA,"$1,643,040",2016-17,1626170
28,Chicago Bulls,NBA,"$1,713,840",2017-18,1626170
29,Orlando Magic,NBA,"$2,639,314",2018-19,1626170
30,Washington Wizards,NBA,"$196,288",2019-20,1626170
31,(may be incomplete),,"$7,764,842",Career,1626170
32,Oklahoma City Thunder,NBA,"$2,126,520",2010-11,202332
33,Oklahoma City Thunder,NBA,"$2,286,000",2011-12,202332
34,Sacramento Kings,NBA,"$2,445,480",2012-13,202332
35,New York Knicks,NBA,"$981,084",2014-15,202332
36,Los Angeles Clippers,NBA,"$1,100,600",2015-16,202332
37,Minnesota Timberwolves,NBA,"$7,643,979",2016-17,202332
38,Minnesota Timberwolves,NBA,"$7,300,000",2017-18,202332
39,Minnesota Timberwolves,NBA,"$685,341",2018-19,202332
40,Minnesota Timberwolves,NBA,"$685,340",2019-20,202332
41,(may be incomplete),,"$25,254,344",Career,202332
42,Atlanta Hawks,NBA,< $Minimum,2017-18,1628510
43,(may be incomplete),,$0,Career,1628510
44,Utah Jazz,NBA,"$1,290,360",2014-15,203918
45,Utah Jazz,NBA,"$1,348,440",2015-16,203918
46,Utah Jazz,NBA,"$1,406,520",2016-17,203918
47,Cleveland Cavaliers,NBA,"$2,386,864",2017-18,203918
48,Portland Trail Blazers,NBA,"$3,472,888",2018-19,203918
49,Portland Trail Blazers,NBA,"$5,718,000",2019-20,203918
50,(may be incomplete),,"$15,623,072",Career,203918
51,Los Angeles Lakers,NBA,"$5,281,680",2016-17,1627742
52,Los Angeles Lakers,NBA,"$5,519,400",2017-18,1627742
53,Los Angeles Lakers,NBA,"$5,757,120",2018-19,1627742
54,New Orleans Pelicans,NBA,"$7,265,485",2019-20,1627742
55,(may be incomplete),,"$23,823,685",Career,1627742
56,Philadelphia 76ers,NBA,"$3,172,320",2013-14,203457
57,Philadelphia 76ers,NBA,"$3,315,120",2014-15,203457
58,Philadelphia 76ers,NBA,"$3,457,800",2015-16,203457
59,Dallas Mavericks,NBA,"$4,384,490",2016-17,203457
60,Dallas Mavericks,NBA,"$4,187,599",2017-18,203457
61,Oklahoma City Thunder,NBA,"$1,757,429",2018-19,203457
62,Oklahoma City Thunder,NBA,"$2,028,594",2019-20,203457
63,(may be incomplete),,"$22,303,352",Career,203457
64,Utah Jazz,NBA,"$241,731",2014-15,202407
65,Utah Jazz,NBA,"$362,878",2015-16,202407
66,Phoenix Suns,NBA,"$23,069",2016-17,202407
67,(may be incomplete),,"$627,678",Career,202407
68,Cleveland Cavaliers,NBA,"$1,682,280",1999-00,1889
69,Cleveland Cavaliers,NBA,"$1,808,400",2000-01,1889
70,Cleveland Cavaliers,NBA,"$1,934,520",2001-02,1889
71,Los Angeles Clippers,NBA,"$2,460,709",2002-03,1889
72,Denver Nuggets,NBA,"$8,000,000",2003-04,1889
73,Denver Nuggets,NBA,"$7,366,667",2004-05,1889
74,Denver Nuggets,NBA,"$8,100,000",2005-06,1889
75,Philadelphia 76ers,NBA,"$8,733,333",2006-07,1889
76,Philadelphia 76ers,NBA,"$9,366,666",2007-08,1889
77,Philadelphia 76ers,NBA,"$10,333,334",2008-09,1889
78,Portland Trail Blazers,NBA,"$6,730,800",2009-10,1889
79,Portland Trail Blazers,NBA,"$7,269,264",2010-11,1889
80,Denver Nuggets,NBA,"$7,807,728",2011-12,1889
81,Denver Nuggets,NBA,"$5,000,000",2012-13,1889
82,Denver Nuggets,NBA,"$5,000,000",2013-14,1889
83,Sacramento Kings,NBA,"$4,625,000",2014-15,1889
84,Minnesota Timberwolves,NBA,"$1,499,187",2015-16,1889
85,San Antonio Spurs,NBA,"$396,844",2015-16,1889
86,(may be incomplete),,"$98,114,732",Career,1889
87,New Jersey Nets,NBA,"$1,379,400",2001-02,2210
88,New Jersey Nets,NBA,"$1,482,840",2002-03,2210
89,New Jersey Nets,NBA,"$1,586,280",2003-04,2210
90,New Jersey Nets,NBA,"$2,266,794",2004-05,2210
91,New Jersey Nets,NBA,"$10,200,000",2005-06,2210
92,New Jersey Nets,NBA,"$11,200,000",2006-07,2210
93,New Jersey Nets,NBA,"$12,200,000",2007-08,2210
94,Milwaukee Bucks,NBA,"$13,200,000",2008-09,2210
95,San Antonio Spurs,NBA,"$14,200,000",2009-10,2210
96,San Antonio Spurs,NBA,"$8,400,000",2010-11,2210
97,San Antonio Spurs,NBA,"$9,282,000",2011-12,2210
98,Golden State Warriors,NBA,"$10,164,000",2012-13,2210
99,Utah Jazz,NBA,"$11,046,000",2013-14,2210
100,Dallas Mavericks,NBA,"$1,448,490",2014-15,2210
101,Cleveland Cavaliers,NBA,"$1,499,000",2015-16,2210
102,Cleveland Cavaliers,NBA,"$2,500,000",2016-17,2210
103,Atlanta Hawks,NBA,"$2,500,000",2017-18,2210
104,Denver Nuggets,NBA,"$1,454,756",2017-18,2210
105,(may be incomplete),,"$116,009,560",Career,2210
106,Charlotte Hornets,NBA,"$898,310",2019-20,1629667
107,(may be incomplete),,"$898,310",Career,1629667
108,Memphis Grizzlies,NBA,"$2,970,840",2001-02,2200
109,Memphis Grizzlies,NBA,"$3,193,680",2002-03,2200
110,Memphis Grizzlies,NBA,"$3,417,000",2003-04,2200
111,Memphis Grizzlies,NBA,"$4,318,481",2004-05,2200
112,Memphis Grizzlies,NBA,"$10,993,000",2005-06,2200
113,Memphis Grizzlies,NBA,"$12,364,000",2006-07,2200
114,Los Angeles Lakers,NBA,"$13,735,000",2007-08,2200
115,Los Angeles Lakers,NBA,"$15,106,000",2008-09,2200
116,Los Angeles Lakers,NBA,"$16,452,000",2009-10,2200
117,Los Angeles Lakers,NBA,"$17,823,000",2010-11,2200
118,Los Angeles Lakers,NBA,"$18,714,150",2011-12,2200
119,Los Angeles Lakers,NBA,"$19,000,000",2012-13,2200
120,Los Angeles Lakers,NBA,"$19,285,850",2013-14,2200
121,Chicago Bulls,NBA,"$7,128,000",2014-15,2200
122,Chicago Bulls,NBA,"$7,448,760",2015-16,2200
123,San Antonio Spurs,NBA,"$15,500,000",2016-17,2200
124,San Antonio Spurs,NBA,"$16,000,000",2017-18,2200
125,San Antonio Spurs,NBA,"$15,925,144",2018-19,2200
126,Milwaukee Bucks,NBA,"$527,467",2018-19,2200
127,San Antonio Spurs,NBA,"$5,074,856",2019-20,2200
128,Portland Trail Blazers,NBA,"$463,684",2019-20,2200
129,(may be incomplete),,"$225,440,912",Career,2200
130,Sacramento Kings,NBA,"$872,040",2004-05,2755
131,Sacramento Kings,NBA,"$937,440",2005-06,2755
132,Sacramento Kings,NBA,"$1,002,840",2006-07,2755
133,Sacramento Kings,NBA,"$1,808,121",2007-08,2755
134,Sacramento Kings,NBA,"$8,760,335",2008-09,2755
135,Houston Rockets,NBA,"$10,180,170",2009-10,2755
136,Houston Rockets,NBA,"$11,100,005",2010-11,2755
137,Houston Rockets,NBA,"$11,519,840",2011-12,2755
138,Oklahoma City Thunder,NBA,"$12,439,675",2012-13,2755
139,Minnesota Timberwolves,NBA,"$6,500,000",2013-14,2755
140,Minnesota Timberwolves,NBA,"$6,792,500",2014-15,2755
141,Minnesota Timberwolves,NBA,"$7,085,000",2015-16,2755
142,San Antonio Spurs,NBA,"$317,475",2015-16,2755
143,Minnesota Timberwolves,NBA,"$1,360,305",2016-17,2755
144,Minnesota Timberwolves,NBA,"$1,360,305",2017-18,2755
145,Minnesota Timberwolves,NBA,"$1,360,304",2018-19,2755
146,(may be incomplete),,"$83,396,355",Career,2755
147,Chicago Bulls,NBA,"$898,310",2019-20,1629655
148,(may be incomplete),,"$898,310",Career,1629655
149,Washington Wizards,NBA,"$473,604",2011-12,202714
150,Philadelphia 76ers,NBA,"$89,670",2012-13,202714
151,Washington Wizards,NBA,"$67,253",2012-13,202714
152,Atlanta Hawks,NBA,"$884,293",2013-14,202714
153,Atlanta Hawks,NBA,"$2,433,333",2014-15,202714
154,Utah Jazz,NBA,"$2,433,333",2015-16,202714
155,Utah Jazz,NBA,"$2,433,334",2016-17,202714
156,Orlando Magic,NBA,"$6,000,000",2017-18,202714
157,Charlotte Hornets,NBA,"$2,029,463",2018-19,202714
158,Orlando Magic,NBA,"$1,000,000",2018-19,202714
159,(may be incomplete),,"$17,844,283",Career,202714
160,Atlanta Hawks,NBA,"$7,068,360",2019-20,1629631
161,(may be incomplete),,"$7,068,360",Career,1629631
162,New York Knicks,NBA,"$1,485,440",2018-19,1629011
163,New York Knicks,NBA,"$1,559,712",2019-20,1629011
164,(may be incomplete),,"$3,045,152",Career,1629011
165,Phoenix Suns,NBA,"$2,941,440",2016-17,1627737
166,Phoenix Suns,NBA,"$3,073,800",2017-18,1627737
167,Cleveland Cavaliers,NBA,"$3,206,160",2018-19,1627737
168,Golden State Warriors,NBA,"$1,413,272",2019-20,1627737
169,(may be incomplete),,"$10,634,672",Career,1627737
170,Sacramento Kings,NBA,< $Minimum,2019-20,1629610
171,(may be incomplete),,$0,Career,1629610
172,New York Knicks,NBA,"$1,102,680",2005-06,101126
173,New York Knicks,NBA,"$1,185,480",2006-07,101126
174,New York Knicks,NBA,"$1,268,160",2007-08,101126
175,New York Knicks,NBA,"$2,020,179",2008-09,101126
176,Boston Celtics,NBA,"$4,000,000",2009-10,101126
177,Oklahoma City Thunder,NBA,"$4,200,000",2010-11,101126
178,Oklahoma City Thunder,NBA,"$4,500,000",2011-12,101126
179,Golden State Warriors,NBA,"$983,307",2011-12,101126
180,Chicago Bulls,NBA,"$1,146,337",2012-13,101126
181,Denver Nuggets,NBA,"$2,016,000",2013-14,101126
182,Boston Celtics,NBA,"$2,106,720",2014-15,101126
183,Los Angeles Clippers,NBA,"$154,918",2014-15,101126
184,New Orleans Pelicans,NBA,"$44,000",2015-16,101126
185,(may be incomplete),,"$24,727,781",Career,101126
186,Philadelphia 76ers,NBA,"$105,696",2006-07,200811
187,Sacramento Kings,NBA,"$75,000",2006-07,200811
188,Utah Jazz,NBA,"$35,232",2006-07,200811
189,Philadelphia 76ers,NBA,"$687,456",2007-08,200811
190,Phoenix Suns,NBA,"$797,581",2008-09,200811
191,Phoenix Suns,NBA,"$855,189",2009-10,200811
192,Golden State Warriors,NBA,"$2,225,000",2010-11,200811
193,Indiana Pacers,NBA,"$2,403,000",2011-12,200811
194,Minnesota Timberwolves,NBA,"$1,069,509",2012-13,200811
195,New York Knicks,NBA,"$409,167",2014-15,200811
196,New York Knicks,NBA,"$1,650,000",2015-16,200811
197,New York Knicks,NBA,"$1,551,659",2016-17,200811
198,(may be incomplete),,"$11,864,489",Career,200811
199,Los Angeles Clippers,NBA,"$3,375,360",2018-19,1628983
200,Oklahoma City Thunder,NBA,"$3,952,920",2019-20,1628983
201,(may be incomplete),,"$7,328,280",Career,1628983
202,Portland Trail Blazers,NBA,"$457,588",2009-10,201988
203,Portland Trail Blazers,NBA,"$937,195",2010-11,201988
204,San Antonio Spurs,NBA,"$1,085,120",2012-13,201988
205,San Antonio Spurs,NBA,"$1,133,950",2013-14,201988
206,San Antonio Spurs,NBA,"$3,842,105",2014-15,201988
207,San Antonio Spurs,NBA,"$3,578,947",2015-16,201988
208,San Antonio Spurs,NBA,"$3,578,948",2016-17,201988
209,San Antonio Spurs,NBA,"$10,714,286",2017-18,201988
210,San Antonio Spurs,NBA,"$11,571,429",2018-19,201988
211,San Antonio Spurs,NBA,"$12,428,571",2019-20,201988
212,(may be incomplete),,"$49,328,139",Career,201988
213,New Orleans/Oklahoma City Hornets,NBA,"$398,762",2005-06,101138
214,New Orleans/Oklahoma City Hornets,NBA,"$664,209",2006-07,101138
215,Dallas Mavericks,NBA,"$770,610",2007-08,101138
216,Dallas Mavericks,NBA,"$826,269",2008-09,101138
217,Orlando Magic,NBA,"$4,000,000",2009-10,101138
218,Orlando Magic,NBA,"$4,000,000",2010-11,101138
219,Boston Celtics,NBA,"$4,250,000",2011-12,101138
220,Boston Celtics,NBA,"$6,000,000",2012-13,101138
221,Boston Celtics,NBA,"$6,450,000",2013-14,101138
222,Boston Celtics,NBA,"$6,900,000",2014-15,101138
223,Los Angeles Lakers,NBA,"$3,000,000",2015-16,101138
224,Los Angeles Clippers,NBA,"$1,551,659",2016-17,101138
225,(may be incomplete),,"$38,811,509",Career,101138
226,Philadelphia 76ers,NBA,"$1,914,480",2004-05,2738
227,Philadelphia 76ers,NBA,"$2,058,000",2005-06,2738
228,Philadelphia 76ers,NBA,"$2,201,640",2006-07,2738
229,Philadelphia 76ers,NBA,"$2,804,889",2007-08,2738
230,Philadelphia 76ers,NBA,"$11,300,000",2008-09,2738
231,Philadelphia 76ers,NBA,"$12,200,000",2009-10,2738
232,Philadelphia 76ers,NBA,"$12,345,250",2010-11,2738
233,Philadelphia 76ers,NBA,"$13,531,750",2011-12,2738
234,Denver Nuggets,NBA,"$14,968,250",2012-13,2738
235,Golden State Warriors,NBA,"$12,868,632",2013-14,2738
236,Golden State Warriors,NBA,"$12,289,544",2014-15,2738
237,Golden State Warriors,NBA,"$11,710,456",2015-16,2738
238,Golden State Warriors,NBA,"$11,131,368",2016-17,2738
239,Golden State Warriors,NBA,"$14,814,815",2017-18,2738
240,Golden State Warriors,NBA,"$16,000,000",2018-19,2738
241,Miami Heat,NBA,"$17,185,185",2019-20,2738
242,(may be incomplete),,"$169,324,259",Career,2738
243,Philadelphia 76ers,NBA,"$50,000",2016-17,202091
244,(may be incomplete),,"$50,000",Career,202091
245,Philadelphia 76ers,NBA,"$1,542,600",2008-09,201578
246,Philadelphia 76ers,NBA,"$1,658,280",2009-10,201578
247,Philadelphia 76ers,NBA,"$1,773,960",2010-11,201578
248,Memphis Grizzlies,NBA,"$2,721,255",2011-12,201578
249,Cleveland Cavaliers,NBA,"$4,200,000",2012-13,201578
250,Golden State Warriors,NBA,"$3,500,000",2013-14,201578
251,Golden State Warriors,NBA,"$3,657,500",2014-15,201578
252,Golden State Warriors,NBA,"$3,815,000",2015-16,201578
253,Los Angeles Clippers,NBA,"$1,403,611",2016-17,201578
254,Orlando Magic,NBA,"$1,471,382",2017-18,201578
255,(may be incomplete),,"$25,743,588",Career,201578
256,Indiana Pacers,NBA,"$457,588",2009-10,201985
257,Indiana Pacers,NBA,"$762,195",2010-11,201985
258,Indiana Pacers,NBA,"$854,389",2011-12,201985
259,Washington Wizards,NBA,"$885,120",2012-13,201985
260,Phoenix Suns,NBA,"$62,552",2014-15,201985
261,(may be incomplete),,"$3,021,844",Career,201985
262,Los Angeles Lakers,NBA,"$13,824",2017-18,201281
263,Los Angeles Lakers,NBA,"$76,236",2018-19,201281
264,(may be incomplete),,"$90,060",Career,201281
265,Dallas Mavericks,NBA,"$1,230,000",2018-19,1628973
266,Dallas Mavericks,NBA,"$1,416,852",2019-20,1628973
267,(may be incomplete),,"$2,646,852",Career,1628973
268,Utah Jazz,NBA,"$2,074,320",2018-19,1628960
269,Memphis Grizzlies,NBA,"$2,429,400",2019-20,1628960
270,(may be incomplete),,"$4,503,720",Career,1628960
271,Philadelphia 76ers,NBA,"$650,000",2009-10,201975
272,Philadelphia 76ers,NBA,"$762,195",2010-11,201975
273,Philadelphia 76ers,NBA,"$854,389",2011-12,201975
274,Los Angeles Lakers,NBA,"$1,500,000",2012-13,201975
275,Los Angeles Lakers,NBA,"$1,550,000",2013-14,201975
276,Detroit Pistons,NBA,"$6,000,000",2014-15,201975
277,Detroit Pistons,NBA,"$6,270,000",2015-16,201975
278,Orlando Magic,NBA,"$6,540,000",2016-17,201975
279,Washington Wizards,NBA,"$3,290,000",2017-18,201975
280,Milwaukee Bucks,NBA,"$3,454,500",2018-19,201975
281,Toronto Raptors,NBA,"$319,677",2018-19,201975
282,(may be incomplete),,"$31,190,761",Career,201975
283,San Antonio Spurs,NBA,"$187,248",2008-09,201229
284,New Orleans Hornets,NBA,"$26,007",2008-09,201229
285,Golden State Warriors,NBA,"$359,546",2009-10,201229
286,Portland Trail Blazers,NBA,"$51,983",2009-10,201229
287,Minnesota Timberwolves,NBA,"$2,200,000",2010-11,201229
288,Minnesota Timberwolves,NBA,"$2,050,000",2011-12,201229
289,Atlanta Hawks,NBA,"$915,852",2012-13,201229
290,Charlotte Bobcats,NBA,"$1,027,424",2013-14,201229
291,Detroit Pistons,NBA,"$3,000,000",2014-15,201229
292,Detroit Pistons,NBA,"$3,000,000",2015-16,201229
293,Sacramento Kings,NBA,"$8,000,000",2016-17,201229
294,Detroit Pistons,NBA,"$3,290,000",2017-18,201229
295,Sacramento Kings,NBA,"$2,000,000",2017-18,201229
296,Minnesota Timberwolves,NBA,"$5,750,000",2018-19,201229
297,Sacramento Kings,NBA,"$2,419,852",2019-20,201229
298,Memphis Grizzlies,NBA,"$434,704",2019-20,201229
299,(may be incomplete),,"$34,712,616",Career,201229
300,New York Knicks,NBA,"$473,604",2012-13,203142
301,Indiana Pacers,NBA,"$3,000,000",2013-14,203142
302,Indiana Pacers,NBA,"$3,135,000",2014-15,203142
303,Orlando Magic,NBA,"$1,100,000",2015-16,203142
304,(may be incomplete),,"$7,708,604",Career,203142
305,Golden State Warriors,NBA,"$473,604",2012-13,203145
306,Golden State Warriors,NBA,"$788,872",2013-14,203145
307,Atlanta Hawks,NBA,"$2,000,000",2014-15,203145
308,Atlanta Hawks,NBA,"$2,000,000",2015-16,203145
309,Atlanta Hawks,NBA,"$15,730,338",2016-17,203145
310,Atlanta Hawks,NBA,"$16,910,113",2017-18,203145
311,Atlanta Hawks,NBA,"$18,089,887",2018-19,203145
312,Sacramento Kings,NBA,"$19,269,662",2019-20,203145
313,(may be incomplete),,"$75,262,476",Career,203145
314,Denver Nuggets,NBA,"$838,464",2018-19,1629020
315,Minnesota Timberwolves,NBA,"$1,416,852",2019-20,1629020
316,(may be incomplete),,"$2,255,316",Career,1629020
317,Philadelphia 76ers,NBA,"$1,690,000",2018-19,1628413
318,Philadelphia 76ers,NBA,"$1,698,450",2019-20,1628413
319,Phoenix Suns,NBA,"$81,678",2019-20,1628413
320,(may be incomplete),,"$3,470,128",Career,1628413
321,Houston Rockets,NBA,"$1,823,280",2011-12,202694
322,Phoenix Suns,NBA,"$1,959,960",2012-13,202694
323,Phoenix Suns,NBA,"$1,987,320",2013-14,202694
324,Phoenix Suns,NBA,"$2,943,221",2014-15,202694
325,Detroit Pistons,NBA,"$5,000,000",2015-16,202694
326,Detroit Pistons,NBA,"$4,625,000",2016-17,202694
327,Boston Celtics,NBA,"$5,000,000",2017-18,202694
328,Boston Celtics,NBA,"$5,375,000",2018-19,202694
329,Los Angeles Clippers,NBA,"$15,000,000",2019-20,202694
330,(may be incomplete),,"$43,713,781",Career,202694
331,Portland Trail Blazers,NBA,"$827,000",1996-97,979
332,Portland Trail Blazers,NBA,"$950,640",1997-98,979
333,Portland Trail Blazers,NBA,"$1,075,000",1998-99,979
334,Portland Trail Blazers,NBA,"$5,075,000",1999-00,979
335,Indiana Pacers,NBA,"$5,710,000",2000-01,979
336,Indiana Pacers,NBA,"$6,325,000",2001-02,979
337,Indiana Pacers,NBA,"$6,900,000",2002-03,979
338,Indiana Pacers,NBA,"$13,152,000",2003-04,979
339,Indiana Pacers,NBA,"$14,796,000",2004-05,979
340,Indiana Pacers,NBA,"$16,440,000",2005-06,979
341,Indiana Pacers,NBA,"$18,084,000",2006-07,979
342,Indiana Pacers,NBA,"$19,728,000",2007-08,979
343,Miami Heat,NBA,"$21,372,000",2008-09,979
344,Miami Heat,NBA,"$23,016,000",2009-10,979
345,Boston Celtics,NBA,"$5,765,000",2010-11,979
346,Boston Celtics,NBA,"$6,226,200",2011-12,979
347,Phoenix Suns,NBA,"$1,352,181",2012-13,979
348,Golden State Warriors,NBA,"$2,000,000",2013-14,979
349,(may be incomplete),,"$168,794,021",Career,979
350,Toronto Raptors,NBA,"$25,000",2014-15,203805
351,(may be incomplete),,"$25,000",Career,203805
352,San Antonio Spurs,NBA,"$2,357,160",2018-19,1629022
353,San Antonio Spurs,NBA,"$2,760,480",2019-20,1629022
354,(may be incomplete),,"$5,117,640",Career,1629022
355,Phoenix Suns,NBA,"$816,482",2014-15,203502
356,(may be incomplete),,"$816,482",Career,203502
357,Philadelphia 76ers,NBA,"$771,480",2001-02,2223
358,Philadelphia 76ers,NBA,"$691,100",2002-03,2223
359,Philadelphia 76ers,NBA,"$887,160",2003-04,2223
360,Philadelphia 76ers,NBA,"$1,599,549",2004-05,2223
361,Philadelphia 76ers,NBA,"$8,470,000",2005-06,2223
362,Philadelphia 76ers,NBA,"$9,464,307",2006-07,2223
363,Philadelphia 76ers,NBA,"$10,250,000",2007-08,2223
364,Philadelphia 76ers,NBA,"$11,238,564",2008-09,2223
365,Philadelphia 76ers,NBA,"$12,025,694",2009-10,2223
366,Sacramento Kings,NBA,"$13,428,129",2010-11,2223
367,Houston Rockets,NBA,"$7,000,000",2011-12,2223
368,Milwaukee Bucks,NBA,"$6,698,565",2012-13,2223
369,Dallas Mavericks,NBA,"$3,700,748",2013-14,2223
370,New York Knicks,NBA,"$3,867,282",2014-15,2223
371,Dallas Mavericks,NBA,"$1,499,187",2015-16,2223
372,(may be incomplete),,"$91,591,765",Career,2223
373,Miami Heat,NBA,"$2,636,400",2003-04,2548
374,Miami Heat,NBA,"$2,834,160",2004-05,2548
375,Miami Heat,NBA,"$3,031,920",2005-06,2548
376,Miami Heat,NBA,"$3,841,443",2006-07,2548
377,Miami Heat,NBA,"$13,041,250",2007-08,2548
378,Miami Heat,NBA,"$14,410,581",2008-09,2548
379,Miami Heat,NBA,"$15,779,912",2009-10,2548
380,Miami Heat,NBA,"$14,200,000",2010-11,2548
381,Miami Heat,NBA,"$15,691,000",2011-12,2548
382,Miami Heat,NBA,"$17,182,000",2012-13,2548
383,Miami Heat,NBA,"$18,673,000",2013-14,2548
384,Miami Heat,NBA,"$15,000,000",2014-15,2548
385,Miami Heat,NBA,"$20,000,000",2015-16,2548
386,Chicago Bulls,NBA,"$23,200,000",2016-17,2548
387,Chicago Bulls,NBA,"$15,550,000",2017-18,2548
388,Miami Heat,NBA,"$1,471,382",2017-18,2548
389,Miami Heat,NBA,"$2,393,887",2018-19,2548
390,(may be incomplete),,"$198,936,935",Career,2548
391,Miami Heat,NBA,"$1,238,640",2014-15,203894
392,Orlando Magic,NBA,"$1,294,440",2015-16,203894
393,Portland Trail Blazers,NBA,"$1,350,120",2016-17,203894
394,Portland Trail Blazers,NBA,"$2,361,360",2017-18,203894
395,Brooklyn Nets,NBA,"$1,942,422",2018-19,203894
396,Washington Wizards,NBA,"$1,845,301",2019-20,203894
397,(may be incomplete),,"$10,032,283",Career,203894
398,Philadelphia 76ers,NBA,"$1,050,000",2015-16,1626158
399,Philadelphia 76ers,NBA,"$1,025,831",2016-17,1626158
400,Philadelphia 76ers,NBA,"$1,471,382",2017-18,1626158
401,Phoenix Suns,NBA,"$1,600,520",2018-19,1626158
402,Sacramento Kings,NBA,"$4,767,000",2019-20,1626158
403,(may be incomplete),,"$9,914,733",Career,1626158
404,Portland Trail Blazers,NBA,"$1,300,000",2012-13,201964
405,Portland Trail Blazers,NBA,"$1,330,000",2013-14,201964
406,Denver Nuggets,NBA,"$1,370,000",2014-15,201964
407,(may be incomplete),,"$4,000,000",Career,201964
408,Chicago Bulls,NBA,"$1,721,000",2010-11,201600
409,Chicago Bulls,NBA,"$1,857,500",2011-12,201600
410,Houston Rockets,NBA,"$8,374,646",2012-13,201600
411,Houston Rockets,NBA,"$8,374,646",2013-14,201600
412,New Orleans Pelicans,NBA,"$8,374,646",2014-15,201600
413,New Orleans Pelicans,NBA,"$11,000,000",2015-16,201600
414,New Orleans Pelicans,NBA,"$9,904,494",2016-17,201600
415,Chicago Bulls,NBA,"$10,595,505",2017-18,201600
416,Chicago Bulls,NBA,"$11,286,516",2018-19,201600
417,Chicago Bulls,NBA,"$3,000,000",2019-20,201600
418,(may be incomplete),,"$74,488,953",Career,201600
419,Philadelphia 76ers,NBA,"$1,719,480",2013-14,203091
420,(may be incomplete),,"$1,719,480",Career,203091
421,Toronto Raptors,NBA,"$898,310",2019-20,1629056
422,(may be incomplete),,"$898,310",Career,1629056
423,Houston Rockets,NBA,"$664,209",2006-07,101236
424,Houston Rockets,NBA,"$1,750,000",2007-08,101236
425,Houston Rockets,NBA,"$1,768,000",2008-09,101236
426,Houston Rockets,NBA,"$2,111,750",2009-10,101236
427,Houston Rockets,NBA,"$1,972,500",2010-11,101236
428,Sacramento Kings,NBA,"$5,250,000",2011-12,101236
429,Sacramento Kings,NBA,"$5,486,250",2012-13,101236
430,Sacramento Kings,NBA,"$5,722,500",2013-14,101236
431,Toronto Raptors,NBA,"$5,958,750",2014-15,101236
432,Houston Rockets,NBA,"$83,583",2015-16,101236
433,(may be incomplete),,"$30,767,542",Career,101236
434,Sacramento Kings,NBA,"$1,893,840",2008-09,201574
435,Sacramento Kings,NBA,"$2,035,920",2009-10,201574
436,Sacramento Kings,NBA,"$2,178,000",2010-11,201574
437,Sacramento Kings,NBA,"$3,001,284",2011-12,201574
438,Sacramento Kings,NBA,"$5,250,000",2012-13,201574
439,Sacramento Kings,NBA,"$5,643,750",2013-14,201574
440,Sacramento Kings,NBA,"$6,037,500",2014-15,201574
441,Golden State Warriors,NBA,"$6,431,250",2015-16,201574
442,Toronto Raptors,NBA,"$328,955",2015-16,201574
443,Golden State Warriors,NBA,"$945,126",2016-17,201574
444,Golden State Warriors,NBA,"$945,126",2017-18,201574
445,Golden State Warriors,NBA,"$945,126",2018-19,201574
446,(may be incomplete),,"$35,635,877",Career,201574
447,New York Knicks,NBA,"$2,873,520",2008-09,201568
448,New York Knicks,NBA,"$3,089,040",2009-10,201568
449,Denver Nuggets,NBA,"$3,304,560",2010-11,201568
450,Denver Nuggets,NBA,"$4,190,182",2011-12,201568
451,Denver Nuggets,NBA,"$9,439,000",2012-13,201568
452,Denver Nuggets,NBA,"$10,146,925",2013-14,201568
453,Denver Nuggets,NBA,"$10,854,850",2014-15,201568
454,Denver Nuggets,NBA,"$14,000,000",2015-16,201568
455,Denver Nuggets,NBA,"$15,050,000",2016-17,201568
456,Los Angeles Clippers,NBA,"$20,559,599",2017-18,201568
457,Los Angeles Clippers,NBA,"$21,587,579",2018-19,201568
