,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
27,A. Horford | K. Korver | T. Sefolosha,ATL,2014-15,44,267.8,510,509,91.3,+11.1,+3.2,+.108,+3.7,-1.2,+.149,+.127,-0.2,-3.6,+.124,+25.7,"('horfoal01', 'korveky01', 'sefolth01')"
28,J. Dudley | K. Marshall | K. Middleton,MIL,2014-15,15,105.4,198,201,90.8,+11.6,+1.8,+.123,+4.7,-0.6,+.192,+.148,-2.3,-6.8,+.155,+25.6,"('dudleja01', 'marshke01', 'middlkh01')"
29,H. Barnes | S. Curry | A. Iguodala,GSW,2014-15,64,331.4,700,707,101.9,+8.5,0.0,+.098,+5.5,+5.0,+.137,+.129,+3.1,+5.4,-.034,+25.5,"('barneha02', 'curryst01', 'iguodan01')"
30,L. Barbosa | A. Bogut | S. Curry,GSW,2014-15,31,108.6,222,213,96.1,+11.2,+7.8,+.085,+6.4,+8.5,+.100,+.115,-3.8,-2.2,-.114,+25.4,"('barbole01', 'bogutan01', 'curryst01')"
31,M. Leonard | R. Lopez | C. McCollum,POR,2014-15,16,127.5,248,251,93.9,+9.7,+0.3,+.101,+7.0,+13.6,+.048,+.137,-1.0,-5.4,+.176,+25.3,"('leoname01', 'lopezro01', 'mccolcj01')"
32,A. Baynes | C. Joseph | K. Leonard,SAS,2014-15,31,150.0,291,302,94.9,+11.6,+4.8,+.110,+0.3,+2.1,-.024,+.109,+1.6,+1.1,+.036,+25.0,"('baynear01', 'josepco01', 'leonaka01')"
33,M. Dellavedova | K. Love | I. Shumpert,CLE,2014-15,23,104.2,189,195,88.4,+10.7,-1.8,+.124,+10.2,+4.0,+.310,+.180,-6.7,-2.4,-.208,+24.9,"('dellama01', 'loveke01', 'shumpim01')"
34,B. Diaw | C. Joseph | T. Splitter,SAS,2014-15,22,99.2,190,187,91.2,+8.4,+3.3,+.076,+5.2,+3.4,+.182,+.103,+2.9,+4.4,-.006,+24.9,"('diawbo01', 'josepco01', 'splitti01')"
35,A. Bogut | S. Curry | A. Iguodala,GSW,2014-15,61,367.7,750,750,97.9,+10.8,+8.1,+.083,+7.9,+11.3,+.133,+.122,-4.7,-6.0,+.013,+24.9,"('bogutan01', 'curryst01', 'iguodan01')"
36,E. Fournier | B. Gordon | E. Payton,ORL,2014-15,24,118.0,223,232,92.6,+8.7,-3.5,+.117,+9.6,+3.6,+.342,+.173,-2.0,-2.5,-.010,+24.9,"('fournev01', 'gordobe01', 'paytoel01')"
37,M. Ellis | J. Nelson | B. Wright,DAL,2014-15,19,124.6,250,247,95.8,+8.4,-2.6,+.113,+1.9,-0.3,+.070,+.127,+6.2,+2.9,+.164,+24.8,"('ellismo01', 'nelsoja01', 'wrighbr03')"
38,J. Jerebko | M. Smart | I. Thomas,BOS,2014-15,19,125.9,242,243,92.4,+8.0,+12.8,+.028,+10.4,+20.8,+.107,+.076,-1.6,-4.0,+.059,+24.8,"('jerebjo01', 'smartma01', 'thomais02')"
39,T. Booker | R. Hood | E. Millsap,UTA,2014-15,21,113.2,216,211,90.5,+10.0,+3.2,+.102,+5.0,-1.5,+.233,+.129,-0.4,+0.3,-.025,+24.4,"('booketr01', 'hoodro01', 'millsel01')"
40,J. Butler | M. Dunleavy | N. Mirotić,CHI,2014-15,29,178.4,341,340,91.6,+2.8,-5.5,+.058,+6.1,+9.3,+.125,+.095,+12.6,+16.4,+.032,+24.4,"('butleji01', 'dunlemi02', 'mirotni01')"
41,K. Korver | D. Schröder | T. Sefolosha,ATL,2014-15,35,171.4,333,323,91.9,+11.6,+4.9,+.108,+3.3,-2.8,+.142,+.124,-2.3,-5.5,+.113,+24.3,"('korveky01', 'schrode01', 'sefolth01')"
44,H. Barnes | S. Curry | S. Livingston,GSW,2014-15,35,119.6,249,241,98.3,+7.7,-6.1,+.122,+4.2,0.0,+.165,+.151,+4.6,+6.5,-.020,+24.2,"('barneha02', 'curryst01', 'livinsh01')"
45,P. Antić | T. Sefolosha | J. Teague,ATL,2014-15,28,140.0,281,283,96.7,+7.4,+2.4,+.075,+1.5,+6.9,-.040,+.082,+7.9,+8.0,+.081,+24.1,"('anticpe01', 'sefolth01', 'teaguje01')"
46,B. Diaw | M. Ginóbili | C. Joseph,SAS,2014-15,49,349.9,688,680,93.8,+7.3,+7.3,+.045,+4.4,+7.0,+.087,+.067,+4.9,+2.8,+.138,+23.9,"('diawbo01', 'ginobma01', 'josepco01')"
47,J. Dudley | K. Middleton | Z. Pachulia,MIL,2014-15,50,323.8,643,625,94.0,+8.8,+5.1,+.076,+2.9,-2.3,+.155,+.090,+3.2,+2.3,+.070,+23.8,"('dudleja01', 'middlkh01', 'pachuza01')"
48,L. James | T. Mozgov | I. Shumpert,CLE,2014-15,28,127.3,249,247,93.5,+8.5,-6.0,+.125,+4.8,+6.2,+.087,+.156,+1.9,+4.7,-.082,+23.7,"('jamesle01', 'mozgoti01', 'shumpim01')"
49,L. James | I. Shumpert | T. Thompson,CLE,2014-15,34,338.6,638,643,90.8,+4.4,-1.7,+.059,+9.0,+12.3,+.156,+.111,+5.9,+7.5,+.014,+23.7,"('jamesle01', 'shumpim01', 'thomptr01')"
50,K. Korver | M. Scott | J. Teague,ATL,2014-15,47,150.2,308,287,95.1,+11.9,-4.3,+.154,+4.9,-2.2,+.187,+.185,-4.9,-7.7,+.040,+23.7,"('korveky01', 'scottmi01', 'teaguje01')"
51,A. Brooks | J. Butler | D. Rose,CHI,2014-15,20,120.0,250,241,98.2,+7.6,-0.7,+.093,+3.8,+4.1,+.105,+.116,+4.7,+5.3,+.008,+23.6,"('brookaa01', 'butleji01', 'rosede01')"
52,A. Aminu | J. Barea | T. Chandler,DAL,2014-15,42,162.9,319,326,95.0,+8.9,+4.7,+.078,+1.1,+2.5,+.010,+.082,+4.7,+3.9,+.083,+23.6,"('aminual01', 'bareajo01', 'chandty01')"
53,J. Harden | D. Howard | T. Jones,HOU,2014-15,10,148.7,291,292,94.1,+2.9,-11.7,+.099,+8.3,+7.6,+.247,+.154,+9.0,+9.7,+.067,+23.0,"('hardeja01', 'howardw01', 'joneste01')"
54,P. Antić | K. Korver | T. Sefolosha,ATL,2014-15,28,129.8,263,251,95.1,+9.5,+6.6,+.077,+0.4,+3.4,-.023,+.076,+3.5,+2.5,+.071,+22.9,"('anticpe01', 'korveky01', 'sefolth01')"
55,T. Allen | N. Calathes | K. Koufos,MEM,2014-15,27,220.8,421,428,92.3,+10.2,+10.2,+.069,-0.4,-6.8,+.089,+.064,+2.6,+4.4,-.017,+22.7,"('allento01', 'calatni01', 'koufoko01')"
56,A. Baynes | M. Ginóbili | P. Mills,SAS,2014-15,24,169.3,350,342,98.1,+9.3,+6.4,+.079,+6.7,+12.5,+.107,+.116,-2.8,-6.1,+.067,+22.6,"('baynear01', 'ginobma01', 'millspa02')"
57,D. Exum | G. Hayward | E. Millsap,UTA,2014-15,26,129.3,236,244,89.1,+12.1,+4.7,+.113,-0.6,-5.0,+.045,+.107,-1.0,-2.1,+.022,+22.5,"('exumda01', 'haywago01', 'millsel01')"
58,S. Blake | R. Lopez | C. McCollum,POR,2014-15,24,97.7,190,192,93.9,+8.2,+0.5,+.084,+6.4,+15.4,+.038,+.117,-0.4,-4.0,+.155,+22.5,"('blakest01', 'lopezro01', 'mccolcj01')"
59,P. Antić | P. Millsap | T. Sefolosha,ATL,2014-15,31,211.5,419,410,94.1,+6.2,+6.4,+.039,+2.2,+6.7,-.009,+.048,+7.8,+9.6,+.044,+22.4,"('anticpe01', 'millspa01', 'sefolth01')"
60,D. Howard | T. Jones | J. Terry,HOU,2014-15,10,106.2,210,210,95.0,+3.8,-12.4,+.112,+9.0,+7.6,+.293,+.172,+5.7,+5.7,+.055,+22.4,"('howardw01', 'joneste01', 'terryja01')"
61,K. Leonard | T. Parker | T. Splitter,SAS,2014-15,33,403.3,789,799,94.5,+9.1,+2.0,+.089,+1.7,-0.9,+.128,+.098,+2.5,+2.0,+.045,+22.4,"('leonaka01', 'parketo01', 'splitti01')"
62,T. Allen | M. Gasol | T. Prince,MEM,2014-15,19,157.5,290,311,91.6,+6.7,+4.8,+.052,+0.2,-10.3,+.223,+.051,+8.9,+9.0,+.067,+22.3,"('allento01', 'gasolma01', 'princta01')"
63,A. Bogut | A. Iguodala | K. Thompson,GSW,2014-15,58,335.2,680,679,97.3,+9.1,+5.6,+.076,+6.0,+8.6,+.110,+.108,-1.9,-3.9,+.057,+22.2,"('bogutan01', 'iguodan01', 'thompkl01')"
66,B. Beal | N. Hilário | K. Séraphin,WAS,2014-15,31,100.4,196,190,92.3,+9.7,-11.8,+.194,-0.8,-9.5,+.118,+.196,+3.4,+5.2,-.011,+22.1,"('bealbr01', 'hilarne01', 'serapke01')"
67,T. Allen | K. Koufos | Z. Randolph,MEM,2014-15,39,191.8,366,376,92.9,+6.7,+1.9,+.065,-2.3,-8.4,+.021,+.052,+10.9,+12.9,+.064,+22.1,"('allento01', 'koufoko01', 'randoza01')"
68,M. Dellavedova | T. Mozgov | T. Thompson,CLE,2014-15,29,114.6,213,220,90.7,+7.7,+9.6,+.040,+3.0,+5.5,+.053,+.052,+3.7,+3.3,+.066,+22.1,"('dellama01', 'mozgoti01', 'thomptr01')"
69,T. Hansbrough | J. Johnson | G. Vásquez,TOR,2014-15,47,307.6,575,580,90.1,+7.3,+3.5,+.066,+4.2,+7.3,+.067,+.088,+3.1,+1.8,+.063,+21.9,"('hansbty01', 'johnsja01', 'vasqugr01')"
70,M. Barnes | J. Crawford | J. Redick,LAC,2014-15,36,111.2,257,242,107.7,+7.5,+4.1,+.072,-0.8,-2.8,-.002,+.064,+7.6,+10.5,-.004,+21.7,"('barnema02', 'crawfja01', 'redicjj01')"
71,A. Len | M. Morris | I. Thomas,PHO,2014-15,30,136.6,283,284,99.6,+11.1,+7.7,+.086,+1.1,+7.5,-.075,+.088,-1.7,-6.6,+.120,+21.6,"('lenal01', 'morrima02', 'thomais02')"
72,C. Andersen | G. Dragić | H. Walker,MIA,2014-15,16,113.1,223,221,94.2,+7.3,+0.1,+.084,+2.2,+1.1,+.071,+.096,+4.8,+2.5,+.135,+21.6,"('anderch01', 'dragigo01', 'walkebi01')"
73,D. Green | K. Leonard | T. Splitter,SAS,2014-15,33,348.4,679,685,94.0,+9.3,-0.2,+.103,+1.4,+0.3,+.074,+.110,+1.6,+1.2,+.034,+21.6,"('greenda02', 'leonaka01', 'splitti01')"
74,C. Anthony | P. Prigioni | A. Stoudemire,NYK,2014-15,20,144.7,281,272,91.7,+4.9,-4.6,+.082,+4.4,+3.1,+.121,+.110,+7.3,+6.0,+.105,+21.4,"('anthoca01', 'prigipa01', 'stoudam01')"
75,T. Hardaway | J. Smith | A. Stoudemire,NYK,2014-15,16,104.4,210,198,93.8,+15.2,+10.7,+.119,+6.3,+6.3,+.167,+.150,-15.5,-17.9,-.093,+21.4,"('hardati02', 'smithjr01', 'stoudam01')"
76,L. James | I. Shumpert | J. Smith,CLE,2014-15,22,112.4,211,222,92.4,+8.4,-2.1,+.110,+8.1,+13.4,+.093,+.159,-3.5,-3.1,-.038,+21.4,"('jamesle01', 'shumpim01', 'smithjr01')"
77,D. Green | A. Iguodala | K. Thompson,GSW,2014-15,70,663.7,1376,1382,99.7,+7.6,+1.5,+.079,+5.4,+7.5,+.103,+.109,+0.7,-0.5,+.042,+21.3,"('greendr01', 'iguodan01', 'thompkl01')"
78,S. Curry | A. Iguodala | K. Thompson,GSW,2014-15,72,619.4,1316,1311,101.8,+8.0,+2.1,+.082,+5.5,+8.4,+.094,+.112,-0.3,-0.5,+.003,+21.2,"('curryst01', 'iguodan01', 'thompkl01')"
79,B. Knight | K. Middleton | Z. Pachulia,MIL,2014-15,39,427.9,851,835,94.6,+7.9,+5.2,+.064,+1.7,-3.8,+.156,+.071,+3.5,+3.5,+.034,+21.1,"('knighbr03', 'middlkh01', 'pachuza01')"
80,K. Korver | P. Millsap | T. Sefolosha,ATL,2014-15,39,234.6,466,456,94.3,+7.8,+1.1,+.083,+1.1,-0.3,+.049,+.089,+4.4,+2.8,+.109,+21.1,"('korveky01', 'millspa01', 'sefolth01')"
81,J. Crowder | J. Jerebko | M. Smart,BOS,2014-15,23,154.5,293,307,93.2,+6.8,+10.2,+.027,+7.8,+16.5,+.082,+.064,-0.4,-2.1,+.045,+21.0,"('crowdja01', 'jerebjo01', 'smartma01')"
82,R. Anderson | A. Davis | J. Fredette,NOP,2014-15,25,117.0,234,223,93.8,+5.5,+2.5,+.047,+4.8,+8.8,+.077,+.072,+5.0,+4.3,+.058,+20.9,"('anderry01', 'davisan02', 'fredeji01')"
83,I. Canaan | J. Harden | D. Howard,HOU,2014-15,8,115.5,231,229,95.6,+3.6,-5.5,+.070,+4.7,+8.5,+.076,+.100,+9.0,+12.4,+.010,+20.9,"('canaais01', 'hardeja01', 'howardw01')"
84,I. Canaan | J. Harden | D. Motiejūnas,HOU,2014-15,13,151.7,293,290,92.2,+5.4,-1.9,+.072,+7.1,+10.3,+.111,+.113,+2.9,+5.6,-.051,+20.9,"('canaais01', 'hardeja01', 'motiedo01')"
