,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
33,J. Green | K. Olynyk | E. Turner,BOS,2014-15,30,186.0,392,380,99.6,-5.7,-4.5,-.041,-3.1,-2.5,-.105,-0.057,+3.0,+4.1,.000,-11.5,"('greenje02', 'olynyke01', 'turneev01')"
34,R. Hibbert | S. Hill | R. Stuckey,IND,2014-15,53,559.9,1043,1050,89.7,-1.9,-2.5,-.009,-3.6,-7.0,-.058,-0.028,-4.1,-4.8,-.018,-11.5,"('hibbero01', 'hillso01', 'stuckro01')"
35,V. Carter | J. Leuer | B. Udrih,MEM,2014-15,32,218.8,426,426,93.4,-1.6,+2.8,-.033,-2.3,-2.6,-.063,-0.048,-5.9,-9.9,+.083,-11.5,"('cartevi01', 'leuerjo01', 'udrihbe01')"
36,Q. Acy | C. Anthony | I. Shumpert,NYK,2014-15,15,186.9,344,350,89.1,+0.1,+1.0,-.004,-3.3,-6.6,-.048,-0.022,-8.4,-12.0,+.038,-11.5,"('acyqu01', 'anthoca01', 'shumpim01')"
37,M. Dellavedova | K. Love | D. Waiters,CLE,2014-15,18,115.1,222,216,91.4,-7.4,+4.0,-.104,-1.1,+4.3,-.088,-0.113,+4.4,+5.1,+.031,-11.5,"('dellama01', 'loveke01', 'waitedi01')"
38,S. Adams | R. Jackson | J. Lamb,OKC,2014-15,14,195.9,367,365,89.7,-4.9,-4.3,-.033,-2.5,-1.0,-.089,-0.044,+0.7,+1.5,-.014,-11.5,"('adamsst01', 'jacksre01', 'lambje01')"
39,A. Bradley | J. Crowder | J. Sullinger,BOS,2014-15,30,261.8,518,512,94.4,-2.8,+0.3,-.031,-0.7,+2.2,-.055,-0.035,-5.2,-4.1,-.119,-11.5,"('bradlav01', 'crowdja01', 'sullija01')"
40,A. Bargnani | L. Galloway | A. Shved,NYK,2014-15,15,221.2,431,421,92.4,-2.3,+3.5,-.041,-3.9,-2.3,-.154,-0.064,-3.0,-3.8,-.005,-11.5,"('bargnan01', 'gallola01', 'shvedal01')"
41,M. Chalmers | N. Cole | L. Deng,MIA,2014-15,36,264.9,501,507,91.3,-3.1,-2.8,-.021,-1.9,-6.1,+.022,-0.030,-3.5,-3.0,-.047,-11.6,"('chalmma01', 'coleno01', 'denglu01')"
44,O. Casspi | D. Collison | B. McLemore,SAC,2014-15,25,129.2,268,263,98.6,-6.0,-12.1,-.004,-7.7,-14.8,-.127,-0.044,+8.1,+11.7,-.021,-11.6,"('casspom01', 'collida01', 'mclembe01')"
45,D. Exum | R. Gobert | E. Kanter,UTA,2014-15,37,133.9,246,250,88.9,-3.4,-3.0,-.022,+1.3,+5.2,-.036,-0.013,-6.2,-10.2,+.068,-11.6,"('exumda01', 'goberru01', 'kanteen01')"
46,D. Dedmon | W. Green | E. Payton,ORL,2014-15,26,104.8,207,202,93.6,-8.3,-6.1,-.064,-3.1,-5.9,-.055,-0.078,+8.0,+11.8,-.044,-11.6,"('dedmode01', 'greenwi01', 'paytoel01')"
47,E. Bledsoe | A. Goodwin | M. Morris,PHO,2014-15,21,104.0,208,201,94.4,-5.1,+4.3,-.077,+2.2,+1.2,+.087,-0.067,-3.6,-2.3,-.072,-11.6,"('bledser01', 'goodwar01', 'morrima03')"
48,J. Crawford | S. Hawes | A. Rivers,LAC,2014-15,23,204.2,380,386,90.1,-2.7,+1.2,-.035,-4.8,-0.1,-.170,-0.062,-1.3,-6.1,+.120,-11.6,"('crawfja01', 'hawessp01', 'riverau01')"
49,M. Ellis | C. Parsons | G. Smith,DAL,2014-15,19,102.7,199,214,96.5,-0.2,-0.8,+.002,+4.0,+8.0,+.055,+.025,-15.4,-17.4,-.165,-11.7,"('ellismo01', 'parsoch01', 'smithgr02')"
50,A. Jefferson | G. Neal | C. Zeller,CHO,2014-15,33,146.3,275,274,90.1,-0.1,-4.0,+.018,-7.3,-13.6,-.118,-0.022,-4.1,-3.0,-.066,-11.7,"('jeffeal01', 'nealga01', 'zelleco01')"
51,C. Bosh | M. Chalmers | S. Williams,MIA,2014-15,27,211.5,403,407,91.9,-6.5,-0.2,-.079,-2.1,+1.7,-.112,-0.091,+3.4,+2.3,+.060,-11.7,"('boshch01', 'chalmma01', 'willish03')"
52,D. Gooden | A. Miller | K. Séraphin,WAS,2014-15,15,115.0,198,202,83.5,-0.7,+0.8,-.011,-6.3,-7.1,-.157,-0.047,-4.1,-6.5,+.042,-11.7,"('goodedr01', 'millean02', 'serapke01')"
53,D. Augustin | G. Monroe | J. Smith,DET,2014-15,21,155.3,308,306,94.9,-8.1,-6.1,-.064,-4.0,-5.7,-.086,-0.083,+8.3,+15.8,-.103,-11.7,"('augusdj01', 'monrogr01', 'smithjo03')"
54,P. Antić | D. Schröder | M. Scott,ATL,2014-15,36,107.1,213,214,95.7,+1.6,+10.7,-.037,0.0,+11.4,-.120,-0.045,-14.9,-14.9,-.108,-11.7,"('anticpe01', 'schrode01', 'scottmi01')"
55,M. Carter-Williams | N. Noel | H. Thompson,PHI,2014-15,28,307.0,623,622,97.3,-2.8,-2.5,-.021,+0.3,+0.6,+.004,-0.017,-6.4,-5.5,-.123,-11.7,"('cartemi01', 'noelne01', 'thompho01')"
56,M. Morris | P. Tucker | T. Warren,PHO,2014-15,21,116.5,226,224,92.7,+0.1,+1.4,-.007,-5.8,-6.4,-.173,-0.039,-5.9,-6.5,-.056,-11.7,"('morrima02', 'tuckepj01', 'warretj01')"
57,G. Henderson | J. Maxiell | K. Walker,CHO,2014-15,26,100.8,194,201,94.0,-4.7,+0.6,-.056,-9.3,-11.3,-.206,-0.109,+6.8,+6.6,+.070,-11.8,"('hendege02', 'maxieja01', 'walkeke02')"
58,M. Kidd-Gilchrist | L. Stephenson | M. Williams,CHO,2014-15,36,248.6,482,498,94.6,-3.5,+2.5,-.051,-1.8,+3.7,-.144,-0.063,-3.0,-1.4,-.095,-11.8,"('kiddgmi01', 'stephla01', 'willima02')"
59,S. Larkin | I. Shumpert | A. Stoudemire,NYK,2014-15,15,100.7,185,186,88.4,+1.8,+9.7,-.025,-4.3,-5.8,-.099,-0.053,-11.2,-19.3,+.100,-11.8,"('larkish01', 'shumpim01', 'stoudam01')"
60,D. Carroll | A. Horford | D. Schröder,ATL,2014-15,46,235.2,448,470,93.7,-2.4,-2.1,-.016,-2.6,-1.9,-.068,-0.030,-4.4,-4.1,-.057,-11.8,"('carrode01', 'horfoal01', 'schrode01')"
61,C. Andersen | C. Bosh | D. Granger,MIA,2014-15,17,97.7,179,176,87.2,-5.1,-12.7,+.003,-1.3,-6.0,+.038,+.002,-0.3,-4.3,+.151,-11.8,"('anderch01', 'boshch01', 'grangda01')"
62,J. Grant | N. Noel | H. Thompson,PHI,2014-15,32,136.5,265,281,96.0,-2.4,+0.9,-.033,+2.3,+7.6,-.009,-0.020,-9.2,-3.5,-.250,-11.8,"('grantje01', 'noelne01', 'thompho01')"
63,L. Stephenson | M. Williams | M. Williams,CHO,2014-15,21,122.7,253,256,99.6,-5.5,+1.4,-.071,+0.1,+6.2,-.098,-0.071,-0.9,-1.3,+.002,-11.8,"('stephla01', 'willima01', 'willima02')"
66,K. O'Quinn | E. Payton | N. Vučević,ORL,2014-15,25,202.8,383,388,91.3,-0.8,-3.2,+.007,-4.1,-7.5,-.067,-0.013,-6.3,-7.1,-.078,-11.9,"('oquinky01', 'paytoel01', 'vucevni01')"
67,K. Garnett | J. Jack | D. Williams,BRK,2014-15,24,146.5,278,275,90.6,-8.0,-1.7,-.085,-3.7,-4.6,-.107,-0.105,+7.7,+6.9,+.081,-11.9,"('garneke01', 'jackja01', 'willide01')"
68,G. Henderson | G. Neal | M. Williams,CHO,2014-15,29,115.1,235,208,92.3,-2.6,-0.1,-.029,-5.3,-1.2,-.172,-0.058,-1.4,-0.5,-.035,-11.9,"('hendege02', 'nealga01', 'willima02')"
69,K. McDaniels | N. Noel | T. Wroten,PHI,2014-15,25,162.3,334,327,97.7,-6.0,-5.3,-.042,-1.7,-0.8,-.058,-0.049,+1.7,+4.0,-.041,-11.9,"('mcdankj01', 'noelne01', 'wroteto01')"
70,B. Diaw | C. Joseph | J. Ayres,SAS,2014-15,28,139.8,278,268,93.7,-4.3,+3.8,-.071,-3.6,0.0,-.167,-0.094,+0.4,-2.4,+.086,-11.9,"('diawbo01', 'josepco01', 'pendeje02')"
71,C. Butler | G. Monroe | J. Smith,DET,2014-15,23,151.9,304,297,94.9,-6.5,-2.4,-.062,-2.8,-1.9,-.089,-0.077,+3.9,+7.4,-.043,-11.9,"('butleca01', 'monrogr01', 'smithjo03')"
72,I. Mahinmi | C. Watson | D. West,IND,2014-15,31,101.6,199,204,95.2,-2.6,-2.3,-.018,-1.3,-4.9,+.020,-0.024,-5.5,-1.9,-.173,-11.9,"('mahinia01', 'watsocj01', 'westda01')"
73,B. Bass | J. Crowder | J. Sullinger,BOS,2014-15,21,131.5,261,261,95.3,-5.0,-0.4,-.054,-0.8,-3.1,+.011,-0.058,-1.1,+0.8,-.085,-11.9,"('bassbr01', 'crowdja01', 'sullija01')"
74,A. Drummond | G. Monroe | T. Prince,DET,2014-15,11,110.3,210,210,91.4,-1.4,-0.5,-.013,-6.7,-9.0,-.197,-0.049,-2.4,+5.2,-.308,-11.9,"('drumman01', 'monrogr01', 'princta01')"
75,M. Belinelli | M. Bonner | D. Green,SAS,2014-15,31,109.3,213,203,91.4,-4.4,-0.4,-.047,-3.3,+6.1,-.231,-0.065,0.0,+0.3,-.007,-12.0,"('belinma01', 'bonnema01', 'greenda02')"
76,T. Booker | T. Burke | J. Ingles,UTA,2014-15,55,262.4,494,474,88.5,-6.0,-4.5,-.044,-0.4,+5.5,-.089,-0.044,+0.3,+3.1,-.069,-12.0,"('booketr01', 'burketr01', 'inglejo01')"
77,J. Crawford | J. Farmar | H. Türkoğlu,LAC,2014-15,20,140.9,269,267,91.3,-6.3,+0.1,-.073,+1.4,+7.2,-.045,-0.065,-0.9,-5.0,+.134,-12.0,"('crawfja01', 'farmajo01', 'turkohe01')"
78,J. Sullinger | E. Turner | T. Zeller,BOS,2014-15,33,260.5,511,509,94.0,-2.5,-5.7,.000,-2.0,-4.0,-.043,-0.009,-5.0,-4.4,-.067,-12.0,"('sullija01', 'turneev01', 'zellety01')"
79,O. Casspi | D. Cousins | C. Landry,SAC,2014-15,19,123.9,248,249,96.3,-5.9,-15.3,+.014,-6.8,-19.2,+.040,-0.014,+6.5,+5.7,+.117,-12.0,"('casspom01', 'couside01', 'landrca01')"
80,R. Anderson | T. Evans | E. Gordon,NOP,2014-15,38,395.4,767,742,91.6,-5.8,-0.1,-.063,+1.5,+3.0,+.016,-0.054,-2.2,-2.1,-.020,-12.1,"('anderry01', 'evansty01', 'gordoer01')"
81,J. Jack | B. Lopez | M. Teletović,BRK,2014-15,31,200.7,395,396,94.6,-5.7,-5.6,-.037,-1.0,+0.3,-.041,-0.040,+0.3,-3.0,+.134,-12.1,"('jackja01', 'lopezbr01', 'teletmi01')"
82,J. Jack | M. Plumlee | T. Young,BRK,2014-15,23,114.6,227,224,94.5,-1.0,-10.9,+.048,-7.2,-10.5,-.163,+.013,-2.8,-1.2,-.102,-12.1,"('jackja01', 'plumlma01', 'youngth01')"
83,T. Ariza | P. Beverley | J. Terry,HOU,2014-15,26,107.7,231,222,100.9,-5.4,+1.6,-.074,+4.0,+16.4,-.058,-0.051,-5.3,+0.9,-.178,-12.2,"('arizatr01', 'beverpa01', 'terryja01')"
84,C. Boozer | K. Bryant | J. Lin,LAL,2014-15,34,477.1,972,967,97.5,-3.7,-0.2,-.041,-3.0,-6.5,-.032,-0.057,-1.8,-2.0,-.009,-12.2,"('boozeca01', 'bryanko01', 'linje01')"
85,B. Lopez | M. Plumlee | D. Williams,BRK,2014-15,22,124.3,234,238,91.2,-1.0,+5.4,-.039,+0.1,-1.3,+.027,-0.040,-10.4,-14.1,-.099,-12.2,"('lopezbr01', 'plumlma01', 'willide01')"
88,O. Casspi | R. McCallum | D. Williams,SAC,2014-15,33,174.9,359,367,99.6,-6.0,-11.0,-.010,-4.0,-9.7,-.040,-0.027,+3.8,+2.8,+.061,-12.2,"('casspom01', 'mccalra01', 'willide02')"
89,O. Casspi | R. Gay | D. Williams,SAC,2014-15,20,96.3,199,198,98.9,-12.3,-17.5,-.041,-5.6,-9.2,-.072,-0.062,+18.0,+19.5,+.200,-12.2,"('casspom01', 'gayru01', 'willide02')"
90,J. Maxiell | K. Walker | M. Williams,CHO,2014-15,18,109.1,213,212,93.5,-5.8,-3.3,-.048,-5.2,-2.0,-.189,-0.075,+4.6,+2.2,+.117,-12.2,"('maxieja01', 'walkeke02', 'willima02')"
91,J. Calderón | T. Hardaway | S. Larkin,NYK,2014-15,19,116.1,226,222,92.6,-3.0,+10.5,-.090,-5.1,-3.9,-.161,-0.125,-1.2,-1.8,+.005,-12.2,"('caldejo01', 'hardati02', 'larkish01')"
92,B. Bogdanović | M. Teletović | D. Williams,BRK,2014-15,19,161.3,315,309,92.9,-5.3,-4.7,-.035,-0.8,+8.2,-.134,-0.037,-1.0,-1.7,+.016,-12.3,"('bogdabo02', 'teletmi01', 'willide01')"
93,V. Carter | C. Lee | B. Udrih,MEM,2014-15,35,147.7,290,284,93.2,-1.2,+0.5,-.016,-4.7,-4.3,-.146,-0.042,-5.3,-9.6,+.073,-12.3,"('cartevi01', 'leeco01', 'udrihbe01')"
94,L. Fields | A. Johnson | T. Ross,TOR,2014-15,10,120.1,237,235,94.3,-5.0,-4.1,-.034,-2.2,-2.3,-.060,-0.044,-0.1,-1.8,+.094,-12.3,"('fieldla01', 'johnsam01', 'rosste01')"
95,R. Gay | J. Thompson | D. Williams,SAC,2014-15,34,175.4,354,351,96.5,-8.9,-17.2,-.003,-5.5,-11.3,-.040,-0.024,+10.9,+10.8,+.117,-12.3,"('gayru01', 'thompja02', 'willide02')"
96,E. Bledsoe | T. Warren | B. Wright,PHO,2014-15,18,130.0,260,259,95.8,-2.5,-1.1,-.023,-5.4,-0.8,-.249,-0.053,-2.0,-2.8,.000,-12.3,"('bledser01', 'warretj01', 'wrighbr03')"
97,R. Rondo | E. Turner | T. Zeller,BOS,2014-15,19,102.0,206,210,97.9,-0.2,+0.2,-.004,-4.2,-4.0,-.172,-0.028,-7.7,-7.7,-.051,-12.4,"('rondora01', 'turneev01', 'zellety01')"
98,V. Carter | K. Koufos | Q. Pondexter,MEM,2014-15,24,132.9,258,262,93.9,-0.2,+3.3,-.018,-5.3,-7.3,-.121,-0.050,-6.7,-8.2,-.059,-12.4,"('cartevi01', 'koufoko01', 'pondequ01')"
99,P. Antić | K. Bazemore | J. Teague,ATL,2014-15,40,129.4,273,277,102.0,-8.6,-4.2,-.081,-1.0,+3.3,-.082,-0.085,+5.7,+10.2,-.092,-12.4,"('anticpe01', 'bazemke01', 'teaguje01')"
100,S. Blake | C. Kaman | M. Leonard,POR,2014-15,32,136.6,266,264,93.1,-1.8,-4.1,-.001,-1.2,+7.0,-.140,-0.005,-7.6,-10.7,+.018,-12.4,"('blakest01', 'kamanch01', 'leoname01')"
101,J. Grant | K. McDaniels | N. Noel,PHI,2014-15,30,127.8,248,254,94.2,-4.4,-2.8,-.039,-1.8,-0.6,-.061,-0.048,-1.9,-1.0,-.048,-12.4,"('grantje01', 'mcdankj01', 'noelne01')"
102,H. Barnes | D. Lee | S. Livingston,GSW,2014-15,32,155.7,297,314,94.2,-2.3,+3.2,-.040,-5.4,-9.2,-.093,-0.071,-2.4,-2.1,-.041,-12.4,"('barneha02', 'leeda02', 'livinsh01')"
103,A. Drummond | J. Lucas III | A. Tolliver,DET,2014-15,16,97.3,186,185,91.5,-1.8,+1.7,-.029,+2.1,+9.0,-.027,-0.018,-10.9,-9.3,-.221,-12.4,"('drumman01', 'lucasjo02', 'tollian01')"
104,I. Canaan | N. Noel | J. Richardson,PHI,2014-15,14,149.9,299,299,95.8,-9.4,+0.3,-.111,+9.4,+22.4,+.064,-0.057,-3.0,-2.7,-.041,-12.4,"('canaais01', 'noelne01', 'richaja01')"
105,L. Stephenson | K. Walker | M. Williams,CHO,2014-15,35,367.6,710,712,92.8,-5.8,+2.2,-.075,-2.1,-0.2,-.101,-0.088,+1.2,+3.0,-.052,-12.5,"('stephla01', 'walkeke02', 'willima02')"
106,D. Augustin | K. Caldwell-Pope | J. Smith,DET,2014-15,25,215.8,426,423,94.4,-5.7,-3.0,-.050,-1.2,-2.5,-.020,-0.055,+0.1,+2.9,-.067,-12.5,"('augusdj01', 'caldwke01', 'smithjo03')"
107,T. Gibson | J. Noah | D. Rose,CHI,2014-15,28,128.9,251,262,95.5,-8.8,-2.7,-.082,-2.0,+0.9,-.109,-0.092,+7.1,+8.1,+.035,-12.5,"('gibsota01', 'noahjo01', 'rosede01')"
0,G. Dieng | K. Martin | A. Wiggins,MIN,2014-15,32,419.9,827,826,94.5,-7.3,-4.7,-.057,-3.6,-8.4,-.036,-0.076,+5.8,+6.9,+.011,-12.5,"('dienggo01', 'martike02', 'wiggian01')"
1,M. Chalmers | U. Haslem | D. Wade,MIA,2014-15,37,179.7,357,353,94.9,-6.6,-3.2,-.061,-4.0,-5.3,-.106,-0.083,+4.8,+3.0,+.087,-12.5,"('chalmma01', 'hasleud01', 'wadedw01')"
2,D. Gallinari | J. Hickson | J. Nelson,DEN,2014-15,21,122.5,242,240,94.5,-6.1,-0.3,-.068,+3.3,+5.2,+.066,-0.049,-3.5,-3.2,-.040,-12.5,"('gallida01', 'hicksjj01', 'nelsoja01')"
3,D. Augustin | S. Ibaka | R. Westbrook,OKC,2014-15,9,96.4,196,193,96.8,-1.7,+2.2,-.029,-0.1,-0.4,.000,-0.030,-9.0,-11.7,-.026,-12.5,"('augusdj01', 'ibakase01', 'westbru01')"
4,M. Belinelli | T. Duncan | C. Joseph,SAS,2014-15,34,180.7,331,341,89.3,-5.0,-10.1,-.004,-2.8,-5.7,-.046,-0.016,+0.2,+1.6,-.041,-12.6,"('belinma01', 'duncati01', 'josepco01')"
5,Q. Acy | S. Larkin | P. Prigioni,NYK,2014-15,22,109.1,197,211,89.8,+0.1,+5.0,-.023,-3.3,0.0,-.118,-0.046,-9.4,-15.9,+.159,-12.6,"('acyqu01', 'larkish01', 'prigipa01')"
6,C. Boozer | J. Clarkson | W. Ellington,LAL,2014-15,26,187.6,369,373,94.9,-2.8,+1.2,-.038,-0.5,-4.1,+.047,-0.041,-6.5,-8.1,-.018,-12.6,"('boozeca01', 'clarkjo01', 'ellinwa01')"
7,J. Crowder | J. Sullinger | E. Turner,BOS,2014-15,29,238.3,468,472,94.7,-4.1,-0.9,-.041,-0.4,+0.4,-.023,-0.042,-3.9,-3.5,-.084,-12.6,"('crowdja01', 'sullija01', 'turneev01')"
8,M. Dellavedova | J. Jones | M. Miller,CLE,2014-15,22,104.4,193,191,88.3,-8.7,-15.0,-.027,+2.5,+8.5,-.009,-0.003,+2.4,+7.0,-.106,-12.6,"('dellama01', 'jonesja02', 'millemi01')"
9,K. Koufos | J. Leuer | Q. Pondexter,MEM,2014-15,25,135.1,256,261,91.9,-1.9,-3.3,-.005,-0.6,-2.6,+.011,-0.006,-8.3,-5.9,-.235,-12.7,"('koufoko01', 'leuerjo01', 'pondequ01')"
10,G. Dragić | A. Len | M. Morris,PHO,2014-15,35,163.8,330,330,96.7,-3.9,+3.6,-.064,+4.2,+11.5,+.001,-0.042,-9.1,-9.1,-.090,-12.7,"('dragigo01', 'lenal01', 'morrima03')"
11,J. Crawford | J. Farmar | D. Jordan,LAC,2014-15,33,138.9,265,270,92.4,-3.0,-0.2,-.033,+0.9,+3.9,-.014,-0.028,-7.6,-10.5,+.030,-12.7,"('crawfja01', 'farmajo01', 'jordade01')"
12,R. Hummel | A. Wiggins | M. Williams,MIN,2014-15,21,179.0,347,347,93.1,-3.7,-3.7,-.023,-1.7,-5.2,+.005,-0.031,-3.5,-6.6,+.069,-12.7,"('hummero01', 'wiggian01', 'willima01')"
13,D. DeRozan | T. Ross | G. Vásquez,TOR,2014-15,35,248.9,475,473,91.4,-4.8,+0.3,-.056,+0.4,+4.1,-.048,-0.054,-3.5,-4.5,+.002,-12.7,"('derozde01', 'rosste01', 'vasqugr01')"
14,M. Carter-Williams | R. Covington | T. Wroten,PHI,2014-15,19,124.4,240,236,91.8,-4.4,-4.9,-.027,-1.4,+0.8,-.057,-0.032,-2.4,-6.3,+.082,-12.7,"('cartemi01', 'covinro01', 'wroteto01')"
15,D. Dedmon | C. Frye | V. Oladipo,ORL,2014-15,23,104.2,203,197,92.1,-2.3,+6.3,-.058,-2.7,+2.2,-.133,-0.076,-5.4,-7.5,-.012,-12.7,"('dedmode01', 'fryech01', 'oladivi01')"
16,L. Galloway | A. Shved | L. Thomas,NYK,2014-15,13,162.0,315,317,93.6,-1.3,+12.9,-.074,-3.4,+1.4,-.209,-0.098,-6.5,-8.1,-.028,-12.7,"('gallola01', 'shvedal01', 'thomala01')"
17,G. Neal | K. Walker | C. Zeller,CHO,2014-15,30,164.8,328,313,93.4,-4.9,-4.3,-.035,-6.6,-10.1,-.167,-0.072,+3.5,+5.7,-.037,-12.8,"('nealga01', 'walkeke02', 'zelleco01')"
18,C. Butler | B. Jennings | J. Smith,DET,2014-15,22,158.1,319,312,95.8,-6.3,-0.7,-.066,-0.8,+1.3,-.052,-0.070,+0.6,+2.7,-.050,-12.8,"('butleca01', 'jennibr01', 'smithjo03')"
19,D. Gooden | A. Miller | O. Porter,WAS,2014-15,16,118.9,209,211,84.8,-0.1,+3.7,-.020,-5.6,-7.9,-.119,-0.054,-7.0,-11.2,+.053,-12.8,"('goodedr01', 'millean02', 'porteot01')"
22,R. Hummel | Z. LaVine | A. Wiggins,MIN,2014-15,30,187.0,362,366,93.5,-4.5,+0.2,-.051,-5.9,-13.5,-.036,-0.084,+2.2,+0.9,+.054,-12.8,"('hummero01', 'lavinza01', 'wiggian01')"
23,P. Beverley | D. Howard | J. Smith,HOU,2014-15,15,118.0,237,235,96.0,-6.7,-0.3,-.075,+2.5,+13.8,-.088,-0.061,-1.8,-0.2,-.077,-12.8,"('beverpa01', 'howardw01', 'smithjo03')"
24,J. Barea | D. Harris | A. Stoudemire,DAL,2014-15,15,132.3,260,263,94.9,-2.2,+2.1,-.038,-7.6,-8.9,-.194,-0.083,-0.9,+0.3,-.042,-12.8,"('bareajo01', 'harride01', 'stoudam01')"
25,J. Clarkson | W. Johnson | R. Sacre,LAL,2014-15,25,130.5,257,253,93.8,-4.5,+9.2,-.091,-1.7,-5.4,-.007,-0.104,-2.2,-1.2,-.058,-12.9,"('clarkjo01', 'johnswe01', 'sacrero01')"
26,J. Clarkson | W. Ellington | R. Sacre,LAL,2014-15,30,437.0,838,836,91.9,-5.6,+0.4,-.063,-1.9,-6.0,+.012,-0.074,+0.2,+3.2,-.097,-12.9,"('clarkjo01', 'ellinwa01', 'sacrero01')"
27,T. Booker | T. Burke | E. Kanter,UTA,2014-15,20,96.8,185,186,92.0,-7.9,+4.8,-.114,0.0,+0.7,-.009,-0.116,+2.8,+3.4,+.014,-12.9,"('booketr01', 'burketr01', 'kanteen01')"
28,P. Hairston | J. Maxiell | G. Neal,CHO,2014-15,14,109.3,217,217,95.3,-3.2,+0.5,-.039,-0.5,+6.0,-.083,-0.042,-6.0,-9.2,+.030,-12.9,"('hairspj02', 'maxieja01', 'nealga01')"
29,K. Bryant | J. Hill | W. Johnson,LAL,2014-15,34,794.2,1585,1587,95.9,-4.5,+2.6,-.064,-1.7,-2.4,-.040,-0.075,-2.3,-3.5,+.015,-13.0,"('bryanko01', 'hilljo01', 'johnswe01')"
30,R. Rondo | J. Sullinger | E. Turner,BOS,2014-15,20,99.8,211,200,98.8,-5.1,+3.1,-.074,-1.9,+1.7,-.108,-0.086,-0.9,-3.8,+.071,-13.0,"('rondora01', 'sullija01', 'turneev01')"
31,N. Mirotić | E. Moore | J. Noah,CHI,2014-15,23,137.1,262,262,91.8,-4.6,+3.1,-.071,0.0,+5.0,-.088,-0.073,-3.8,-4.6,-.026,-13.0,"('mirotni01', 'mooreet01', 'noahjo01')"
32,A. Drummond | J. Meeks | G. Monroe,DET,2014-15,31,130.6,257,249,93.0,-2.5,-2.0,-.018,+0.1,+1.7,-.028,-0.016,-8.2,-1.0,-.244,-13.0,"('drumman01', 'meeksjo01', 'monrogr01')"
33,A. Jefferson | L. Stephenson | M. Williams,CHO,2014-15,47,495.3,967,964,93.6,-4.9,+2.7,-.069,-0.9,+0.5,-.050,-0.075,-2.4,-2.3,-.035,-13.1,"('jeffeal01', 'stephla01', 'willima02')"
34,M. Chalmers | J. Ennis | S. Williams,MIA,2014-15,21,107.6,194,199,87.6,-5.2,+11.2,-.126,+0.7,+13.4,-.158,-0.129,-3.4,-6.7,+.044,-13.1,"('chalmma01', 'ennisja01', 'willish03')"
35,D. Cousins | J. Thompson | D. Williams,SAC,2014-15,19,98.2,191,191,93.4,-4.7,-9.4,-.004,-7.3,-10.5,-.158,-0.041,+3.7,+8.4,-.096,-13.1,"('couside01', 'thompja02', 'willide02')"
36,K. Bryant | J. Hill | N. Young,LAL,2014-15,22,154.5,314,306,96.3,-5.4,+3.3,-.080,-4.4,-5.5,-.099,-0.108,+2.2,+1.0,+.039,-13.1,"('bryanko01', 'hilljo01', 'youngni01')"
37,C. Boozer | K. Bryant | W. Johnson,LAL,2014-15,31,452.6,924,922,97.9,-5.1,-1.9,-.047,-2.3,-6.1,-.002,-0.059,-0.8,+0.1,-.032,-13.2,"('boozeca01', 'bryanko01', 'johnswe01')"
38,J. Hill | W. Johnson | J. Lin,LAL,2014-15,49,676.5,1363,1358,96.5,-3.5,0.0,-.040,-3.9,-8.8,-.041,-0.062,-2.3,-3.7,+.018,-13.2,"('hilljo01', 'johnswe01', 'linje01')"
39,S. Hill | I. Mahinmi | R. Stuckey,IND,2014-15,41,201.2,385,387,92.1,-2.4,+0.7,-.030,-3.9,-4.0,-.128,-0.052,-4.6,-2.5,-.119,-13.2,"('hillso01', 'mahinia01', 'stuckro01')"
40,C. Anthony | S. Dalembert | I. Shumpert,NYK,2014-15,21,247.6,458,469,89.8,-0.2,+0.1,-.003,-1.8,-5.5,+.013,-0.013,-11.1,-14.8,+.004,-13.2,"('anthoca01', 'dalemsa01', 'shumpim01')"
41,A. Brooks | T. Gibson | J. Noah,CHI,2014-15,38,217.0,407,409,90.3,-7.2,-1.0,-.073,-0.5,+2.1,-.053,-0.075,+1.6,-0.1,+.076,-13.2,"('brookaa01', 'gibsota01', 'noahjo01')"
44,K. Bazemore | D. Schröder | M. Scott,ATL,2014-15,47,301.5,579,586,92.8,-4.2,-8.4,-.007,-1.1,+2.7,-.073,-0.007,-3.7,-4.7,-.001,-13.2,"('bazemke01', 'schrode01', 'scottmi01')"
45,M. Carter-Williams | L. Mbah a Moute | H. Thompson,PHI,2014-15,27,285.2,576,566,96.1,-5.7,-7.4,-.031,0.0,-0.1,+.002,-0.027,-1.8,+0.5,-.105,-13.2,"('cartemi01', 'mbahalu01', 'thompho01')"
46,R. McCallum | J. Thompson | D. Williams,SAC,2014-15,38,182.4,366,370,96.9,-4.2,-5.3,-.019,-3.2,-4.9,-.059,-0.034,-1.7,+1.4,-.087,-13.2,"('mccalra01', 'thompja02', 'willide02')"
47,J. Brown | W. Johnson | R. Kelly,LAL,2014-15,12,112.4,229,223,96.5,-2.4,-4.9,.000,-1.2,-2.5,-.008,-0.004,-7.2,-5.6,-.110,-13.2,"('brownja01', 'johnswe01', 'kellyry01')"
